,FirstName,LastName,Name,Party,PartyState,State,State_Abbrev,_merge,bioguide,district,had_challenger,inc_name,inc_party,inc_ran,inc_won,runnerup_party,runnerup_votes,winner_party,winner_votes
0, Pete,Aguilar,"Aguilar, Pete",Democratic,Democratic - California,California,CA,both,A000371,CA-31,1,"Aguilar, Pete",D,1,1,R,"94,866",D,"121,070"
1, Justin,Amash,"Amash, Justin",Republican,Republican - Michigan,Michigan,MI,both,A000367,MI-03,1,"Amash, Justin",R,1,1,D,"128,400",R,"203,545"
2, Brian,Babin,"Babin, Brian",Republican,Republican - Texas,Texas,TX,both,B001291,TX-36,1,"Babin, Brian",R,1,1,G,"24,890",R,"193,675"
3, Don,Bacon,"Bacon, Don",Republican,Republican - Nebraska,Nebraska,NE,both,B001298,NE-02,1,"Bacon, Don",R,1,1,D,"137,602",R,"141,066"
4, Jim,Banks,"Banks, Jim",Republican,Republican - Indiana,Indiana,IN,both,B001299,IN-03,0,"Banks, Jim",R,0,0,D,"66,023",R,"201,396"
5, Lou,Barletta,"Barletta, Lou",Republican,Republican - Pennsylvania,Pennsylvania,PA,both,B001269,PA-11,1,"Barletta, Lou",R,1,1,D,"113,800",R,"199,421"
6, Andy,Barr,"Barr, Andy",Republican,Republican - Kentucky,Kentucky,KY,both,B001282,KY-06,1,"Barr, Andy",R,1,1,D,"128,728",R,"202,099"
7, Joe,Barton,"Barton, Joe",Republican,Republican - Texas,Texas,TX,both,B000213,TX-06,1,"Barton, Joe",R,1,1,D,"106,667",R,"159,444"
8, Karen,Bass,"Bass, Karen",Democratic,Democratic - California,California,CA,both,B001270,CA-37,1,"Bass, Karen",D,1,1,D,"44,782",D,"192,490"
9, Joyce,Beatty,"Beatty, Joyce",Democratic,Democratic - Ohio,Ohio,OH,both,B001281,OH-03,1,"Beatty, Joyce",D,1,1,R,"91,560",D,"199,791"
10, Xavier,Becerra,"Becerra, Xavier",Democratic,Democratic - California,California,CA,both,B000287,CA-34,1,"Becerra, Xavier",D,1,1,D,"36,314",D,"122,842"
11, Ami,Bera,"Bera, Ami",Democratic,Democratic - California,California,CA,both,B001287,CA-07,1,"Bera, Ami",D,1,1,R,"145,168",D,"152,133"
12, Jack,Bergman,"Bergman, Jack",Republican,Republican - Michigan,Michigan,MI,both,B001301,MI-01,0,"Bergman, Jack",R,0,0,D,"144,334",R,"197,777"
13, Andy,Biggs,"Biggs, Andy",Republican,Republican - Arizona,Arizona,AZ,both,B001302,AZ-05,0,"Biggs, Andy",R,0,0,D,"114,940",R,"205,184"
14, Mike,Bishop,"Bishop, Mike",Republican,Republican - Michigan,Michigan,MI,both,B001293,MI-08,1,"Bishop, Mike",R,1,1,D,"143,791",R,"205,629"
15, Rob,Bishop,"Bishop, Rob",Republican,Republican - Utah,Utah,UT,both,B001250,UT-01,1,"Bishop, Rob",R,1,1,D,"73,380",R,"182,925"
16, Diane,Black,"Black, Diane",Republican,Republican - Tennessee,Tennessee,TN,both,B001273,TN-06,1,"Black, Diane",R,1,1,D,"61,995",R,"202,234"
17, Marsha,Blackburn,"Blackburn, Marsha",Republican,Republican - Tennessee,Tennessee,TN,both,B001243,TN-07,1,"Blackburn, Marsha",R,1,1,D,"65,226",R,"200,407"
18, Rod,Blum,"Blum, Rod",Republican,Republican - Iowa,Iowa,IA,both,B001294,IA-01,1,"Blum, Rod",R,1,1,D,"177,403",R,"206,903"
19, Earl,Blumenauer,"Blumenauer, Earl",Democratic,Democratic - Oregon,Oregon,OR,both,B000574,OR-03,1,"Blumenauer, Earl",D,1,1,I,"78,154",D,"274,687"
20, Lisa,Blunt Rochester,"Blunt Rochester, Lisa",Democratic,Democratic - Delaware,Delaware,DE,both,B001303,DE-AL,1,"Blunt Rochester, Lisa",D,1,1,R,"172,301",D,"233,554"
21, Suzanne,Bonamici,"Bonamici, Suzanne",Democratic,Democratic - Oregon,Oregon,OR,both,B001278,OR-01,1,"Bonamici, Suzanne",D,1,1,R,"139,756",D,"225,391"
22, Mike,Bost,"Bost, Mike",Republican,Republican - Illinois,Illinois,IL,both,B001295,IL-12,1,"Bost, Mike",R,1,1,D,"124,246",R,"169,976"
23, Kevin,Brady,"Brady, Kevin",Republican,Republican - Texas,Texas,TX,both,B000755,TX-08,1,"Brady, Kevin",R,1,1,NONE,0,R,"236,379"
24, Dave,Brat,"Brat, Dave",Republican,Republican - Virginia,Virginia,VA,both,B001290,VA-07,1,"Brat, Dave",R,1,1,D,"160,159",R,"218,057"
25, Jim,Bridenstine,"Bridenstine, Jim",Republican,Republican - Oklahoma,Oklahoma,OK,both,B001283,OK-01,1,"Bridenstine, Jim",R,1,1,,,R,
26, Mo,Brooks,"Brooks, Mo",Republican,Republican - Alabama,Alabama,AL,both,B001274,AL-05,1,"Brooks, Mo",R,1,1,D,"102,234",R,"205,647"
27, Julia,Brownley,"Brownley, Julia",Democratic,Democratic - California,California,CA,both,B001285,CA-26,1,"Brownley, Julia",D,1,1,R,"111,059",D,"169,248"
28, Vern,Buchanan,"Buchanan, Vern",Republican,Republican - Florida,Florida,FL,both,B001260,FL-16,1,"Buchanan, Vern",R,1,1,D,"155,262",R,"230,654"
29, Ken,Buck,"Buck, Ken",Republican,Republican - Colorado,Colorado,CO,both,B001297,CO-04,1,"Buck, Ken",R,1,1,D,"123,642",R,"248,230"
30, Larry,Bucshon,"Bucshon, Larry",Republican,Republican - Indiana,Indiana,IN,both,B001275,IN-08,1,"Bucshon, Larry",R,1,1,D,"93,356",R,"187,702"
31, Ted,Budd,"Budd, Ted",Republican,Republican - North Carolina,North Carolina,NC,both,B001305,NC-13,1,"Budd, Ted",R,1,1,D,"156,049",R,"199,443"
32, Cheri,Bustos,"Bustos, Cheri",Democratic,Democratic - Illinois,Illinois,IL,both,B001286,IL-17,1,"Bustos, Cheri",D,1,1,R,"113,943",D,"173,125"
33, Bradley,Byrne,"Byrne, Bradley",Republican,Republican - Alabama,Alabama,AL,both,B001289,AL-01,0,"Byrne, Bradley",R,1,1,write in,"7,810",R,"208,083"
34, Ken,Calvert,"Calvert, Ken",Republican,Republican - California,California,CA,both,C000059,CA-42,1,"Calvert, Ken",R,1,1,D,"104,689",R,"149,547"
35, Tony,Cardenas,"Cardenas, Tony",Democratic,Democratic - California,California,CA,both,C001097,CA-29,1,"Cardenas, Tony",D,1,1,D,"43,417",D,"128,407"
36, Andre,Carson,"Carson, Andre",Democratic,Democratic - Indiana,Indiana,IN,both,C001072,IN-07,1,"Carson, Andre",D,1,1,R,"94,456",D,"158,739"
37, Matt,Cartwright,"Cartwright, Matt",Democratic,Democratic - Pennsylvania,Pennsylvania,PA,both,C001090,PA-17,1,"Cartwright, Matt",D,1,1,R,"135,430",D,"157,734"
38, Kathy,Castor,"Castor, Kathy",Democratic,Democratic - Florida,Florida,FL,both,C001066,FL-14,1,"Castor, Kathy",D,1,1,R,"121,088",D,"195,789"
39, Joaquin,Castro,"Castro, Joaquin",Democratic,Democratic - Texas,Texas,TX,both,C001091,TX-20,1,"Castro, Joaquin",D,1,1,L,"29,055",D,"149,640"
40, Steve,Chabot,"Chabot, Steve",Republican,Republican - Ohio,Ohio,OH,both,C000266,OH-01,1,"Chabot, Steve",R,1,1,D,"144,644",R,"210,014"
41, Jason,Chaffetz,"Chaffetz, Jason",Republican,Republican - Utah,Utah,UT,both,C001076,UT-03,1,"Chaffetz, Jason",R,1,1,D,"75,716",R,"209,589"
42, Liz,Cheney,"Cheney, Liz",Republican,Republican - Wyoming,Wyoming,WY,both,C001109,WY-AL,1,"Cheney, Liz",R,1,1,D,"75,466",R,"156,176"
