,FirstName,LastName,Name,Party,PartyState,State,State_Abbrev,_merge,bioguide,district,had_challenger,inc_name,inc_party,inc_ran,inc_won,runnerup_party,runnerup_votes,winner_party,winner_votes
19, Lisa,Murkowski,"Murkowski, Lisa",Republican,Republican - Alaska,Alaska,AK,,M001153,AK,1,Murkowski,R,1,1,D,36200,R,138149
255, Don,Young,"Young, Don",Republican,Republican - Alaska,Alaska,AK,both,Y000033,AK-AL,1,"Young, Don",R,1,1,D,"111,019",R,"155,088"
29, Richard C.,Shelby,"Shelby, Richard C.",Democratic,Democratic - Alabama,Alabama,AL,,S000320,AL,1,Shelby,R,1,1,D,"748,709",R,"1,335,104"
33, Bradley,Byrne,"Byrne, Bradley",Republican,Republican - Alabama,Alabama,AL,both,B001289,AL-01,0,"Byrne, Bradley",R,1,1,write in,"7,810",R,"208,083"
193, Martha,Roby,"Roby, Martha",Republican,Republican - Alabama,Alabama,AL,both,R000591,AL-02,1,"Roby, Martha",R,1,1,D,"112,089",R,"134,886"
256,,,,,,,,right_only,R000575,AL-03,1,"Rogers, Mike",R,1,1,D,"94,549",R,"192,164"
257,,,,,,,,right_only,A000055,AL-04,0,"Aderholt, Rob",R,1,1,write in,"3,519",R,"235,925"
26, Mo,Brooks,"Brooks, Mo",Republican,Republican - Alabama,Alabama,AL,both,B001274,AL-05,1,"Brooks, Mo",R,1,1,D,"102,234",R,"205,647"
258,,,,,,,,right_only,P000609,AL-06,1,"Palmer, Gary",R,1,1,D,"83,709",R,"245,313"
259,,,,,,,,right_only,S001185,AL-07,0,"Sewell, Terri",D,1,1,write in,"3,698",D,"229,330"
4, John,Boozman,"Boozman, John",Republican,Republican - Arkansas,Arkansas,AR,,B001236,AR,1,Boozman,R,1,1,D,"400,602",R,"661,984"
260,,,,,,,,right_only,C001087,AR-01,1,"Crawford, Rick",R,1,1,L,"57,181",R,"183,866"
261,,,,,,,,right_only,H001072,AR-02,1,"Hill, French",R,1,1,D,"111,347",R,"176,472"
251, Steve,Womack,"Womack, Steve",Republican,Republican - Arkansas,Arkansas,AR,both,W000809,AR-03,1,"Womack, Steve",R,1,1,L,"63,715",R,"217,192"
