,id.bioguide,name.official_full,handle,state,district_x,type,party,bio.gender,bioguide,district_y,had_challenger,inc_name,inc_party,inc_ran,inc_won,runnerup_party,runnerup_votes,winner_party,winner_votes,_merge
0,B000944,Sherrod Brown,sensherrodbrown,OH,13.0,rep,Democrat,M,,,,,,,,,,,,left_only
1,C000127,Maria Cantwell,senatorcantwell,WA,1.0,rep,Democrat,F,,,,,,,,,,,,left_only
2,C000141,Benjamin L. Cardin,senatorcardin,MD,3.0,rep,Democrat,M,,,,,,,,,,,,left_only
3,C000174,Thomas R. Carper,senatorcarper,DE,0.0,rep,Democrat,M,,,,,,,,,,,,left_only
4,C001070,"Robert P. Casey, Jr.",senbobcasey,PA,,sen,Democrat,M,,,,,,,,,,,,left_only
5,C001071,Bob Corker,senbobcorker,TN,,sen,Republican,M,,,,,,,,,,,,left_only
6,F000062,Dianne Feinstein,senfeinstein,CA,,sen,Democrat,F,,,,,,,,,,,,left_only
7,H000338,Orrin G. Hatch,senorrinhatch,UT,,sen,Republican,M,,,,,,,,,,,,left_only
8,K000367,Amy Klobuchar,,MN,,sen,Democrat,F,,,,,,,,,,,,left_only
9,M001170,Claire McCaskill,mccaskilloffice,MO,,sen,Democrat,F,,,,,,,,,,,,left_only
10,M000639,Robert Menendez,senatormenendez,NJ,13.0,rep,Democrat,M,,,,,,,,,,,,left_only
11,N000032,Bill Nelson,senbillnelson,FL,9.0,rep,Democrat,M,,,,,,,,,,,,left_only
12,S000033,Bernard Sanders,sensanders,VT,0.0,rep,Independent,M,,,,,,,,,,,,left_only
13,S000770,Debbie Stabenow,senstabenow,MI,8.0,rep,Democrat,F,,,,,,,,,,,,left_only
14,T000464,Jon Tester,senatortester,MT,,sen,Democrat,M,,,,,,,,,,,,left_only
15,W000802,Sheldon Whitehouse,senwhitehouse,RI,,sen,Democrat,M,,,,,,,,,,,,left_only
16,B001261,John Barrasso,senjohnbarrasso,WY,,sen,Republican,M,,,,,,,,,,,,left_only
17,W000437,Roger F. Wicker,senatorwicker,MS,1.0,rep,Republican,M,,,,,,,,,,,,left_only
18,A000360,Lamar Alexander,senalexander,TN,,sen,Republican,M,,,,,,,,,,,,left_only
19,C000567,Thad Cochran,senthadcochran,MS,4.0,rep,Republican,M,,,,,,,,,,,,left_only
20,C001035,Susan M. Collins,senatorcollins,ME,,sen,Republican,F,,,,,,,,,,,,left_only
21,C001056,John Cornyn,johncornyn,TX,,sen,Republican,M,,,,,,,,,,,,left_only
22,D000563,Richard J. Durbin,senatordurbin,IL,20.0,rep,Democrat,M,,,,,,,,,,,,left_only
23,E000285,Michael B. Enzi,senatorenzi,WY,,sen,Republican,M,,,,,,,,,,,,left_only
24,G000359,Lindsey Graham,grahamblog,SC,3.0,rep,Republican,M,,,,,,,,,,,,left_only
25,I000024,James M. Inhofe,inhofepress,OK,1.0,rep,Republican,M,,,,,,,,,,,,left_only
26,M000355,Mitch McConnell,mcconnellpress,KY,,sen,Republican,M,,,,,,,,,,,,left_only
27,M001176,Jeff Merkley,senjeffmerkley,OR,,sen,Democrat,M,,,,,,,,,,,,left_only
28,R000122,Jack Reed,senjackreed,RI,2.0,rep,Democrat,M,,,,,,,,,,,,left_only
29,R000584,James E. Risch,senatorrisch,ID,,sen,Republican,M,,,,,,,,,,,,left_only
30,R000307,Pat Roberts,senpatroberts,KS,1.0,rep,Republican,M,,,,,,,,,,,,left_only
31,S001141,Jeff Sessions,senatorsessions,AL,,sen,Republican,M,,,,,,,,,,,,left_only
32,S001181,Jeanne Shaheen,senatorshaheen,NH,,sen,Democrat,F,,,,,,,,,,,,left_only
33,U000039,Tom Udall,senatortomudall,NM,3.0,rep,Democrat,M,,,,,,,,,,,,left_only
34,W000805,Mark R. Warner,markwarner,VA,,sen,Democrat,M,,,,,,,,,,,,left_only
35,G000555,Kirsten E. Gillibrand,sengillibrand,NY,20.0,rep,Democrat,F,,,,,,,,,,,,left_only
36,F000457,Al Franken,senfranken,MN,,sen,Democrat,M,,,,,,,,,,,,left_only
37,C001088,Christopher A. Coons,sencoonsoffice,DE,,sen,Democrat,M,,,,,,,,,,,,left_only
38,M001183,"Joe Manchin, III",sen_joemanchin,WV,,sen,Democrat,M,,,,,,,,,,,,left_only
39,A000055,Robert B. Aderholt,robert_aderholt,AL,4.0,rep,Republican,M,A000055,AL-04,0,"Aderholt, Rob",R,1.0,1.0,write in,"3,519",R,"235,925",both
40,A000367,Justin Amash,,MI,3.0,rep,Republican,M,A000367,MI-03,1,"Amash, Justin",R,1.0,1.0,D,"128,400",R,"203,545",both
41,A000368,Kelly Ayotte,kellyayotte,NH,,sen,Republican,F,A000368,NH,1,Ayotte,R,1.0,0.0,R,"353,632",D,"354,649",both
42,B001230,Tammy Baldwin,senatorbaldwin,WI,2.0,rep,Democrat,F,,,,,,,,,,,,left_only
43,B001269,Lou Barletta,reploubarletta,PA,11.0,rep,Republican,M,B001269,PA-11,1,"Barletta, Lou",R,1.0,1.0,D,"113,800",R,"199,421",both
44,B000213,Joe Barton,repjoebarton,TX,6.0,rep,Republican,M,B000213,TX-06,1,"Barton, Joe",R,1.0,1.0,D,"106,667",R,"159,444",both
45,B001270,Karen Bass,repkarenbass,CA,33.0,rep,Democrat,F,B001270,CA-37,1,"Bass, Karen",D,1.0,1.0,D,"44,782",D,"192,490",both
46,B000287,Xavier Becerra,repbecerra,CA,30.0,rep,Democrat,M,B000287,CA-34,1,"Becerra, Xavier",D,1.0,1.0,D,"36,314",D,"122,842",both
47,B001271,Dan Benishek,congressmandan,MI,1.0,rep,Republican,M,,,,,,,,,,,,left_only
48,B001267,Michael F. Bennet,senbennetco,CO,,sen,Democrat,M,B001267,CO,1,Bennet,D,1.0,1.0,R,"1,215,318",D,"1,370,710",both
49,B001257,Gus M. Bilirakis,repgusbilirakis,FL,9.0,rep,Republican,M,,,,,,,,,,,,left_only
50,B001250,Rob Bishop,reprobbishop,UT,1.0,rep,Republican,M,B001250,UT-01,1,"Bishop, Rob",R,1.0,1.0,D,"73,380",R,"182,925",both
51,B000490,Sanford D. Bishop Jr.,sanfordbishop,GA,2.0,rep,Democrat,M,B000490,GA-02,1,"Bishop, Sanford",D,1.0,1.0,R,"94,056",D,"148,543",both
52,B001273,Diane Black,repdianeblack,TN,6.0,rep,Republican,F,B001273,TN-06,1,"Black, Diane",R,1.0,1.0,D,"61,995",R,"202,234",both
53,B001243,Marsha Blackburn,marshablackburn,TN,7.0,rep,Republican,F,B001243,TN-07,1,"Blackburn, Marsha",R,1.0,1.0,D,"65,226",R,"200,407",both
54,B000574,Earl Blumenauer,blumenauermedia,OR,3.0,rep,Democrat,M,B000574,OR-03,1,"Blumenauer, Earl",D,1.0,1.0,I,"78,154",D,"274,687",both
55,B001277,Richard Blumenthal,senblumenthal,CT,,sen,Democrat,M,B001277,CT,1,Blumenthal,D,1.0,1.0,R,"552,621",D,"1,008,714",both
56,B000575,Roy Blunt,royblunt,MO,7.0,rep,Republican,M,B000575,MO,1,Blunt,R,1.0,1.0,D,"1,300,200",R,"1,378,458",both
57,B001236,John Boozman,johnboozman,AR,3.0,rep,Republican,M,B001236,AR,1,Boozman,R,1.0,1.0,D,"400,602",R,"661,984",both
58,B001245,Madeleine Z. Bordallo,,GU,0.0,rep,Democrat,F,,,,,,,,,,,,left_only
59,B001255,Charles W. Boustany Jr.,repboustany,LA,7.0,rep,Republican,M,,,,,,,,,,,,left_only
60,B000711,Barbara Boxer,senatorboxer,CA,6.0,rep,Democrat,F,B000711,CA,0,Boxer,D,0.0,0.0,D,"4,701,417",D,"7,542,753",both
61,B000755,Kevin Brady,repkevinbrady,TX,8.0,rep,Republican,M,B000755,TX-08,1,"Brady, Kevin",R,1.0,1.0,NONE,0,R,"236,379",both
62,B001227,Robert A. Brady,repbrady,PA,1.0,rep,Democrat,M,B001227,PA-01,1,"Brady, Bob",D,1.0,1.0,R,"53,219",D,"245,791",both
63,B001274,Mo Brooks,repmobrooks,AL,5.0,rep,Republican,M,B001274,AL-05,1,"Brooks, Mo",R,1.0,1.0,D,"102,234",R,"205,647",both
64,B000911,Corrine Brown,repcorrinebrown,FL,3.0,rep,Democrat,F,,,,,,,,,,,,left_only
65,B001260,Vern Buchanan,vernbuchanan,FL,13.0,rep,Republican,M,B001260,FL-16,1,"Buchanan, Vern",R,1.0,1.0,D,"155,262",R,"230,654",both
66,B001275,Larry Bucshon,replarrybucshon,IN,8.0,rep,Republican,M,B001275,IN-08,1,"Bucshon, Larry",R,1.0,1.0,D,"93,356",R,"187,702",both
67,B001248,Michael C. Burgess,michaelcburgess,TX,26.0,rep,Republican,M,B001248,TX-26,1,"Burgess, Michael",R,1.0,1.0,D,"94,507",R,"211,730",both
68,B001135,Richard Burr,senatorburr,NC,5.0,rep,Republican,M,B001135,NC,1,Burr,R,1.0,1.0,D,"2,128,165",R,"2,395,376",both
69,B001251,G. K. Butterfield,gkbutterfield,NC,1.0,rep,Democrat,M,B001251,NC-01,1,"Butterfield, G.K.",D,1.0,1.0,R,"101,567",D,"240,661",both
70,C000059,Ken Calvert,kencalvert,CA,43.0,rep,Republican,M,C000059,CA-42,1,"Calvert, Ken",R,1.0,1.0,D,"104,689",R,"149,547",both
71,C001047,Shelley Moore Capito,sencapito,WV,2.0,rep,Republican,F,,,,,,,,,,,,left_only
72,C001036,Lois Capps,reploiscapps,CA,22.0,rep,Democrat,F,,,,,,,,,,,,left_only
73,C001037,Michael E. Capuano,repmikecapuano,MA,8.0,rep,Democrat,M,C001037,MA-07,1,"Capuano, Mike",D,1.0,1.0,Write in,"3,557",D,"253,354",both
74,C001083,John C. Carney Jr.,johncarneyde,DE,0.0,rep,Democrat,M,,,,,,,,,,,,left_only
75,C001072,André Carson,repandrecarson,IN,7.0,rep,Democrat,M,C001072,IN-07,1,"Carson, Andre",D,1.0,1.0,R,"94,456",D,"158,739",both
76,C001051,John R. Carter,judgecarter,TX,31.0,rep,Republican,M,C001051,TX-31,1,"Carter, John",R,1.0,1.0,D,"103,852",R,"166,060",both
77,C001075,Bill Cassidy,,LA,6.0,rep,Republican,M,,,,,,,,,,,,left_only
78,C001066,Kathy Castor,usrepkcastor,FL,11.0,rep,Democrat,F,C001066,FL-14,1,"Castor, Kathy",D,1.0,1.0,R,"121,088",D,"195,789",both
79,C000266,Steve Chabot,repstevechabot,OH,1.0,rep,Republican,M,C000266,OH-01,1,"Chabot, Steve",R,1.0,1.0,D,"144,644",R,"210,014",both
80,C001076,Jason Chaffetz,jasoninthehouse,UT,3.0,rep,Republican,M,C001076,UT-03,1,"Chaffetz, Jason",R,1.0,1.0,D,"75,716",R,"209,589",both
81,C001080,Judy Chu,repjudychu,CA,32.0,rep,Democrat,F,C001080,CA-27,1,"Chu, Judy",D,1.0,1.0,R,"81,655",D,"168,977",both
82,C001084,David N. Cicilline,repcicilline,RI,1.0,rep,Democrat,M,C001084,RI-01,1,"Cicilline, David",D,1.0,1.0,R,"71,023",D,"130,534",both
83,C001067,Yvette D. Clarke,yvetteclarke,NY,11.0,rep,Democrat,F,C001067,NY-09,1,"Clarke, Yvette",D,1.0,1.0,C,"17,576",D,"214,189",both
84,C001049,Wm. Lacy Clay,,MO,1.0,rep,Democrat,M,C001049,MO-01,1,"Clay, Lacy",D,1.0,1.0,R,"62,714",D,"236,993",both
85,C001061,Emanuel Cleaver,repcleaver,MO,5.0,rep,Democrat,M,C001061,MO-05,1,"Cleaver, Emanuel",D,1.0,1.0,R,"123,771",D,"190,766",both
86,C000537,James E. Clyburn,clyburn,SC,6.0,rep,Democrat,M,C000537,SC-06,1,"Clyburn, Jim",D,1.0,1.0,R,"70,099",D,"177,947",both
87,C000542,Daniel Coats,sendancoats,IN,4.0,rep,Republican,M,,,,,,,,,,,,left_only
88,C001077,Mike Coffman,repmikecoffman,CO,6.0,rep,Republican,M,C001077,CO-06,1,"Coffman, Mike",R,1.0,1.0,D,"160,372",R,"191,626",both
89,C001068,Steve Cohen,repcohen,TN,9.0,rep,Democrat,M,C001068,TN-09,1,"Cohen, Steve",D,1.0,1.0,R,"41,123",D,"171,631",both
90,C001053,Tom Cole,tomcoleok04,OK,4.0,rep,Republican,M,C001053,OK-04,1,"Cole, Tom",R,1.0,1.0,D,"76,472",R,"204,143",both
91,C001062,K. Michael Conaway,conawaytx11,TX,11.0,rep,Republican,M,C001062,TX-11,1,"Conaway, Michael",R,1.0,1.0,L,"23,677",R,"201,871",both
92,C001078,Gerald E. Connolly,gerryconnolly,VA,11.0,rep,Democrat,M,C001078,VA-11,0,"Connolly, Gerry",D,1.0,1.0,Write in,"34,185",D,"247,818",both
93,C000714,John Conyers Jr.,repjohnconyers,MI,1.0,rep,Democrat,M,C000714,MI-13,1,"Conyers, John",D,1.0,1.0,R,"40,541",D,"198,771",both
94,C000754,Jim Cooper,repjimcooper,TN,4.0,rep,Democrat,M,C000754,TN-05,1,"Cooper, Jim",D,1.0,1.0,R,"102,433",D,"171,111",both
95,C001059,Jim Costa,repjimcosta,CA,20.0,rep,Democrat,M,C001059,CA-16,1,"Costa, Jim",D,1.0,1.0,R,"70,483",D,"97,473",both
96,C001069,Joe Courtney,repjoecourtney,CT,2.0,rep,Democrat,M,C001069,CT-02,1,"Courtney, Joe",D,1.0,1.0,R,"111,149",D,"208,818",both
97,C000880,Mike Crapo,mikecrapo,ID,2.0,rep,Republican,M,C000880,ID,1,Crapo,R,1.0,1.0,D,"188,249",R,"449,017",both
98,C001087,"Eric A. ""Rick"" Crawford",reprickcrawford,AR,1.0,rep,Republican,M,C001087,AR-01,1,"Crawford, Rick",R,1.0,1.0,L,"57,181",R,"183,866",both
99,C001045,Ander Crenshaw,andercrenshaw,FL,4.0,rep,Independent,M,,,,,,,,,,,,left_only
100,C001038,Joseph Crowley,repjoecrowley,NY,7.0,rep,Democrat,M,C001038,NY-14,1,"Crowley, Joe",D,1.0,1.0,R,"30,545",D,"147,587",both
101,C001063,Henry Cuellar,repcuellar,TX,28.0,rep,Democrat,M,C001063,TX-28,1,"Cuellar, Henry",D,1.0,1.0,R,"57,740",D,"122,086",both
102,C001048,John Abney Culberson,congculberson,TX,7.0,rep,Republican,M,C001048,TX-07,1,"Culberson, John",R,1.0,1.0,D,"111,991",R,"143,542",both
103,C000984,Elijah E. Cummings,repcummings,MD,7.0,rep,Democrat,M,C000984,MD-07,1,"Cummings, Elijah",D,1.0,1.0,R,"69,556",D,"238,838",both
104,D000096,Danny K. Davis,repdannydavis,IL,7.0,rep,Democrat,M,D000096,IL-07,1,"Davis, Danny",D,1.0,1.0,R,"46,882",D,"250,584",both
105,D000598,Susan A. Davis,repsusandavis,CA,49.0,rep,Democrat,F,D000598,CA-53,1,"Davis, Susan",D,1.0,1.0,R,"97,968",D,"198,988",both
106,D000191,Peter A. DeFazio,reppeterdefazio,OR,4.0,rep,Democrat,M,D000191,OR-04,1,"DeFazio, Peter",D,1.0,1.0,R,"157,743",D,"220,628",both
