,id.bioguide,handle,state,district,type,party,name.last
0,B000944,sensherrodbrown,OH,None,sen,Democrat,Brown
1,C000127,senatorcantwell,WA,None,sen,Democrat,Cantwell
2,C000141,senatorcardin,MD,None,sen,Democrat,Cardin
3,C000174,senatorcarper,DE,None,sen,Democrat,Carper
4,C001070,senbobcasey,PA,None,sen,Democrat,Casey
5,C001071,senbobcorker,TN,None,sen,Republican,Corker
6,F000062,senfeinstein,CA,None,sen,Democrat,Feinstein
7,H000338,senorrinhatch,UT,None,sen,Republican,Hatch
8,K000367,,MN,None,sen,Democrat,Klobuchar
9,M001170,mccaskilloffice,MO,None,sen,Democrat,McCaskill
10,M000639,senatormenendez,NJ,None,sen,Democrat,Menéndez
11,N000032,senbillnelson,FL,None,sen,Democrat,Nelson
12,S000033,sensanders,VT,None,sen,Independent,Sanders
13,S000770,senstabenow,MI,None,sen,Democrat,Stabenow
14,T000464,senatortester,MT,None,sen,Democrat,Tester
15,W000802,senwhitehouse,RI,None,sen,Democrat,Whitehouse
16,B001261,senjohnbarrasso,WY,None,sen,Republican,Barrasso
17,W000437,senatorwicker,MS,None,sen,Republican,Wicker
18,A000360,senalexander,TN,None,sen,Republican,Alexander
19,C000567,senthadcochran,MS,None,sen,Republican,Cochran
20,C001035,senatorcollins,ME,None,sen,Republican,Collins
21,C001056,johncornyn,TX,None,sen,Republican,Cornyn
22,D000563,senatordurbin,IL,None,sen,Democrat,Durbin
23,E000285,senatorenzi,WY,None,sen,Republican,Enzi
24,G000359,grahamblog,SC,None,sen,Republican,Graham
25,I000024,inhofepress,OK,None,sen,Republican,Inhofe
26,M000355,mcconnellpress,KY,None,sen,Republican,McConnell
27,M001176,senjeffmerkley,OR,None,sen,Democrat,Merkley
28,R000122,senjackreed,RI,None,sen,Democrat,Reed
29,R000584,senatorrisch,ID,None,sen,Republican,Risch
30,R000307,senpatroberts,KS,None,sen,Republican,Roberts
31,S001141,senatorsessions,AL,None,sen,Republican,Sessions
32,S001181,senatorshaheen,NH,None,sen,Democrat,Shaheen
33,U000039,senatortomudall,NM,None,sen,Democrat,Udall
34,W000805,markwarner,VA,None,sen,Democrat,Warner
35,G000555,sengillibrand,NY,None,sen,Democrat,Gillibrand
36,F000457,senfranken,MN,None,sen,Democrat,Franken
37,C001088,sencoonsoffice,DE,None,sen,Democrat,Coons
38,M001183,sen_joemanchin,WV,None,sen,Democrat,Manchin
39,A000055,robert_aderholt,AL,4.0,rep,Republican,Aderholt
40,A000367,,MI,3.0,rep,Republican,Amash
41,A000368,kellyayotte,NH,None,sen,Republican,Ayotte
42,B001230,senatorbaldwin,WI,None,sen,Democrat,Baldwin
43,B001269,reploubarletta,PA,11.0,rep,Republican,Barletta
44,B000213,repjoebarton,TX,6.0,rep,Republican,Barton
45,B001270,repkarenbass,CA,37.0,rep,Democrat,Bass
46,B000287,repbecerra,CA,34.0,rep,Democrat,Becerra
47,B001271,congressmandan,MI,1.0,rep,Republican,Benishek
48,B001267,senbennetco,CO,None,sen,Democrat,Bennet
49,B001257,repgusbilirakis,FL,12.0,rep,Republican,Bilirakis
50,B001250,reprobbishop,UT,1.0,rep,Republican,Bishop
51,B000490,sanfordbishop,GA,2.0,rep,Democrat,Bishop
52,B001273,repdianeblack,TN,6.0,rep,Republican,Black
53,B001243,marshablackburn,TN,7.0,rep,Republican,Blackburn
54,B000574,blumenauermedia,OR,3.0,rep,Democrat,Blumenauer
55,B001277,senblumenthal,CT,None,sen,Democrat,Blumenthal
56,B000575,royblunt,MO,None,sen,Republican,Blunt
57,B001236,johnboozman,AR,None,sen,Republican,Boozman
58,B001245,,GU,0.0,rep,Democrat,Bordallo
59,B001255,repboustany,LA,3.0,rep,Republican,Boustany
60,B000711,senatorboxer,CA,None,sen,Democrat,Boxer
61,B000755,repkevinbrady,TX,8.0,rep,Republican,Brady
62,B001227,repbrady,PA,1.0,rep,Democrat,Brady
63,B001274,repmobrooks,AL,5.0,rep,Republican,Brooks
64,B000911,repcorrinebrown,FL,5.0,rep,Democrat,Brown
65,B001260,vernbuchanan,FL,16.0,rep,Republican,Buchanan
66,B001275,replarrybucshon,IN,8.0,rep,Republican,Bucshon
67,B001248,michaelcburgess,TX,26.0,rep,Republican,Burgess
68,B001135,senatorburr,NC,None,sen,Republican,Burr
69,B001251,gkbutterfield,NC,1.0,rep,Democrat,Butterfield
70,C000059,kencalvert,CA,42.0,rep,Republican,Calvert
71,C001047,sencapito,WV,None,sen,Republican,Capito
72,C001036,reploiscapps,CA,24.0,rep,Democrat,Capps
73,C001037,repmikecapuano,MA,7.0,rep,Democrat,Capuano
74,C001083,johncarneyde,DE,0.0,rep,Democrat,Carney
75,C001072,repandrecarson,IN,7.0,rep,Democrat,Carson
76,C001051,judgecarter,TX,31.0,rep,Republican,Carter
77,C001075,,LA,None,sen,Republican,Cassidy
78,C001066,usrepkcastor,FL,14.0,rep,Democrat,Castor
79,C000266,repstevechabot,OH,1.0,rep,Republican,Chabot
80,C001076,jasoninthehouse,UT,3.0,rep,Republican,Chaffetz
81,C001080,repjudychu,CA,27.0,rep,Democrat,Chu
82,C001084,repcicilline,RI,1.0,rep,Democrat,Cicilline
83,C001067,yvetteclarke,NY,9.0,rep,Democrat,Clarke
84,C001049,,MO,1.0,rep,Democrat,Clay
85,C001061,repcleaver,MO,5.0,rep,Democrat,Cleaver
86,C000537,clyburn,SC,6.0,rep,Democrat,Clyburn
