,_merge,id.govtrack,handle,name.official_full,bio.gender,terms,week1,week2,week3,week4,week5,week6,week7,week8,week9
8,left_only,412242,,Amy Klobuchar,F,"[{u'fax': u'202-228-2186', u'end': u'2013-01-03', u'office': u'302 Hart Senate Office Building', u'phone': u'202-224-3244', u'url': u'http://klobuchar.senate.gov/', u'contact_form': u'http://www.klobuchar.senate.gov/emailamy.cfm', u'start': u'2007-01-04', u'state': u'MN', u'address': u'302 HART SENATE OFFICE BUILDING WASHINGTON DC 20510', u'party': u'Democrat', u'type': u'sen', u'class': 1}, {u'fax': u'202-228-2186', u'end': u'2019-01-03', u'office': u'302 Hart Senate Office Building', u'phone': u'202-224-3244', u'url': u'https://www.klobuchar.senate.gov', u'state_rank': u'senior', u'contact_form': u'http://www.klobuchar.senate.gov/public/index.cfm/contact', u'start': u'2013-01-03', u'state': u'MN', u'address': u'302 Hart Senate Office Building Washington DC 20510', u'party': u'Democrat', u'type': u'sen', u'class': 1}]",,,,,,,,,
9,left_only,412438,,Justin Amash,M,"[{u'fax': u'202-225-5144', u'end': u'2013-01-03', u'district': 3, u'office': u'114 Cannon House Office Building', u'phone': u'202-225-3831', u'url': u'http://amash.house.gov/', u'start': u'2011-01-05', u'state': u'MI', u'address': u'114 Cannon HOB; Washington DC 20515-2203', u'party': u'Republican', u'type': u'rep'}, {u'rss_url': u'http://amash.house.gov/rss.xml', u'fax': u'202-225-5144', u'end': u'2015-01-03', u'district': 3, u'office': u'114 Cannon House Office Building', u'phone': u'202-225-3831', u'url': u'http://amash.house.gov', u'start': u'2013-01-03', u'state': u'MI', u'address': u'114 Cannon HOB; Washington DC 20515-2203', u'party': u'Republican', u'type': u'rep', u'contact_form': u'https://amash.house.gov/contact-me/email-me'}, {u'rss_url': u'http://amash.house.gov/rss.xml', u'fax': u'202-225-5144', u'end': u'2017-01-03', u'district': 3, u'office': u'114 Cannon House Office Building', u'phone': u'202-225-3831', u'url': u'http://amash.house.gov', u'start': u'2015-01-06', u'state': u'MI', u'address': u'114 Cannon HOB; Washington DC 20515-2203', u'party': u'Republican', u'type': u'rep', u'contact_form': u'https://amash.house.gov/contact-me/email-me'}, {u'rss_url': u'http://amash.house.gov/rss.xml', u'fax': u'202-225-5144', u'end': u'2019-01-03', u'district': 3, u'office': u'114 Cannon House Office Building', u'phone': u'202-225-3831', u'url': u'http://amash.house.gov', u'start': u'2017-01-03', u'state': u'MI', u'address': u'114 Cannon HOB; Washington DC 20515-2203', u'party': u'Republican', u'type': u'rep'}]",,,,,,,,,
10,left_only,400041,,Madeleine Z. Bordallo,F,"[{u'end': u'2005-01-03', u'district': 0, u'url': u'http://www.house.gov/bordallo', u'start': u'2003-01-07', u'state': u'GU', u'party': u'Democrat', u'type': u'rep'}, {u'end': u'2007-01-03', u'district': 0, u'url': u'http://www.house.gov/bordallo', u'start': u'2005-01-04', u'state': u'GU', u'party': u'Democrat', u'type': u'rep'}, {u'end': u'2009-01-03', u'district': 0, u'url': u'http://www.house.gov/bordallo', u'start': u'2007-01-04', u'state': u'GU', u'party': u'Democrat', u'type': u'rep'}, {u'end': u'2011-01-03', u'district': 0, u'url': u'http://www.house.gov/bordallo', u'start': u'2009-01-06', u'state': u'GU', u'party': u'Democrat', u'type': u'rep'}, {u'fax': u'202-226-0341', u'end': u'2013-01-03', u'district': 0, u'office': u'2441 Rayburn House Office Building', u'phone': u'202-225-1188', u'url': u'http://www.house.gov/bordallo', u'start': u'2011-01-05', u'state': u'GU', u'address': u'2441 Rayburn HOB; Washington DC 20515-5301', u'party': u'Democrat', u'type': u'rep', u'contact_form': u'http://www.house.gov/bordallo/IMA/issue.htm'}, {u'rss_url': u'http://bordallo.house.gov/rss.xml', u'fax': u'202-226-0341', u'end': u'2015-01-03', u'district': 0, u'office': u'2441 Rayburn House Office Building', u'phone': u'202-225-1188', u'url': u'http://bordallo.house.gov', u'start': u'2013-01-03', u'state': u'GU', u'address': u'2441 Rayburn HOB; Washington DC 20515-5301', u'party': u'Democrat', u'type': u'rep', u'contact_form': u'https://bordallo.house.gov/contact-me'}, {u'rss_url': u'http://bordallo.house.gov/rss.xml', u'fax': u'202-226-0341', u'end': u'2017-01-03', u'district': 0, u'office': u'2441 Rayburn House Office Building', u'phone': u'202-225-1188', u'url': u'http://bordallo.house.gov', u'start': u'2015-01-06', u'state': u'GU', u'address': u'2441 Rayburn HOB; Washington DC 20515-5301', u'party': u'Democrat', u'type': u'rep', u'contact_form': u'https://bordallo.house.gov/contact-me'}, {u'rss_url': u'http://bordallo.house.gov/rss.xml', u'fax': u'202-226-0341', u'end': u'2019-01-03', u'district': 0, u'office': u'2441 Rayburn House Office Building', u'phone': u'202-225-1188', u'url': u'https://bordallo.house.gov', u'start': u'2017-01-03', u'state': u'GU', u'address': u'2441 Rayburn HOB; Washington DC 20515-5301', u'party': u'Democrat', u'type': u'rep'}]",,,,,,,,,
11,left_only,412269,,Bill Cassidy,M,"[{u'end': u'2011-01-03', u'district': 6, u'url': u'http://cassidy.house.gov', u'start': u'2009-01-06', u'state': u'LA', u'party': u'Republican', u'type': u'rep'}, {u'fax': u'202-225-7313', u'end': u'2013-01-03', u'district': 6, u'office': u'1535 Longworth House Office Building', u'phone': u'202-225-3901', u'url': u'http://cassidy.house.gov', u'start': u'2011-01-05', u'state': u'LA', u'address': u'1535 Longworth HOB; Washington DC 20515-1806', u'party': u'Republican', u'type': u'rep', u'contact_form': u'https://forms.house.gov/cassidy/contact-form.shtml'}, {u'rss_url': u'http://cassidy.house.gov/rss.xml', u'fax': u'202-225-7313', u'end': u'2015-01-03', u'district': 6, u'office': u'1131 Longworth House Office Building', u'phone': u'202-225-3901', u'url': u'http://cassidy.house.gov', u'start': u'2013-01-03', u'state': u'LA', u'address': u'1131 Longworth HOB; Washington DC 20515-1806', u'party': u'Republican', u'type': u'rep', u'contact_form': u'https://cassidy.house.gov/contact/email-me'}, {u'fax': u'202-225-7313', u'end': u'2021-01-03', u'office': u'520 Hart Senate Office Building', u'phone': u'202-224-5824', u'url': u'http://www.cassidy.senate.gov', u'state_rank': u'senior', u'contact_form': u'https://www.cassidy.senate.gov/contact', u'start': u'2015-01-06', u'state': u'LA', u'address': u'520 Hart Senate Office Building Washington DC 20510', u'party': u'Republican', u'type': u'sen', u'class': 2}]",,,,,,,,,
12,left_only,400074,,Wm. Lacy Clay,M,"[{u'end': u'2003-01-03', u'district': 1, u'start': u'2001-01-03', u'state': u'MO', u'party': u'Democrat', u'type': u'rep'}, {u'end': u'2005-01-03', u'district': 1, u'url': u'http://www.house.gov/clay', u'start': u'2003-01-07', u'state': u'MO', u'party': u'Democrat', u'type': u'rep'}, {u'end': u'2007-01-03', u'district': 1, u'url': u'http://www.house.gov/clay', u'start': u'2005-01-04', u'state': u'MO', u'party': u'Democrat', u'type': u'rep'}, {u'end': u'2009-01-03', u'district': 1, u'url': u'http://www.house.gov/clay', u'start': u'2007-01-04', u'state': u'MO', u'party': u'Democrat', u'type': u'rep'}, {u'end': u'2011-01-03', u'district': 1, u'url': u'http://www.house.gov/clay', u'start': u'2009-01-06', u'state': u'MO', u'party': u'Democrat', u'type': u'rep'}, {u'fax': u'202-226-3717', u'end': u'2013-01-03', u'district': 1, u'office': u'2418 Rayburn House Office Building', u'phone': u'202-225-2406', u'url': u'http://www.house.gov/clay', u'start': u'2011-01-05', u'state': u'MO', u'address': u'2418 Rayburn HOB; Washington DC 20515-2501', u'party': u'Democrat', u'type': u'rep', u'contact_form': u'http://lacyclay.house.gov/contact.htm'}, {u'fax': u'202-226-3717', u'end': u'2015-01-03', u'district': 1, u'office': u'2418 Rayburn House Office Building', u'phone': u'202-225-2406', u'url': u'http://lacyclay.house.gov', u'start': u'2013-01-03', u'state': u'MO', u'address': u'2418 Rayburn HOB; Washington DC 20515-2501', u'party': u'Democrat', u'type': u'rep', u'contact_form': u'http://lacyclay.house.gov/contact-form/'}, {u'fax': u'202-226-3717', u'end': u'2017-01-03', u'district': 1, u'office': u'2428 Rayburn House Office Building', u'phone': u'202-225-2406', u'url': u'http://lacyclay.house.gov', u'start': u'2015-01-06', u'state': u'MO', u'address': u'2428 Rayburn HOB; Washington DC 20515-2501', u'party': u'Democrat', u'type': u'rep', u'contact_form': u'http://lacyclay.house.gov/contact-form/'}, {u'fax': u'202-226-3717', u'end': u'2019-01-03', u'district': 1, u'office': u'2428 Rayburn House Office Building', u'phone': u'202-225-2406', u'url': u'https://lacyclay.house.gov', u'start': u'2017-01-03', u'state': u'MO', u'address': u'2428 Rayburn HOB; Washington DC 20515-2501', u'party': u'Democrat', u'type': u'rep'}]",,,,,,,,,
13,left_only,400648,,Charles W. Dent,M,"[{u'end': u'2007-01-03', u'district': 15, u'start': u'2005-01-04', u'state': u'PA', u'party': u'Republican', u'type': u'rep'}, {u'end': u'2009-01-03', u'district': 15, u'url': u'http://dent.house.gov', u'start': u'2007-01-04', u'state': u'PA', u'party': u'Republican', u'type': u'rep'}, {u'end': u'2011-01-03', u'district': 15, u'url': u'http://dent.house.gov', u'start': u'2009-01-06', u'state': u'PA', u'party': u'Republican', u'type': u'rep'}, {u'fax': u'202-226-0778', u'end': u'2013-01-03', u'district': 15, u'office': u'1009 Longworth House Office Building', u'phone': u'202-225-6411', u'url': u'http://dent.house.gov', u'start': u'2011-01-05', u'state': u'PA', u'address': u'1009 Longworth HOB; Washington DC 20515-3815', u'party': u'Republican', u'type': u'rep', u'contact_form': u'http://dent.house.gov/verifyemail.shtml'}, {u'rss_url': u'http://dent.house.gov/?a=rss.feed', u'fax': u'202-226-0778', u'end': u'2015-01-03', u'district': 15, u'office': u'2455 Rayburn House Office Building', u'phone': u'202-225-6411', u'url': u'http://dent.house.gov', u'start': u'2013-01-03', u'state': u'PA', u'address': u'2455 Rayburn HOB; Washington DC 20515-3815', u'party': u'Republican', u'type': u'rep', u'contact_form': u'https://dent.house.gov/?p=ContactForm'}, {u'rss_url': u'http://dent.house.gov/?a=rss.feed', u'fax': u'202-226-0778', u'end': u'2017-01-03', u'district': 15, u'office': u'2211 Rayburn House Office Building', u'phone': u'202-225-6411', u'url': u'https://dent.house.gov', u'start': u'2015-01-06', u'state': u'PA', u'address': u'2211 Rayburn HOB; Washington DC 20515-3815', u'party': u'Republican', u'type': u'rep', u'contact_form': u'https://dent.house.gov/?p=ContactForm'}, {u'rss_url': u'http://dent.house.gov/?a=rss.feed', u'fax': u'202-226-0778', u'end': u'2019-01-03', u'district': 15, u'office': u'2082 Rayburn House Office Building', u'phone': u'202-225-6411', u'url': u'https://dent.house.gov', u'start': u'2017-01-03', u'state': u'PA', u'address': u'2082 Rayburn HOB; Washington DC 20515-3815', u'party': u'Republican', u'type': u'rep'}]",,,,,,,,,
14,left_only,412492,,Rand Paul,M,"[{u'rss_url': u'http://paul.senate.gov/rss/?p=news', u'fax': u'202-228-1373', u'end': u'2017-01-03', u'office': u'167 Russell Senate Office Building', u'phone': u'202-224-4343', u'url': u'https://www.paul.senate.gov', u'state_rank': u'junior', u'contact_form': u'http://www.paul.senate.gov/?p=contact', u'start': u'2011-01-05', u'state': u'KY', u'address': u'167 Russell Senate Office Building Washington DC 20510', u'party': u'Republican', u'type': u'sen', u'class': 3}, {u'rss_url': u'http://paul.senate.gov/rss/?p=news', u'fax': u'202-228-1373', u'end': u'2023-01-03', u'office': u'167 Russell Senate Office Building', u'phone': u'202-224-4343', u'url': u'https://www.paul.senate.gov', u'state_rank': u'junior', u'contact_form': u'https://www.paul.senate.gov/connect/email-rand', u'start': u'2017-01-03', u'state': u'KY', u'address': u'167 Russell Senate Office Building Washington DC 20510', u'party': u'Republican', u'type': u'sen', u'class': 3}]",,,,,,,,,
15,left_only,400343,,Dana Rohrabacher,M,"[{u'end': u'1991-01-03', u'district': 42, u'start': u'1989-01-03', u'state': u'CA', u'party': u'Republican', u'type': u'rep'}, {u'end': u'1993-01-03', u'district': 42, u'start': u'1991-01-03', u'state': u'CA', u'party': u'Republican', u'type': u'rep'}, {u'end': u'1995-01-03', u'district': 45, u'start': u'1993-01-05', u'state': u'CA', u'party': u'Republican', u'type': u'rep'}, {u'end': u'1997-01-03', u'district': 45, u'start': u'1995-01-04', u'state': u'CA', u'party': u'Republican', u'type': u'rep'}, {u'end': u'1999-01-03', u'district': 45, u'start': u'1997-01-07', u'state': u'CA', u'party': u'Republican', u'type': u'rep'}, {u'end': u'2001-01-03', u'district': 45, u'start': u'1999-01-06', u'state': u'CA', u'party': u'Republican', u'type': u'rep'}, {u'end': u'2003-01-03', u'district': 45, u'start': u'2001-01-03', u'state': u'CA', u'party': u'Republican', u'type': u'rep'}, {u'end': u'2005-01-03', u'district': 46, u'url': u'http://www.house.gov/rohrabacher', u'start': u'2003-01-07', u'state': u'CA', u'party': u'Republican', u'type': u'rep'}, {u'end': u'2007-01-03', u'district': 46, u'url': u'http://www.house.gov/rohrabacher', u'start': u'2005-01-04', u'state': u'CA', u'party': u'Republican', u'type': u'rep'}, {u'end': u'2009-01-03', u'district': 46, u'url': u'http://www.house.gov/rohrabacher', u'start': u'2007-01-04', u'state': u'CA', u'party': u'Republican', u'type': u'rep'}, {u'end': u'2011-01-03', u'district': 46, u'url': u'http://www.house.gov/rohrabacher', u'start': u'2009-01-06', u'state': u'CA', u'party': u'Republican', u'type': u'rep'}, {u'fax': u'202-225-0145', u'end': u'2013-01-03', u'district': 46, u'office': u'2300 Rayburn House Office Building', u'phone': u'202-225-2415', u'url': u'http://www.house.gov/rohrabacher', u'start': u'2011-01-05', u'state': u'CA', u'address': u'2300 Rayburn HOB; Washington DC 20515-0546', u'party': u'Republican', u'type': u'rep', u'contact_form': u'http://rohrabacher.house.gov/Contact/Zip.htm'}, {u'rss_url': u'http://rohrabacher.house.gov/rss.xml', u'fax': u'202-225-0145', u'end': u'2015-01-03', u'district': 48, u'office': u'2300 Rayburn House Office Building', u'phone': u'202-225-2415', u'url': u'http://rohrabacher.house.gov', u'start': u'2013-01-03', u'state': u'CA', u'address': u'2300 Rayburn HOB; Washington DC 20515-0548', u'party': u'Republican', u'type': u'rep', u'contact_form': u'https://rohrabacher.house.gov/contact/email-me'}, {u'rss_url': u'http://rohrabacher.house.gov/rss.xml', u'fax': u'202-225-0145', u'end': u'2017-01-03', u'district': 48, u'office': u'2300 Rayburn House Office Building', u'phone': u'202-225-2415', u'url': u'http://rohrabacher.house.gov', u'start': u'2015-01-06', u'state': u'CA', u'address': u'2300 Rayburn HOB; Washington DC 20515-0548', u'party': u'Republican', u'type': u'rep', u'contact_form': u'https://rohrabacher.house.gov/contact/email-me'}, {u'rss_url': u'http://rohrabacher.house.gov/rss.xml', u'fax': u'202-225-0145', u'end': u'2019-01-03', u'district': 48, u'office': u'2300 Rayburn House Office Building', u'phone': u'202-225-2415', u'url': u'https://rohrabacher.house.gov', u'start': u'2017-01-03', u'state': u'CA', u'address': u'2300 Rayburn HOB; Washington DC 20515-0548', u'party': u'Republican', u'type': u'rep'}]",,,,,,,,,
16,left_only,412312,,Gregorio Kilili Camacho Sablan,M,"[{u'end': u'2011-01-03', u'district': 0, u'url': u'http://sablan.house.gov', u'party_affiliations': [{'start': '2009-01-06', 'end': '2009-02-23', 'party': 'Independent'}, {'start': '2009-02-23', 'end': '2011-01-03', 'party': 'Democrat'}], u'start': u'2009-01-06', u'state': u'MP', u'party': u'Democrat', u'type': u'rep'}, {u'fax': u'202-226-4249', u'end': u'2013-01-03', u'district': 0, u'office': u'423 Cannon House Office Building', u'phone': u'202-225-2646', u'url': u'http://sablan.house.gov', u'start': u'2011-01-05', u'state': u'MP', u'address': u'423 Cannon HOB; Washington DC 20515-5201', u'party': u'Democrat', u'type': u'rep', u'contact_form': u'https://forms.house.gov/sablan/contact-form.shtml'}, {u'rss_url': u'http://sablan.house.gov/rss.xml', u'fax': u'202-226-4249', u'end': u'2015-01-03', u'district': 0, u'office': u'423 Cannon House Office Building', u'phone': u'202-225-2646', u'url': u'http://sablan.house.gov', u'start': u'2013-01-03', u'state': u'MP', u'address': u'423 Cannon HOB; Washington DC 20515-5201', u'party': u'Democrat', u'type': u'rep', u'contact_form': u'http://sablan.house.gov/email-me'}, {u'rss_url': u'http://sablan.house.gov/rss.xml', u'fax': u'202-226-4249', u'end': u'2017-01-03', u'district': 0, u'office': u'423 Cannon House Office Building', u'phone': u'202-225-2646', u'url': u'http://sablan.house.gov', u'start': u'2015-01-06', u'state': u'MP', u'address': u'423 Cannon HOB; Washington DC 20515-5201', u'party': u'Independent', u'type': u'rep', u'contact_form': u'http://sablan.house.gov/email-me', u'caucus': u'Democrat'}, {u'rss_url': u'http://sablan.house.gov/rss.xml', u'fax': u'202-226-4249', u'end': u'2019-01-03', u'district': 0, u'office': u'2411 Rayburn House Office Building', u'phone': u'202-225-2646', u'url': u'http://sablan.house.gov', u'start': u'2017-01-03', u'state': u'MP', u'address': u'2411 Rayburn HOB; Washington DC 20515-5201', u'party': u'Democrat', u'type': u'rep'}]",,,,,,,,,
20,left_only,400357,sensanders,Bernard Sanders,M,"[{u'end': u'1993-01-03', u'district': 0, u'start': u'1991-01-03', u'state': u'VT', u'party': u'Independent', u'type': u'rep'}, {u'end': u'1995-01-03', u'district': 0, u'start': u'1993-01-05', u'state': u'VT', u'party': u'Independent', u'type': u'rep'}, {u'end': u'1997-01-03', u'district': 0, u'start': u'1995-01-04', u'state': u'VT', u'party': u'Independent', u'type': u'rep'}, {u'end': u'1999-01-03', u'district': 0, u'start': u'1997-01-07', u'state': u'VT', u'party': u'Independent', u'type': u'rep'}, {u'end': u'2001-01-03', u'district': 0, u'start': u'1999-01-06', u'state': u'VT', u'party': u'Independent', u'type': u'rep'}, {u'end': u'2003-01-03', u'district': 0, u'start': u'2001-01-03', u'state': u'VT', u'party': u'Independent', u'type': u'rep'}, {u'end': u'2005-01-03', u'district': 0, u'url': u'http://bernie.house.gov', u'start': u'2003-01-07', u'state': u'VT', u'party': u'Independent', u'type': u'rep'}, {u'end': u'2007-01-03', u'district': 0, u'url': u'http://bernie.house.gov', u'start': u'2005-01-04', u'state': u'VT', u'party': u'Independent', u'type': u'rep'}, {u'fax': u'202-228-0776', u'end': u'2013-01-03', u'office': u'332 Dirksen Senate Office Building', u'phone': u'202-224-5141', u'url': u'http://sanders.senate.gov/', u'contact_form': u'http://www.sanders.senate.gov/contact/', u'start': u'2007-01-04', u'state': u'VT', u'address': u'332 DIRKSEN SENATE OFFICE BUILDING WASHINGTON DC 20510', u'party': u'Independent', u'type': u'sen', u'class': 1}, {u'rss_url': u'http://www.sanders.senate.gov/rss/', u'fax': u'202-228-0776', u'end': u'2019-01-03', u'office': u'332 Dirksen Senate Office Building', u'phone': u'202-224-5141', u'url': u'https://www.sanders.senate.gov', u'state_rank': u'junior', u'contact_form': u'http://www.sanders.senate.gov/contact/', u'start': u'2013-01-03', u'state': u'VT', u'address': u'332 Dirksen Senate Office Building Washington DC 20510', u'party': u'Independent', u'type': u'sen', u'class': 1, u'caucus': u'Democrat'}]",,,,,,,,,
