,id.bioguide,handle,name.official_full,bio.gender,type,party,district,district,inc_ran,inc_won,had_challenger,inc_party,winner_party,runnerup_party,runnerup_votes,winner_votes,week1,week2,week3,week4,week5,week6,week7,week8,week9
0,A000055,robert_aderholt,Robert B. Aderholt,M,rep,Republican,AL-04,4.0,1.0,1.0,0,R,R,write in,"3,519","235,925",1.5081425,,2.45614,19.8266,,10.8463,,0.851852,
1,A000367,,Justin Amash,M,rep,Republican,MI-03,3.0,1.0,1.0,1,R,R,D,"128,400","203,545",,,,,,,,,
2,C001049,,Wm. Lacy Clay,M,rep,Democrat,MO-01,1.0,1.0,1.0,1,D,D,R,"62,714","236,993",,,,,,,,,
3,D000604,,Charles W. Dent,M,rep,Republican,PA-15,15.0,1.0,1.0,1,R,R,D,"124,129","190,618",,,,,,,,,
4,P000603,,Rand Paul,M,sen,Republican,KY,,1.0,1.0,1,R,R,D,"813,246","1,090,177",,,,,,,,,
5,R000409,,Dana Rohrabacher,M,rep,Republican,CA-48,42.0,1.0,1.0,1,R,R,D,"127,715","178,701",,,,,,,,,
6,V000127,,David Vitter,M,rep,Republican,LA,1.0,0.0,0.0,0,R,R,D,"337,833","482,591",,,,,,,,,
7,A000368,kellyayotte,Kelly Ayotte,F,sen,Republican,NH,,1.0,0.0,1,R,D,R,"353,632","354,649",2.18392316667,7.71948994286,2.974461,4.745522,6.56189833333,3.11131685714,3.4922924,2.86748728571,5.33858571429
8,B001269,reploubarletta,Lou Barletta,M,rep,Republican,PA-11,11.0,1.0,1.0,1,R,R,D,"113,800","199,421",,-0.114591,3.56129,,0.182323,,,0.869231,
9,B000213,repjoebarton,Joe Barton,M,rep,Republican,TX-06,6.0,1.0,1.0,1,R,R,D,"106,667","159,444",1.93365,,2.55,,,2.17391,2.1165,16.99308,21.8655
10,B001270,repkarenbass,Karen Bass,F,rep,Democrat,CA-37,33.0,1.0,1.0,1,D,D,D,"44,782","192,490",-14.93806,-92.0633933333,-18.224034,-19.0900975,-5.1011025,-11.5096966667,-20.1736143333,-11.3384725,-26.3740875
11,B000287,repbecerra,Xavier Becerra,M,rep,Democrat,CA-34,30.0,1.0,1.0,1,D,D,D,"36,314","122,842",-30.206601,-40.4079683333,-17.2386933333,-5.43249246667,-4.29144325,-3.787882,-2.16768533333,-3.9034875,-12.66116625
12,B001267,senbennetco,Michael F. Bennet,M,sen,Democrat,CO,,1.0,1.0,1,D,D,R,"1,215,318","1,370,710",,,,,,,0.507937,,
13,B001250,reprobbishop,Rob Bishop,M,rep,Republican,UT-01,1.0,1.0,1.0,1,R,R,D,"73,380","182,925",,,,,,,,,
14,B000490,sanfordbishop,Sanford D. Bishop Jr.,M,rep,Democrat,GA-02,2.0,1.0,1.0,1,D,D,R,"94,056","148,543",-1.03457,0.231907,-1.02609,-49.9906,0.699301,,-0.944954,-4.69565,
15,B001273,repdianeblack,Diane Black,F,rep,Republican,TN-06,6.0,1.0,1.0,1,R,R,D,"61,995","202,234",2.97440833333,3.72759885714,7.829558,7.146729,2.420896,9.99150833333,5.29247333333,9.057695,3.2809
16,B001243,marshablackburn,Marsha Blackburn,F,rep,Republican,TN-07,7.0,1.0,1.0,1,R,R,D,"65,226","200,407",1.26375,2.04484625,0.67664,3.27520125,1.04054,1.08696,1.09332566667,7.04360666667,1.85091333333
17,B000574,blumenauermedia,Earl Blumenauer,M,rep,Democrat,OR-03,3.0,1.0,1.0,1,D,D,I,"78,154","274,687",,,,,,,,,
18,B001277,senblumenthal,Richard Blumenthal,M,sen,Democrat,CT,,1.0,1.0,1,D,D,R,"552,621","1,008,714",-34.8449766667,-11.6604057143,-3.908745,-3.71964916667,-3.71475666667,-14.69466,-2.09474166667,-9.4501,-3.99393514286
19,B000575,royblunt,Roy Blunt,M,rep,Republican,MO,7.0,1.0,1.0,1,R,R,D,"1,300,200","1,378,458",1.293236196,10.6441475,-0.2518148,4.8087125,4.53898333333,6.6573332,6.308628,15.8166533333,13.99982
20,B001236,johnboozman,John Boozman,M,rep,Republican,AR,3.0,1.0,1.0,1,R,R,D,"400,602","661,984",-29.5425753333,5.69075285714,1.9521005,3.20051375,0.73545944925,5.76775,2.5584302,8.4702358,3.563882
21,B000711,senatorboxer,Barbara Boxer,F,rep,Democrat,CA,6.0,0.0,0.0,0,D,D,D,"4,701,417","7,542,753",,-6.36807,-61.5652,-24.810395,,-12.8731,-0.857143,,
22,B000755,repkevinbrady,Kevin Brady,M,rep,Republican,TX-08,8.0,1.0,1.0,1,R,R,NONE,0,"236,379",7.76292166667,18.0770575,5.08546150333,7.298835,9.630764,17.2899,10.460926,18.28328,10.4938086
23,B001227,repbrady,Robert A. Brady,M,rep,Democrat,PA-01,1.0,1.0,1.0,1,D,D,R,"53,219","245,791",-1.51076333333,,,,-0.728736,-8.46856666667,-10.3945,,
24,B001274,repmobrooks,Mo Brooks,M,rep,Republican,AL-05,5.0,1.0,1.0,1,R,R,D,"102,234","205,647",3.753665,7.327078,5.72549,13.6012,0.013986,,,,1.33673
25,B001260,vernbuchanan,Vern Buchanan,M,rep,Republican,FL-16,13.0,1.0,1.0,1,R,R,D,"155,262","230,654",0.426322041,0.691402575,0.570156605,-0.00115266,0.647186666667,1.09709,1.09795666667,0.838044333333,0.90860666225
26,B001275,replarrybucshon,Larry Bucshon,M,rep,Republican,IN-08,8.0,1.0,1.0,1,R,R,D,"93,356","187,702",4.099385,4.48891733333,2.82355266667,11.527016,5.90678,12.15182,6.80561666667,10.63921,28.0714
27,B001248,michaelcburgess,Michael C. Burgess,M,rep,Republican,TX-26,26.0,1.0,1.0,1,R,R,D,"94,507","211,730",3.17226385714,9.64109642857,3.910375,6.42401833333,4.90961666667,2.539408,5.619437175,3.67269833333,46.31925
28,B001135,senatorburr,Richard Burr,M,rep,Republican,NC,5.0,1.0,1.0,1,R,R,D,"2,128,165","2,395,376",-4.09370675,20.18705,2.371015,5.21160333333,4.297805,5.63898025,4.36341225,2.06245,7.918155
29,B001251,gkbutterfield,G. K. Butterfield,M,rep,Democrat,NC-01,1.0,1.0,1.0,1,D,D,R,"101,567","240,661",-31.201828,-44.9651933333,-41.81591,-23.698446725,-0.944557,-1.013356,-16.951423,-21.594805,-42.551175
30,C000059,kencalvert,Ken Calvert,M,rep,Republican,CA-42,43.0,1.0,1.0,1,R,R,D,"104,689","149,547",,,,8.32141,1.81356,13.165,6.92553,23.2032,0.969388
31,C001037,repmikecapuano,Michael E. Capuano,M,rep,Democrat,MA-07,8.0,1.0,1.0,1,D,D,Write in,"3,557","253,354",,,,,,,,,
32,C001072,repandrecarson,André Carson,M,rep,Democrat,IN-07,7.0,1.0,1.0,1,D,D,R,"94,456","158,739",-0.34211,-21.588315,,-28.22447,-11.564085,-0.969027,-0.8968465,-1.241885,-2.25652
