url	Account Group	Account Group_link	Avatar Action	Avatar Action_alt	Avatar Action_link	Full Name	Full Name_link	Username Dir	Username Dir_link	Username Dir_filename	Bio Dir Block	Bio Dir Link	Bio Dir Link_link
https://twitter.com/cspan/lists/new-members-of-congress/members	Rep. Mike JohnsonVerified account @RepMikeJohnson	https://twitter.com/RepMikeJohnson	https://pbs.twimg.com/profile_images/827283914297184257/JaccwIw2_normal.jpg		https://twitter.com/RepMikeJohnson	Rep. Mike Johnson	https://twitter.com/RepMikeJohnson	RepMikeJohnson	https://twitter.com/RepMikeJohnson	Username Dir/RepMikeJohnson.04bad9f42feaad37c24620a2025275c1.html	Proudly serving Louisiana's 4th Congressional District. Member on @HouseJudiciary & @NatResources.	@HouseJudiciary; @NatResources	https://twitter.com/HouseJudiciary; https://twitter.com/NatResources
https://twitter.com/cspan/lists/new-members-of-congress/members	Ted BuddVerified account @RepTedBudd	https://twitter.com/RepTedBudd	https://pbs.twimg.com/profile_images/817146305009086465/2fRGK8R5_normal.jpg		https://twitter.com/RepTedBudd	Ted Budd	https://twitter.com/RepTedBudd	RepTedBudd	https://twitter.com/RepTedBudd	Username Dir/RepTedBudd.535511ff007f3e8336decb95aa3177ba.html	Proudly serving the 13th district of North Carolina. #NC13	#NC13	https://twitter.com/hashtag/NC13?src=hash
https://twitter.com/cspan/lists/new-members-of-congress/members	Adriano EspaillatVerified account @RepEspaillat	https://twitter.com/RepEspaillat	https://pbs.twimg.com/profile_images/827580972442988545/RJ5H4gCN_normal.jpg		https://twitter.com/RepEspaillat	Adriano Espaillat	https://twitter.com/RepEspaillat	RepEspaillat	https://twitter.com/RepEspaillat	Username Dir/RepEspaillat.aba4c579ff4e1b4ceef4c8fbde21362c.html	U. S. Representative proudly serving New York’s 13th Congressional District. Follow my work in Washington and #NY13	#NY13	https://twitter.com/hashtag/NY13?src=hash
https://twitter.com/cspan/lists/new-members-of-congress/members	Rep. Blunt RochesterVerified account @RepBRochester	https://twitter.com/RepBRochester	https://pbs.twimg.com/profile_images/817051346759254016/ZmuMqcBi_normal.jpg		https://twitter.com/RepBRochester	Rep. Blunt Rochester	https://twitter.com/RepBRochester	RepBRochester	https://twitter.com/RepBRochester	Username Dir/RepBRochester.5e8aad29bf6b49b4891a5292ff010a63.html	Official Twitter page for U.S. Representative Lisa Blunt Rochester (D-DE). Tweets from Rep. Blunt Rochester signed -LBR.		
https://twitter.com/cspan/lists/new-members-of-congress/members	Nanette D. BarragánVerified account @RepBarragan	https://twitter.com/RepBarragan	https://pbs.twimg.com/profile_images/827650875573280768/PZit1YuO_normal.jpg		https://twitter.com/RepBarragan	Nanette D. Barragán	https://twitter.com/RepBarragan	RepBarragan	https://twitter.com/RepBarragan	Username Dir/RepBarragan.4e0d4c78142ff05dabad6f6c47a93894.html	Official account. Honored to represent California's 44th Congressional District #CA44. Member of the @HispanicCaucus @USProgressives @Dodgers fan.	#CA44; @HispanicCaucus; @USProgressives; @Dodgers	https://twitter.com/hashtag/CA44?src=hash; https://twitter.com/HispanicCaucus; https://twitter.com/USProgressives; https://twitter.com/Dodgers
https://twitter.com/cspan/lists/new-members-of-congress/members	Rep. Liz CheneyVerified account @RepLizCheney	https://twitter.com/RepLizCheney	https://pbs.twimg.com/profile_images/816720419034017792/MQEOBi6w_normal.jpg		https://twitter.com/RepLizCheney	Rep. Liz Cheney	https://twitter.com/RepLizCheney	RepLizCheney	https://twitter.com/RepLizCheney	Username Dir/RepLizCheney.db7e8509232817630736cacc6a9d2423.html	"Official Page of Congressman Liz Cheney, proudly representing the people of Wyoming."		
https://twitter.com/cspan/lists/new-members-of-congress/members	Tom SuozziVerified account @RepTomSuozzi	https://twitter.com/RepTomSuozzi	https://pbs.twimg.com/profile_images/841322504752943107/hbNrycrY_normal.jpg		https://twitter.com/RepTomSuozzi	Tom Suozzi	https://twitter.com/RepTomSuozzi	RepTomSuozzi	https://twitter.com/RepTomSuozzi	Username Dir/RepTomSuozzi.ee8ec2de931ba941b6a4c8c1c35a6990.html	"Representing New York's 3rd Congressional District including parts of Queens, Nassau and Suffolk counties. http://Facebook.com/RepTomSuozzi"	http://Facebook.com/RepTomSuozzi	https://t.co/aWr41ZGlpq
https://twitter.com/cspan/lists/new-members-of-congress/members	John KennedyVerified account @SenJohnKennedy	https://twitter.com/SenJohnKennedy	https://pbs.twimg.com/profile_images/831592195320840192/GXfc24bb_normal.jpg		https://twitter.com/SenJohnKennedy	John Kennedy	https://twitter.com/SenJohnKennedy	SenJohnKennedy	https://twitter.com/SenJohnKennedy	Username Dir/SenJohnKennedy.dba726c22b214f0f1baa54225290fa99.html	The official Twitter page for U.S. Senator John N. Kennedy (R-La) https://www.facebook.com/SenatorJohnKennedy/ …	https://www.facebook.com/SenatorJohnKennedy/ …	https://t.co/4ceoNzx1Ck
https://twitter.com/cspan/lists/new-members-of-congress/members	Brian FitzpatrickVerified account @RepBrianFitz	https://twitter.com/RepBrianFitz	https://pbs.twimg.com/profile_images/816305471699243008/qg8PJ31p_normal.jpg		https://twitter.com/RepBrianFitz	Brian Fitzpatrick	https://twitter.com/RepBrianFitz	RepBrianFitz	https://twitter.com/RepBrianFitz	Username Dir/RepBrianFitz.edc44279aede48be90db1de887e261f6.html	"An independent voice for the people of #PA08. Former FBI Special Agent & Federal Prosecutor. EMT, CPA & Philly sports fan. #GoBirds"	#PA08; #GoBirds	https://twitter.com/hashtag/PA08?src=hash; https://twitter.com/hashtag/GoBirds?src=hash
https://twitter.com/cspan/lists/new-members-of-congress/members	Rep. Ro KhannaVerified account @RepRoKhanna	https://twitter.com/RepRoKhanna	https://pbs.twimg.com/profile_images/842459128568119296/DYG-8YW7_normal.jpg		https://twitter.com/RepRoKhanna	Rep. Ro Khanna	https://twitter.com/RepRoKhanna	RepRoKhanna	https://twitter.com/RepRoKhanna	Username Dir/RepRoKhanna.7581cc140f82ee8c5e3f082457736605.html	"Representing #CA17 in Silicon Valley. Working to create tech & manufacturing jobs locally & across America. No contributions from PACs, lobbyists. Obama alum."	#CA17	https://twitter.com/hashtag/CA17?src=hash
https://twitter.com/cspan/lists/new-members-of-congress/members	Rep. ArringtonVerified account @RepArrington	https://twitter.com/RepArrington	https://pbs.twimg.com/profile_images/818265271051964417/EaWLT8zh_normal.jpg		https://twitter.com/RepArrington	Rep. Arrington	https://twitter.com/RepArrington	RepArrington	https://twitter.com/RepArrington	Username Dir/RepArrington.e7df0b32e075dec4c2e97f8b4c6ffd1b.html	The official Twitter account for Congressman Jodey Arrington. Building a better West Texas. Fighting for the future of America.		
https://twitter.com/cspan/lists/new-members-of-congress/members	Rep. Ruben J. KihuenVerified account @RepKihuen	https://twitter.com/RepKihuen	https://pbs.twimg.com/profile_images/817494564881760260/s74h95xu_normal.jpg		https://twitter.com/RepKihuen	Rep. Ruben J. Kihuen	https://twitter.com/RepKihuen	RepKihuen	https://twitter.com/RepKihuen	Username Dir/RepKihuen.8a0dae62cb85260a4ec4099f77d57c30.html	U.S. Representative proudly serving Nevada's 4th Congressional District. #NV04	#NV04	https://twitter.com/hashtag/NV04?src=hash
https://twitter.com/cspan/lists/new-members-of-congress/members	Rep. Donald McEachinVerified account @RepMcEachin	https://twitter.com/RepMcEachin	https://pbs.twimg.com/profile_images/823712480782381058/CF9rw4qB_normal.jpg		https://twitter.com/RepMcEachin	Rep. Donald McEachin	https://twitter.com/RepMcEachin	RepMcEachin	https://twitter.com/RepMcEachin	Username Dir/RepMcEachin.0d7fcbc72b588434f3b38026250343ee.html	"Father, husband & Progressive Democrat in Congress. Proudly representing VA’s 4th Congressional District. Member of @HASCDemocrats & @NRDems."	@HASCDemocrats; @NRDems	https://twitter.com/HASCDemocrats; https://twitter.com/NRDems
https://twitter.com/cspan/lists/new-members-of-congress/members	Rep. Salud CarbajalVerified account @RepCarbajal	https://twitter.com/RepCarbajal	https://pbs.twimg.com/profile_images/816159403837689856/JWpxP6rU_normal.jpg		https://twitter.com/RepCarbajal	Rep. Salud Carbajal	https://twitter.com/RepCarbajal	RepCarbajal	https://twitter.com/RepCarbajal	Username Dir/RepCarbajal.1d204952e47be2473ef17aba1cbdf2d4.html	Proudly representing California's 24th Congressional District.		
https://twitter.com/cspan/lists/new-members-of-congress/members	Jim BanksVerified account @RepJimBanks	https://twitter.com/RepJimBanks	https://pbs.twimg.com/profile_images/816138841891491840/uap2IHCv_normal.jpg		https://twitter.com/RepJimBanks	Jim Banks	https://twitter.com/RepJimBanks	RepJimBanks	https://twitter.com/RepJimBanks	Username Dir/RepJimBanks.478ea5ac111b0bc53a7d99a699785564.html	Official account of U.S. Congressman Jim Banks (IN-3).		
https://twitter.com/cspan/lists/new-members-of-congress/members	Francis RooneyVerified account @RepRooney	https://twitter.com/RepRooney	https://pbs.twimg.com/profile_images/865221777693134851/treodBIl_normal.jpg		https://twitter.com/RepRooney	Francis Rooney	https://twitter.com/RepRooney	RepRooney	https://twitter.com/RepRooney	Username Dir/RepRooney.b346a308017f1eca6c061d3d91849762.html	Honored to serve the citizens of Florida's 19th Congressional District. Official Government account.		
https://twitter.com/cspan/lists/new-members-of-congress/members	Jason LewisVerified account @RepJasonLewis	https://twitter.com/RepJasonLewis	https://pbs.twimg.com/profile_images/816364935533858816/2WXOUSqf_normal.jpg		https://twitter.com/RepJasonLewis	Jason Lewis	https://twitter.com/RepJasonLewis	RepJasonLewis	https://twitter.com/RepJasonLewis	Username Dir/RepJasonLewis.0a60da62b679e86cb50f667f4cf732f5.html	Proudly representing #MN02. Fighting for a better future for our kids and a government that works for you.	#MN02	https://twitter.com/hashtag/MN02?src=hash
https://twitter.com/cspan/lists/new-members-of-congress/members	Rep. Charlie CristVerified account @RepCharlieCrist	https://twitter.com/RepCharlieCrist	https://pbs.twimg.com/profile_images/821404691007471616/coBO0h0x_normal.jpg		https://twitter.com/RepCharlieCrist	Rep. Charlie Crist	https://twitter.com/RepCharlieCrist	RepCharlieCrist	https://twitter.com/RepCharlieCrist	Username Dir/RepCharlieCrist.fe2082ddc6a82eb4ec02904a0be9f3e3.html	Representing Florida's 13th Congressional District in the U.S. House of Representatives.		
https://twitter.com/cspan/lists/new-members-of-congress/members	Rep. David KustoffVerified account @repdavidkustoff	https://twitter.com/repdavidkustoff	https://pbs.twimg.com/profile_images/837085695479070721/yqIFqepO_normal.jpg		https://twitter.com/repdavidkustoff	Rep. David Kustoff	https://twitter.com/repdavidkustoff	repdavidkustoff	https://twitter.com/repdavidkustoff	Username Dir/repdavidkustoff.428119e61db40dc499454761c149b1dd.html	"Official news and updates from Congressman David Kustoff (R-Tenn.), Proudly serving the 8th District of Tennessee"		
