username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2016-09-10 23:00;6;12;"Never Forget. http:// buff.ly/2cLhPTC pic.twitter.com/xx83hOj8dm";;;;"774819800036040704";https://twitter.com/AnderCrenshaw/status/774819800036040704
;2016-09-01 06:44;5;6;"Keeping an eye on TS #Hermine . Latest info available at http://www. nhc.noaa.gov and http://www. JAXready.com .";;;#Hermine;"771312761275953152";https://twitter.com/AnderCrenshaw/status/771312761275953152
;2016-08-26 12:10;1;2;"Taking a look back in #RollCall . http:// tinyurl.com/gmm75zh";;;#RollCall;"769220580755304448";https://twitter.com/AnderCrenshaw/status/769220580755304448
;2016-08-24 10:27;1;3;"With new school year underway, #LibraryofCongress a great resource for students and teachers. https:// loc.gov /";;;#LibraryofCongress;"768469764385550336";https://twitter.com/AnderCrenshaw/status/768469764385550336
;2016-08-12 18:27;5;8;"Staff at Naval Station Mayport Athletic and Training Facility show of state-of-the-art complex. #USNavy pic.twitter.com/UVgf7aku67";;;#USNavy;"764242050640412672";https://twitter.com/AnderCrenshaw/status/764242050640412672
;2016-08-11 20:43;5;4;"Ryan Murphy grabs gold a second time! Great push to win in 200 meter backstroke. #Rio2016 #FirstCoastIsProud @ryan_f_murphy";;@ryan_f_murphy;#Rio2016 #FirstCoastIsProud;"763913862710190081";https://twitter.com/AnderCrenshaw/status/763913862710190081
;2016-08-08 20:52;7;13;"Congrats Ryan Murphy on Olympic record gold in 100 meter backstroke! #JAXpride #Rio2016 #hardworkpaysoff @ryan_f_murphy";;@ryan_f_murphy;#JAXpride #Rio2016 #hardworkpaysoff;"762828974024167424";https://twitter.com/AnderCrenshaw/status/762828974024167424
;2016-08-03 14:28;5;7;"Florida in bullseye of emerging public health threat, deserves every possible piece of funding to combat #Zika . http:// tinyurl.com/zf3a96m";;;#Zika;"760920236304568320";https://twitter.com/AnderCrenshaw/status/760920236304568320
;2016-07-27 18:47;8;13;". @NDSS Bringing #ABLEact home. Celebrated ABLE United in JAX. Opening doors for disabled. http:// tinyurl.com/zhbe8js pic.twitter.com/JlPOLKPrfQ";;@NDSS;#ABLEact;"758448706312110080";https://twitter.com/AnderCrenshaw/status/758448706312110080
;2016-07-15 13:38;1;4;". @USNavy Back Naval Station Mayport as East Coast forward operating base for MQ-4C TRITON. http:// tinyurl.com/hzbo6u9";;@USNavy;;"754022307845304321";https://twitter.com/AnderCrenshaw/status/754022307845304321
;2016-07-15 07:01;3;4;"America stands with France as it mourns the innocent, peaceful lives lost to another round of devastating terrorism. #PrayForNice";;;#PrayForNice;"753922413520363520";https://twitter.com/AnderCrenshaw/status/753922413520363520
;2016-07-14 09:08;2;6;".@NDSS Thx for honor. Team effort from leaders like President @Sarahartweir help so many, made #ABLEAct reality. pic.twitter.com/fm3QNPk5eV";;@NDSS @Sarahartweir;#ABLEAct;"753591978881941504";https://twitter.com/AnderCrenshaw/status/753591978881941504
;2016-07-13 10:56;4;3;"Proud supporter of #SOPRA . Reaffirms separation of powers in our government. pic.twitter.com/uaT5SWEzwr";;;#SOPRA;"753256871700598784";https://twitter.com/AnderCrenshaw/status/753256871700598784
;2016-07-08 14:36;3;9;"Kind words from @GOPLeader ! Privilege to lead fight on #ABLEact law, Financial Services Approps bill. pic.twitter.com/9e4PB3cNI3";;@GOPLeader;#ABLEact;"751500298221486080";https://twitter.com/AnderCrenshaw/status/751500298221486080
;2016-07-08 14:24;1;2;"One of many reasons bill advances - “We’re getting a handle on the out-of-control spending.” #HouseAppropriationsGOP http:// tinyurl.com/jd26vsg";;;#HouseAppropriationsGOP;"751497286060998656";https://twitter.com/AnderCrenshaw/status/751497286060998656
;2016-07-08 08:47;4;7;"Condemning horrific #Dallas police murders. Praying for brave lives lost to senseless violence, hoping for swift recovery of injured.";;;#Dallas;"751412401086529536";https://twitter.com/AnderCrenshaw/status/751412401086529536
;2016-07-07 20:31;2;2;"Led FY 2017 Financial Services Approps Act to passage in House tonight. Cap Hill held accountable to taxpayers. http:// tinyurl.com/hb8dnlm";;;;"751227096203132928";https://twitter.com/AnderCrenshaw/status/751227096203132928
;2016-07-02 10:55;9;12;". @USNavy @GW_CVN73 Remembering those who protect us 24/7, around globe. Thank you for your devotion to freedom! pic.twitter.com/aFLh4wMMFL";;@USNavy @GW_CVN73;;"749270189661978625";https://twitter.com/AnderCrenshaw/status/749270189661978625
;2016-07-01 19:30;3;1;"Another great swim from Ryan Murphy. #JAXproud #Riowaits";;;#JAXproud #Riowaits;"749037581233446913";https://twitter.com/AnderCrenshaw/status/749037581233446913
;2016-06-29 10:25;2;5;"#Istanbulattack strengthens resolve to protect America’s national security, destroy terrorism wherever the source.";;;#Istanbulattack;"748175583088082945";https://twitter.com/AnderCrenshaw/status/748175583088082945
;2016-06-28 20:04;2;3;"Ryan Murphy, Bolles School graduate, makes Olympic swim team with backstroke win. Congratulations! On to #Rio2016";;;#Rio2016;"747958887349878785";https://twitter.com/AnderCrenshaw/status/747958887349878785
;2016-06-22 15:27;1;3;"Thanks for stopping by Jacob! I'm with you on the #ACEKidsAct #SpeakNowforKids pic.twitter.com/RYsyrMoeHE";;;#ACEKidsAct #SpeakNowforKids;"745714886366363648";https://twitter.com/AnderCrenshaw/status/745714886366363648
;2016-06-17 13:41;3;6;"Never doubted Shyla Blackmon, Jelisa Jackson would “get the gold.” #CongressionalAward http:// tinyurl.com/gm4oqdq pic.twitter.com/7vw75Se8hA";;;#CongressionalAward;"743876298779533313";https://twitter.com/AnderCrenshaw/status/743876298779533313
;2016-06-16 13:15;1;3;"FY 2017 Defense Appropriations Bill put #nationalsecurity first. Nothing more important. http:// tinyurl.com/h7cvxq6";;;#nationalsecurity;"743507384748871680";https://twitter.com/AnderCrenshaw/status/743507384748871680
;2016-06-16 13:09;1;1;"Just voted to advance #counterterrorism bills. Vigilance is watchword in high-terror environment we live in. http:// tinyurl.com/zwsf3y2";;;#counterterrorism;"743505834760638464";https://twitter.com/AnderCrenshaw/status/743505834760638464
;2016-06-14 10:13;8;11;"On the 100th anniversary of #FlagDay , standing strong for freedom, against hatred and terrorism. pic.twitter.com/iywMTZQbKr";;;#FlagDay;"742736714540666880";https://twitter.com/AnderCrenshaw/status/742736714540666880
;2016-06-13 18:29;1;1;"pic.twitter.com/whng1OOGIj";;;;"742499197405007872";https://twitter.com/AnderCrenshaw/status/742499197405007872
;2016-06-12 13:47;2;5;". @FLGovScott , @FBI No matter the source, we will not let guard down against terrorism, hatred. #Orlando http:// tinyurl.com/zkd8fg9";;@FLGovScott @FBI;#Orlando;"742065892423524352";https://twitter.com/AnderCrenshaw/status/742065892423524352
;2016-06-12 08:31;8;4;"This morning, thoughts and prayers are with families, friends, loved ones of Orlando shooting victims.";;;;"741986362895831040";https://twitter.com/AnderCrenshaw/status/741986362895831040
;2016-06-09 17:51;3;3;"No time to waste in setting Puerto Rico on path to economic stability. Voted yes on #PROMESA http:// tinyurl.com/zj59259";;;#PROMESA;"741040065036619776";https://twitter.com/AnderCrenshaw/status/741040065036619776
