username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2017-06-14 08:22;17;43;"Thinking of our colleagues & staff involved in Alexandria baseball shooting. We are grateful to Capitol police for their service to us all.";;;;"874980298475352064";https://twitter.com/chelliepingree/status/874980298475352064
;2017-06-14 06:39;5;39;"Congratulations @emilyanncain on your new role as Executive Director of @emilyslist ! #mepolitics https://www. washingtonpost.com/politics/emily s-list-taps-a-washington-outsider-as-executive-director/2017/06/13/f1351932-509f-11e7-be25-3a519335381c_story.html?utm_term=.d693addd7318 …";;@emilyanncain @emilyslist;#mepolitics;"874954505661632512";https://twitter.com/chelliepingree/status/874954505661632512
;2017-06-13 13:50;3;9;"Joining colleagues to oppose slashing benefits for retired veterans who have been unable to work b/c of disabilities pic.twitter.com/w2Oz9lhFNI";;;;"874700636100734976";https://twitter.com/chelliepingree/status/874700636100734976
;2017-06-13 13:47;8;13;"By no means were veterans spared in President Trump’s budget request. https:// pingree.house.gov/media-center/p ress-releases/pingree-opposes-president-trump-s-budget-proposal-cut-benefits-retired …";;;;"874699846531379202";https://twitter.com/chelliepingree/status/874699846531379202
;2017-06-12 09:16;11;42;"As member of @LGBTEqCaucus , I mourn the violence against the #LGBT community that occurred a year ago today & stand with #Orlando https:// twitter.com/chelliepingree /status/874268809682710528 …";;@LGBTEqCaucus;#LGBT #Orlando;"874269152772534272";https://twitter.com/chelliepingree/status/874269152772534272
;2017-06-12 09:15;46;147;"I stand with my #LGBT constituents in commemorating #Pulse . Today, we mourn those we lost. Tomorrow, we fight for #equality in their memory. pic.twitter.com/wLDJBvUFCC";;;#LGBT #Pulse #equality;"874268809682710528";https://twitter.com/chelliepingree/status/874268809682710528
;2017-06-09 08:35;1;8;"Glad @SecretaryZinke will visit #Katahdin WW w/ open mind, hear from community thriving b/c of Monument #mepolitics http://www. foxbangor.com/news/item/2020 6-pingree-says-monument-is-good-for-maine-and-opponents-are-now-supporting-monument …";;@SecretaryZinke;#Katahdin #mepolitics;"873171624182284288";https://twitter.com/chelliepingree/status/873171624182284288
;2017-06-08 13:19;5;26;"I hope investigators in Congress, intelligence agencies thoroughly examine info presented by #Comey & follow every thread where it may lead";;;#Comey;"872880674285510656";https://twitter.com/chelliepingree/status/872880674285510656
;2017-06-08 13:17;9;41;"It’s v. unsettling for Americans to hear former FBI Dir #Comey say White House lied to public, he knows firing was result of investigation.";;;#Comey;"872880275692429312";https://twitter.com/chelliepingree/status/872880275692429312
;2017-06-08 11:44;10;35;"Today I will vote against #WrongChoiceAct (H.R. 10) b/c it will weaken oversight of financial industry #mepolitics https:// pingree.house.gov/media-center/p ress-releases/pingree-oppose-choice-act-says-legislation-weakens-oversight-financial …";;;#WrongChoiceAct #mepolitics;"872856777557147648";https://twitter.com/chelliepingree/status/872856777557147648
;2017-06-08 10:13;1;3;"In House Interior Appropriations Hearing, @SecretaryZinke says he looks forward to canoeing in #Maine next week. #mepolitics";;@SecretaryZinke;#Maine #mepolitics;"872834066403536897";https://twitter.com/chelliepingree/status/872834066403536897
