username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2017-03-01 13:54;2;17;"Congrats to these two scholar athletes! https:// twitter.com/MidlandHigh/st atus/837003121696129039 …";;;;"837028291596980226";https://twitter.com/ConawayTX11/status/837028291596980226
;2016-07-15 15:06;11;21;"Good governance = good government. Thank you @TheIIA for 75 years of promoting effective, efficient governance. #IIA75";;@TheIIA;#IIA75;"754044507159662594";https://twitter.com/ConawayTX11/status/754044507159662594
;2016-06-15 09:09;4;3;"Watch live as @HASCRepublicans receive an update from @DeptofDefense on 2017 audit goal --> https://www. youtube.com/watch?v=QnZs7j jCfKg …";;@HASCRepublicans @DeptofDefense;;"743083121046921216";https://twitter.com/ConawayTX11/status/743083121046921216
;2016-06-12 16:20;13;33;"Happy 92nd birthday to a truly great American, @GeorgeHWBush pic.twitter.com/53qfRnxsEm";;@GeorgeHWBush;;"742104289280155648";https://twitter.com/ConawayTX11/status/742104289280155648
;2016-06-07 08:44;8;11;"There is a #BetterWay to fight poverty in America. Watch live here: https://www. youtube.com/watch?v=_XeYeG l60zk …";;;#BetterWay;"740177549754531840";https://twitter.com/ConawayTX11/status/740177549754531840
;2016-04-22 14:40;0;2;"Today, as global threats to our safety increase so too must our number of carriers http:// bit.ly/1QsVlNB";;;;"723597277965737984";https://twitter.com/ConawayTX11/status/723597277965737984
;2016-04-13 08:20;3;4;". @HouseAgNews is dedicated to serving all of #ruralAmerica . Energy production directly impacts our nation’s #farmers and #ranchers .";;@HouseAgNews;#ruralAmerica #farmers #ranchers;"720240179781378049";https://twitter.com/ConawayTX11/status/720240179781378049
;2016-03-31 15:28;11;14;"The aircraft carrier is still a cornerstone of U.S. Naval strategy- critical to nat'l security now & in the future http:// onforb.es/1VbSTS7";;;;"715636926863249408";https://twitter.com/ConawayTX11/status/715636926863249408
;2015-10-20 17:51;3;6;"NDAA: Signed, sealed, delivered to the President's desk. Now it's his turn to #SignTheBill #NoVeto";;;#SignTheBill #NoVeto;"656603725029593088";https://twitter.com/ConawayTX11/status/656603725029593088
;2015-10-20 17:29;3;6;"Tonight, the Speaker signed the the National Defense Authorization Act to protect our troops and country #SignTheBill #NoVeto";;;#SignTheBill #NoVeto;"656598182944743424";https://twitter.com/ConawayTX11/status/656598182944743424
;2015-10-11 12:53;6;9;"Cool things are happening in #Midland , like this #OrbitalOutfitters spaceport facility http:// on.fb.me/1MpUpwu pic.twitter.com/ve00dcwLtN";;;#Midland #OrbitalOutfitters;"653267308702371841";https://twitter.com/ConawayTX11/status/653267308702371841
;2015-10-10 19:53;1;2;"In this week's #ConawayChronicle : Delivering the weekly #GOP Address, House votes to #LiftTheBan , and more: http:// 1.usa.gov/1LGwyKb";;;#ConawayChronicle #GOP #LiftTheBan;"653010536091811840";https://twitter.com/ConawayTX11/status/653010536091811840
;2015-10-10 07:50;3;3;"The weekly #Republican address, on a topic that is very important to #TX11 : America's energy future. Watch it here: http:// bit.ly/1L4OCdi";;;#Republican #TX11;"652828439184076801";https://twitter.com/ConawayTX11/status/652828439184076801
;2015-10-09 17:22;1;1;"Looking forward to delivering the weekly #Republican address on the need to #LiftTheBan http:// 1.usa.gov/1JXVHIL";;;#Republican #LiftTheBan;"652610089824686081";https://twitter.com/ConawayTX11/status/652610089824686081
;2015-10-09 12:25;4;5;"Bill to lift the oil export ban passes the House with resounding majority clearly signaling that it's time to #LiftTheBan";;;#LiftTheBan;"652535308941172738";https://twitter.com/ConawayTX11/status/652535308941172738
;2015-10-08 16:22;1;4;"RIGHT NOW: I am leading a discussion on the @HouseFloor on the importance of lifting the oil export ban. Watch live: http://www. c-span.org/networks/?chan nel=c-span …";;@HouseFloor;;"652232501415575552";https://twitter.com/ConawayTX11/status/652232501415575552
;2015-09-30 09:45;3;2;"Happy to support my friend and fellow Texan @PeteSessions for Majority Whip";;@PeteSessions;;"649233575359971328";https://twitter.com/ConawayTX11/status/649233575359971328
