username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2017-05-11 11:26;0;1;"Posey Awards Congressional Medal of Merit to Local High School Students https:// goo.gl/WSLAOn";;;;"862705367897309184";https://twitter.com/congbillposey/status/862705367897309184
;2017-04-26 16:22;1;4;"U.S. Mint contest to design Apollo 11 50th Anniversary Commemorative Coin https:// go.usa.gov/x58Fg";;;;"857344148852101120";https://twitter.com/congbillposey/status/857344148852101120
;2017-04-07 12:55;1;4;"Mariner-5 Memorial Dedication Set for Tuesday, April 11, 2017 https:// goo.gl/vxQhEh";;;;"850406662737448961";https://twitter.com/congbillposey/status/850406662737448961
;2017-03-31 09:55;6;32;"Congrats to SpaceX for a successful and historic launch and landing";;;;"847824577975726081";https://twitter.com/congbillposey/status/847824577975726081
;2017-03-30 11:31;5;9;"Great turnout at our first congressional estuary caucus briefing today pic.twitter.com/2uKt3mjrNU";;;;"847486514489565184";https://twitter.com/congbillposey/status/847486514489565184
;2017-03-01 13:15;4;14;"Posey Testimony Supports National Estuary Program and Lagoon Revitalization Efforts https:// goo.gl/9SkLU7";;;;"837018592667439118";https://twitter.com/congbillposey/status/837018592667439118
;2017-02-28 22:26;6;22;"Talking with Channel 13 News after President Trump's Address to Congress in Statuary Hall #JointAddress pic.twitter.com/x2DgIPVNWE";;;#JointAddress;"836794680704708612";https://twitter.com/congbillposey/status/836794680704708612
;2017-02-27 16:37;3;16;"New Bipartisan Congressional Caucus Formed to Support Our Lagoon https:// goo.gl/p21eso";;;;"836344459600228352";https://twitter.com/congbillposey/status/836344459600228352
;2017-02-22 15:28;2;11;"Posey Applauds the Return of Professional Boxing to Palm Bay https:// goo.gl/lQvHo8";;;;"834515209922416641";https://twitter.com/congbillposey/status/834515209922416641
;2017-02-22 10:15;2;11;"With Bill Hahn kidney advocate #mykidneysmylife pic.twitter.com/teUVq3AonP";;;#mykidneysmylife;"834436576490962950";https://twitter.com/congbillposey/status/834436576490962950
