username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2016-11-04 15:46;7;8;"Proud of dozens of #Wyoming witnesses who came to Washington to testify before my committees in my time in #Congress https:// youtu.be/jgF3Cw-4Gto";;;#Wyoming #Congress;"794642029724790784";https://twitter.com/CynthiaLummis/status/794642029724790784
;2016-11-04 15:46;6;4;"It is critical to maintain oversight of the federal government especially agencies that have big impacts on #Wyoming https:// youtu.be/jgF3Cw-4Gto";;;#Wyoming;"794641973227425792";https://twitter.com/CynthiaLummis/status/794641973227425792
;2016-11-04 15:46;4;5;"I shed light on how @POTUS minimum wage executive order is harming public land outfitters #Wyoming https:// youtu.be/jgF3Cw-4Gto";;@POTUS;#Wyoming;"794641898111647744";https://twitter.com/CynthiaLummis/status/794641898111647744
;2016-11-04 15:44;3;1;"Pushed @deptoflabour to change a visa worker rulemaking that could have put #Wyoming family ranches out of business https:// youtu.be/jgF3Cw-4Gto";;@deptoflabour;#Wyoming;"794641614606110720";https://twitter.com/CynthiaLummis/status/794641614606110720
;2016-11-04 15:44;1;1;"I fought @ENERGY uranium program that hurts #Wyoming #uranium miners https:// youtu.be/jgF3Cw-4Gto";;@ENERGY;#Wyoming #uranium;"794641561569083393";https://twitter.com/CynthiaLummis/status/794641561569083393
;2016-11-04 15:44;0;0;"Joined my colleagues to review Endangered Species Act & invasive species that affect #Wyoming https:// youtu.be/jgF3Cw-4Gto";;;#Wyoming;"794641517466058753";https://twitter.com/CynthiaLummis/status/794641517466058753
;2016-11-04 15:44;0;0;"We exposed how @EPA #WOTUS rule, anti #coal regulations & other federal actions put #Wyoming jobs & families at risk https:// youtu.be/jgF3Cw-4Gto";;@EPA;#WOTUS #coal #Wyoming;"794641407411634176";https://twitter.com/CynthiaLummis/status/794641407411634176
;2016-11-04 15:43;0;0;"We exposed the damage federal rules like the @BLMNational hydraulic fracturing rule would cause https:// youtu.be/jgF3Cw-4Gto";;@BLMNational;;"794641293901254656";https://twitter.com/CynthiaLummis/status/794641293901254656
;2016-11-04 15:43;1;2;"I chair @GOPoversight Subcommittee on the Interior to fight federal overreach in the #West https:// youtu.be/jgF3Cw-4Gto";;@GOPoversight;#West;"794641183624536064";https://twitter.com/CynthiaLummis/status/794641183624536064
;2016-11-04 15:43;1;1;"Under 8 years of President Obama congressional oversight has been a crucial tool in the fight for #Wyoming https:// youtu.be/jgF3Cw-4Gto";;;#Wyoming;"794641116058546176";https://twitter.com/CynthiaLummis/status/794641116058546176
;2016-10-21 15:54;1;6;"In @westerncaucus I’m working to delist #GrayWolf in #Wyoming and defund anti energy Executive Branch rules https:// youtu.be/Yb7bzu01S5c";;@westerncaucus;#GrayWolf #Wyoming;"789570648557379587";https://twitter.com/CynthiaLummis/status/789570648557379587
;2016-10-21 15:54;2;2;"As Chairman of Congressional @westerncaucus I worked for local control, private property rights, #EnergyIndependence https:// youtu.be/Yb7bzu01S5c";;@westerncaucus;#EnergyIndependence;"789570541858455553";https://twitter.com/CynthiaLummis/status/789570541858455553
;2016-10-21 15:53;0;3;"I am Chairman of the 54-Member Congressional @westerncaucus made decades ago for westerners to speak with 1 voice https:// youtu.be/Yb7bzu01S5c";;@westerncaucus;;"789570448073887746";https://twitter.com/CynthiaLummis/status/789570448073887746
;2016-10-21 15:53;2;3;". #Wyoming like much of the West has only 1 vote of 435 in US House. We must band together to protect our way of life https:// youtu.be/Yb7bzu01S5c";;;#Wyoming;"789570281614483456";https://twitter.com/CynthiaLummis/status/789570281614483456
;2016-10-14 14:29;0;2;"I continue working to secure an affordable & reliable energy future for America with #Wyoming energy leading the way https:// youtu.be/kxd_uIyUv6Q";;;#Wyoming;"787012483823304704";https://twitter.com/CynthiaLummis/status/787012483823304704
;2016-10-14 14:29;1;1;"Honored to serve on conference committee for the energy package, 1st debated by Congress in almost a decade https:// youtu.be/kxd_uIyUv6Q";;;;"787012388390375424";https://twitter.com/CynthiaLummis/status/787012388390375424
;2016-10-14 14:28;0;0;"I continue fighting federal efforts to keep our #coal & other natural resources in the ground https:// youtu.be/kxd_uIyUv6Q";;;#coal;"787012331473629184";https://twitter.com/CynthiaLummis/status/787012331473629184
;2016-10-14 14:28;0;0;"I work to keep #PublicLands open for responsible energy production https:// youtu.be/kxd_uIyUv6Q";;;#PublicLands;"787012278713454592";https://twitter.com/CynthiaLummis/status/787012278713454592
;2016-10-14 14:27;2;1;"Millions of Americans rely on #Wyoming energy and Wyoming relies on the revenue from that energy https:// youtu.be/kxd_uIyUv6Q";;;#Wyoming;"787012085012201472";https://twitter.com/CynthiaLummis/status/787012085012201472
;2016-10-14 14:27;2;0;"#Wyoming #coal #oil #gas & #uranium literally keep the lights on in America & power our economy https:// youtu.be/kxd_uIyUv6Q";;;#Wyoming #coal #oil #gas #uranium;"787012023435558912";https://twitter.com/CynthiaLummis/status/787012023435558912
;2016-10-07 15:48;3;3;". @NatResources work & decisions impact #Wyoming economy, culture, & way of life. It is truly #Wyoming ’s Committee https:// youtu.be/2Ds4Qwn0DJA";;@NatResources;#Wyoming #Wyoming;"784495515274661888";https://twitter.com/CynthiaLummis/status/784495515274661888
;2016-10-07 15:47;0;1;"I passed legislation to enable volunteers to clear and maintain trails in our National Forests. #Wyoming https:// youtu.be/2Ds4Qwn0DJA";;;#Wyoming;"784495262794407936";https://twitter.com/CynthiaLummis/status/784495262794407936
;2016-10-07 15:46;0;1;"Joined @SenatorEnzi & @SenJohnBarrasso to lower federal royalties on #Wyoming largest international export—soda ash https:// youtu.be/2Ds4Qwn0DJA";;@SenatorEnzi @SenJohnBarrasso;#Wyoming;"784495010427174912";https://twitter.com/CynthiaLummis/status/784495010427174912
;2016-10-07 15:45;0;2;"I formed a bipartisan coalition on legislation to reissue @USFWS decision to delist the gray #wolf in #Wyoming https:// youtu.be/2Ds4Qwn0DJA";;@USFWS;#wolf #Wyoming;"784494759599636480";https://twitter.com/CynthiaLummis/status/784494759599636480
;2016-10-07 15:44;1;3;"I exposed tens of millions in taxpayer-funded attorneys’ fees paid to groups that hurt #Wyoming families https:// youtu.be/2Ds4Qwn0DJA";;;#Wyoming;"784494507345735685";https://twitter.com/CynthiaLummis/status/784494507345735685
;2016-10-07 15:43;1;1;"On @NatResources I protected multiple-use of public lands in #Wyoming to produce energy, ranch, hunt, & recreate https:// youtu.be/2Ds4Qwn0DJA";;@NatResources;#Wyoming;"784494255733559296";https://twitter.com/CynthiaLummis/status/784494255733559296
;2016-10-07 15:42;0;4;"In 2009 I began my Congressional career on @NatResources and this year I will finish as Vice Chairman. https:// youtu.be/2Ds4Qwn0DJA";;@NatResources;;"784494003987156992";https://twitter.com/CynthiaLummis/status/784494003987156992
;2016-10-07 15:41;0;1;"1/2 #Wyoming is owned by federal agencies, which is why I serve on @NatResources that oversees these agencies https:// youtu.be/2Ds4Qwn0DJA";;@NatResources;#Wyoming;"784493752538767369";https://twitter.com/CynthiaLummis/status/784493752538767369
;2016-10-05 14:47;1;1;"We rest assured with missileers like Captain Fort manning land-based leg of US nuclear triad at F.E. Warren #Wyoming http:// nationalinterest.org/blog/the-buzz/ what-its-man-americas-lethal-underground-nuclear-arsenal-17910 …";;;#Wyoming;"783755520201154560";https://twitter.com/CynthiaLummis/status/783755520201154560
;2016-09-23 14:48;1;1;"We need to streamline the approval process so that generic #EpiPen can be made more affordable for the public https:// youtu.be/0bPtiOWc1as";;;#EpiPen;"779407025923059713";https://twitter.com/CynthiaLummis/status/779407025923059713
;2016-09-23 14:47;2;0;"Several generic versions of the #EpiPen have failed to be approved by the Food and Drug Administration https:// youtu.be/0bPtiOWc1as";;;#EpiPen;"779406978875555840";https://twitter.com/CynthiaLummis/status/779406978875555840
;2016-09-23 14:47;1;1;"Mylan produces #EpiPen & controls 90% of the market, retailing the drug for $600 for 2. in 2007 it cost $100 https:// youtu.be/0bPtiOWc1as";;;#EpiPen;"779406930221658112";https://twitter.com/CynthiaLummis/status/779406930221658112
;2016-09-23 14:47;2;2;". @GOPoversight held a hearing this week on the rising price of #EpiPen https:// youtu.be/0bPtiOWc1as";;@GOPoversight;#EpiPen;"779406839700152320";https://twitter.com/CynthiaLummis/status/779406839700152320
;2016-09-16 15:07;0;7;"President Obama needs to be less concerned with political points and more concerned with Americans' safety https:// youtu.be/Ekhlfmfft8k";;;;"776875061156253696";https://twitter.com/CynthiaLummis/status/776875061156253696
;2016-09-16 15:03;1;2;"Currently detainees can be transferred to other nations if conditions are met. 2 released this yr returned to fight https:// youtu.be/Ekhlfmfft8k";;;;"776874051809652736";https://twitter.com/CynthiaLummis/status/776874051809652736
;2016-09-16 15:00;0;3;"Voted w/ bipartisan majority to prohibit transfer of detainees from Guantánamo through end of President Obama’s term https:// youtu.be/Ekhlfmfft8k";;;;"776873403995140096";https://twitter.com/CynthiaLummis/status/776873403995140096
;2016-09-09 16:09;4;20;"As we remember the 3,000 Americans killed by the #September11 attacks we need to protect against future attacks https:// youtu.be/cEyGWeKC9TQ";;;#September11;"774354158069641216";https://twitter.com/CynthiaLummis/status/774354158069641216
;2016-09-09 16:09;1;4;"Sunday is the 15th anniversary of the terrorist attacks of #September 11 2001 https:// youtu.be/cEyGWeKC9TQ";;;#September;"774354032055967744";https://twitter.com/CynthiaLummis/status/774354032055967744
;2016-08-29 15:04;5;7;"This was some good work by the Economist exposing this waste of taxpayers’ money & the mismanagement of wild horses. http:// econ.st/2aWv6oM";;;;"770351333421490176";https://twitter.com/CynthiaLummis/status/770351333421490176
;2016-08-26 14:14;2;3;"Help celebrate @NPS Centennial and 100 years of our National Parks using #Findyourpark http:// bit.ly/2bmTfoT";;@NPS;#Findyourpark;"769251586786856960";https://twitter.com/CynthiaLummis/status/769251586786856960
;2016-08-24 13:55;1;1;"This Cattle Call highlights some of my work for #Wyoming in Washington, D.C. over the past 8 years http:// bit.ly/2bO0T9X";;;#Wyoming;"768522213486170113";https://twitter.com/CynthiaLummis/status/768522213486170113
;2016-07-15 16:40;2;1;"Bill would return #Wyoming #graywolf to state management, protect state’s uranium miners, & roll back @EPA overreach http:// bit.ly/29Wt47c";;@EPA;#Wyoming #graywolf;"754068128355737601";https://twitter.com/CynthiaLummis/status/754068128355737601
;2016-07-15 16:40;3;3;"To ensure #Wyoming voice was heard, I worked as Chairman of @WesternCaucus for Wyoming priorities in the legislation http:// bit.ly/29Wt47c";;@WesternCaucus;#Wyoming;"754068103466745857";https://twitter.com/CynthiaLummis/status/754068103466745857
;2016-07-15 16:39;1;0;"The bill is critical for #Wyoming covering @Interior , @EPA , @BLMNational , @NatlParkService , @ForestService & others http:// bit.ly/29Wt47c";;@Interior @EPA @BLMNational @NatlParkService @ForestService;#Wyoming;"754067993873805312";https://twitter.com/CynthiaLummis/status/754067993873805312
;2016-07-15 16:39;1;0;"We in the House completed & passed the 1st DOI, Environment, & Related Agencies Appropriations Act in 7 years http:// bit.ly/29Wt47c";;;;"754067960784879617";https://twitter.com/CynthiaLummis/status/754067960784879617
;2016-07-13 14:31;3;9;"I had the pleasure of meeting with the beautiful & graceful Jordyn Hall, Miss #Wyoming 2016! Making Wyoming proud! pic.twitter.com/mLkkpBHkGa";;;#Wyoming;"753310911297908736";https://twitter.com/CynthiaLummis/status/753310911297908736
;2016-07-08 16:41;0;0;"@HurdOnTheHill understands the dangers exposure of classified info creates for our country, watch his questions: http:// bit.ly/29HIkrb";;@HurdOnTheHill;;"751531796488134661";https://twitter.com/CynthiaLummis/status/751531796488134661
;2016-07-08 16:41;10;15;"Hilary Clinton sent classified info through unsecured servers in her basement, exposing it to enemy intelligence http:// bit.ly/29HIkrb";;;;"751531724635537414";https://twitter.com/CynthiaLummis/status/751531724635537414
;2016-07-08 16:41;8;10;"Joined a hearing to ask FBI Director why he recommended no charges against former Secretary Hilary Clinton http:// bit.ly/29HIkrb";;;;"751531684131180544";https://twitter.com/CynthiaLummis/status/751531684131180544
;2016-06-22 10:40;8;9;"Public education is not the problem; federal control of public education is the problem #LocalEducationFreedomAct http:// bit.ly/28NG9z3";;;#LocalEducationFreedomAct;"745642692437229568";https://twitter.com/CynthiaLummis/status/745642692437229568
;2016-06-22 10:38;2;6;"My bill would allow parents objecting to DC mandates to take kids & education $ elsewhere free of federal influence http:// bit.ly/28NG9z3";;;;"745642130606010369";https://twitter.com/CynthiaLummis/status/745642130606010369
;2016-06-22 10:33;1;3;"School systems get to choose to accept federal mandates or not. My bill would give parents that same choice http:// bit.ly/28NG9z3";;;;"745640931337076736";https://twitter.com/CynthiaLummis/status/745640931337076736
;2016-06-22 10:28;3;3;"Washington provides appx 10% funding for public schools & imposes 100% federal mandates undermining local education http:// bit.ly/28NG9z3";;;;"745639535623692288";https://twitter.com/CynthiaLummis/status/745639535623692288
;2016-06-22 10:24;1;4;"I introduced the Local Education Freedom Act (LEFA) of 2016 in response to federal mandates interfering w/ education http:// bit.ly/28NG9z3";;;;"745638655356710912";https://twitter.com/CynthiaLummis/status/745638655356710912
;2016-06-17 16:16;3;4;"I hosted #Wyoming Superintendent Jillian Balow and Alex Kean of #WY Economic Analysis Division at a hearing on coal http:// bit.ly/261qYMg";;;#Wyoming #WY;"743915146334994432";https://twitter.com/CynthiaLummis/status/743915146334994432
;2016-06-15 16:17;4;10;"Met with very impressive college students from #Wyoming in Washington, D.C being recognized by GEAR UP. Way to go! pic.twitter.com/xLXxVqinuD";;;#Wyoming;"743190680042889216";https://twitter.com/CynthiaLummis/status/743190680042889216
;2016-06-10 16:23;6;5;"We voted to condemn proposals to tax carbon & hike taxes on oil that would raise costs for food, healthcare & transportation. #Wyoming";;;#Wyoming;"741380342901280768";https://twitter.com/CynthiaLummis/status/741380342901280768
;2016-06-06 11:55;5;10;"Honor the courage & sacrifice that won the day 72 years ago on the beaches of Normandy. Remember the heroes of #DDay pic.twitter.com/wU5sjiF0Mb";;;#DDay;"739863183159087104";https://twitter.com/CynthiaLummis/status/739863183159087104
;2016-05-27 16:22;2;0;"On committee I’ll push #Wyoming issues: forest stewardship, water storage & returning gray wolf to state management http:// bit.ly/1P3xytL";;;#Wyoming;"736306490173071360";https://twitter.com/CynthiaLummis/status/736306490173071360
