username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2017-06-14 09:29;10;8;"Loebsack Statement on the Congressional Baseball Practice Shooting https:// goo.gl/eTN2H3";;;;"874997145421656067";https://twitter.com/daveloebsack/status/874997145421656067
;2017-06-13 12:05;0;2;"Excited to sit down and chat with @IRISReadsToIowa . Such a great and important service they provide! pic.twitter.com/Tjp93Jr1kN";;@IRISReadsToIowa;;"874674135271690240";https://twitter.com/daveloebsack/status/874674135271690240
;2017-06-08 09:40;3;4;"As always, it was great meeting with you as well! https:// twitter.com/petejeffries/s tatus/872568697394786310 …";;;;"872825564230537216";https://twitter.com/daveloebsack/status/872825564230537216
;2017-05-31 11:16;9;17;"By pulling out of the #Parisclimateaccord , @POTUS has once again signaled his lack of a commitment to addressing climate change";;@POTUS;#Parisclimateaccord;"869950623596367873";https://twitter.com/daveloebsack/status/869950623596367873
;2017-05-29 10:42;4;15;"Happy #MemorialDay ! As you gather w loved ones take time to honor the heroes who served overseas & gave the ultimate sacrifice to our nation";;;#MemorialDay;"869217307343638533";https://twitter.com/daveloebsack/status/869217307343638533
;2017-05-28 15:34;0;16;"Congrats to @UIBaseball on winning their first ever Big 10 baseball tournament!";;@UIBaseball;;"868928468641296384";https://twitter.com/daveloebsack/status/868928468641296384
;2017-05-24 16:57;7;12;"Loebsack: New CBO Score Reaffirms Republicans’ Healthcare Repeal Plan Will Rip Coverage from Millions of Americans https:// goo.gl/6FIW0r";;;;"867499820084318208";https://twitter.com/daveloebsack/status/867499820084318208
;2017-05-18 15:19;8;7;"Loebsack Introduces Legislation to Modernize Nation’s Schools https:// goo.gl/WHEVv9";;;;"865300862993932288";https://twitter.com/daveloebsack/status/865300862993932288
;2017-05-16 20:38;22;60;"If #ComeyMemo isn't reason enough for an independent investigation, nothing is";;;#ComeyMemo;"864656454212517888";https://twitter.com/daveloebsack/status/864656454212517888
;2017-05-14 09:52;3;12;"To all of the hard working, loving and strong moms out there, Happy #MothersDay !";;;#MothersDay;"863769040527007744";https://twitter.com/daveloebsack/status/863769040527007744
;2017-05-09 20:00;43;112;"Comey's firing is an abuse of power & flies in the face of the rule of law. No question we must now have independent investigator re Russia";;;;"862110009165066242";https://twitter.com/daveloebsack/status/862110009165066242
;2017-05-09 13:10;1;3;"Loebsack Announces Winner of 2017 Congressional Art Contest People’s Choice Award https:// goo.gl/V2HvIQ";;;;"862006940108455936";https://twitter.com/daveloebsack/status/862006940108455936
;2017-05-08 16:14;6;29;"Loebsack Introduces Legislation to Improve Access to Mental Health Services https:// goo.gl/6qHGDv";;;;"861690832382021632";https://twitter.com/daveloebsack/status/861690832382021632
;2017-05-05 14:41;2;13;"I've always had a great time at Knoxville's @peacetreebrew . Another great small business success story in Iowa. @iowasbdc #SmallBusinessWeek";;@peacetreebrew @iowasbdc;#SmallBusinessWeek;"860580182419275776";https://twitter.com/daveloebsack/status/860580182419275776
;2017-05-04 15:09;12;20;"Loebsack Statement on House Passage of Republicans’ Healthcare Repeal Bill https:// goo.gl/r2LBAk";;;;"860224966377316353";https://twitter.com/daveloebsack/status/860224966377316353
;2017-05-04 09:07;4;7;"Today we celebrate Chief Brew in Wapello for #SmallBusinessWeek . After working w @IowaSBDC to develop a plan, the shop is up and thriving!";;@IowaSBDC;#SmallBusinessWeek;"860133763442978816";https://twitter.com/daveloebsack/status/860133763442978816
;2017-05-03 16:03;3;14;"Year-Round Pell Grant Eligibility for Students that Loebsack & @RepCheri Fought for Included in Today’s Omnibus Legislation https://goo.g...";;@RepCheri;;"859876153007509505";https://twitter.com/daveloebsack/status/859876153007509505
