username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2017-06-14 08:36;8;33;"Praying for the quick & full recovery of my friend & colleague @SteveScalise & those injured this morning.";;@SteveScalise;;"874983964301303808";https://twitter.com/davereichert/status/874983964301303808
;2017-06-13 22:15;3;17;"Sending prayers to the families of fallen Newport police Lt. Weatherford and the Newport Police Department family";;;;"874827625218285569";https://twitter.com/davereichert/status/874827625218285569
;2017-06-13 22:08;1;8;"Sending prayers to the families of fallen Georgia Corrections Officers Monica and Billue and the Georgia Corrections family @GA_Corrections";;@GA_Corrections;;"874825903443857409";https://twitter.com/davereichert/status/874825903443857409
;2017-06-13 16:27;1;12;"Could not be more proud of @NationalHistory winner Kelsey Ballard of @KentSchools415 pic.twitter.com/skoVFf5cSh";;@NationalHistory @KentSchools415;;"874740006836981762";https://twitter.com/davereichert/status/874740006836981762
;2017-06-07 16:48;3;9;"Today we celebrate #50forJerusalem to commemorate the reunification of Jerusalem & the resolve of our friend & ally, Israel.";;;#50forJerusalem;"872570923290906625";https://twitter.com/davereichert/status/872570923290906625
;2017-06-07 16:44;0;5;"Thank you @WestSideBabySEA for the important services you provide for our region’s children in-need. pic.twitter.com/Ia6iNVvWsD";;@WestSideBabySEA;;"872570018134937600";https://twitter.com/davereichert/status/872570018134937600
;2017-06-06 15:45;2;5;"On #SecureLoadsDay we must take steps to raise awareness about the dangers of unsecured loads. http:// reichert.house.gov/press-release/ reichert-recognizes-national-secure-loads-day …";;;#SecureLoadsDay;"872192754318757890";https://twitter.com/davereichert/status/872192754318757890
;2017-06-06 13:51;1;13;"Seventy-three years ago today, thousands of brave Americans sacrificed their lives on the beaches of Normandy for our freedom. #DDay pic.twitter.com/RIjjGgUvpF";;;#DDay;"872163984123850752";https://twitter.com/davereichert/status/872163984123850752
;2017-06-04 16:18;1;15;"On @SurvivorsDay we #celebratelife and commit ourselves to continuing the fight against cancer.";;@SurvivorsDay;#celebratelife;"871476169815842816";https://twitter.com/davereichert/status/871476169815842816
;2017-06-02 12:23;10;18;"Thanks to @strongnationUSA for stopping by my Issaquah office to discuss the importance of investing in our children. pic.twitter.com/MDeso45aEA";;@strongnationUSA;;"870692304801021953";https://twitter.com/davereichert/status/870692304801021953
;2017-06-01 14:16;2;5;"Enjoyed meeting with local members of the @WeRRestaurants to discuss priorities in the hospitality industry. pic.twitter.com/fFogD8KbTQ";;@WeRRestaurants;;"870358480603009025";https://twitter.com/davereichert/status/870358480603009025
;2017-05-31 14:12;2;2;"Thanks to the @mainstreetweets of Washington and local small business owners for stopping by my office! pic.twitter.com/JI2x3UN7St";;@mainstreetweets;;"869994919082958849";https://twitter.com/davereichert/status/869994919082958849
;2017-05-29 07:54;0;7;"Sending prayers to @LincolnCountySF & loved ones of Sheriff's Deputy William Durr and those who were killed in MS.";;@LincolnCountySF;;"869175130341224448";https://twitter.com/davereichert/status/869175130341224448
