username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2017-06-14 16:46;3;7;"Happy 71st birthday @POTUS @realDonaldTrump ! #HBD";;@POTUS @realDonaldTrump;#HBD;"875107129161592832";https://twitter.com/DesJarlaisTN04/status/875107129161592832
;2017-06-14 11:51;7;11;"“And the Army goes rolling along.” Celebrating 242 years of selfless service to this great Nation and the world. #HBDArmy #TN04 pic.twitter.com/ttyNKuAWLp";;;#HBDArmy #TN04;"875032922008543232";https://twitter.com/DesJarlaisTN04/status/875032922008543232
;2017-06-14 11:19;12;22;"Grateful for @CapitolPolice & others who prevented the shooter this morning from harming more people. Praying for my friend @SteveScalise .";;@CapitolPolice @SteveScalise;;"875024958119915520";https://twitter.com/DesJarlaisTN04/status/875024958119915520
;2017-06-14 11:05;3;8;"Since 1776 there has been 27 changes to the American Flag, but one thing that remains the same is the Freedom it brings! #FlagDay pic.twitter.com/QQFu9J1Eun";;;#FlagDay;"875021292738682884";https://twitter.com/DesJarlaisTN04/status/875021292738682884
;2017-06-12 16:26;2;5;"#MSM has been pushing a false narrative. Comparatively, the 115th Congress and the Trump Administration has been the most productive. https:// twitter.com/GOPLeader/stat us/872874701915394049 …";;;#MSM;"874377304465657860";https://twitter.com/DesJarlaisTN04/status/874377304465657860
;2017-06-12 13:19;2;6;"Secretary of Defense James Mattis will be joining myself and full committee this evening to discuss #FY18NDAA https:// twitter.com/hascrepublican s/status/874323743056814080 …";;;#FY18NDAA;"874330278138966017";https://twitter.com/DesJarlaisTN04/status/874330278138966017
;2017-06-09 10:16;2;2;"#MSM tries 2 disrupt @POTUS ' agenda by any means necessary & conveniently failed 2 report Comey leaks. #DeepState http:// bit.ly/2s4N4yF";;@POTUS;#MSM #DeepState;"873197061801476097";https://twitter.com/DesJarlaisTN04/status/873197061801476097
;2017-06-09 09:16;7;8;"Proud to support Financial Choice Act and an end to big bank bailouts. http:// bit.ly/2slCh3A #TN04";;;#TN04;"873182004665298944";https://twitter.com/DesJarlaisTN04/status/873182004665298944
;2017-06-08 15:03;2;2;"Congrats to my friend and colleague @TGowdySC for earning the backing of the Steering Committee. @GOPoversight https:// twitter.com/jasoninthehous e/status/872896237632192512 …";;@TGowdySC @GOPoversight;;"872906888723267585";https://twitter.com/DesJarlaisTN04/status/872906888723267585
;2017-06-08 14:27;2;4;"#TBT to me questioning Former FBI Director James Comey @GOPoversight #ComeyHearing pic.twitter.com/QMcsGhfGS8";;@GOPoversight;#TBT #ComeyHearing;"872897868214005761";https://twitter.com/DesJarlaisTN04/status/872897868214005761
