username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2017-06-14 16:03;2;11;"As an Army vet, I want to wish the @USArmy a happy birthday! Thankful for the brave men & women who have defended our nation for 242 yrs.";;@USArmy;;"875096305776959493";https://twitter.com/DrPhilRoe/status/875096305776959493
;2017-06-14 09:57;11;19;"I am incredibly thankful for the brave actions of the @CapitolPolice officers and first responders at the scene. https:// twitter.com/DrPhilRoe/stat us/875004097795162112 …";;@CapitolPolice;;"875004240225325057";https://twitter.com/DrPhilRoe/status/875004240225325057
;2017-06-14 09:56;3;13;"This morning’s shooting was a senseless & shocking act. My prayers are with @SteveScalise and everyone who was at practice this morning.";;@SteveScalise;;"875004097795162112";https://twitter.com/DrPhilRoe/status/875004097795162112
;2017-06-13 12:47;7;29;"ICYMI: This morning I spoke at @HouseGOP 's press conference about bringing accountability to @DeptVetAffairs . Watch: http:// bit.ly/2rrFSJ2";;@HouseGOP @DeptVetAffairs;;"874684724102475776";https://twitter.com/DrPhilRoe/status/874684724102475776
;2017-06-12 14:51;17;67;"Thank you for your leadership, @MarkWarner . Honored to move forward this piece of legislation. It has a personal touch to me as well. https:// twitter.com/MarkWarner/sta tus/874326895252443136 …";;@MarkWarner;;"874353524628475904";https://twitter.com/DrPhilRoe/status/874353524628475904
;2017-06-08 15:45;2;4;"The #CHOICEAct is a better way to protect consumers and create opportunities for all Americans. My statement: http:// bit.ly/2rRbwkO https:// twitter.com/DrPhilRoe/stat us/872916972459229184 …";;;#CHOICEAct;"872917548135788544";https://twitter.com/DrPhilRoe/status/872917548135788544
;2017-06-08 15:43;1;2;"FACT: #DoddFrank has made it more expensive for families to plan for retirement, send a child to college or open up a business. pic.twitter.com/V2XAyY0aJO";;;#DoddFrank;"872916972459229184";https://twitter.com/DrPhilRoe/status/872916972459229184
;2017-06-08 11:22;2;0;"Proud to join @Edworkforce in introducing legislation to protect access to affordable retirement advice. More: http:// bit.ly/2rQrpbo";;@Edworkforce;;"872851234520223744";https://twitter.com/DrPhilRoe/status/872851234520223744
;2017-06-08 08:49;4;2;"I enjoyed talking with @ConnectingVets about VA issues. You can watch the full interview here: https://www. youtube.com/watch?v=DGp4m3 j_O4U&t … @CBSRadio";;@ConnectingVets @CBSRadio;;"872812869989142529";https://twitter.com/DrPhilRoe/status/872812869989142529
;2017-06-07 16:07;6;17;"Read this week's column about the Financial Choice Act which helps families plan & save for their future: http:// bit.ly/2rWGkTb #CHOICEact";;;#CHOICEact;"872560738019278848";https://twitter.com/DrPhilRoe/status/872560738019278848
