username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2017-06-14 09:12;66;182;"Given today’s events, no votes are expected in the House today.";;;;"874992922051084290";https://twitter.com/GOPLeader/status/874992922051084290
;2017-06-14 08:33;60;168;"As we pray for full recoveries, we know we have witnessed again the incredible bravery of the Capitol Police.";;;;"874983227538190336";https://twitter.com/GOPLeader/status/874983227538190336
;2017-06-14 08:33;23;85;"This is a tragic moment for their families, loved ones, and the entire community on Capitol Hill.";;;;"874983059409559552";https://twitter.com/GOPLeader/status/874983059409559552
;2017-06-14 08:32;49;183;"Judy and I are praying deeply for our friend Steve, the members of Capitol Police, and staff who were wounded.";;;;"874982944846336000";https://twitter.com/GOPLeader/status/874982944846336000
;2017-06-14 05:25;44;109;"REAL NEWS → Yesterday, the House voted 368 to 55 on a sweeping VA accountability bill. Next stop @POTUS ’ desk. http://www. cnn.com/2017/06/13/pol itics/veterans-affairs-bill-passes-house/index.html …";;@POTUS;;"874935699929272320";https://twitter.com/GOPLeader/status/874935699929272320
;2017-06-13 15:32;33;83;"Once @POTUS signs #VAaccountability into law, I predict we'll begin to see a much needed-cultural change at the VA. https://www. majorityleader.gov/2017/06/13/va- reform-presidents-desk/ …";;@POTUS;#VAaccountability;"874726174223724549";https://twitter.com/GOPLeader/status/874726174223724549
;2017-06-13 10:22;1794;6798;"Today, we’ll vote on major bipartisan legislation to help our veterans get better care and better results from the VA. #VAaccountability pic.twitter.com/X4WP0VAeqO";;;#VAaccountability;"874648127042707456";https://twitter.com/GOPLeader/status/874648127042707456
;2017-06-13 10:15;34;127;"With @SecShulkin & @POTUS , we now have leaders who are willing to shake up the VA and institute meaningful reforms https://www. majorityleader.gov/2017/06/13/con gress-will-pass-va-reforms/ …";;@SecShulkin @POTUS;;"874646346048864257";https://twitter.com/GOPLeader/status/874646346048864257
;2017-06-12 09:41;73;281;"Wishing former Bakersfield resident, President @GeorgeHWBush the happiest of birthdays today as he turns 93 years young! #41 pic.twitter.com/WX3nTmehlG";;@GeorgeHWBush;#41;"874275385885814785";https://twitter.com/GOPLeader/status/874275385885814785
;2017-06-08 12:55;626;1050;"To date, the Republican-led House has passed 158 bills, making it the most productive in the modern-era. https://www. majorityleader.gov/2017/06/08/con gress-hits-new-productivity-highs/ … pic.twitter.com/bgvVr97B8d";;;;"872874701915394049";https://twitter.com/GOPLeader/status/872874701915394049
;2017-06-07 12:44;2672;7807;"I’ve scheduled it for the floor on Tuesday. It will be on your desk next week. Our vets deserve the best. #MAGA https:// twitter.com/realDonaldTrum p/status/872258719404482561 …";;;#MAGA;"872509478469500931";https://twitter.com/GOPLeader/status/872509478469500931
;2017-06-07 12:04;35;86;"“ #CHOICEAct could eliminate $10B in annual regulatory costs and save 10.3 million hours of paperwork.” - @AAF http:// bit.ly/2sE9Ue3 pic.twitter.com/tRgMFz0i4t";;@AAF;#CHOICEAct;"872499635650220036";https://twitter.com/GOPLeader/status/872499635650220036
