username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2017-06-14 08:24;2;11;"Praying for @SteveScalise and all my colleagues who were attacked, their staff,Cap Police officers & others affected https:// apnews.com/3e84732a7d594e edba6fae5dd10808b7/Top-House-GOP-leader-shot-at-congressional-baseball-practice …";;@SteveScalise;;"874980971392753664";https://twitter.com/gracenapolitano/status/874980971392753664
;2017-06-13 13:44;6;12;"By revising #TrumpCare in secret Senate Rs attempting to hide devastating impacts, like reducing access to lifesaving #mentalhealth services";;;#TrumpCare #mentalhealth;"874699132773990400";https://twitter.com/gracenapolitano/status/874699132773990400
;2017-06-12 13:37;2;6;"Congrats to all who competed in 1st Annual Carpenters Classic on Saturday! Great seeing all of you & hats off to Martin Bros w/ 1st title! pic.twitter.com/Z2Al3PVYRv";;;;"874334736432410628";https://twitter.com/gracenapolitano/status/874334736432410628
;2017-06-08 12:45;12;50;"Fmr FBI Director James Comey says Russia hacked our election & will be back. Need for independent commission now more crucial than ever.";;;;"872872305327820801";https://twitter.com/gracenapolitano/status/872872305327820801
;2017-06-08 10:02;1;4;"Trump’s plan gives airlines ability to fly where they want, when they want. Would have major impacts on airplane noise over SGV residences.";;;;"872831321793581056";https://twitter.com/gracenapolitano/status/872831321793581056
;2017-06-08 10:01;2;4;"Under Trump’s plan, airlines would have been able to decide routes without ANY input from public or oversight from reps. in Congress";;;;"872830875314028545";https://twitter.com/gracenapolitano/status/872830875314028545
;2017-06-08 09:59;0;2;"Govt-led process ensured new traffic routes did not negatively impact the San Gabriel Valley. #DontPrivatizeOurSkies";;;#DontPrivatizeOurSkies;"872830499739381760";https://twitter.com/gracenapolitano/status/872830499739381760
;2017-06-08 09:58;2;6;". @FAANews conducted process in SoCal to change flight routes to make air travel more efficient w/ sign-off from public & Members of Congress";;@FAANews;;"872830180305362945";https://twitter.com/gracenapolitano/status/872830180305362945
;2017-06-08 09:50;1;4;"We cannot let corporations operate #ATC system & risk cuts to workers’ pay & benefits. #DontPrivatizeOurSkies";;;#ATC #DontPrivatizeOurSkies;"872828227009617920";https://twitter.com/gracenapolitano/status/872828227009617920
;2017-06-08 09:46;1;6;"Trump’s aviation plan gives airlines authority to prioritize profit in flight operations over safety. #DontPrivatizeOurSkies";;;#DontPrivatizeOurSkies;"872827086423064580";https://twitter.com/gracenapolitano/status/872827086423064580
;2017-06-07 11:11;0;2;"Wall Street reform has empowered consumers like never before. We will not go back! #ConsumersFirst";;;#ConsumersFirst;"872486158080638976";https://twitter.com/gracenapolitano/status/872486158080638976
;2017-06-01 18:28;9;21;"Despite Trump’s recklessness we will work w/ all entities,prioritizing public health/future of planet over corporate profits #ParisAgreement pic.twitter.com/e1R5lfvWcO";;;#ParisAgreement;"870421932038119424";https://twitter.com/gracenapolitano/status/870421932038119424
;2017-06-01 07:48;11;18;"Read the Op-Ed I co-wrote w/ @RepRoybalAllard & @RepJayapal on how immigration policies hurt kids' mental health: http:// thehill.com/blogs/congress -blog/politics/335795-harsh-us-immigration-policies-are-causing-mental-social-harm-to …";;@RepRoybalAllard @RepJayapal;;"870260727206031360";https://twitter.com/gracenapolitano/status/870260727206031360
;2017-05-29 17:34;1;6;"Humbled to join the communities of @CityofElMonte @cityofazusa @cityoflaverne in remembrance of our fallen heroes.";;@CityofElMonte @cityofazusa @cityoflaverne;;"869320968656658432";https://twitter.com/gracenapolitano/status/869320968656658432
;2017-05-29 17:29;2;12;"Today we pay tribute to the men and women who gave their lives in service to our nation and all those who love them. #MemorialDay pic.twitter.com/bz6qRzenrM";;;#MemorialDay;"869319776316739584";https://twitter.com/gracenapolitano/status/869319776316739584
