username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2017-06-14 08:03;76;265;"My staff and I are safe. We are praying for Rep. Scalise, the staffer and the two Capitol police officers who were injured this morning.";;;;"874975600745877504";https://twitter.com/GreggHarper/status/874975600745877504
;2017-06-13 12:05;3;10;"Great to have my friend Dr. Gary Butler with @CamgianMicro up on Capitol Hill today for the @HouseCommerce #SubDCCP #hearing & #IOTshowcase pic.twitter.com/i1e44OdQG6";;@CamgianMicro @HouseCommerce;#SubDCCP #hearing #IOTshowcase;"874673993101574145";https://twitter.com/GreggHarper/status/874673993101574145
;2017-06-09 10:46;4;17;"Today is the 138th day of the Trump administration—during that time, this GOP-led House has been the most productive in the modern era! pic.twitter.com/bZzvMRB0fK";;;;"873204720718032897";https://twitter.com/GreggHarper/status/873204720718032897
;2017-06-07 15:00;3;6;"There's something fundamentally wrong with a #backseatdriver in a #selfdriving car! @Audi @HouseCommerce @boblatta pic.twitter.com/YAIeOOJ3Rb";;@Audi @HouseCommerce @boblatta;#backseatdriver #selfdriving;"872543722499604480";https://twitter.com/GreggHarper/status/872543722499604480
;2017-06-07 14:46;2;7;"Yesterday I joined Chairman @boblatta in a test drive of the #audi A7 piloted driving prototype #selfdriving car. @HouseCommerce pic.twitter.com/G3Bc7apCop";;@boblatta @HouseCommerce;#audi #selfdriving;"872540187288633346";https://twitter.com/GreggHarper/status/872540187288633346
;2017-06-07 11:07;1;19;"Happy birthday to our Vice President Mike Pence! May God continue to bless him and his family. @VP";;@VP;;"872485185807372288";https://twitter.com/GreggHarper/status/872485185807372288
;2017-06-06 13:41;2;12;"So honored to speak to the summer interns on Capitol Hill to kick off the 2017 #InternLectureSeries hosted by @HouseAdmnGOP . pic.twitter.com/deL10YGNF9";;@HouseAdmnGOP;#InternLectureSeries;"872161583484502023";https://twitter.com/GreggHarper/status/872161583484502023
;2017-06-06 08:56;13;34;"73 years ago today, thousands of American & Allied soldiers stormed the beaches of Normandy to fight tyranny & defend freedom. We remember. pic.twitter.com/nQg24ZAQSl";;;;"872089913818329088";https://twitter.com/GreggHarper/status/872089913818329088
;2017-06-05 13:02;1;6;"This May was #NFawarenessMonth but its never too late to shine a light on NF–Check out http:// ctf.org to see how we can help #EndNF pic.twitter.com/jTd9ofjEH9";;;#NFawarenessMonth #EndNF;"871789393362784257";https://twitter.com/GreggHarper/status/871789393362784257
;2017-06-01 21:14;0;0;"Thank you so much. Psalm 118:24";;;;"870463554163326976";https://twitter.com/GreggHarper/status/870463554163326976
;2017-06-01 21:14;1;0;"Thank you so much. Psalm 118:24";;;;"870463514330021889";https://twitter.com/GreggHarper/status/870463514330021889
;2017-06-01 21:13;0;0;"Thank you so much! Psalm 118:24";;;;"870463344297127936";https://twitter.com/GreggHarper/status/870463344297127936
;2017-06-01 21:12;0;2;"Thank you so much. Psalm 118:24";;;;"870463141276143616";https://twitter.com/GreggHarper/status/870463141276143616
;2017-06-01 11:28;4;8;"It was my honor to celebrate with you today @MCEFWorks Psalm 118:24 https:// twitter.com/mcefworks/stat us/870314530554990593 …";;@MCEFWorks;;"870316053754126336";https://twitter.com/GreggHarper/status/870316053754126336
;2017-06-01 11:27;3;7;"Enjoyed discussing the issues going on across our country and abroad with Channel 12 @WJTV Thanks @AndrewWJTV ! pic.twitter.com/Np0apyzlCu";;@WJTV @AndrewWJTV;;"870315948707729408";https://twitter.com/GreggHarper/status/870315948707729408
;2017-06-01 07:25;3;8;"Tune in now to @supertalk as I come on the @paulgalloshow to discuss today's issues.";;@supertalk @paulgalloshow;;"870255015960510464";https://twitter.com/GreggHarper/status/870255015960510464
;2017-05-31 14:22;0;8;"Thanks to the Rotary Club of McComb for inviting me to come speak today. It's always a pleasure! pic.twitter.com/SkJqxkzMCj";;;;"869997453717553153";https://twitter.com/GreggHarper/status/869997453717553153
;2017-05-31 13:22;4;19;"It was my honor to speak to the 2017 delegates of @MS_Boysstate earlier this week about the importance of faith & servant leadership. https:// twitter.com/ms_boysstate/s tatus/869370620009742336 …";;@MS_Boysstate;;"869982556233515008";https://twitter.com/GreggHarper/status/869982556233515008
;2017-05-31 10:44;0;2;"It was my honor to speak to the 2017 delegates of @MS_Boysstate";;@MS_Boysstate;;"869942665852399616";https://twitter.com/GreggHarper/status/869942665852399616
;2017-05-29 12:47;0;20;"Enjoyed speaking @the Rankin County Memorial Day program and visiting with Thomas & Lisa Coleman, and their daughters Catherine & Caroline. pic.twitter.com/U26eNetAEH";;@the;;"869248821058043904";https://twitter.com/GreggHarper/status/869248821058043904
;2017-05-24 09:50;6;16;"New Report shows that Obamacare spiked premiums by 105% since '13! We need to give relief to those who are hurting under this failed policy. pic.twitter.com/EzRw4srNou";;;;"867392302091784194";https://twitter.com/GreggHarper/status/867392302091784194
;2017-05-23 12:55;5;10;"ICYMI: I spoke about @msstate @ASSUREuas important research on UAS/drones during the @HouseCommerce #DCCP hearing: https:// youtu.be/-HCIygm-oNA";;@msstate @ASSUREuas @HouseCommerce;#DCCP;"867076499849052160";https://twitter.com/GreggHarper/status/867076499849052160
;2017-05-20 10:16;3;15;"pic.twitter.com/YMfBPezc1o";;;;"865949363725639681";https://twitter.com/GreggHarper/status/865949363725639681
;2017-05-17 17:28;1;3;"Thank you Kevin Yates and @SiemensUSA for the tour of your living energy lab semi – parked on Capitol Hill as part of #infrastructureweek pic.twitter.com/jFeuTvcoYZ – bei Capitol Hill";;@SiemensUSA;#infrastructureweek;"864970923581075457";https://twitter.com/GreggHarper/status/864970923581075457
;2017-05-17 13:03;5;18;"I want to say a big thank you to the men & women in MS and across the country who protect us from harm, keep the peace, & carry out justice. pic.twitter.com/fozkNOiUCM";;;;"864904206771204096";https://twitter.com/GreggHarper/status/864904206771204096
;2017-05-16 19:49;1;10;"Great to see you today and thank you for all that you do! https:// twitter.com/bnickles/statu s/864598947855257603 …";;;;"864643979563991040";https://twitter.com/GreggHarper/status/864643979563991040
;2017-05-16 19:48;3;14;"Great to be with Dr. Claude Brunson to hear @agordonreed , author of "Thomas Jefferson and Sally Hemings: An American Controversy." pic.twitter.com/6gNzfITBXo – bei Library of Congress";;@agordonreed;;"864643773325860867";https://twitter.com/GreggHarper/status/864643773325860867
;2017-05-15 12:29;1;6;"I enjoyed speaking to the Rankin First Committee of 100 today & hearing from them on how I can best continue to serve the people of MS. pic.twitter.com/5OXCd3XuNV";;;;"864170844536410112";https://twitter.com/GreggHarper/status/864170844536410112
;2017-05-11 10:43;5;22;"Aetna to completely pull out of Obamacare by '18! Dems should send the GOP thank you notes for repealing and replacing the failed Obamacare!";;;;"862694777548099584";https://twitter.com/GreggHarper/status/862694777548099584
;2017-05-03 16:48;1;10;"Thank you @drsampat for inviting me to speak with the Am. Assoc of Physicians of Indian Origin this afternoon, and thank you for all you do! pic.twitter.com/HNCMI2ktEV";;@drsampat;;"859887395428343808";https://twitter.com/GreggHarper/status/859887395428343808
;2017-05-03 14:08;2;10;"Today I spoke on the House floor to honor the memory of Matthew McClanahan. Our thoughts and prayers are with the McClanahan family. pic.twitter.com/168krIMEv9";;;;"859847073465851904";https://twitter.com/GreggHarper/status/859847073465851904
;2017-05-01 16:35;0;5;"Follow my instagram account for updates & photos as I serve the people of Mississippi in our nation's capital! http:// bit.ly/GHIG115";;;;"859159353517068288";https://twitter.com/GreggHarper/status/859159353517068288
;2017-05-01 15:34;1;2;"Congratulations John Gionfriddo for your graduation from the Mason Life Program & for all your work interning in @RepDavidValadao office! pic.twitter.com/1PIb6ZYgPH";;@RepDavidValadao;;"859144075957686273";https://twitter.com/GreggHarper/status/859144075957686273
;2017-04-28 21:21;0;0;"Thank you for all that you do to make a difference for these students in the #CIPIID program!";;;#CIPIID;"858144231235440640";https://twitter.com/GreggHarper/status/858144231235440640
;2017-04-28 05:01;4;20;"Last night I visited w/ Taiwan Ambassador Stanley Kao & his wife Sherry to celebrate the 80th year of Taiwan at the Twin Oaks estate in DC. pic.twitter.com/psIKS5ifkT";;;;"857897465055518721";https://twitter.com/GreggHarper/status/857897465055518721
;2017-04-25 15:45;3;9;"I just had the honor of speaking to the Jefferson Gathering during their visit to Capitol Hill. Thanks @SteveAmerson & Pastor Dan Cummings pic.twitter.com/KQKIMPuojF";;@SteveAmerson;;"856972412654686208";https://twitter.com/GreggHarper/status/856972412654686208
