username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2017-06-14 15:56;1;2;". @jiminhofe supports @EPAScottPruitt 's action to delay burdensome, unnecessary methane rule. https://www. inhofe.senate.gov/newsroom/press -releases/inhofe-supports-delay-of-methane-rule …";;@jiminhofe @EPAScottPruitt;;"875094658111737857";https://twitter.com/InhofePress/status/875094658111737857
;2017-06-14 14:00;1;2;"Join us in celebrating 242 years of the world’s most powerful and dominant army. #ArmyStrong pic.twitter.com/EwlvAtTHZZ";;;#ArmyStrong;"875065315058528256";https://twitter.com/InhofePress/status/875065315058528256
;2017-06-13 16:44;2;4;". @jiminhofe & @RepMullin applaud @EPAScottPruitt ’s decision to delay dangerous, duplicative RMP rule. https://www. inhofe.senate.gov/newsroom/press -releases/inhofe-mullin-support-pruitt-decision-to-delay-rmp-rule- …";;@jiminhofe @RepMullin @EPAScottPruitt;;"874744347106975745";https://twitter.com/InhofePress/status/874744347106975745
;2017-06-12 16:04;1;4;". @jiminhofe praises #PoncaCity for receiving a $1.3 million @US_EDA grant to renovate their City Center Building. https://www. inhofe.senate.gov/newsroom/press -releases/inhofe-praises-13-million-eda-award-to-ponca-city …";;@jiminhofe @US_EDA;#PoncaCity;"874371979972882432";https://twitter.com/InhofePress/status/874371979972882432
;2017-06-09 11:04;1;4;". @jiminhofe & @SenDuckworth introduced the FLIGHT Act to encourage investment in GA airports. Learn more: https://www. inhofe.senate.gov/newsroom/press -releases/inhofe-duckworth-introduce-flight-act …";;@jiminhofe @SenDuckworth;;"873209238256062466";https://twitter.com/InhofePress/status/873209238256062466
;2017-06-09 10:57;0;1;"You spoke too soon @JakeSherman . #infrastructureweek https:// twitter.com/joewertz/statu s/873171282019311617 …";;@JakeSherman;#infrastructureweek;"873207530868137984";https://twitter.com/InhofePress/status/873207530868137984
;2017-06-08 13:49;2;5;"Sen. @jiminhofe met 110 of Oklahoma’s future farmers today. @FFAOK pic.twitter.com/riCMfSJd7q";;@jiminhofe @FFAOK;;"872888348733526016";https://twitter.com/InhofePress/status/872888348733526016
;2017-06-06 16:58;3;0;"Sen. @jiminhofe applauds Senate passage of #VAaccountability Act. https://www. inhofe.senate.gov/newsroom/press -releases/inhofe-applauds-senate-passage-of-va-accountability-act …";;@jiminhofe;#VAaccountability;"872211010798702592";https://twitter.com/InhofePress/status/872211010798702592
;2017-06-06 09:32;1;4;"On this day we remember the 9,000 soldiers who were killed or injured during the D-Day. http://www. realcleardefense.com/video/2017/06/ 06/normandy_d-day_2017.html?utm_source=RC+Defense+Morning+Recon&utm_campaign=5745c98bb5-EMAIL_CAMPAIGN_2017_06_05&utm_medium=email&utm_term=0_694f73a8dc-5745c98bb5-81813093 …";;;;"872098968016216064";https://twitter.com/InhofePress/status/872098968016216064
;2017-06-01 14:00;2;1;"Listen to @jiminhofe ’s interview with @hereandnow 's @jeremyhobson on pulling out of the Paris Climate Agreement. http://www. wbur.org/hereandnow/201 7/06/01/james-inhofe-paris-agreement …";;@jiminhofe @hereandnow @jeremyhobson;;"870354275758743554";https://twitter.com/InhofePress/status/870354275758743554
;2017-06-01 11:30;0;1;"Sen. @jiminhofe is joining @mitchellreports on @MSNBC to discuss @realDonaldTrump ’s decision on the Paris Climate Agreement. Tune in!";;@jiminhofe @mitchellreports @MSNBC @realDonaldTrump;;"870316516738080768";https://twitter.com/InhofePress/status/870316516738080768
;2017-06-01 11:00;1;0;"LIVE: Tune in to @TeamCavuto on @FoxBusiness to hear @jiminhofe discuss @realDonaldTrump ’s decision on the Paris Climate Agreement.";;@TeamCavuto @FoxBusiness @jiminhofe @realDonaldTrump;;"870308973269966848";https://twitter.com/InhofePress/status/870308973269966848
;2017-06-01 10:19;0;1;". @Jiminhofe on Paris Climate Agreement in January 2016: http://www. washingtonexaminer.com/why-the-paris- climate-agreement-will-fail/article/2581110 … pic.twitter.com/DwAS2TbxhD";;@Jiminhofe;;"870298731014434816";https://twitter.com/InhofePress/status/870298731014434816
;2017-06-01 09:11;3;3;"Sen. @jiminhofe spent the morning discussing the importance of pipeline infrastructure investment. pic.twitter.com/gqY2lXBkep";;@jiminhofe;;"870281754741002240";https://twitter.com/InhofePress/status/870281754741002240
;2017-05-25 16:02;3;2;"ICYMI: @JimInhofe spoke on the Senate floor on why @realDonaldTrump should pull out of Paris Climate Agreement. https:// youtu.be/_08AS2C15Uc";;@JimInhofe @realDonaldTrump;;"867848433138380801";https://twitter.com/InhofePress/status/867848433138380801
;2017-05-25 07:50;0;0;"TUNE IN: @JimInhofe is LIVE with @hughhewitt talking about his letter to @POTUS urging his withdrawal from the Paris Climate Agreement.";;@JimInhofe @hughhewitt @POTUS;;"867724525223497728";https://twitter.com/InhofePress/status/867724525223497728
;2017-05-23 07:13;1;3;". @JimInhofe : infrastructure is something we are supposed to be doing. Real people want us to fund transportation.";;@JimInhofe;;"866990556399927296";https://twitter.com/InhofePress/status/866990556399927296
;2017-05-23 07:12;1;3;". @JimInhofe highlights his work w/ former Sen. Boxer on FAST Act to emphasize bipartisan nature of infrastructure.";;@JimInhofe;;"866990110398701569";https://twitter.com/InhofePress/status/866990110398701569
