username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2017-06-14 17:11;0;6;"On this day of senseless tragedy, we are reminded that we are united as a country behind one flag. #FlagDay";;;#FlagDay;"875113394235420672";https://twitter.com/JimLangevin/status/875113394235420672
;2017-06-14 15:56;1;6;"Great to meet with Rhode Island @NationalHistory Day students at the Capitol today. Enjoy your time in D.C.! pic.twitter.com/2vzwF6NApt";;@NationalHistory;;"875094498052898816";https://twitter.com/JimLangevin/status/875094498052898816
;2017-06-14 08:34;5;8;"Shocked and saddened by news of the shooting in Virginia. My prayers are with @SteveScalise and others injured during this heinous act.";;@SteveScalise;;"874983437735571456";https://twitter.com/JimLangevin/status/874983437735571456
;2017-06-13 18:57;5;21;"The #AG 's testimony today was unsubstantial, unresponsive and unacceptable. https:// langevin.house.gov/press-release/ langevin-statement-attorney-general-sessions%E2%80%99s-testimony-senate-intelligence-committee … pic.twitter.com/lHD3k0wPk4";;;#AG;"874777729245294597";https://twitter.com/JimLangevin/status/874777729245294597
;2017-06-13 18:24;0;4;"Pleased to meet with leaders from Republic of Georgia to discuss the protection of rights for people w/ disabilities pic.twitter.com/8WEQgKA8ZS";;;;"874769382857207808";https://twitter.com/JimLangevin/status/874769382857207808
;2017-06-13 18:00;0;1;"Sorry to miss the @RIBBABIZ meeting. Thanks @LisaRanglin for your continued work helping Rhode Island businesses and entrepreneurs!";;@RIBBABIZ @LisaRanglin;;"874763322859630593";https://twitter.com/JimLangevin/status/874763322859630593
;2017-06-13 15:04;2;6;"Met with representatives of @RI_CCL to discuss the importance of reducing greenhouse gas emissions. Thanks for stopping by! pic.twitter.com/QbOhRA3LOq";;@RI_CCL;;"874719167492087810";https://twitter.com/JimLangevin/status/874719167492087810
;2017-06-13 13:09;2;10;"Great news 1st @URICELS students received energy econ certificate.Their skills will bolster our green energy sector https:// today.uri.edu/news/five-uri- students-are-first-to-earn-new-energy-certificate/ …";;@URICELS;;"874690089732984832";https://twitter.com/JimLangevin/status/874690089732984832
;2017-06-13 09:06;2;18;"I’m honored to receive the @CompTIA Excellence in Cybersecurity Award for my ongoing work in #cybersecurity . pic.twitter.com/h357hUC7Y1";;@CompTIA;#cybersecurity;"874629134080761856";https://twitter.com/JimLangevin/status/874629134080761856
;2017-06-12 19:38;1;13;"Pleased to be at #HASC hearing tonight with #SecDef Mattis and Chairman Dunford. pic.twitter.com/8VcgoA8siR";;;#HASC #SecDef;"874425621312655361";https://twitter.com/JimLangevin/status/874425621312655361
;2017-06-12 15:30;1;8;"ICYMI: I spoke on the Floor about the importance of career & technical education for our nation’s workforce #CTE https://www. youtube.com/watch?v=A10EhF jR3ik …";;;#CTE;"874363177248608256";https://twitter.com/JimLangevin/status/874363177248608256
;2017-06-12 15:02;37;51;"Seismic testing used to expand oil & gas drilling can harm marine life. I support @RepDonBeyer 's #ASAPAct to ban this practice. https:// twitter.com/NRDC/status/87 2181336286670848 …";;@RepDonBeyer;#ASAPAct;"874356199881400320";https://twitter.com/JimLangevin/status/874356199881400320
;2017-06-12 13:30;1;1;"Mark your calendars! The next #LunchWithLangevin is this Saturday at @Breachway_Grill . Join me to share your thoughts in a 1-on-1 setting. pic.twitter.com/n6LptPfUsb";;@Breachway_Grill;#LunchWithLangevin;"874332987386732544";https://twitter.com/JimLangevin/status/874332987386732544
;2017-06-12 11:17;3;10;"Today, we remember the 49 souls taken in the #PulseNightclub shooting. We must all join together to #DisarmHate . #OrlandoUnitedDay";;;#PulseNightclub #DisarmHate #OrlandoUnitedDay;"874299507034292224";https://twitter.com/JimLangevin/status/874299507034292224
;2017-06-12 10:00;8;14;"Congrats @RIAmeriCorps on the $3.7 million federal grant. These funds will support your commitment to helping those in need @AmeriCorps pic.twitter.com/oCQjIVCX8E";;@RIAmeriCorps @AmeriCorps;;"874280357436305408";https://twitter.com/JimLangevin/status/874280357436305408
;2017-06-11 16:17;1;5;"The Air Force Memorial at RI Vets Cemetery will serve as an important place to honor our brothers & sisters-in-arms pic.twitter.com/ONhKfSFY2g";;;;"874012846190931968";https://twitter.com/JimLangevin/status/874012846190931968
;2017-06-11 12:30;0;4;"Great to see the new signage welcoming people to Broad Street. It’s a wonderful addition to #Providence ’s diverse community.";;;#Providence;"873955538882744320";https://twitter.com/JimLangevin/status/873955538882744320
;2017-06-10 20:11;2;10;"Tonight's multi-faith dinner is an important reminder that the diversity of our community makes us stronger. pic.twitter.com/SCBVb8LIfA";;;;"873709329253367808";https://twitter.com/JimLangevin/status/873709329253367808
;2017-06-10 10:33;5;8;"A beautiful morning for @GaspeeDay celebrations! #GaspeeDays pic.twitter.com/vMEjnG9GYp";;@GaspeeDay;#GaspeeDays;"873563789693788160";https://twitter.com/JimLangevin/status/873563789693788160
;2017-06-10 10:05;3;16;"Enjoying one of my favorite Rhode Island traditions, the @GaspeeDay Parade! #Gaspee Day pic.twitter.com/ys9vCCQklC";;@GaspeeDay;#Gaspee;"873556816499806208";https://twitter.com/JimLangevin/status/873556816499806208
;2017-06-09 15:00;0;1;"It’s the Portuguese Heritage Festival this weekend, filled with many family-friendly events. Check it out! http:// buff.ly/2r12Ya1";;;;"873268679210938369";https://twitter.com/JimLangevin/status/873268679210938369
;2017-06-09 09:44;2;4;"ICYMI: I joined @DanYorkeShow on @wpro yesterday to discuss #ComeyHearings . https:// audioboom.com/posts/5999283- congressman-langevin-responds-to-comey-testimony-on-the-dan-yorke-show …";;@DanYorkeShow @wpro;#ComeyHearings;"873189005025783810";https://twitter.com/JimLangevin/status/873189005025783810
;2017-06-08 16:13;4;11;"Former FBI Dir. #Comey 's testimony painted an eye-opening and distressing picture of the President’s actions in the Russia investigation pic.twitter.com/x02mv1cSlm";;;#Comey;"872924547154153473";https://twitter.com/JimLangevin/status/872924547154153473
;2017-06-08 15:05;14;48;"It was great to see such enthusiastic @CurtisCornerMS students today with my colleagues @SenJackReed & @SenWhitehouse . pic.twitter.com/tSCOo76zix";;@CurtisCornerMS @SenJackReed @SenWhitehouse;;"872907403322421248";https://twitter.com/JimLangevin/status/872907403322421248
;2017-06-08 13:36;3;10;"Pleased to meet with @AdilHaiderMD from @BrighamWomens to discuss ways to improve trauma care. https:// twitter.com/AdilHaiderMD/s tatus/872860921164648451 …";;@AdilHaiderMD @BrighamWomens;;"872885026215645185";https://twitter.com/JimLangevin/status/872885026215645185
;2017-06-07 16:00;2;7;"Met with @AARPRI ’s Kathleen Connell & Alan Neville to talk about the harm #TrumpCare would do to seniors. pic.twitter.com/3qdD3ZaWE0";;@AARPRI;#TrumpCare;"872558794815004672";https://twitter.com/JimLangevin/status/872558794815004672
;2017-06-07 15:13;7;9;"Thanks to @MVJayaraman from @SNISInfo @RIHospital for coming in to discuss stroke prevention and treatment. pic.twitter.com/ntSzKlYd2M";;@MVJayaraman @SNISInfo @RIHospital;;"872546980601495553";https://twitter.com/JimLangevin/status/872546980601495553
;2017-06-07 14:45;0;3;"Proud to participate in #WearSomethingRedWednesday to keep #Chibokgirls in our prayers. #BringBackOurGirls pic.twitter.com/fRXkvaUpSN";;;#WearSomethingRedWednesday #Chibokgirls #BringBackOurGirls;"872539912431587328";https://twitter.com/JimLangevin/status/872539912431587328
;2017-06-07 13:45;1;3;"Excited to see Juanita Sanchez students start @JSECGoods to fight food insecurity & help peers in need. http://www. providencejournal.com/news/20170606/ providence-students-food-bank-nourishes-body-and-spirit …";;@JSECGoods;;"872524831178321921";https://twitter.com/JimLangevin/status/872524831178321921
;2017-06-07 12:38;28;24;"Pleased to provide keynote address @ICITorg 's "Rise of the Machines" on ways we can improve #cybersecurity in an era of evolving technology https:// twitter.com/ICITorg/status /872497661630451712 …";;@ICITorg;#cybersecurity;"872508068617125890";https://twitter.com/JimLangevin/status/872508068617125890
;2017-06-07 11:52;3;11;"America’s national monuments are historic, natural treasures that we must continue to protect. These public lands should be #MonumentsforAll";;;#MonumentsforAll;"872496407936208896";https://twitter.com/JimLangevin/status/872496407936208896
;2017-06-06 18:00;1;6;"RI’s economy & communities are getting stronger b/c of revitalization projects & leaders honored @GrowSmartRI awards http://www. growsmartri.org/smart-growth-a wards/2017-rhode-island-smart-growth-awards/ …";;@GrowSmartRI;;"872226605908844547";https://twitter.com/JimLangevin/status/872226605908844547
;2017-06-06 16:30;0;8;"Pleased to see #CenterforWomenandEnterprise RI expanded their PVD office. It will accommodate more services to support women entrepreneurs.";;;#CenterforWomenandEnterprise;"872203954561531905";https://twitter.com/JimLangevin/status/872203954561531905
;2017-06-06 13:15;3;11;"Thanks @maryasselin & @NICERIBOY from #OVAC for visiting to discuss the need for more research funding @NIH & other priorities #CancerVoice";;@maryasselin @NICERIBOY @NIH;#OVAC #CancerVoice;"872154905020116992";https://twitter.com/JimLangevin/status/872154905020116992
;2017-06-06 12:10;24;82;"I’m proud to cosponsor the Pell Grant Preservation and Expansion Act w/ @SenJackReed & @SenWhitehouse #PellGrants http://www. providencejournal.com/news/20170605/ reed-whitehouse-say-theyre-working-to-protect-pell-grant-program …";;@SenJackReed @SenWhitehouse;#PellGrants;"872138730655580161";https://twitter.com/JimLangevin/status/872138730655580161
;2017-06-06 11:02;1;3;"On this #DDay anniversary, I’m reminded of “D-Day: Over Normandy” that highlights stories from this historic battle https://www. youtube.com/watch?v=-Upe71 aYflo …";;;#DDay;"872121566724841475";https://twitter.com/JimLangevin/status/872121566724841475
;2017-06-05 19:26;0;2;"As college graduation season ends, I'm looking back @NEInstituteTech commencement I was honored to attend. Blog --> https:// medium.com/@JimLangevin/n ew-england-tech-graduation-694e1bc7621f …";;@NEInstituteTech @JimLangevin;;"871885860979060737";https://twitter.com/JimLangevin/status/871885860979060737
;2017-06-05 18:27;3;12;"Congrats @ywca_ri on 150 years of promoting social justice & empowering women. You're making a difference in RI! pic.twitter.com/yFqQ6YKz73";;@ywca_ri;;"871871107401429000";https://twitter.com/JimLangevin/status/871871107401429000
;2017-06-05 15:18;0;3;"Had a great meeting with my #SeniorsAdvisory Committee. We talked about the President’s #budget and issues facing our senior population. pic.twitter.com/Gywchr1mVF";;;#SeniorsAdvisory #budget;"871823604215947265";https://twitter.com/JimLangevin/status/871823604215947265
;2017-06-05 14:01;1;4;"Pleased to meet with @AlzheimersRI Executive Dir. Donna McGowan to discuss ways we can support caregivers and patients & efforts to #EndALZ pic.twitter.com/vbizEEAOe7";;@AlzheimersRI;#EndALZ;"871804119048237060";https://twitter.com/JimLangevin/status/871804119048237060
;2017-06-05 13:30;8;13;"June is #ImmigrantHeritageMonth , a time to celebrate America’s diversity and honor those who contribute to our rich & vibrant culture pic.twitter.com/aPz1gWAVL8";;;#ImmigrantHeritageMonth;"871796298525151239";https://twitter.com/JimLangevin/status/871796298525151239
;2017-06-05 12:30;0;1;"We must do our part to protect the environment. Leaving #ParisClimateAgreement will completely undermine those efforts #WorldEnvironmentDay";;;#ParisClimateAgreement #WorldEnvironmentDay;"871781266034700288";https://twitter.com/JimLangevin/status/871781266034700288
;2017-06-05 11:15;0;2;"Sorry to miss @ProvChamber Economic Lunch with @AirBNB 's @jgebbia . It’s a great event to discuss ways to improve business climate.";;@ProvChamber @AirBNB @jgebbia;;"871762531102150658";https://twitter.com/JimLangevin/status/871762531102150658
;2017-06-04 08:43;8;20;"We must work w/ our allies now more than ever in wake of the #LondonAttacks . Victims, families & first responders deserve our full support!";;;#LondonAttacks;"871361795889520640";https://twitter.com/JimLangevin/status/871361795889520640
;2017-06-03 08:57;2;6;"Today's #NationalTrailsDay . Be sure to #FindYourWay this weekend on one of the many beautiful hiking trails in RI! http://www. exploreri.org/gtraillist.php";;;#NationalTrailsDay #FindYourWay;"871002834086621184";https://twitter.com/JimLangevin/status/871002834086621184
;2017-06-02 15:35;1;4;"Eliminating @NEAarts means projects like @PVDFest would have never gotten off the ground. Check it out this weekend! http:// buff.ly/2s2Qsu5 pic.twitter.com/7Uj7lZsJ2S";;@NEAarts @PVDFest;;"870740571584909313";https://twitter.com/JimLangevin/status/870740571584909313
;2017-06-02 13:45;2;3;". @AutismProjectRI Imagine Walk is a great event that raises awareness & supports those on the spectrum. New blog--> https:// medium.com/@JimLangevin/a utism-project-imagine-walk-4d90e19e7763 …";;@AutismProjectRI @JimLangevin;;"870712903359381508";https://twitter.com/JimLangevin/status/870712903359381508
;2017-06-02 12:35;2;7;"Great news for @FarmFreshRI ! $850,000 loan from #PVD will help acquire land for a food & agriculture hub. https:// pbn.com/providence-loa ns-850k-farm-fresh/?utm_source=ActiveCampaign&utm_medium=email&utm_content=PBN+Daily+Edition++Providence+lends+%24850K+to+Farm+Fresh+RI+to+buy+land&utm_campaign=2017_0531_Daily …";;@FarmFreshRI;#PVD;"870695365762105345";https://twitter.com/JimLangevin/status/870695365762105345
;2017-06-02 11:30;0;7;"For #GunViolenceAwarenessDay , I’m #wearingorange to support the many families who have lost a loved one to gun violence. pic.twitter.com/bfusNx7CbI";;;#GunViolenceAwarenessDay #wearingorange;"870679104214847491";https://twitter.com/JimLangevin/status/870679104214847491
;2017-06-02 09:59;0;2;"Abandoning #ParisClimateAgreement means the U.S. losing a seat at the table to negotiate global agreements in our country’s best interest. https:// twitter.com/CNN/status/870 555494930411520 …";;;#ParisClimateAgreement;"870656174642868224";https://twitter.com/JimLangevin/status/870656174642868224
;2017-06-01 15:05;4;9;"RI is already facing sea level rise & warming waters due to #climatechange . Pulling out of the #ParisClimateAgreement makes things worse. pic.twitter.com/7qYYJQ4ydJ";;;#climatechange #ParisClimateAgreement;"870370668034043904";https://twitter.com/JimLangevin/status/870370668034043904
;2017-06-01 14:59;4;14;"Withdrawing from the #ParisClimateAgreement puts the future of our planet at risk and is an abandonment of American leadership. pic.twitter.com/eLVYmJIJxw";;;#ParisClimateAgreement;"870369164569055233";https://twitter.com/JimLangevin/status/870369164569055233
;2017-06-01 14:03;1;6;"TY #EatDrinkRI for highlighting RI’s amazing food economy at #EDRIFest @dadekian @nicksonbroadway #TBT . New blog --> https:// medium.com/@JimLangevin/e at-drink-ri-festival-b4847884b8fe …";;@dadekian @nicksonbroadway @JimLangevin;#EatDrinkRI #EDRIFest #TBT;"870355076149383168";https://twitter.com/JimLangevin/status/870355076149383168
;2017-06-01 12:34;2;3;"June is Alzheimer’s & Brain Awareness Month. Learn more about this disease and efforts to #EndAlz https://www. nia.nih.gov/alzheimers @alzheimersRI";;@alzheimersRI;#EndAlz;"870332675097284608";https://twitter.com/JimLangevin/status/870332675097284608
;2017-06-01 10:20;4;15;"Congratulations to Narragansett High School teacher Kristin Hayes-Leite for being named R.I. Teacher of the Year! #RITOY @RIDeptEd https:// twitter.com/RIDeptEd/statu s/870286803886100480 …";;@RIDeptEd;#RITOY;"870298922564165634";https://twitter.com/JimLangevin/status/870298922564165634
;2017-05-31 15:00;0;0;"Best of luck to @lincoln1884 ’s Amelia Edelsberg at the #ScrippsNationalSpellingBee ! Proud to have you represent #RhodeIsland pic.twitter.com/NjaCr4AD93";;@lincoln1884;#ScrippsNationalSpellingBee #RhodeIsland;"870007019209719808";https://twitter.com/JimLangevin/status/870007019209719808
;2017-05-31 13:43;0;0;"Join me for my 11th Lunch with Langevin event @Breachway_Grill on June 17th to share your thoughts in an informal, one-on-one setting. pic.twitter.com/YqLArRfb5E";;@Breachway_Grill;;"869987609002385408";https://twitter.com/JimLangevin/status/869987609002385408
;2017-05-30 15:23;0;1;"Shellfish are a big part of RI's seafood economy. New blog--> RI Shellfish Initiative launch @universityofri @NOAA https:// medium.com/@JimLangevin/s ustain-our-shellfish-7bd60f227556 …";;@universityofri @NOAA @JimLangevin;;"869650378635325440";https://twitter.com/JimLangevin/status/869650378635325440
;2017-05-30 13:30;0;2;"My “Langevin Hits the Rhode” blog is on a new platform, @Medium . Check it out! http:// buff.ly/2rATPsF pic.twitter.com/Kd4BpvAXHu";;@Medium;;"869622056442310656";https://twitter.com/JimLangevin/status/869622056442310656
;2017-05-30 11:43;0;7;"Congratulations to Nicolette Peloquin for being crowned #MissRhodeIsland on Sunday! http://www. providencejournal.com/news/20170529/ salve-regina-student-east-greenwich-teen-crowned-in-miss-rhode-island-pageant …";;;#MissRhodeIsland;"869595171066970113";https://twitter.com/JimLangevin/status/869595171066970113
;2017-05-30 09:47;12;19;"Happy belated 227th anniversary #RhodeIsland ! On May 29, 1790, RI became the 13th state to ratify the #Constitution pic.twitter.com/AmklO1e1a9";;;#RhodeIsland #Constitution;"869565849102888960";https://twitter.com/JimLangevin/status/869565849102888960
;2017-05-29 14:36;2;16;"Honored to be at RI’s #MemorialDay commemoration & reflect on service members' bravery & sacrifice @RIVetsDirector pic.twitter.com/Z2nAn3gP9N";;@RIVetsDirector;#MemorialDay;"869276364943351809";https://twitter.com/JimLangevin/status/869276364943351809
;2017-05-27 20:27;3;75;"With the legendary Robert De Niro, one of @BrownUniversity ’s Honorary Degree recipients! pic.twitter.com/EjwocYlMLF";;@BrownUniversity;;"868639859640066048";https://twitter.com/JimLangevin/status/868639859640066048
;2017-05-27 13:14;4;22;"Humbled to be @OSDRI_Vets Boots on the Ground Memorial, honoring fallen heroes of global war on terror #MemorialDay pic.twitter.com/CtXrG7zyeA";;@OSDRI_Vets;#MemorialDay;"868530835825315840";https://twitter.com/JimLangevin/status/868530835825315840
;2017-05-27 12:57;4;28;"With the great @Ninko50 at the premiere of “D-Day: Over Normandy.” Go @Patriots ! pic.twitter.com/HEumxGWG65";;@Ninko50 @Patriots;;"868526498826903554";https://twitter.com/JimLangevin/status/868526498826903554
;2017-05-27 12:08;2;9;"Great to be at the "D-Day: Over Normandy” premiere highlighting new stories & perspectives on this historic battle pic.twitter.com/3C1GXzun3u";;;;"868514353733128192";https://twitter.com/JimLangevin/status/868514353733128192
;2017-05-26 16:00;2;14;"Proud of the 37 @BrownUniversity graduates who received the prestigious @FulbrightPrgrm scholarship. Congrats! http:// buff.ly/2rpxCh9 pic.twitter.com/H1fXFy9rGm";;@BrownUniversity @FulbrightPrgrm;;"868210351103455232";https://twitter.com/JimLangevin/status/868210351103455232
;2017-05-26 15:05;0;7;"Congrats to my 2013 @NavalAcademy nominee, 2ndLT Andrea Marie Coutoulakis from East Greenwich, on graduating today. You will make RI proud!";;@NavalAcademy;;"868196325485105152";https://twitter.com/JimLangevin/status/868196325485105152
;2017-05-26 14:29;1;4;"To honor our vets over #MemorialDayWeekend , check out @OSDRI_Vets Boots on the Ground memorial @RWPConservancy . http:// buff.ly/2rp9TNQ pic.twitter.com/6rqwYsZoUZ";;@OSDRI_Vets @RWPConservancy;#MemorialDayWeekend;"868187245282562049";https://twitter.com/JimLangevin/status/868187245282562049
;2017-05-26 13:12;4;8;"Congrats to graduates of RI’s first Statewide Fire Academy & RI Dept of Safety for the completion of the Fire Academy classroom building! pic.twitter.com/BbSMQhIg2f";;;;"868167861344362496";https://twitter.com/JimLangevin/status/868167861344362496
;2017-05-26 10:46;1;10;"The completion of the beach pavilion will upgrade visitors' experience at Lincoln Woods @RhodeIslandDEM @AndyMoffit pic.twitter.com/dE42xuyIPR";;@RhodeIslandDEM @AndyMoffit;;"868131254759288838";https://twitter.com/JimLangevin/status/868131254759288838
;2017-05-26 10:14;2;13;"Celebrating opening of Lincoln Woods Beach Pavilion w/ @RhodeIslandDEM @SenJackReed @SenWhitehouse @davidcicilline pic.twitter.com/fGuxFDNbDC";;@RhodeIslandDEM @SenJackReed @SenWhitehouse @davidcicilline;;"868123276316487680";https://twitter.com/JimLangevin/status/868123276316487680
;2017-05-25 15:30;6;15;"It’s been 10 years since the last law to boost the fed #minimumwage was enacted. Time for Congress to #RaiseTheWage ! http:// buff.ly/2qT1lgW";;;#minimumwage #RaiseTheWage;"867840195747602432";https://twitter.com/JimLangevin/status/867840195747602432
;2017-05-25 14:30;5;5;"Pleased @GinaRaimondo established Homeland Security Advisory Board to help better protect RI & continue to strengthen our #cyber posture";;@GinaRaimondo;#cyber;"867825203103006720";https://twitter.com/JimLangevin/status/867825203103006720
;2017-05-25 13:00;0;1;"Last month @RepDavidEPrice & I stressed importance of @NEHgov & @NEAarts . We must protect them from #TrumpCuts ! #TBT http:// buff.ly/2rlp22S";;@RepDavidEPrice @NEHgov @NEAarts;#TrumpCuts #TBT;"867802682366578688";https://twitter.com/JimLangevin/status/867802682366578688
;2017-05-25 12:15;1;4;"Met with representatives from Providence's @UNFI and other advocates to discuss organic farming in RI and across the country. pic.twitter.com/7cimOPEhao";;@UNFI;;"867791150006104065";https://twitter.com/JimLangevin/status/867791150006104065
;2017-05-25 11:53;3;4;"Thank you, @StaySafeOnline for joining the Cybersecurity Caucus to discuss social engineering! pic.twitter.com/br24LKlDwQ";;@StaySafeOnline;;"867785712963375104";https://twitter.com/JimLangevin/status/867785712963375104
;2017-05-25 11:07;8;13;"Single, fixed-income 64 year old's premium under ACA: $1,700. Under AHCA: $16,100. Our seniors deserve better! #CBOScore";;;#CBOScore;"867774157731250176";https://twitter.com/JimLangevin/status/867774157731250176
;2017-05-24 20:32;3;12;"Many communities & nonprofits will benefit from grants @RIFoundation awarded last year. Great work, @NeilDSteinberg http://www. providencejournal.com/news/20170524/ ri-foundation-distributes-record-45m-in-grants-in-2016 …";;@RIFoundation @NeilDSteinberg;;"867553914442457088";https://twitter.com/JimLangevin/status/867553914442457088
;2017-05-24 17:43;2;4;"Bans on annual and lifetime limits would no longer apply under the @HouseGOP ’s disgraceful #AHCA per #CBOScore pic.twitter.com/oZ6adey9F5";;@HouseGOP;#AHCA #CBOScore;"867511440130936833";https://twitter.com/JimLangevin/status/867511440130936833
;2017-05-24 17:35;7;10;"Outrageous that out-of-pocket costs under #AHCA could increase by thousands for maternity & mental health services per #CBOScore ! pic.twitter.com/88w8Epif0u";;;#AHCA #CBOScore;"867509390508781568";https://twitter.com/JimLangevin/status/867509390508781568
;2017-05-24 16:40;6;3;"The #CBOscore is in: Despite @HouseGOP ’s promises, AHCA will leave people w/preexisting conditions uninsured. Americans deserve better! pic.twitter.com/HHCC6KZZne";;@HouseGOP;#CBOscore;"867495462944878593";https://twitter.com/JimLangevin/status/867495462944878593
;2017-05-24 14:20;0;9;"I grew up in a home w/ foster siblings, so I know first-hand the importance of ensuring a safe, loving home #DCShadowDay #FosterYouthVoices pic.twitter.com/O6z8cIBGlI";;;#DCShadowDay #FosterYouthVoices;"867460274235854848";https://twitter.com/JimLangevin/status/867460274235854848
;2017-05-24 12:53;0;4;"#DCShadowDay enables #FosterYouthVoices like Kennath to share their own perspectives on the foster care system";;;#DCShadowDay #FosterYouthVoices;"867438485128581120";https://twitter.com/JimLangevin/status/867438485128581120
;2017-05-24 12:22;0;3;"On #DCShadowDay , I’m showing Kennath around the Capitol & having him join a constituent meeting #FosterYouthVoices pic.twitter.com/m3FsA6BuEY";;;#DCShadowDay #FosterYouthVoices;"867430652819509248";https://twitter.com/JimLangevin/status/867430652819509248
;2017-05-24 10:10;1;9;"Thrilled to have Kennath Forsyth-Sears, former foster youth from Cranston,who is shadowing me today for #DCShadowDay2017 ! #FosterYouthVoices pic.twitter.com/ROfTZilwDo";;;#DCShadowDay2017 #FosterYouthVoices;"867397409210499072";https://twitter.com/JimLangevin/status/867397409210499072
;2017-05-23 15:15;0;1;"Looking forward to #DCShadowDay2017 . I’ll be hosting a RIer who aspires to work w/ children w/ disabilities. http:// buff.ly/2rNqHev";;;#DCShadowDay2017;"867111646958952450";https://twitter.com/JimLangevin/status/867111646958952450
;2017-05-23 14:00;72;58;"#TrumpCuts include ZERO funding for Low Income Home Energy Assistance (LIHEAP), which keeps 30,000+ RI homes warm in the winter.";;;#TrumpCuts;"867092867180896257";https://twitter.com/JimLangevin/status/867092867180896257
;2017-05-23 13:32;0;1;"#TrumpCuts eliminate @Fogarty_NIH International Center on global health research, which is crucial to combat infectious diseases like Zika";;@Fogarty_NIH;#TrumpCuts;"867085757340692480";https://twitter.com/JimLangevin/status/867085757340692480
;2017-05-23 12:56;9;9;"The #budget eliminates subsidized student loans, saddling students w/ more debt. College should be affordable, not unattainable #TrumpCuts";;;#budget #TrumpCuts;"867076720393945088";https://twitter.com/JimLangevin/status/867076720393945088
;2017-05-23 10:25;3;3;"Congress must reject this misguided #budget & find a bipartisan approach to fund programs that help everyday families and grow our economy. pic.twitter.com/Cfx5DW65Mj";;;#budget;"867038901134917632";https://twitter.com/JimLangevin/status/867038901134917632
;2017-05-23 10:09;0;3;"My sincerest thoughts and prayers are with those affected by the #ManchesterBombing";;;#ManchesterBombing;"867034791165784070";https://twitter.com/JimLangevin/status/867034791165784070
