username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2017-06-14 08:36;3;4;"Rep. Sensenbrenner was not at this morning’s practice, but his heart & prayers are w @SteveScalise , those who were injured & their families";;@SteveScalise;;"874983871846260737";https://twitter.com/JimPressOffice/status/874983871846260737
;2017-06-13 15:48;7;9;"Rep. Sensenbrenner Introduces the Second Chance Reauthorization Act: https:// sensenbrenner.house.gov/press-releases -statements?ID=F0660C23-ABBC-4EA3-95CB-CCFC1CB10385 … pic.twitter.com/eaH0onHA8w";;;;"874730319630524417";https://twitter.com/JimPressOffice/status/874730319630524417
;2017-06-13 10:20;3;3;"ICYMI: Op-ed from Rep. Sensenbrenner: No regulation without representation via @thehill http:// thehill.com/blogs/congress -blog/politics/331947-no-regulation-without-representation …";;@thehill;;"874647674619916288";https://twitter.com/JimPressOffice/status/874647674619916288
;2017-06-13 09:12;4;3;"Rep. Sensenbrenner introduces the No Regulation Without Representation Act of 2017: https:// sensenbrenner.house.gov/press-releases -statements?ID=7A43F28D-8C3D-4186-BE4E-F6F0E6E06BA4 … pic.twitter.com/EHCwEQV490";;;;"874630579983187968";https://twitter.com/JimPressOffice/status/874630579983187968
;2017-06-01 15:10;486;2141;"Congressman Sensenbrenner on Climate Accord: @POTUS is Keeping His Promise to Put America First: https:// sensenbrenner.house.gov/press-releases -statements?ID=C700B835-0265-4A61-A499-559DAAE75BA1 …";;@POTUS;;"870371976266874881";https://twitter.com/JimPressOffice/status/870371976266874881
;2017-05-24 15:02;0;1;"Congressman Sensenbrenner Introduces the DEDUCT Act in the House of Representatives: https:// sensenbrenner.house.gov/press-releases -statements?ID=2D904F8F-1ACC-4B5F-91F0-27975D789D38 …";;;;"867470823648616448";https://twitter.com/JimPressOffice/status/867470823648616448
;2017-05-22 16:16;0;5;"The Adam Walsh Reauthorization Act of 2017 Passes in the House of Representatives: https:// sensenbrenner.house.gov/press-releases -statements?ID=E42F2085-1E12-46C6-ACE2-0B8BF44AB207 … pic.twitter.com/wPXCBI0J3Z";;;;"866764616386441216";https://twitter.com/JimPressOffice/status/866764616386441216
;2017-05-22 11:35;8;7;"Rep. Sensenbrenner: America's H-1B Visa Program Needs Reform via @Forbes https://www. forbes.com/sites/realspin /2017/05/22/americas-h-1b-visa-program-needs-reform/#57ed0c3b3763 …";;@Forbes;#57ed0c3b3763;"866694030343757824";https://twitter.com/JimPressOffice/status/866694030343757824
;2017-05-22 09:48;1;4;"Thanks to everyone who attended Rep. Sensenbrenner's #TownHall in Hartland last night. #WI05 pic.twitter.com/bMJ32guLP8";;;#TownHall #WI05;"866667210701496320";https://twitter.com/JimPressOffice/status/866667210701496320
;2017-05-22 09:42;0;1;"ICYMI: State Journal editorial: Two state reps rank high for cooperation http:// host.madison.com/wsj/opinion/ed itorial/state-journal-editorial-two-state-reps-rank-high-for-cooperation/article_005cd909-4741-5538-ae14-7748cbc83923.html … via @WiStateJournal @RepRonKind";;@WiStateJournal @RepRonKind;;"866665681399492609";https://twitter.com/JimPressOffice/status/866665681399492609
;2017-05-18 09:43;11;16;"Rep. Sensenbrenner Column: Fighting for Americans with Disabilities https:// sensenbrenner.house.gov/weekly-columns ?ID=392BC69E-7213-4AC2-8EF5-B6FE4A4B099D … pic.twitter.com/WrF0erVVbX";;;;"865216160362627072";https://twitter.com/JimPressOffice/status/865216160362627072
;2017-05-16 17:00;3;2;"Congressman Sensenbrenner Introduces the Disability Integration Act in the House of Representatives https:// sensenbrenner.house.gov/press-releases -statements?ID=611CC1DE-744F-4B26-A4ED-03B196B6BE64 …";;;;"864601395575566337";https://twitter.com/JimPressOffice/status/864601395575566337
;2017-05-16 16:40;4;6;"Bipartisan Rapid DNA Passes in the House of Representatives https:// sensenbrenner.house.gov/press-releases -statements?ID=203F7DEC-E633-49AA-B650-50C45BBFD265 …";;;;"864596476403621889";https://twitter.com/JimPressOffice/status/864596476403621889
;2017-05-15 15:22;3;9;"Rep. Sensenbrenner Statement in Recognition of National Police Week: https:// sensenbrenner.house.gov/press-releases -statements?ID=BEF33F3B-7E7C-4E0B-BCD4-C507804FB1D8 … #PoliceWeek2017 #PoliceWeek pic.twitter.com/DJBYptrdkU";;;#PoliceWeek2017 #PoliceWeek;"864214349426110464";https://twitter.com/JimPressOffice/status/864214349426110464
;2017-05-11 08:02;1;1;"Update: building complications have been resolved and our D.C. Office is now open.";;;;"862654094288314368";https://twitter.com/JimPressOffice/status/862654094288314368
;2017-05-11 07:50;0;0;"You can contact his district office for assistance or email him through his website. https:// sensenbrenner.house.gov / (2/2)";;;;"862651126881144832";https://twitter.com/JimPressOffice/status/862651126881144832
;2017-05-11 07:49;0;0;"Rep. Sensenbrenner's D.C. Office is currently closed due to complications in Rayburn House Office Building. (1/2)";;;;"862650859028717568";https://twitter.com/JimPressOffice/status/862650859028717568
;2017-05-05 09:27;0;0;"When the actions of one state infringes on the rights of the other 49, the overreach must be curtailed http:// thehill.com/blogs/congress -blog/politics/331947-no-regulation-without-representation …";;;;"860501319609724928";https://twitter.com/JimPressOffice/status/860501319609724928
;2017-05-05 09:26;0;0;"Regulation with national effect should be implemented with authority of the national government. http:// thehill.com/blogs/congress -blog/politics/331947-no-regulation-without-representation …";;;;"860501031930781697";https://twitter.com/JimPressOffice/status/860501031930781697
;2017-05-05 09:25;0;0;"Residents and businesses of one state should not be subject to the taxes and regulation of another. http:// thehill.com/blogs/congress -blog/politics/331947-no-regulation-without-representation …";;;;"860500772152385537";https://twitter.com/JimPressOffice/status/860500772152385537
;2017-05-05 09:12;1;1;"Rep. Sensenbrenner: No regulation without representation via @thehill http:// thehill.com/blogs/congress -blog/politics/331947-no-regulation-without-representation … #WI05";;@thehill;#WI05;"860497520220413952";https://twitter.com/JimPressOffice/status/860497520220413952
