username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2017-06-14 10:53;70;325;"The capitol police were heroes today for their actions in the line of duty.";;;;"875018241579634689";https://twitter.com/Jim_Jordan/status/875018241579634689
;2017-06-14 10:52;46;232;"Today’s shooting was tragic, and I’m just grateful that my colleague @SteveScalise and the others who were injured will be okay.";;@SteveScalise;;"875018198181138438";https://twitter.com/Jim_Jordan/status/875018198181138438
;2017-06-09 12:43;52;120;"Thanks @Heritage for hosting my @freedomcaucus colleagues and I to talk tax reform today - video here ICYMI: http://www. heritage.org/taxes/event/pr inciples-tax-reform-conversation-the-house-freedom-caucus …";;@Heritage @freedomcaucus;;"873233985421295616";https://twitter.com/Jim_Jordan/status/873233985421295616
;2017-06-09 11:19;46;107;"America-first tax reform begins with dismissing a border adjustment tax - check out my latest @dcexaminer op-ed: http://www. washingtonexaminer.com/rep-jim-jordan -america-first-tax-reform-begins-with-dismissing-a-border-adjustment-tax/article/2625266 …";;@dcexaminer;;"873212999267430400";https://twitter.com/Jim_Jordan/status/873212999267430400
;2017-06-08 16:34;90;381;"Congrats to my good friend @TGowdySC - I'm looking forward to working with him as new @GOPoversight chair";;@TGowdySC @GOPoversight;;"872929957844054018";https://twitter.com/Jim_Jordan/status/872929957844054018
;2017-06-06 09:38;192;323;"13 Alabama counties saw 85 percent drop in food stamp participation after work requirements restarted http://www. al.com/news/index.ssf /2017/06/13_alabama_counties_had_85_per.html …";;;;"872100296159350785";https://twitter.com/Jim_Jordan/status/872100296159350785
;2017-06-06 09:01;99;274;"Forever thankful for those who fought, and those who sacrificed all, on #DDay #DDay73 #DDay2017 pic.twitter.com/aw1YNMOVib";;;#DDay #DDay73 #DDay2017;"872091109794697216";https://twitter.com/Jim_Jordan/status/872091109794697216
;2017-06-02 09:59;129;215;"Great article in @NRO shows real focus of Planned Parenthood, and why govt shouldn't fund it http://www. nationalreview.com/article/448190 /planned-parenthood-annual-report-abortions-increase-congress-should-defund-pp …";;@NRO;;"870656202157502466";https://twitter.com/Jim_Jordan/status/870656202157502466
;2017-06-01 15:46;9445;38738;"President Trump did the right thing by withdrawing us from Paris treaty - it would hurt American companies and American workers";;;;"870381068041498624";https://twitter.com/Jim_Jordan/status/870381068041498624
;2017-05-29 07:49;121;416;"Remembering the debt we can never repay, owed to those who gave everything while serving in the line of duty #ThankYou #MemorialDay pic.twitter.com/qyfsAvcaBB";;;#ThankYou #MemorialDay;"869173784024162304";https://twitter.com/Jim_Jordan/status/869173784024162304
