username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2017-06-14 15:11;6;31;"Happy Birthday @USArmy ! Very grateful for over 200 years defending our nation and our freedoms. #ArmyStrong pic.twitter.com/A1NhVRom60";;@USArmy;#ArmyStrong;"875083262317801472";https://twitter.com/JohnBoozman/status/875083262317801472
;2017-06-14 08:05;42;110;"I'm horrified at the senseless act of violence at congressional baseball practice. Praying for @SteveScalise Capitol Police & other victims";;@SteveScalise;;"874976130557784064";https://twitter.com/JohnBoozman/status/874976130557784064
;2017-06-13 17:41;16;38;"I paid tribute to the life of Newport Police Officer Lt Patrick Weatherford who was killed in the line of duty: https:// youtu.be/lspD1Lux81o";;;;"874758582880935936";https://twitter.com/JohnBoozman/status/874758582880935936
;2017-06-13 15:39;9;21;"House just passed VA Accountability & Whistleblower Protection Act - heads to president's desk. I'll keep working to improve care for vets. https:// twitter.com/ConcernedVets/ status/874393625639211008 …";;;;"874727917804244994";https://twitter.com/JohnBoozman/status/874727917804244994
;2017-06-13 12:15;4;11;"No doubt these @NRECANews #Washington Youth Tour participants are from #Arkansas . @ElecCoopsArk #WooPig #ARinDC pic.twitter.com/dsggfeWlXP";;@NRECANews @ElecCoopsArk;#Washington #Arkansas #WooPig #ARinDC;"874676500854964227";https://twitter.com/JohnBoozman/status/874676500854964227
;2017-06-13 11:18;3;5;"U.S. Capitol Police warn of a Caller ID Spoofing scam. Protect yourself from becoming a victim http:// wtop.com/local/2017/06/ caller-id-spoofing-scammers-capitol-police/ …";;;;"874662287600177152";https://twitter.com/JohnBoozman/status/874662287600177152
;2017-06-13 08:58;6;17;"Great news for #AR ranchers who will be able to sell top quality & affordable products to growing Chinese market http:// talkbusiness.net/2017/06/u-s-en ds-13-year-trade-beef-with-china-officials-say-arkansas-to-benefit/ …";;;#AR;"874627031807471616";https://twitter.com/JohnBoozman/status/874627031807471616
;2017-06-13 06:48;40;87;"May Newport Police Lt. Patrick Weatherford Rest In Peace. My prayers are for his family, friends and colleagues.";;;;"874594313652621318";https://twitter.com/JohnBoozman/status/874594313652621318
;2017-06-09 10:10;7;10;"Appreciate opportunity to talk abt infrastructure needs at the @HudsonInstitute yesterday. Watch entire event here: http:// bit.ly/2sbBvqc";;@HudsonInstitute;;"873195575927336960";https://twitter.com/JohnBoozman/status/873195575927336960
;2017-06-08 13:26;6;10;"Pleased to join @HudsonInstitute to talk about the importance of infrastructure. https:// twitter.com/KenWeinstein/s tatus/872850999773458436 …";;@HudsonInstitute;;"872882642336849920";https://twitter.com/JohnBoozman/status/872882642336849920
;2017-06-08 09:46;1;2;"Congrats to Cave Springs, #Arkansas resident & member of @HaasHallAcademy Class of 2017 on earning this scholarship. We are proud of you. https:// twitter.com/SamsungDC/stat us/872809193060913156 …";;@HaasHallAcademy;#Arkansas;"872827261753470977";https://twitter.com/JohnBoozman/status/872827261753470977
;2017-06-07 15:06;2;4;"Another good read on what "Future I-57" means for the region via @Times_Dispatch >>> http://www. thetd.com/freepages/2017 -06-07/news/story1.php …";;@Times_Dispatch;;"872545399717974017";https://twitter.com/JohnBoozman/status/872545399717974017
;2017-06-07 13:26;4;8;"Reversing this rule created by the Obama administration puts local franchises back in control of business decisions http://www. washingtonexaminer.com/labor-departme nt-rescinds-expanded-joint-employer-rule/article/2625200 …";;;;"872520046609915905";https://twitter.com/JohnBoozman/status/872520046609915905
;2017-06-07 09:09;4;5;"Read AR delegation's letter to @POTUS in support of Gov. @AsaHutchinson 's request for a fed disaster declaration >> http:// bit.ly/2r5D8R2";;@POTUS @AsaHutchinson;;"872455433566474240";https://twitter.com/JohnBoozman/status/872455433566474240
;2017-06-05 14:40;4;4;"A good read on what "Future I-57" means for the region in the @SeaDailyCitizen : http://www. thedailycitizen.com/news/news.php? ID=4490 …";;@SeaDailyCitizen;;"871814077668110336";https://twitter.com/JohnBoozman/status/871814077668110336
;2017-06-05 12:02;9;17;"I had the pleasure of meeting the @ChaffinJH National Quiz Bowl Championship Team. Great work by these #Arkansas students. pic.twitter.com/vlGktaHj13 – bei Hart Senate Building";;@ChaffinJH;#Arkansas;"871774303070679041";https://twitter.com/JohnBoozman/status/871774303070679041
;2017-06-02 16:40;10;31;"So appreciative of @ARBoysState for inducting me into its Hall of Fame today. Such an honor. And @SenTomCotton , look who I ran into there! pic.twitter.com/vrV3ZJsGfP";;@ARBoysState @SenTomCotton;;"870757027634696192";https://twitter.com/JohnBoozman/status/870757027634696192
;2017-06-02 10:16;1;2;"Read what state and local officials are saying about what "Future I-57" will do for the region: http:// bit.ly/2qIfN8W";;;;"870660314936872960";https://twitter.com/JohnBoozman/status/870660314936872960
;2017-06-01 16:20;10;30;"My statement on the U.S.'s withdrawal from the Paris climate accord >>> https://www. boozman.senate.gov/public/index.c fm?p=press-releases&id=D04D1A95-C9B7-4593-BFCC-84E6DA77AFDF …";;;;"870389496222814208";https://twitter.com/JohnBoozman/status/870389496222814208
;2017-05-29 11:00;8;42;""Greater love has no one than this: to lay down one’s life for one’s friends.” Grateful for the bravery & selflessness of our fallen heroes. pic.twitter.com/yPDqX4FxR0";;;;"869221810600062978";https://twitter.com/JohnBoozman/status/869221810600062978
;2017-05-26 14:11;4;6;"ICYMI: Opening statement from yesterday's Homeland Security Subcomm hearing w/ @DHSgov Sec. Kelly--my 1st as Chairman http:// bit.ly/2qkEj3J";;@DHSgov;;"868182897508921344";https://twitter.com/JohnBoozman/status/868182897508921344
;2017-05-26 11:29;4;14;"Saddened by the news of another attack on Coptic Christians in Egypt. Our hearts & our prayers are with the victims & their families.";;;;"868142058472706048";https://twitter.com/JohnBoozman/status/868142058472706048
;2017-05-25 14:13;8;7;"Happy to learn Ashdown, Bald Knob & Paragould school districts have received @NAMM Best Communities for Music Education award. #SupportMusic pic.twitter.com/y52KbTb1Tl";;@NAMM;#SupportMusic;"867820944131317760";https://twitter.com/JohnBoozman/status/867820944131317760
;2017-05-25 09:40;2;1;"6. Congress will have to make these decisions based on shared priorities and w/an eye toward risk-based distribution of limited resources.";;;;"867752296071008257";https://twitter.com/JohnBoozman/status/867752296071008257
;2017-05-25 09:40;3;1;"5. While this budget proposal for @dhsgov makes some smart choices, there are also parts of it that are unworkable.";;@dhsgov;;"867752136024764418";https://twitter.com/JohnBoozman/status/867752136024764418
;2017-05-25 09:37;1;2;"4. Sec. Kelly has rightly noted in testimony & through this budget proposal that @dhsgov workforce is its most valuable resource.";;@dhsgov;;"867751493570629632";https://twitter.com/JohnBoozman/status/867751493570629632
;2017-05-25 09:34;2;3;"3.This Subcommittee is committed to working w/Sec. Kelly and the men and women of . @DHSgov who are working every day to keep us safe.";;@DHSgov;;"867750700318687233";https://twitter.com/JohnBoozman/status/867750700318687233
;2017-05-25 09:33;3;14;"2. Tragic events in Manchester, England earlier this week remind us why we must focus on the serious challenge of securing our homeland.";;;;"867750480478449665";https://twitter.com/JohnBoozman/status/867750480478449665
;2017-05-25 09:33;2;6;"1. Kicking off my 1st hearing as chair of Homeland Security Appropriations subcommittee. Sec. Kelly testifying abt FY18 budget request";;;;"867750366317862913";https://twitter.com/JohnBoozman/status/867750366317862913
;2017-05-24 16:16;7;11;"Thanks to folks from @ARTrucking for coming by to discuss transportation & regulatory issues we can work together on to help the industry. pic.twitter.com/3C5Ch9Enap";;@ARTrucking;;"867489407548502017";https://twitter.com/JohnBoozman/status/867489407548502017
;2017-05-24 10:45;6;9;"Cathy & I enjoyed being @MarchofDimes Gourmet Gala guest chefs. We served up one of our favorites: Fruit Slush. Great event & worthy cause. pic.twitter.com/4roV47w5XP";;@MarchofDimes;;"867406140488986624";https://twitter.com/JohnBoozman/status/867406140488986624
;2017-05-24 09:28;7;6;"These Murfreesboro High School students are visiting #Washington w/ @CloseUp_DC . It was great meeting w/them during their day on Capitol Hill pic.twitter.com/EPL3d6s2n5";;@CloseUp_DC;#Washington;"867386874771517441";https://twitter.com/JohnBoozman/status/867386874771517441
;2017-05-23 16:45;9;14;"Honored to give a US Capitol tour to a group of @USCG chaplains yesterday evening. Thankful for their service and leadership. #SemperParatus pic.twitter.com/bVmtmhk5fi";;@USCG;#SemperParatus;"867134373627383808";https://twitter.com/JohnBoozman/status/867134373627383808
;2017-05-23 12:26;5;5;"It's great to have @RepWesterman & his staff join efforts to preserve memories of AR veterans for @librarycongress #Veterans History Project pic.twitter.com/4eNI6XJrUW";;@RepWesterman @librarycongress;#Veterans;"867069179769311232";https://twitter.com/JohnBoozman/status/867069179769311232
;2017-05-23 11:43;4;9;"I was proud to recognize the positive influence of #drugcourts in #Arkansas & throughout the country via @KARK4News http://www. arkansasmatters.com/news/local-new s/positive-influence-of-ar-drug-courts-recognized-on-senate-floor/718887116 …";;@KARK4News;#drugcourts #Arkansas;"867058445438124032";https://twitter.com/JohnBoozman/status/867058445438124032
;2017-05-23 11:14;1;3;"What a pleasure to talk with these Southside students & answer their questions. So glad we had an opportunity to visit before summer break. https:// twitter.com/cabotsd/status /867040279391502338 …";;;;"867051208867024898";https://twitter.com/JohnBoozman/status/867051208867024898
;2017-05-23 09:27;6;19;"I stand with Manchester & mourn the victims of the horrific terrorist attack. The victims, their families and the country are in my prayers.";;;;"867024091542368258";https://twitter.com/JohnBoozman/status/867024091542368258
;2017-05-22 14:52;2;6;"May is National #DrugCourt Month. I'm on the #Senate floor speaking about their positive influence in #Arkansas . https://www. c-span.org/video/?428873- 1/us-senate-debates-votes-china-ambassador-nomination&live …";;;#DrugCourt #Senate #Arkansas;"866743694376001542";https://twitter.com/JohnBoozman/status/866743694376001542
;2017-05-18 13:40;5;6;"Pushing @DeptVetAffairs to support hiring more women’s health providers & enhance data tracking https://www. youtube.com/watch?v=IILqJa dIlGo&feature=youtu.be … #DeborahSampsonAct";;@DeptVetAffairs;#DeborahSampsonAct;"865275971645190146";https://twitter.com/JohnBoozman/status/865275971645190146
;2017-05-17 20:50;7;12;"Senate Intel Committee is continuing its work as well. I have complete confidence in their ability to conduct a thorough investigation (2/2)";;;;"865021721249710081";https://twitter.com/JohnBoozman/status/865021721249710081
;2017-05-17 20:48;13;44;"Appointing Robert Mueller as special counsel in this matter is a good step toward restoring public confidence. (1/2)";;;;"865021292608671744";https://twitter.com/JohnBoozman/status/865021292608671744
;2017-05-17 14:12;9;28;"Couldn’t agree more. Rural areas need fast, reliable broadband connectivity to compete in the 21st century economy. https:// twitter.com/SecretarySonny /status/864859881316155392 …";;;;"864921667495227392";https://twitter.com/JohnBoozman/status/864921667495227392
;2017-05-17 12:48;2;6;"Congrats to next @ArkansasState Chancellor Dr. Kelly Damphousse. Exciting future ahead for #AState students, faculty & Jonesboro. #WolvesUp pic.twitter.com/dNWjF04b0E";;@ArkansasState;#AState #WolvesUp;"864900509978722304";https://twitter.com/JohnBoozman/status/864900509978722304
;2017-05-17 09:22;4;8;"Praying for a speedy and full recovery for my friend @maziehirono .";;@maziehirono;;"864848529692520448";https://twitter.com/JohnBoozman/status/864848529692520448
