username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2017-06-14 07:28;8;24;"My thoughts and prayers are with @SteveScalise , Capitol Police, and others hurt in this morning's shooting. I hope everyone is okay.";;@SteveScalise;;"874966821031510016";https://twitter.com/JuliaBrownley26/status/874966821031510016
;2017-06-13 16:01;4;18;"I voted for the VA Accountability bill today to improve service and care for our veterans and to hold bad actors in the VA accountable. pic.twitter.com/2x6LKM8hap";;;;"874733393887604737";https://twitter.com/JuliaBrownley26/status/874733393887604737
;2017-06-12 17:49;13;18;"A yr ago, we lost 49 lives too soon to hate & violence. Let's remember their names & tell their stories.Let's take action for LGBT justice. pic.twitter.com/UBOG74ncOr";;;;"874398200253337603";https://twitter.com/JuliaBrownley26/status/874398200253337603
;2017-06-12 17:43;7;23;"9th Circuit decision is a win for rule of law. We need carefully thought-out immigration policies, not discriminatory #TravelBan";;;#TravelBan;"874396778673647616";https://twitter.com/JuliaBrownley26/status/874396778673647616
;2017-06-08 15:03;11;30;"Public lands preserve our natural & cultural heritage. On the anniversary of Antiquities Act, let’s keep working to protect #MonumentsForAll pic.twitter.com/kLmX0ybep6";;;#MonumentsForAll;"872907013566717953";https://twitter.com/JuliaBrownley26/status/872907013566717953
;2017-06-07 16:22;9;18;"Joined @HouseVetAffairs @VetAffairsDems to hear from experts on ways to better address PTSD for veterans. pic.twitter.com/UWBLAOLNuX";;@HouseVetAffairs @VetAffairsDems;;"872564320244297728";https://twitter.com/JuliaBrownley26/status/872564320244297728
;2017-06-07 14:18;4;18;"Proud to co-sponsor the Aviation Funding Stability Act to ensure our air traffic control system continues to be safe & efficient. #ATCreform";;;#ATCreform;"872533131756220416";https://twitter.com/JuliaBrownley26/status/872533131756220416
;2017-06-05 15:57;1;12;"Met w/ many incredible people in VC last wk who work to better our community and advocate for the important issues affecting our district. pic.twitter.com/fh1MFu8HHa";;;;"871833356941631488";https://twitter.com/JuliaBrownley26/status/871833356941631488
;2017-06-04 20:05;2;18;"Last week, I met w/ VADM Midgette, Cmdr. of USCG Pacific Area, to discuss the Coast Guard’s new permanent home at Naval Base Ventura County. pic.twitter.com/m9yXV1URR2";;;;"871533435097161728";https://twitter.com/JuliaBrownley26/status/871533435097161728
;2017-06-04 18:14;3;11;"It was an honor to be part of Sgt. David Stull’s pinning ceremony for the Purple Heart he was awarded after 48 yrs. http:// bit.ly/2rnS6Fu pic.twitter.com/MtldjKXtuW";;;;"871505563758333952";https://twitter.com/JuliaBrownley26/status/871505563758333952
;2017-06-01 18:35;16;50;"My Statement on President Trump’s decision to withdraw U.S. from Paris Climate Agreement: pic.twitter.com/W6OCF3aeOS";;;;"870423687870251009";https://twitter.com/JuliaBrownley26/status/870423687870251009
;2017-06-01 14:06;1;3;"I encourage you to please watch the dedication ceremony here: https://www. youtube.com/watch?v=RbDQpB Vo2B4 …";;;;"870355946303868928";https://twitter.com/JuliaBrownley26/status/870355946303868928
;2017-06-01 14:05;4;22;"I was proud to dedicate the Port Hueneme Post Office in honor of our fallen Seabees from the U.S. Naval Construction Battalion. (2/2) pic.twitter.com/ddyMlBZuPK";;;;"870355693295071232";https://twitter.com/JuliaBrownley26/status/870355693295071232
;2017-06-01 14:05;4;17;"For 75 yrs, Seabees have fought on the frontlines building critical infrastructure for our troops. Yesterday, we honored their fallen. (1/2)";;;;"870355564743839744";https://twitter.com/JuliaBrownley26/status/870355564743839744
;2017-05-29 22:31;5;21;"On #MemorialDay , we come together to honor the men & women who gave their lives in service to our nation. https://www. youtube.com/watch?v=OLvFfF TcuMU … pic.twitter.com/54VGt2FSIs";;;#MemorialDay;"869395907451772928";https://twitter.com/JuliaBrownley26/status/869395907451772928
;2017-05-27 20:48;2;17;"Wonderful mtg the students in Ms. Eich's 8th grade US history class! So important to learn from our past so we can build a better future. pic.twitter.com/JuZKhBWqS9";;;;"868645141422247937";https://twitter.com/JuliaBrownley26/status/868645141422247937
;2017-05-25 22:48;2;10;"Proud to join @AMSUS , VSOs, & VA to discuss future of VA care & how to better serve the needs of vets. Thanks @VADMCowanAMSUS ! #AMSUS2017 pic.twitter.com/xAfq6pwiYP";;@AMSUS @VADMCowanAMSUS;#AMSUS2017;"867950540516450304";https://twitter.com/JuliaBrownley26/status/867950540516450304
;2017-05-24 18:38;4;16;"New CBO on #TrumpCare shows 23 million will be kicked off their insurance. Time for another GOP celebration...? pic.twitter.com/IFJaa1AnT6";;;#TrumpCare;"867525289131335680";https://twitter.com/JuliaBrownley26/status/867525289131335680
;2017-05-24 18:26;6;21;"Today, I joined my colleagues @ArlingtonNatl to lay a wreath honoring our fallen women servicemembers. pic.twitter.com/sxk7CZPyCA";;@ArlingtonNatl;;"867522313662722049";https://twitter.com/JuliaBrownley26/status/867522313662722049
;2017-05-23 16:02;2;16;"Thanks @SecShulkin for a great mtg! Look forward to working w/ you to improve VA healthcare & services for our vets. https:// juliabrownley.house.gov/media-center/p ress-releases/brownley-meets-with-va-secretary-shulkin-to-discuss-modernizing-the-va … https:// twitter.com/SecShulkin/sta tus/867056315918581762 …";;@SecShulkin;;"867123530466553856";https://twitter.com/JuliaBrownley26/status/867123530466553856
;2017-05-23 06:10;6;14;"My heart goes out to the victims and their families in Manchester. We, as an intl. community, must root out this evil.";;;;"866974659245469696";https://twitter.com/JuliaBrownley26/status/866974659245469696
;2017-05-20 14:28;5;36;"I’m proud to represent Naval Base Ventura County and to honor all those who serve our country! #ArmedForcesDay .";;;#ArmedForcesDay;"866012756155281408";https://twitter.com/JuliaBrownley26/status/866012756155281408
;2017-05-18 13:53;2;10;"It’s #TimetoBuild a 21st Century infrastructure that will meet current and future demands. #InfrastructureWeek2017 (2/2)";;;#TimetoBuild #InfrastructureWeek2017;"865279287187918848";https://twitter.com/JuliaBrownley26/status/865279287187918848
