username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2017-06-14 18:48;2;6;"On a very difficult day in our nation’s capital, the House Chaplain, Fr. Pat Conroy, offered these words of prayer. https:// goo.gl/eKF1pi";;;;"875137944457183233";https://twitter.com/KenCalvert/status/875137944457183233
;2017-06-14 14:16;1;15;"Any attack on members of Congress is an attack on our democracy. You can read my full statement here: https:// goo.gl/COkTTx";;;;"875069567734829057";https://twitter.com/KenCalvert/status/875069567734829057
;2017-06-14 08:06;2;15;"Thoughts & prayers with @SteveScalise , his family, his staff, all victims and our brave Capitol Police who keep us safe every day.";;@SteveScalise;;"874976315748864000";https://twitter.com/KenCalvert/status/874976315748864000
;2017-06-13 19:45;2;9;"Let's end a culture within the VA bureaucracy that is more committed to protecting itself than protecting the welfare of our veterans.";;;;"874789735675211776";https://twitter.com/KenCalvert/status/874789735675211776
;2017-06-13 18:45;1;3;"Veteran organizations support the VA Accountability & Whistleblower Protection Act, including @AmericanLegion @iava @VFWHQ @purpleheart1782";;@AmericanLegion @iava @VFWHQ @purpleheart1782;;"874774636868677633";https://twitter.com/KenCalvert/status/874774636868677633
;2017-06-13 17:45;1;3;"Press Enterprise editorial: Charter school legislation a distraction, not a solution https:// goo.gl/DW2peL";;;;"874759540369010688";https://twitter.com/KenCalvert/status/874759540369010688
;2017-06-13 17:17;1;9;"I just voted for bipartisan legislation to protect veterans and hold government employees accountable. https:// goo.gl/2ygSw9";;;;"874752722804895745";https://twitter.com/KenCalvert/status/874752722804895745
;2017-06-12 14:45;4;8;"Tomorrow, the House will vote on a bill that will hold VA employees accountable for giving our veterans the best care possible. https:// twitter.com/HouseVetAffair s/status/873250875711643648 …";;;;"874351857921122309";https://twitter.com/KenCalvert/status/874351857921122309
;2017-06-12 13:45;0;1;"@HouseAppropsGOP just released our first Fiscal Year 2018 funding bill. More work is ahead as we fund our national priorities. https:// twitter.com/HouseAppropsGO P/status/873998458000199680 …";;@HouseAppropsGOP;;"874336753037058049";https://twitter.com/KenCalvert/status/874336753037058049
;2017-06-12 12:37;3;15;"The winning Powerball ticket was sold in the 42nd Cong. District! Someone's weekend was a little better than ours. https:// goo.gl/wi3Kuj";;;;"874319832023433216";https://twitter.com/KenCalvert/status/874319832023433216
;2017-06-09 12:14;2;9;"I'm proud to announce the 2017 U.S. Military Service Academy appointments from the 42nd Congressional District: https:// goo.gl/QuIYqw";;;;"873226817217454081";https://twitter.com/KenCalvert/status/873226817217454081
;2017-06-08 15:40;64;290;"As a former small business owner, I agree with @SpeakerRyan . Fewer opportunities to access capital limits job and economic growth. https:// twitter.com/SpeakerRyan/st atus/872855437581987840 …";;@SpeakerRyan;;"872916141378740228";https://twitter.com/KenCalvert/status/872916141378740228
;2017-06-08 14:40;2;3;"Watch my remarks from today’s hearing w/ @SecretaryZinke . I raised concerns re cuts to the earthquake warning system https:// youtu.be/qR3l2jeZYgo";;@SecretaryZinke;;"872901043717275649";https://twitter.com/KenCalvert/status/872901043717275649
;2017-06-08 13:38;5;9;"The Russia investigations are important, but don’t believe the false narrative that they’ve kept Congress from moving our agenda. https:// twitter.com/GOPLeader/stat us/872874701915394049 …";;;;"872885581860220930";https://twitter.com/KenCalvert/status/872885581860220930
;2017-06-06 18:45;4;8;"Our veterans deserve accountability at the VA. An important reform on the cusp of becoming law. https:// twitter.com/LeoShane/statu s/872205894146113538 …";;;;"872237922359136256";https://twitter.com/KenCalvert/status/872237922359136256
;2017-06-06 17:33;1;5;"“The hopes and prayers of liberty-loving people everywhere march with you.” -- General Dwight D. Eisenhower #DDay pic.twitter.com/rNSL6zZrq1";;;#DDay;"872219994708430848";https://twitter.com/KenCalvert/status/872219994708430848
;2017-06-05 14:34;6;13;"Proud to support this important project for our troops and our critical military base. https:// twitter.com/PEcom_news/sta tus/870827025849663488 …";;;;"871812365414748162";https://twitter.com/KenCalvert/status/871812365414748162
;2017-06-05 13:47;3;6;"Americans facing higher premiums and serious health care problems deserve real solutions, not political stunts. https:// twitter.com/PEcom_news/sta tus/871263804977364992 …";;;;"871800672274010115";https://twitter.com/KenCalvert/status/871800672274010115
;2017-06-05 12:56;2;5;"While we mourn the victims of the latest terror attack in England, the defenders of liberty will never yield to the jihadist cowards.";;;;"871787902702891012";https://twitter.com/KenCalvert/status/871787902702891012
;2017-06-02 17:40;2;13;"Today, I attended the ribbon-cutting of the new Joint Regional Deployment Processing Center at March Air Reserve Base. pic.twitter.com/sldtaoAaPg";;;;"870772114101420032";https://twitter.com/KenCalvert/status/870772114101420032
;2017-05-31 13:45;4;3;"Federal funds coming for Inland floodwater, desalinization projects https:// goo.gl/xdKppL";;;;"869988096846176257";https://twitter.com/KenCalvert/status/869988096846176257
;2017-05-31 12:50;1;8;"We stand with the people of Afghanistan who are desperate for peace. The horrific attack in Kabul will not deter us.";;;;"869974390087274496";https://twitter.com/KenCalvert/status/869974390087274496
;2017-05-29 12:02;1;11;"Our community pays a special honor to the American heroes we remember today who called the Inland Empire home.";;;;"869237643451678720";https://twitter.com/KenCalvert/status/869237643451678720
;2017-05-29 12:02;2;13;"This Memorial Day we remember the Americans who sacrificed everything in order to secure the values we hold dear.";;;;"869237439121965056";https://twitter.com/KenCalvert/status/869237439121965056
;2017-05-25 16:45;1;2;"Editorial: ADA lawsuit abuse remains a problem https:// goo.gl/TdxIfS";;;;"867859069834452992";https://twitter.com/KenCalvert/status/867859069834452992
;2017-05-25 13:05;1;5;"Proud to support these bipartisan bills to help our veterans. https:// twitter.com/HouseVetAffair s/status/867441638053998592 …";;;;"867803916167245825";https://twitter.com/KenCalvert/status/867803916167245825
;2017-05-25 11:15;1;6;"Multiple projects in Riverside County were awarded funding by the Army Corps of Engineers. Read my statement here: https:// goo.gl/bnsuJ3";;;;"867776187153645570";https://twitter.com/KenCalvert/status/867776187153645570
;2017-05-24 14:45;135;452;"We’ve overturned 14 harmful Obama-era regulations—fulfilling our promise to scale back the size of govt and return power back to the people. pic.twitter.com/veQ4T7BaQ7";;;;"867466508116668416";https://twitter.com/KenCalvert/status/867466508116668416
;2017-05-24 14:11;2;5;"The CA legislature’s “solution” to health care is fewer choices and higher taxes. http://www. sacbee.com/news/politics- government/capitol-alert/article151960182.html …";;;;"867458139024744448";https://twitter.com/KenCalvert/status/867458139024744448
;2017-05-24 12:54;1;7;"Bills passed by the House in the first 100 days of a new presidency: - 22/H.W. Bush - 28/Clinton - 42/W. Bush - 94/Obama - 103 in 2017";;;;"867438757762527237";https://twitter.com/KenCalvert/status/867438757762527237
;2017-05-23 13:49;6;9;"The budget released today clearly emphasizes our national security and protecting our borders, which I believe are critically important.";;;;"867090003918299136";https://twitter.com/KenCalvert/status/867090003918299136
;2017-05-23 12:45;4;4;"Here is my statement in response to the release of the President's budget request: pic.twitter.com/6r4U59Jwn9";;;;"867074039864479744";https://twitter.com/KenCalvert/status/867074039864479744
;2017-05-23 10:53;0;8;"The civilized world will not bend or break in the face of the evil acts committed by ISIS.";;;;"867045797912657920";https://twitter.com/KenCalvert/status/867045797912657920
;2017-05-23 10:40;4;14;"People, including many children, gathered to enjoy music last night were brutally attacked by a coward. We stand with our friends in the UK.";;;;"867042496043298816";https://twitter.com/KenCalvert/status/867042496043298816
;2017-05-18 17:02;4;8;"Great meeting with CA Realtors today to discuss strategies to keep California’s housing market strong and vibrant. pic.twitter.com/wM6MnTxV01";;;;"865326709373100034";https://twitter.com/KenCalvert/status/865326709373100034
;2017-05-18 16:40;2;5;"The House is advancing bipartisan efforts to improve career and technical education. https:// twitter.com/EdWorkforce/st atus/864861901179826176 …";;;;"865321094235828224";https://twitter.com/KenCalvert/status/865321094235828224
;2017-05-18 14:45;80;120;"The AHCA does NOT deny veterans tax credits. Democrats should stop trying to mislead and scare our veterans. https:// goo.gl/RlrvzD";;;;"865292160224112640";https://twitter.com/KenCalvert/status/865292160224112640
;2017-05-18 14:15;0;4;"Ahead of Memorial Day, the House is working on bipartisan legislation, including a bill to fix the VA’s broken appeals process. https:// twitter.com/HouseVetAffair s/status/864930795047309318 …";;;;"865284605397442561";https://twitter.com/KenCalvert/status/865284605397442561
;2017-05-18 13:45;23;208;"Obama's regulatory tailspin has been repealed via @SpeakerRyan : https:// goo.gl/HYsOUm";;@SpeakerRyan;;"865277056128385025";https://twitter.com/KenCalvert/status/865277056128385025
;2017-05-18 13:20;3;7;"House Republicans are busy working on the American people’s priorities. Job growth is front and center on our minds. https:// twitter.com/WaysandMeansGO P/status/865208644606066689 …";;;;"865270768439046145";https://twitter.com/KenCalvert/status/865270768439046145
