username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2017-06-14 16:33;4;23;"I met with the Alaska Bering Sea Crabbers (ABSC) this past week to discuss issues directly impacting the seafood industry. pic.twitter.com/0K8WxG5GYv";;;;"875103982544453632";https://twitter.com/lisamurkowski/status/875103982544453632
;2017-06-14 09:02;17;57;"Praying for the injured, witnesses, & all those impacted. Thank you to the brave souls-including the Capitol Police-who jumped into action.";;;;"874990493943427072";https://twitter.com/lisamurkowski/status/874990493943427072
;2017-06-14 09:00;12;43;"Saddened & horrified to hear about the shooting at the Congressional baseball practice this am. I know this has shaken many on Capitol Hill.";;;;"874990032167333888";https://twitter.com/lisamurkowski/status/874990032167333888
;2017-06-13 15:58;6;17;"At an Indian Affairs hearing including witness Mark Charlie of Bethel, AK, to address bills beneficial to AK natives http:// bit.ly/2r5wTSl";;;;"874732670021980161";https://twitter.com/lisamurkowski/status/874732670021980161
;2017-06-12 15:34;1;40;"Intern sighting on my flight from Fairbanks! Haley Hatch from Seward interned in my office summer 2006. pic.twitter.com/6UWDSdQp5W";;;;"874364242912215040";https://twitter.com/lisamurkowski/status/874364242912215040
;2017-06-12 14:16;8;20;"An Alaskan legend has left us, and we will never forget a woman who gave us so much to remember. https:// twitter.com/newsminer/stat us/873991209265487876 …";;;;"874344766028341249";https://twitter.com/lisamurkowski/status/874344766028341249
;2017-06-09 13:18;5;13;"Through training, education & workplace development we are ensuring that we nurture incoming generations. http:// bit.ly/2resUOt";;;;"873242970027372544";https://twitter.com/lisamurkowski/status/873242970027372544
;2017-06-09 13:16;2;6;"This leg. is a key step in addressing barriers facing young people trying to join the commercial fishing fleet. http:// bit.ly/2resUOt";;;;"873242365741465601";https://twitter.com/lisamurkowski/status/873242365741465601
;2017-06-09 13:14;7;18;"Proud to support our young fishermen by introducing leg. w/ @SenDanSullivan @SenMarkey @SenatorCantwell Click here: http:// bit.ly/2resUOt";;@SenDanSullivan @SenMarkey @SenatorCantwell;;"873241905022345216";https://twitter.com/lisamurkowski/status/873241905022345216
;2017-06-08 09:01;9;21;"Very important hearing on Capitol Hill at 10...to study cost reductions in emerging energy technologies. Watch here: http:// bit.ly/2r6Tx88";;;;"872815879985262592";https://twitter.com/lisamurkowski/status/872815879985262592
;2017-06-07 17:19;2;7;"Staff sent pics of the Denakkanaaga Elders & Youth Conference taking place to address challenges in Interior communities & find solutions. pic.twitter.com/2hgTPFfWnq";;;;"872578889478025218";https://twitter.com/lisamurkowski/status/872578889478025218
;2017-06-07 15:29;1;15;"Check out the newest addition to my DC office! Bernie Karl, one of Alaska’s top innovators,… https://www. instagram.com/p/BVDPhoJFO_k/";;;;"872551033330962432";https://twitter.com/lisamurkowski/status/872551033330962432
;2017-06-07 12:02;2;6;"YTD I asked @usairforce about the logistics of housing airmen & families coming to @EielsonAFB_AK as result of F-35 beddown. pic.twitter.com/nIDBpV1rmm";;@usairforce @EielsonAFB_AK;;"872499009142882304";https://twitter.com/lisamurkowski/status/872499009142882304
;2017-06-06 11:14;23;42;"Today marks 73 years since #DDay . Let us remember the courage and sacrifice made by so many that day, and for the days and years to follow. pic.twitter.com/nYXAWLVlgt";;;#DDay;"872124541547556864";https://twitter.com/lisamurkowski/status/872124541547556864
;2017-06-03 17:03;8;42;"Happy #NationalTrailsDay , Alaska! Today is a day meant to connect more people to trails. Throwback to hiking Crow Pass a few years ago. pic.twitter.com/FSzApHNlTD";;;#NationalTrailsDay;"871125109183881216";https://twitter.com/lisamurkowski/status/871125109183881216
;2017-06-02 14:07;6;9;"FYI Interior Alaskans – my office in Fairbanks has moved. The new address is 250 Cushman Street Suites 2J/K: https:// goo.gl/maps/SpNWFCg1M cR2 … .";;;;"870718545482698753";https://twitter.com/lisamurkowski/status/870718545482698753
