username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2016-03-16 11:38;6;16;"A win for Arpaio is not a win for our community-We need a leader who will take action not a photo of our suffering: http://www. azcentral.com/story/opinion/ op-ed/ej-montini/2016/03/15/montini-joe-arpaio-bernie-sanders-tent-city/81805542/ …";;;;"710143195955462145";https://twitter.com/LuisGutierrez/status/710143195955462145
;2016-03-15 21:56;0;24;"From the bottom of my heart, I am so grateful to everyone who voted for me today. I'll continue to fight for what we believe in! #ThankYou";;;#ThankYou;"709936446560464900";https://twitter.com/LuisGutierrez/status/709936446560464900
;2016-03-15 16:06;1;3;"@tjacksontweets Thanks for posting, its been great stumping with @billclinton - Everyone be sure to get out & #VOTE https:// twitter.com/tjacksontweets /status/709779011820326912 …";;@tjacksontweets @billclinton;#VOTE;"709848303001845761";https://twitter.com/LuisGutierrez/status/709848303001845761
;2016-02-18 20:45;16;17;"One reason why #iamwithher , @HillaryClinton stands up for Immigration reform, Senator Sanders works to derail it. http://www. univision.com/noticias/opini on/luis-gutierrez-sanders-voted-with-republicans …";;@HillaryClinton;#iamwithher;"700511487161294849";https://twitter.com/LuisGutierrez/status/700511487161294849
;2015-12-15 15:38;4;10;"I was Honored to introduce @HillaryClinton @#NIIC & excited to work to get her elected as our next President! #Hillary2016 #ImWithHer";;@HillaryClinton @;#NIIC #Hillary2016 #ImWithHer;"676878935821545474";https://twitter.com/LuisGutierrez/status/676878935821545474
;2015-12-02 14:26;1;5;"My thoughts & prayers are with the #SanBernadino community #StopTheHate #PrayersforSanBernadino";;;#SanBernadino #StopTheHate #PrayersforSanBernadino;"672149836641214464";https://twitter.com/LuisGutierrez/status/672149836641214464
;2015-12-01 14:47;5;3;"Hope everyone's getting into the spirit & participating in #GivingTuesday ! We can all help in some way shape or form. #giveback";;;#GivingTuesday #giveback;"671792702472765440";https://twitter.com/LuisGutierrez/status/671792702472765440
;2015-12-01 14:29;0;1;"I applaud @RahmEmanuel for taking the first step to rebuild our city's trust. #Chicago #saferChicagoforALL";;@RahmEmanuel;#Chicago #saferChicagoforALL;"671788212646510594";https://twitter.com/LuisGutierrez/status/671788212646510594
;2015-11-30 14:32;2;3;"Prayers are w/ CO #PlannedParenthood shooting victims, may our actions #StopGunViolence in the US & may we keep fighting for #womensrights !";;;#PlannedParenthood #StopGunViolence #womensrights;"671426718469632000";https://twitter.com/LuisGutierrez/status/671426718469632000
;2015-11-30 12:57;4;2;"Really appreciate you @jamalhbryant and your strong stance against @realDonaldTrump racial rhetoric against the #latino community. #stophate";;@jamalhbryant @realDonaldTrump;#latino #stophate;"671402711376650241";https://twitter.com/LuisGutierrez/status/671402711376650241
;2015-11-11 16:39;2;1;"From the bottom of my heart thank you to all our veterans! #HappyVeteransDay We appreciate your service! #Greatful";;;#HappyVeteransDay #Greatful;"664573125305245696";https://twitter.com/LuisGutierrez/status/664573125305245696
;2015-01-28 21:29;6;4;"I will be in South Carolina on Friday, Jan 30 to explain #ImmigrationAction http://www. immigrationreformfund.org/luis_gutierrez _to_explain_immigration_action_in_south_carolina …";;;#ImmigrationAction;"560640831716335616";https://twitter.com/LuisGutierrez/status/560640831716335616
;2014-10-30 17:18;2;5;"Proud to support @QuinnForIL today. Make your voice heard. Join me and vote early! #twill pic.twitter.com/mEaliUSxyC";;@QuinnForIL;#twill;"527947802346024961";https://twitter.com/LuisGutierrez/status/527947802346024961
;2014-07-03 11:57;9;4;"In @Trib_ed_board by @LuisGutierrez : #GOP makes huge mistake on #immigration reform http:// trib.in/1j0rXnS #timeisnow #twill #p2 #latism";;@Trib_ed_board @LuisGutierrez;#GOP #immigration #timeisnow #twill #p2 #latism;"484742780862746624";https://twitter.com/LuisGutierrez/status/484742780862746624
;2014-06-18 13:57;14;9;". @MaryRoseWilcox will take on bullies who stand in the way of #immigration http:// bit.ly/1soznWd #az07 #Phx pic.twitter.com/eZvjU5xMHn #latism";;@MaryRoseWilcox;#immigration #az07 #Phx #latism;"479337104510820353";https://twitter.com/LuisGutierrez/status/479337104510820353
;2014-03-01 12:20;4;1;"#Chicago @Trib_ed_board : For the 4th Congressional District #Democrats , we endorse @LuisGutierrez : http:// bit.ly/1fOiThZ #il04 #il4";;@Trib_ed_board @LuisGutierrez;#Chicago #Democrats #il04 #il4;"439827526618476544";https://twitter.com/LuisGutierrez/status/439827526618476544
;2013-12-05 15:21;2;2;"Heading to #Miami w @JoeGarcia 2 discuss my new book #StillDreaming & support for #CIR . Tonight, 8PM, Books & Books pic.twitter.com/v4VBU4knON";;@JoeGarcia;#Miami #StillDreaming #CIR;"408707782972801025";https://twitter.com/LuisGutierrez/status/408707782972801025
;2013-12-04 07:24;0;0;"About to join @cafecnn on @CNNEE to talk about my book #StillDreaming and #immigration .";;@cafecnn @CNNEE;#StillDreaming #immigration;"408225397235781632";https://twitter.com/LuisGutierrez/status/408225397235781632
;2013-12-04 07:21;1;1;"Looking forward to it! RT @MiamiDadeDems : Remember @RepGutierrez discusses new book w @fiudems 9:30am Fri http:// ow.ly/rq1wv #pfla";;@MiamiDadeDems @RepGutierrez @fiudems;#pfla;"408224534605881344";https://twitter.com/LuisGutierrez/status/408224534605881344
