username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2017-06-14 08:46;27;50;"Keeping my colleagues & those injured in Alexandria this morning in my thoughts. As always - thankful for a swift response by Capitol Police";;;;"874986442837065731";https://twitter.com/MarkAmodeiNV2/status/874986442837065731
;2017-05-31 13:14;0;4;"Honored to have spent #MemorialDayWeekend remembering those who made the ultimate sacrifice to keep us safe & free http:// bit.ly/2rbZJyJ pic.twitter.com/iWeAP2bMco";;;#MemorialDayWeekend;"869980344694448128";https://twitter.com/MarkAmodeiNV2/status/869980344694448128
;2017-05-16 16:25;3;8;"Thank you to all of our current, former, and fallen officers – our communities are extremely grateful for your service. #NationalPoliceWeek";;;#NationalPoliceWeek;"864592750523691008";https://twitter.com/MarkAmodeiNV2/status/864592750523691008
;2017-05-09 15:10;3;16;"On this day in #Nevada history, #Reno was officially founded in 1868: http:// bit.ly/2qP6O9e pic.twitter.com/kVQ65mMCYF";;;#Nevada #Reno;"862036976203071489";https://twitter.com/MarkAmodeiNV2/status/862036976203071489
;2017-05-04 17:49;5;6;"For my analysis on two important provisions of the #AHCA & #HR2192 , view my latest healthcare update: http:// bit.ly/2nbVG1l";;;#AHCA #HR2192;"860265176880340992";https://twitter.com/MarkAmodeiNV2/status/860265176880340992
;2017-05-04 14:22;14;34;"For the record, I'm currently at work in my office inside the Cannon House Office Building - I'm not in the rose garden at the @WhiteHouse";;@WhiteHouse;;"860212962656649216";https://twitter.com/MarkAmodeiNV2/status/860212962656649216
;2017-05-04 11:31;26;28;"For those w/ any interest in the factual foundation of my decision, please take a gander @my statement on the #AHCA http:// bit.ly/2q3aYKq";;@my;#AHCA;"860170023561818114";https://twitter.com/MarkAmodeiNV2/status/860170023561818114
;2017-05-01 16:27;5;6;"Happy national #SmallBusinessWeek ! Join me in recognizing our nation’s best job creators who are responsible for creating 63% of new jobs. pic.twitter.com/VTpVnjW9AW";;;#SmallBusinessWeek;"859157442315386882";https://twitter.com/MarkAmodeiNV2/status/859157442315386882
;2017-04-28 16:09;24;114;"I’m still a no on the #AHCA in its current form. Learn why in my latest health care update: http:// bit.ly/2nbVG1l";;;#AHCA;"858065606314258432";https://twitter.com/MarkAmodeiNV2/status/858065606314258432
;2017-04-27 15:29;2;2;"Joining @MSNBC ’s @SteveKornacki LIVE around 4:45 PM ET (1:45 PM PT) to discuss the #AHCA . Be sure to tune in.";;@MSNBC @SteveKornacki;#AHCA;"857693145915588611";https://twitter.com/MarkAmodeiNV2/status/857693145915588611
;2017-04-27 13:54;2;4;"Spoke on the House Floor in Honor of Sparks native, CAPT. Joshua Todd Byers. Keeping his family in my thoughts: http:// bit.ly/2oAWNwd pic.twitter.com/0HVBKk3He6";;;;"857669397825060864";https://twitter.com/MarkAmodeiNV2/status/857669397825060864
;2017-04-26 09:16;4;1;"Reminding all #NV02 high school students that the deadline for the Congressional Art Comp is next Wed, May 3: http:// bit.ly/2edLFLB pic.twitter.com/0QwCcD6Rzh";;;#NV02;"857237062109585408";https://twitter.com/MarkAmodeiNV2/status/857237062109585408
;2017-04-19 16:14;6;9;"Western Nevada College named National Semifinalist in the 2017 @ACT College & Career Readiness Campaign. Congrats! http:// bit.ly/2peL864";;@ACT;;"854805353858555910";https://twitter.com/MarkAmodeiNV2/status/854805353858555910
;2017-04-18 11:11;1;3;"Joining @KevinWallRadio today at 12:30 PM ET (9:30 AM PT) to discuss yesterday’s Reno town hall. Be sure to tune in: http:// bit.ly/1WFI2kj";;@KevinWallRadio;;"854366674908262404";https://twitter.com/MarkAmodeiNV2/status/854366674908262404
;2017-04-17 15:24;0;0;"Highlights from week one of the April District Work Period: http:// bit.ly/2pb1PPz #NV02";;;#NV02;"854067985501257731";https://twitter.com/MarkAmodeiNV2/status/854067985501257731
;2017-04-12 09:47;0;2;"Encouraging interested students to attend Service Academy Info Day on Sat, Apr 22 at @UNevadaReno . More details: http:// bit.ly/2oVxrbV";;@UNevadaReno;;"852171413322686466";https://twitter.com/MarkAmodeiNV2/status/852171413322686466
;2017-04-11 08:49;28;19;"Hosting a healthcare and immigration town hall w/ @SenDeanHeller in Reno on Mon, Apr 17th @9 AM. More info here: http:// bit.ly/2p3mWAk";;@SenDeanHeller @9;;"851794270445068288";https://twitter.com/MarkAmodeiNV2/status/851794270445068288
;2017-03-24 13:48;5;18;"Tune into @MSNBC at 3:10 PM ET (12:10 PM PT). I’ll be joining @tvKateSnow to talk about the #AHCA ahead of today’s vote.";;@MSNBC @tvKateSnow;#AHCA;"845346530987008000";https://twitter.com/MarkAmodeiNV2/status/845346530987008000
;2017-03-23 16:36;2;7;"I’ll be on @thedanmasonshow LIVE around 3:35 PM PT (6:35 PM ET) on @NewsTalk780KOH . Tune in here: http://www. kkoh.com /";;@thedanmasonshow @NewsTalk780KOH;;"845026522985648131";https://twitter.com/MarkAmodeiNV2/status/845026522985648131
;2017-03-23 13:21;1224;5317;"We’ve done our homework. We’ve closed on the issue in preparation for a vote tonight. I’m a no on the #AHCA";;;#AHCA;"844977325775163392";https://twitter.com/MarkAmodeiNV2/status/844977325775163392
;2017-03-23 09:40;9;24;"Before tonight’s vote on the #AHCA , I’ll be talking health care with @MSNBC ’s @AliVelshi at 11:07 AM ET (8:07 AM PT)";;@MSNBC @AliVelshi;#AHCA;"844921721748631552";https://twitter.com/MarkAmodeiNV2/status/844921721748631552
;2017-03-22 17:36;2;12;"If you missed my discussion with @MSNBC ’s @SteveKornacki on the #AHCA , you can catch our entire conversation here: http:// bit.ly/2neAry0 pic.twitter.com/bN8zAjEED0";;@MSNBC @SteveKornacki;#AHCA;"844679300888645633";https://twitter.com/MarkAmodeiNV2/status/844679300888645633
;2017-03-22 14:49;0;7;"Joining @MSNBC ’s @SteveKornacki LIVE at 4:30 PM ET (1:30 PM PT) to discuss the #AHCA . Be sure to tune in.";;@MSNBC @SteveKornacki;#AHCA;"844637133365264384";https://twitter.com/MarkAmodeiNV2/status/844637133365264384
