username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2017-06-14 13:38;120;599;"Just had lunch w/ Jeff & Cheryl Flake. Grateful to Capitol Police that my "island friend" is well. Let's remember folks, it's one country.";;;;"875059824328937474";https://twitter.com/MartinHeinrich/status/875059824328937474
;2017-06-14 11:37;124;607;"I condemn this appalling act. Violence has no place in our political discourse, democracy or our communities.";;;;"875029378736029697";https://twitter.com/MartinHeinrich/status/875029378736029697
;2017-06-14 11:02;28;165;"Thank you to my friend @JeffFlake , Capitol Police, first responders and everyone who helped on the scene.";;@JeffFlake;;"875020531766091778";https://twitter.com/MartinHeinrich/status/875020531766091778
;2017-06-14 07:43;54;284;"Our thoughts will be with Congressman Scalise, the Capitol Police and everyone grappling with this appalling attack.";;;;"874970672921006080";https://twitter.com/MartinHeinrich/status/874970672921006080
;2017-06-14 07:43;125;641;"Shocking, troubling that our colleagues were under attack this morning. Truly sick that someone would turn a firearm on our nation's leaders";;;;"874970571897004032";https://twitter.com/MartinHeinrich/status/874970571897004032
;2017-06-13 17:55;89;458;"SOON: I’ll be on @CNN 's @OutFrontCNN with @ErinBurnett to discuss AG Jeff Session’s testimony at Senate Intel Committee today. pic.twitter.com/92Vk0qNEFO";;@CNN @OutFrontCNN @ErinBurnett;;"874762125083906049";https://twitter.com/MartinHeinrich/status/874762125083906049
;2017-06-13 17:02;593;1674;"If POTUS is not invoking executive privilege AG Sessions should be answering our questions. His silence speaks volumes.";;;;"874748839495905280";https://twitter.com/MartinHeinrich/status/874748839495905280
;2017-06-13 17:01;967;1994;"AG Sessions is impeding this investigation. “Appropriateness” is not a legal standard. pic.twitter.com/vaAzp6CPEK";;;;"874748649544265730";https://twitter.com/MartinHeinrich/status/874748649544265730
;2017-06-13 16:58;556;1294;"The Senate Intelligence Committee has a constitutional obligation to get to the bottom of Russian interference in our election. pic.twitter.com/B66pRhwy5X";;;;"874747804522086400";https://twitter.com/MartinHeinrich/status/874747804522086400
;2017-06-13 13:44;191;1002;"WATCH LIVE: I’m questioning AG Jeff Sessions at the Senate Intel hearing about Comey firing & #TrumpRussia ties. https://www. facebook.com/MartinHeinrich /videos/10155474004834214/ …";;;#TrumpRussia;"874699037747838977";https://twitter.com/MartinHeinrich/status/874699037747838977
;2017-06-13 13:42;213;637;"Pres Trump is putting our democracy at risk. If we don't take seriously our elections will continue to be vulnerable to foreign influence.";;;;"874698559039442944";https://twitter.com/MartinHeinrich/status/874698559039442944
