username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2017-06-14 08:50;35;114;"God bless @CapitolPolice . Their quick, heroic actions saved many lives today. Thankful for their dedicated service keeping us safe each day.";;@CapitolPolice;;"874987420219052032";https://twitter.com/PatrickMcHenry/status/874987420219052032
;2017-06-14 08:46;9;30;"I was not at today's practice. My prayers are with my good friend Whip Scalise, staff, and the Capitol police officers injured this morning.";;;;"874986336163426305";https://twitter.com/PatrickMcHenry/status/874986336163426305
;2017-06-14 06:15;0;2;"Tune in at 7:30AM to First Talk w/ @HalRowWHKY where we will discuss the #CHOICEAct & the #VAAccountability Act http:// radio.securenetsystems.net/v5/WHKY";;@HalRowWHKY;#CHOICEAct #VAAccountability;"874948281477943296";https://twitter.com/PatrickMcHenry/status/874948281477943296
;2017-06-13 17:27;0;1;"Looking forward to joining @HalRowWHKY tomorrow to discuss the #VAAccountability Act & the Financial #CHOICEAct . Listen live on @WHKY . #NC10 https:// twitter.com/HalRowWHKY/sta tus/874668754554286080 …";;@HalRowWHKY @WHKY;#VAAccountability #CHOICEAct #NC10;"874755007685419008";https://twitter.com/PatrickMcHenry/status/874755007685419008
;2017-06-13 16:41;5;9;"The #VAAccountability act is headed to the @WhiteHouse . This is an important step in improving #veterans lives https:// mchenry.house.gov/news/documents ingle.aspx?DocumentID=398595 …";;@WhiteHouse;#VAAccountability #veterans;"874743536733876224";https://twitter.com/PatrickMcHenry/status/874743536733876224
;2017-06-13 15:59;50;287;"Proud to support this important bill to reform the VA & ensure our #veterans receive the care they've earned. #VAaccountability https:// twitter.com/SpeakerRyan/st atus/874727183742316546 …";;;#veterans #VAaccountability;"874732988185137158";https://twitter.com/PatrickMcHenry/status/874732988185137158
;2017-06-13 15:42;7;18;"Proud to introduce the Combating BDS Act to fight back against economic warfare against our ally #Israel . More here: https:// mchenry.house.gov/news/documents ingle.aspx?DocumentID=398594 …";;;#Israel;"874728620475985920";https://twitter.com/PatrickMcHenry/status/874728620475985920
;2017-06-13 12:46;0;0;"Today the House votes to protect those whose access to healthcare may be jeopardized under current law. https:// waysandmeans.house.gov/house-floor-we ek-wm-legislation-improve-health-care-america/ … pic.twitter.com/RuYAgC7mnM";;;;"874684306744127490";https://twitter.com/PatrickMcHenry/status/874684306744127490
;2017-06-13 10:06;2;2;"The #VAAccountability bill creates a more efficient VA so our #veterans get the care & benefits they deserve → https:// veterans.house.gov/115th-congress -legislation/accountability.htm …";;;#VAAccountability #veterans;"874644220144955393";https://twitter.com/PatrickMcHenry/status/874644220144955393
;2017-06-13 08:05;0;1;"Amazing story of bravery from Gaston County where Commissioner Chad Brown saved a women being held at knife point: http://www. wccbcharlotte.com/2017/06/09/goo d-samaritan-stops-man-holding-woman-knife-point/ …";;;;"874613678275870720";https://twitter.com/PatrickMcHenry/status/874613678275870720
