username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2017-01-08 06:23;0;2;"My term in Congress ended Jan3. That is the reason my web site is down.";;;;"818070527784976385";https://twitter.com/RandyNeugebauer/status/818070527784976385
;2017-01-03 22:54;4;12;"How about those #TexasTech men's basketball team. Beat #VirginiaTech 77-76.";;;#TexasTech #VirginiaTech;"816508050592976896";https://twitter.com/RandyNeugebauer/status/816508050592976896
;2016-12-24 08:00;1;2;"Thanks and a Merry Christmas to you.";;;;"812659202762141696";https://twitter.com/RandyNeugebauer/status/812659202762141696
;2016-12-14 12:36;2;3;"See my Thank You Roundup. https:// randy.house.gov/media-center/r andys-roundups/randys-final-roundup-farewell-and-thank-you …";;;;"809104799325179904";https://twitter.com/RandyNeugebauer/status/809104799325179904
;2016-11-17 15:47;1;1;"Unlike glass slippers, Midnight Rules don’t disappear and lack transparency. Time to make the Midnight Rules Relief Act law! pic.twitter.com/3Plax1WOcq";;;;"799368456965484545";https://twitter.com/RandyNeugebauer/status/799368456965484545
;2016-10-17 17:03;1;3;"In light of a court ruling the #CFPB structure unconstitutional, read about my call for a bipartisan commission http:// thehill.com/blogs/congress -blog/economy-budget/301340-court-ruling-highlights-need-for-new-cfpb-structure …";;;#CFPB;"788138277748572161";https://twitter.com/RandyNeugebauer/status/788138277748572161
;2016-10-11 15:44;0;0;"Court says multi-member structure "helps to prevent arbitrary decision making and thereby to protect individual liberty." #CFPB ->commission";;;#CFPB;"785944099358519296";https://twitter.com/RandyNeugebauer/status/785944099358519296
;2016-10-11 10:22;7;0;"#CFPB structure ruled unconstitutional: Director Cordray, H.R. 1266 could fix that for you -> #fiveperson #bipartisanpanel";;;#CFPB #fiveperson #bipartisanpanel;"785863258091745284";https://twitter.com/RandyNeugebauer/status/785863258091745284
;2016-10-02 11:26;3;2;"It’s been one year since the tragic C-130J crash that claimed 6 Airmen & 5 civilians. Join me in remembering them https://www. youtube.com/watch?v=fiRd0M dn_e0&feature=youtu.be …";;;;"782617796727504897";https://twitter.com/RandyNeugebauer/status/782617796727504897
;2016-09-30 16:42;8;11;"The Hyde Amendment (first enacted 40 yrs ago today) prevents federal tax $ from funding abortion. We must protect our unborn #hydesaveslives pic.twitter.com/eDDcxJz8D6";;;#hydesaveslives;"781972429371564032";https://twitter.com/RandyNeugebauer/status/781972429371564032
;2016-09-28 11:12;5;3;"My last time questioning a Federal Reserve Chair. See my opening statement http:// bit.ly/2dksEL6 pic.twitter.com/12CeiBRx0y";;;;"781164678303064064";https://twitter.com/RandyNeugebauer/status/781164678303064064
;2016-09-26 16:25;2;7;"Always an honor & privilege to welcome South Plains Honor Flight to the US Capitol. Blessed to visit with veterans of WWII, Korea & Vietnam. pic.twitter.com/jYq3uxeI1H";;;;"780518612956307456";https://twitter.com/RandyNeugebauer/status/780518612956307456
;2016-09-16 16:29;5;9;"Thankful for this document every day-it established the greatest form of government on earth. #ConstitutionDay2016 pic.twitter.com/NPvyBG9FoS";;;#ConstitutionDay2016;"776895874932899841";https://twitter.com/RandyNeugebauer/status/776895874932899841
;2016-09-15 10:33;1;2;"PoliticoPro’s @ericgeller reports a top DOJ official says patchwork of data breach laws “ridiculous”–my bill HR 2205 #DataSecurityAct is fix";;@ericgeller;#DataSecurityAct;"776443827053666304";https://twitter.com/RandyNeugebauer/status/776443827053666304
;2016-09-13 11:56;8;6;"American consumers are losers when gov fixes costs to help “rent-seekers.” See my op-ed on repeal of Durbin amendmnt http:// bit.ly/2ccuFrf";;;;"775739958602657792";https://twitter.com/RandyNeugebauer/status/775739958602657792
;2016-09-13 10:17;5;2;"Fighting to protect consumers from abuses introduced by the Dodd-Frank Act during consideration of #CHOICEact at markup with @FinancialCmte";;@FinancialCmte;#CHOICEact;"775714944717389824";https://twitter.com/RandyNeugebauer/status/775714944717389824
;2016-09-09 10:58;3;6;"Proud to stand united with my House colleagues this morning to honor those lost on 9/11. We will never forget. pic.twitter.com/hftjSW2Cox";;;;"774275672453816320";https://twitter.com/RandyNeugebauer/status/774275672453816320
