username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2016-07-30 13:13;27;36;"Celebrating America’s heritage of faith & freedom on the 60th anniversary of our national motto #InGodWeTrust pic.twitter.com/Dqp63vtl4A";;;#InGodWeTrust;"759451759551008769";https://twitter.com/Randy_Forbes/status/759451759551008769
;2016-07-15 10:49;8;23;"We grieve with France. We stand with France against terrorists who attack the very ideals of freedom we stand for. pic.twitter.com/ZRh9VFTyZO";;;;"753979854102593536";https://twitter.com/Randy_Forbes/status/753979854102593536
;2016-05-26 11:29;5;10;"Regardless of the cause of this crash-- we need to be better equipping our men & women in uniform so they can keep us safe & come home safe.";;;;"735870521502486529";https://twitter.com/Randy_Forbes/status/735870521502486529
;2016-05-26 11:29;6;8;"Our pilots aren't getting the flying time they need to build their skills.";;;;"735870454116782082";https://twitter.com/Randy_Forbes/status/735870454116782082
;2016-05-26 11:28;10;7;"Only 1 in 4 Navy fighters is ready for combat. Of our older strike fighters, 1 in 2 is grounded due to a shortage of parts and maintenance.";;;;"735870202848681984";https://twitter.com/Randy_Forbes/status/735870202848681984
;2016-05-26 11:27;5;4;"In a hearing on Navy readiness challenges right now, as we learn this news. Pilots are being flown to the hospital. https:// twitter.com/Daily_Press/st atus/735867366572208128 …";;;;"735870060439441408";https://twitter.com/Randy_Forbes/status/735870060439441408
;2016-05-25 08:59;2;1;"@HouseJudiciary Committee is marking up my #VisaSecurity bill today. WATCH LIVE >> http:// ow.ly/bjVM300zu3k";;@HouseJudiciary;#VisaSecurity;"735470317255168001";https://twitter.com/Randy_Forbes/status/735470317255168001
;2016-05-12 13:43;7;14;"Thank you to @RepGoodlatte for joining me in introducing the VISA Act of 2016 to strengthen #VisaSecurity pic.twitter.com/6MkmRaifye";;@RepGoodlatte;#VisaSecurity;"730830860480565248";https://twitter.com/Randy_Forbes/status/730830860480565248
;2016-05-12 13:41;6;6;"Visa applications from countries like Iraq, Iran & Syria should require extra scrutiny http:// ow.ly/S49F3008TOd #VisaSecurity #Commonsense";;;#VisaSecurity #Commonsense;"730830198342619136";https://twitter.com/Randy_Forbes/status/730830198342619136
;2016-05-12 12:10;14;11;"To terrorists, visas are weapons. I’m introducing a bill to strengthen our visa screening process: http:// ow.ly/S49F3008TOd #VisaSecurity";;;#VisaSecurity;"730807278895534081";https://twitter.com/Randy_Forbes/status/730807278895534081
;2016-04-28 13:21;14;7;"ICYMI my op ed in @TheNatlInterest lays out why preserving our Carrier Air Wings is critical for national security https:// twitter.com/DaveMajumdar/s tatus/722793999598104576 …";;@TheNatlInterest;;"725751861769281540";https://twitter.com/Randy_Forbes/status/725751861769281540
;2016-04-27 08:02;8;7;"Rep @Randy_Forbes wants to keep #Navy ship repair work closer to home. #VaPolitics http:// fw.to/kOY8a7g";;@Randy_Forbes;#Navy #VaPolitics;"725309162947796992";https://twitter.com/Randy_Forbes/status/725309162947796992
;2016-03-27 07:44;3;14;"Happy #Easter to you and your loved ones. pic.twitter.com/ddY17G18zs";;;#Easter;"714070637120241665";https://twitter.com/Randy_Forbes/status/714070637120241665
;2016-03-21 14:23;20;19;"The nation’s prayers are w/ the loved ones of Staff Sgt Louis F. Cardin, killed in an ISIS rocket attack. Semper fi. pic.twitter.com/w8NMTuaatq";;;;"711996664354099204";https://twitter.com/Randy_Forbes/status/711996664354099204
;2016-02-22 11:43;7;11;"Happy Birthday to a fine Virginian and one of the greatest and humblest leaders our nation has ever known. pic.twitter.com/EtqOtMm0cq";;;;"701824588460781570";https://twitter.com/Randy_Forbes/status/701824588460781570
;2016-01-22 07:43;2;1;"Stay warm and be safe. Winter storm tips here: http:// forbes.house.gov/blog/?postid=3 98901 … #winterstormjonas pic.twitter.com/rBN844aade";;;#winterstormjonas;"690530233628409858";https://twitter.com/Randy_Forbes/status/690530233628409858
;2016-01-16 07:50;7;9;"Today we celebrate a fundamental human right that is essential to a free society. #ReligiousFreedomDay pic.twitter.com/pVOUEIY7HA";;;#ReligiousFreedomDay;"688357638862671872";https://twitter.com/Randy_Forbes/status/688357638862671872
;2016-01-12 22:21;7;15;"While Obama focused #SOTU on his legacy, many Americans watching were questioning the legacy we're leaving their children & grandchildren";;;#SOTU;"687127322374352896";https://twitter.com/Randy_Forbes/status/687127322374352896
;2016-01-12 22:19;3;9;"Americans understand what Washington doesn’t: that the decisions we make today dictate the future and freedom of generations tomorrow. #SOTU";;;#SOTU;"687126728368631808";https://twitter.com/Randy_Forbes/status/687126728368631808
;2016-01-12 09:59;2;1;"In one word, how would you describe the state of our union today, compared to last year? #SOTU";;;#SOTU;"686940595802234880";https://twitter.com/Randy_Forbes/status/686940595802234880
;2015-12-06 17:33;4;9;"Happy Hanukkah to our Jewish friends in America, Israel, and around the world.";;;;"673646406666747904";https://twitter.com/Randy_Forbes/status/673646406666747904
;2015-11-17 12:20;5;7;"America stands with France. We must stand ready: http:// ow.ly/ULAh4";;;;"666682348352741376";https://twitter.com/Randy_Forbes/status/666682348352741376
;2015-11-11 08:35;5;12;"You don’t have to look in Hollywood or on the football field to find a hero. Just look in the eyes of a veteran. pic.twitter.com/kUop4qMwIK";;;;"664451317901996032";https://twitter.com/Randy_Forbes/status/664451317901996032
;2015-11-10 14:26;5;6;"For 240 years, the US Marines have set the standard for raw courage, grit & honor. Happy Birthday Marines. Semper Fi pic.twitter.com/WD3CP5NeB4";;;;"664177219141550080";https://twitter.com/Randy_Forbes/status/664177219141550080
;2015-10-22 13:59;4;2;"Vetoing bipartisan national security bill sends a demoralizing message to troops who daily risk their lives http:// ow.ly/TJsxz #NoVeto";;;#NoVeto;"657270050546720768";https://twitter.com/Randy_Forbes/status/657270050546720768
;2015-10-13 14:23;0;4;"FYI I’m hosting two free seminars in Chesapeake (Oct 14) & Chesterfield (Oct 15). Learn more: http:// ow.ly/T7vyj pic.twitter.com/jQVM1ZyTCB";;;;"654014563864702976";https://twitter.com/Randy_Forbes/status/654014563864702976
;2015-10-13 09:59;7;13;"Happy Birthday US Navy -- we are grateful for 240 years of sacrifice and service. #GoNavy #HappyBirthdayNavy pic.twitter.com/ayawNbN9lP";;;#GoNavy #HappyBirthdayNavy;"653948199523254272";https://twitter.com/Randy_Forbes/status/653948199523254272
