username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2017-06-14 07:51;11;17;"Shaken by news of shooting this morning at congressional baseball practice. Praying for @SteveScalise & @CapitolPolice officers injured.";;@SteveScalise @CapitolPolice;;"874972589613043713";https://twitter.com/RepAdrianSmith/status/874972589613043713
;2017-06-13 15:58;1;11;"Enjoyed my visit to @SecretaryZinke 's office. Glad to see western #Nebraska represented on his wall! #NE03 pic.twitter.com/tdkZN1NpUK";;@SecretaryZinke;#Nebraska #NE03;"874732686560120833";https://twitter.com/RepAdrianSmith/status/874732686560120833
;2017-06-13 09:02;2;2;"My staff will host mobile offices in Clay Center and Geneva today, and in Mullen tomorrow. Hope you can stop by: http:// bit.ly/2rryAVy";;;;"874628033432473600";https://twitter.com/RepAdrianSmith/status/874628033432473600
;2017-06-13 08:35;4;3;"Significant damage from tornadoes in western NE last night. My prayers are w/ those impacted, and as always my office is here as a resource.";;;;"874621353642663937";https://twitter.com/RepAdrianSmith/status/874621353642663937
;2017-06-12 16:56;7;10;"Great #ag news today → Restoring #trade access to China for U.S. #beef producers is an incredible step forward. http:// bit.ly/2roswgq";;;#ag #trade #beef;"874384820218068993";https://twitter.com/RepAdrianSmith/status/874384820218068993
;2017-06-09 10:57;0;0;"Why the #CHOICEAct is the right replacement for #DoddFrank → http:// bit.ly/2re0Ieu pic.twitter.com/KKVKEAMbo0";;;#CHOICEAct #DoddFrank;"873207404967714816";https://twitter.com/RepAdrianSmith/status/873207404967714816
;2017-06-08 16:40;1;5;"Enjoyed meeting students from @MySunriseMS at the @uscapitol this afternoon. @KearneySchools #NE03 pic.twitter.com/Sc1u3zz96R";;@MySunriseMS @uscapitol @KearneySchools;#NE03;"872931368862437383";https://twitter.com/RepAdrianSmith/status/872931368862437383
;2017-06-08 13:20;7;2;"Intro'ed #MIECHV reauthorization & asked @SecPriceMD about replicating evidence-based funding in other HHS programs. https://www. youtube.com/watch?v=LEILzY J3f6c&feature=youtu.be …";;@SecPriceMD;#MIECHV;"872880976011067392";https://twitter.com/RepAdrianSmith/status/872880976011067392
;2017-06-07 13:39;5;25;"Enjoyed answering questions from @Nebraska4H students in D.C. for their Citizenship Washington Focus trip. @UNLExtension @4H pic.twitter.com/oZuAMH8bqH";;@Nebraska4H @UNLExtension @4H;;"872523334927495169";https://twitter.com/RepAdrianSmith/status/872523334927495169
;2017-06-06 13:40;0;3;"Today we remember the heroes who stormed the beaches in 1944 for the cause of freedom. We must never forget their courage & sacrifice. #DDay pic.twitter.com/WuS3RRHQ8E";;;#DDay;"872161389569343491";https://twitter.com/RepAdrianSmith/status/872161389569343491
;2017-06-06 08:39;3;3;"My staff will hold a mobile office in Minden today at 1 pm. More info on this event and others available here: http:// adriansmith.house.gov/press-release/ smith%E2%80%99s-office-announces-june-mobile-office-hours …";;;;"872085434934931457";https://twitter.com/RepAdrianSmith/status/872085434934931457
;2017-06-05 16:30;0;2;"Nominations are now open in #NE03 for the 2017 @CCAInstitute #AngelsinAdoption Award! Learn more → http:// adriansmith.house.gov/press-release/ smith-calls-angels-adoption-nominations …";;@CCAInstitute;#NE03 #AngelsinAdoption;"871841593803907073";https://twitter.com/RepAdrianSmith/status/871841593803907073
;2017-06-02 08:14;2;0;"Looking forward to meeting with Nebraskans at my mobile office in McCook today. All info is available on my website: http:// adriansmith.house.gov/press-release/ smith-hold-mobile-office-mccook … pic.twitter.com/mBWVcpG38F";;;;"870629764096303105";https://twitter.com/RepAdrianSmith/status/870629764096303105
;2017-06-01 14:37;1;4;"Glad to have the opportunity to visit with Nebraskans in Sidney yesterday and Oshkosh today. #NE03 pic.twitter.com/oJHzAMSCg5";;;#NE03;"870363643254321152";https://twitter.com/RepAdrianSmith/status/870363643254321152
