username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2017-06-15 09:05;3;5;"Always great to visit with the Home Builders Assn. of West Virginia. We discussed ways we can support these local job creators. @NAHBhome pic.twitter.com/46bXG3xIiq";;@NAHBhome;;"875353481921658881";https://twitter.com/RepAlexMooney/status/875353481921658881
;2017-06-14 11:46;1;7;"We stand united. https:// twitter.com/speakerryan/st atus/875027019007840257 …";;;;"875031676866506753";https://twitter.com/RepAlexMooney/status/875031676866506753
;2017-06-14 07:12;14;26;"My thoughts and prayers are with Whip Scalise, USCP and the staffers who were at practice this morning.";;;;"874962671992492032";https://twitter.com/RepAlexMooney/status/874962671992492032
;2017-06-13 17:50;3;19;"Always great to visit with @CharlestonRabbi & my friends from @AIPAC . I am proud to stand with Israel. #wvpol #wv02 pic.twitter.com/r4oqvRoYjX";;@CharlestonRabbi @AIPAC;#wvpol #wv02;"874760812048592901";https://twitter.com/RepAlexMooney/status/874760812048592901
;2017-06-13 12:58;2;2;"Great interview today with @TomRoten , we discussed a variety of topics including North Korea and the Financial CHOICE Act. #wvpol #wv02 https:// twitter.com/TomRoten/statu s/874683046213160965 …";;@TomRoten;#wvpol #wv02;"874687439440420864";https://twitter.com/RepAlexMooney/status/874687439440420864
;2017-06-10 08:02;0;4;"My thoughts and prayers are with the family of Judge John Yoder. He will be missed.";;;;"873525708957642752";https://twitter.com/RepAlexMooney/status/873525708957642752
;2017-06-08 17:05;0;1;"Check out my full statement on the passage of H.R. 10 - The Financial CHOICE Act @FinancialCmte ---> https:// mooney.house.gov/media-center/p ress-releases/congressman-alex-x-mooney-wv-02-applauds-passage-financial-choice-act …";;@FinancialCmte;;"872937613438709761";https://twitter.com/RepAlexMooney/status/872937613438709761
;2017-06-08 15:05;0;2;"Just spoke on the House floor in support of H.R. 10 - The Financial CHOICE Act. @FinancialCmte https://www. youtube.com/watch?v=-5hx2d 3UaYM&feature=youtu.be …";;@FinancialCmte;;"872907430191132672";https://twitter.com/RepAlexMooney/status/872907430191132672
;2017-06-08 08:34;0;0;"Check out my Connect to Congress interview w/ @KennieBassWCHS #wvpol #wv02 http:// wchstv.com/news/connect-t o-congress/connect-to-congress-wv-congressman-alex-mooney …";;@KennieBassWCHS;#wvpol #wv02;"872808967650594817";https://twitter.com/RepAlexMooney/status/872808967650594817
;2017-06-07 13:33;0;0;"Thanks @farenthold !";;@farenthold;;"872521856472973314";https://twitter.com/RepAlexMooney/status/872521856472973314
;2017-06-07 10:54;6;12;"Great visit w/ @AARPWV 's State Director & President from Charleston, look forward to continuing to work with them to protect seniors #wvpol pic.twitter.com/Uevf7eOPnw";;@AARPWV;#wvpol;"872481978293121024";https://twitter.com/RepAlexMooney/status/872481978293121024
;2017-06-07 07:53;0;0;"Thanks @RepSinema !";;@RepSinema;;"872436412079058945";https://twitter.com/RepAlexMooney/status/872436412079058945
;2017-06-07 07:42;0;2;"I will be on with Hans Fogle @WVPanhandleLive at 9:20, tune in! #wvpol #wv02";;@WVPanhandleLive;#wvpol #wv02;"872433536644640768";https://twitter.com/RepAlexMooney/status/872433536644640768
;2017-06-06 14:20;0;5;"Germany Valley overlook on Rt. 33 between Franklin and Seneca Rocks in Pendleton County is #AlmostHeaven @GoToWV pic.twitter.com/zoDYORLTqw";;@GoToWV;#AlmostHeaven;"872171356724625409";https://twitter.com/RepAlexMooney/status/872171356724625409
;2017-06-06 12:58;2;3;"Take a moment today to remember the honor and sacrifice of those men and women 73 years ago. #DDay2017 pic.twitter.com/KwWA9GmfXm";;;#DDay2017;"872150656941010944";https://twitter.com/RepAlexMooney/status/872150656941010944
;2017-06-02 10:31;9;27;"Congratulations to all the participants from West Virginia @ScrippsBee this year! Very proud that Lucas finished in 41st place. pic.twitter.com/gDhrfVHXTi";;@ScrippsBee;;"870664135419318272";https://twitter.com/RepAlexMooney/status/870664135419318272
;2017-06-01 15:08;836;3960;"Proud to be sitting in the front row of the Rose Garden in support of @POTUS 's announcement on the #ParisAccord that will save WV jobs. pic.twitter.com/cSFlsF7fFS";;@POTUS;#ParisAccord;"870371533130256384";https://twitter.com/RepAlexMooney/status/870371533130256384
;2017-06-01 08:30;0;3;"I was glad to catch up with representatives from Toyota's plant in Buffalo. I appreciate Toyota's commitment to West Virginia. pic.twitter.com/KbTouZsRXY";;;;"870271230057873408";https://twitter.com/RepAlexMooney/status/870271230057873408
;2017-05-31 19:46;1;4;"Lucas advanced to round 3 of the @ScrippsBee by correctly spelling myopic. #SpellingBee pic.twitter.com/eRgRArbOHF";;@ScrippsBee;#SpellingBee;"870079018720272384";https://twitter.com/RepAlexMooney/status/870079018720272384
;2017-05-31 14:04;0;3;"Lucas advanced to the second round of the @ScrippsBee by correctly spelling rasceta. #spellingbee pic.twitter.com/ongTTGyfpD";;@ScrippsBee;#spellingbee;"869992895511527424";https://twitter.com/RepAlexMooney/status/869992895511527424
;2017-05-31 11:40;1;10;"My son Lucas is representing West Virginia and the Eastern Panhandle in the @ScrippsBee this week! @TheJournalWV #spellingbee pic.twitter.com/ARYUauoCSY";;@ScrippsBee @TheJournalWV;#spellingbee;"869956703340695553";https://twitter.com/RepAlexMooney/status/869956703340695553
;2017-05-29 16:09;1;10;"Today we pause to remember all those who died for our freedom. God Bless America! #MemorialWeekend #MemorialDay17 pic.twitter.com/xL41YBUwxX";;;#MemorialWeekend #MemorialDay17;"869299774348046336";https://twitter.com/RepAlexMooney/status/869299774348046336
;2017-05-25 12:20;2;5;"Great to visit with Pastor Mike House and his group from Elkins. I enjoyed answering their questions on a variety of topics! #wv02 #wvpol pic.twitter.com/sTw4AiPge8";;;#wv02 #wvpol;"867792540682137603";https://twitter.com/RepAlexMooney/status/867792540682137603
;2017-05-24 15:53;3;6;"Check out my editorial in Today's @wvgazettemail regarding the Financial CHOICE Act @FinancialCmte http://www. wvgazettemail.com/daily-mail-com mentary/20170523/alex-mooney-choice-act-will-help-business-growthdaily-mail …";;@wvgazettemail @FinancialCmte;;"867483728712519681";https://twitter.com/RepAlexMooney/status/867483728712519681
;2017-05-24 12:28;1;2;"Joined my WV colleagues in welcoming the Always Free Honor Flight to Washington. We owe our veterans a debt of gratitude for their service. pic.twitter.com/pBrFJKUCcW";;;;"867432152446767104";https://twitter.com/RepAlexMooney/status/867432152446767104
;2017-05-24 09:04;3;3;"It was an honor to receive the @ShopFloorNAM Award Manufacturing Legislative Excellence @Ecolab #wvpol #wv02 #manufacturing pic.twitter.com/yCwA1BBH8i";;@ShopFloorNAM @Ecolab;#wvpol #wv02 #manufacturing;"867380885380837379";https://twitter.com/RepAlexMooney/status/867380885380837379
;2017-05-23 12:24;1;1;"Had a fantastic tour of @Ecolab in Martinsburg yesterday. I enjoyed seeing their impressive facility and visiting with the employees. pic.twitter.com/OWuuOiy4gu";;@Ecolab;;"867068845332328453";https://twitter.com/RepAlexMooney/status/867068845332328453
;2017-05-23 07:24;3;4;"My thoughts and prayers go out to the victims of the horrible attack in Manchester. pic.twitter.com/mqY39vXQQ4";;;;"866993248178458625";https://twitter.com/RepAlexMooney/status/866993248178458625
;2017-05-20 12:03;0;2;"Great news for West Virginia! https:// twitter.com/wvpublicnews/s tatus/865923913196474373 …";;;;"865976340847218691";https://twitter.com/RepAlexMooney/status/865976340847218691
;2017-05-19 15:35;0;1;"Honored to be presented with the Champion of Safe VA Care Award from @ASALifeline by a Doctor from #wv02 pic.twitter.com/9GGTrO5K60";;@ASALifeline;#wv02;"865667223221919746";https://twitter.com/RepAlexMooney/status/865667223221919746
;2017-05-19 08:40;0;2;"Had a great visit w/ @WVRealtors , we discussed ways to promote home ownership and help West Virginia families achieve their American Dream. pic.twitter.com/8z80gBTKCg";;@WVRealtors;;"865562906552926208";https://twitter.com/RepAlexMooney/status/865562906552926208
;2017-05-18 17:37;2;4;"I spoke today to urge my colleagues to join me condemning the atrocities committed by the Syrian regime of Assad. https://www. youtube.com/watch?v=SwKDt_ 3TUNI …";;;;"865335497098498049";https://twitter.com/RepAlexMooney/status/865335497098498049
;2017-05-18 12:46;2;1;"Recently visited @alhloghomes in Ripley. We had a very productive discussion about ways to support the log home industry. #wv02 pic.twitter.com/ZBL3rA4JvY";;@alhloghomes;#wv02;"865262355017592834";https://twitter.com/RepAlexMooney/status/865262355017592834
;2017-05-17 12:19;0;4;"Great lunch at the Downtowner Restaurant in Ripley. I can personally attest the peanut buttercup pie is great! pic.twitter.com/maMh8uo7gO";;;;"864893224279842816";https://twitter.com/RepAlexMooney/status/864893224279842816
;2017-05-17 09:49;2;7;"I will be on with @HoppyKercheval at 11:06 talking healthcare, taxes and more...Tune In! #wvpol #wv02";;@HoppyKercheval;#wvpol #wv02;"864855475984224261";https://twitter.com/RepAlexMooney/status/864855475984224261
;2017-05-16 17:47;2;11;"Great tour of @USDA Commodity Food Warehouse in Ripley, look forward to working w/ @KentforWV to get more food from WV farmers in our schools pic.twitter.com/Nrlc7CmS6S";;@USDA @KentforWV;;"864613251765727233";https://twitter.com/RepAlexMooney/status/864613251765727233
;2017-05-16 10:16;0;2;"Great visit at All Crane today in Nitro. Had a chance to hear from and speak to their employees. #wvpol #wv02 pic.twitter.com/NaZOJ1L4xc";;;#wvpol #wv02;"864499826305761280";https://twitter.com/RepAlexMooney/status/864499826305761280
;2017-05-15 12:44;0;4;"Ran into Mayor Carolyn Rader in Ripley today as she was pitching in to paint the street. We talked about the water improvement project #wv02 pic.twitter.com/Njc8SyKIud";;;#wv02;"864174693338763265";https://twitter.com/RepAlexMooney/status/864174693338763265
;2017-05-15 07:59;4;6;"Stopped by the @Walmart this morning in Braxton County for the morning meeting. pic.twitter.com/F42q5wfohT";;@Walmart;;"864102887038873600";https://twitter.com/RepAlexMooney/status/864102887038873600
;2017-05-14 10:35;1;7;"Happy #MothersDay2017 ! pic.twitter.com/TKkFNVdkdH";;;#MothersDay2017;"863779821234606080";https://twitter.com/RepAlexMooney/status/863779821234606080
;2017-05-05 07:29;1;2;"My thoughts and prayers are with all those impacted @YeagerAirport . https:// twitter.com/wvmetronews/st atus/860461135199391746 …";;@YeagerAirport;;"860471403375710208";https://twitter.com/RepAlexMooney/status/860471403375710208
;2017-05-04 15:19;9;7;"Today, I was proud to vote for the American Health Care Act. #AHCA #wvpol #wv02 Check out my full statement ---> https:// mooney.house.gov/media-center/p ress-releases/statement-regarding-passage-american-health-care-act …";;;#AHCA #wvpol #wv02;"860227529168343040";https://twitter.com/RepAlexMooney/status/860227529168343040
;2017-05-03 11:14;1;2;"Great to meet with Dan Weber, President of @MatureAmericans today, we talked about ways to keep drug costs low for seniors. #wvpol #wv02 pic.twitter.com/5W3NRC56hL";;@MatureAmericans;#wvpol #wv02;"859803466666999810";https://twitter.com/RepAlexMooney/status/859803466666999810
;2017-05-02 13:22;0;10;"Glad to visit with Community Bankers of WV. I am working hard on the @FinancialCmte to fight for WV priorities and our communities. @ICBA pic.twitter.com/aQKGJyo5ov";;@FinancialCmte @ICBA;;"859473065612390400";https://twitter.com/RepAlexMooney/status/859473065612390400
