username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2017-06-14 07:29;29;52;"Thoughts &. prayers go out to @repstevescalise , #uscapitolPolice & everyone involved in this morning's shooting https:// twitter.com/thehill/status /874963911962918912 …";;@repstevescalise;#uscapitolPolice;"874967142399184897";https://twitter.com/RepAndreCarson/status/874967142399184897
;2017-06-13 16:28;6;48;"Today's #SenateIntelHearing proves we have a lot of work to do to either corroborate or disprove #Sessions testimony.";;;#SenateIntelHearing #Sessions;"874740240459739138";https://twitter.com/RepAndreCarson/status/874740240459739138
;2017-06-13 13:30;59;53;"FACT: #Trumpcare will hurt Hoosiers. @realDonaldTrump 's healthcare plan would cost Indiana more than 4,800 jobs in 2018. pic.twitter.com/pRWlsjuuDh";;@realDonaldTrump;#Trumpcare;"874695550582575106";https://twitter.com/RepAndreCarson/status/874695550582575106
;2017-06-10 09:39;27;59;"Happening Now: my office has a booth set up at Garfield Park to assist you! We help w/ veterans benefits, Medicare &medicaid issues & more pic.twitter.com/49GxN4OHAL";;;;"873550080103632897";https://twitter.com/RepAndreCarson/status/873550080103632897
;2017-06-08 17:35;31;95;"Today I voted against the Republicans' Wrong #CHOICEAct which repeals years of improvements to our financial system→ http:// bit.ly/2sIrtJY pic.twitter.com/emNXTsso93";;;#CHOICEAct;"872945081032036352";https://twitter.com/RepAndreCarson/status/872945081032036352
;2017-06-08 17:16;4;11;"Happening Now...TUNE IN! https:// twitter.com/Deanofcomedy/s tatus/872917272846901253 …";;;;"872940527326547968";https://twitter.com/RepAndreCarson/status/872940527326547968
;2017-06-08 10:10;2;10;"In today's hearing I asked @SecElaineChao to update me on FAA changes that make it harder for grads of IN aviation programs to be hired.";;@SecElaineChao;;"872833197196836864";https://twitter.com/RepAndreCarson/status/872833197196836864
;2017-06-08 09:29;6;21;"Trump Admin says 'remote' ATC towers could be used instead of manned towers in rural areas.This isn't safe 4 Hoosiers #DontPrivatizeOurSkies";;;#DontPrivatizeOurSkies;"872822832736198657";https://twitter.com/RepAndreCarson/status/872822832736198657
;2017-06-08 08:47;9;20;"Happening Now: T&I hearing on dangerous plan to privatize Air Traffic Control. Watch live here: http:// bit.ly/2s7vVoI";;;;"872812421672554496";https://twitter.com/RepAndreCarson/status/872812421672554496
;2017-06-07 11:42;4;15;"ICYMI: My letter 2 @HHSGov asking them 2 reject Indiana's proposed changes 2 HIP 2.0. Proposal is harmful 2 Hoosiers http:// bit.ly/2sfTdZg";;@HHSGov;;"872493861255483392";https://twitter.com/RepAndreCarson/status/872493861255483392
;2017-06-07 10:15;4;9;"REMINDER: Office hours going on now. We are ready to help w/ Medicare & Medicaid, veterans benefits, passports & more! pic.twitter.com/h0ZOU6flwX";;;;"872472157351292928";https://twitter.com/RepAndreCarson/status/872472157351292928
;2017-06-06 13:20;16;22;"Need help w/ a federal agency? Come to office hours TOMORROW and get assistance w/ Medicare & Medicaid, veterans benefits, passports & more pic.twitter.com/JUJMQQDeqD";;;;"872156247948222464";https://twitter.com/RepAndreCarson/status/872156247948222464
