username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2017-06-14 08:58;24;171;"Praying for my colleagues and everyone impacted by this morning's tragic shooting.";;;;"874989526552387584";https://twitter.com/RepBetoORourke/status/874989526552387584
;2017-06-13 15:40;12;49;"Today, I voted for S.1094 — the Department of Veteran Affairs Accountability and Whistleblower Protection Act. https:// medium.com/@RepBetoORourk e/the-department-of-veteran-affairs-accountability-and-whistleblower-protection-act-b47b34b5ffe8 …";;@RepBetoORourk;;"874728108162785281";https://twitter.com/RepBetoORourke/status/874728108162785281
;2017-06-13 12:32;8;47;"Meeting with El Pasoans Stuart and Shari Schwartz from the American Israel Public Affairs Committee. pic.twitter.com/yJ0sOOUNdj";;;;"874680861375025152";https://twitter.com/RepBetoORourke/status/874680861375025152
;2017-06-12 10:29;17;60;"I co-sponsored the Perkins Loan Extension Act. This bipartisan bill extends the Perkins Loan Program. Details here: https://www. congress.gov/bill/115th-con gress/house-bill/2482/text/ih?format=txt&overview=closed …";;;;"874287465011589121";https://twitter.com/RepBetoORourke/status/874287465011589121
;2017-06-09 13:53;15;67;"Why I voted against the Financial Choice Act (H.R. 10) https:// medium.com/@RepBetoORourk e/the-financial-choice-act-h-r-10-5194303eab28 …";;@RepBetoORourk;;"873251703142977536";https://twitter.com/RepBetoORourke/status/873251703142977536
;2017-06-09 12:36;37;57;"Letter to @POTUS on @NATO #Article5 pic.twitter.com/Y2yeq4xYpB";;@POTUS @NATO;#Article5;"873232359684018178";https://twitter.com/RepBetoORourke/status/873232359684018178
;2017-06-08 18:08;10;42;"On James Comey’s testimony https:// medium.com/@RepBetoORourk e/james-comeys-testimony-a5a6f1ba89c1?source=linkShare-964ef69221bc-1496963297 …";;@RepBetoORourk;;"872953559595266049";https://twitter.com/RepBetoORourke/status/872953559595266049
;2017-06-08 18:07;8;19;"Why I voted in support of the Anti-Border Corruption Reauthorization Act (H.R. 2213) https:// medium.com/@RepBetoORourk e/why-i-voted-in-support-of-the-anti-border-corruption-reauthorization-act-h-r-2213-6f2d995398fe?source=linkShare-964ef69221bc-1496963234 …";;@RepBetoORourk;;"872953235023286272";https://twitter.com/RepBetoORourke/status/872953235023286272
;2017-06-08 15:11;11;36;"Veterans shouldn’t have to deal with administrative headaches when trying to receive a quality education. https:// youtu.be/7sExtbLINkY";;;;"872909041093287937";https://twitter.com/RepBetoORourke/status/872909041093287937
;2017-06-08 11:26;26;53;"Let’s work together to strengthen the Antiquities Act. #MonumentsForAll https:// youtu.be/bwVF0Y0rWSE";;;#MonumentsForAll;"872852384694886400";https://twitter.com/RepBetoORourke/status/872852384694886400
;2017-06-08 08:07;17;61;"Our security, our success, and our strength is connected to the fact that El Paso is a city of immigrants. https:// youtu.be/nPvua_vIErQ";;;;"872802237558530048";https://twitter.com/RepBetoORourke/status/872802237558530048
;2017-06-05 15:19;8;68;"I’ve worked with the VA for several years on this issue and I am thankful Sec. Shulkin and the VA have chosen to take this important step.";;;;"871823810647011328";https://twitter.com/RepBetoORourke/status/871823810647011328
;2017-06-05 15:18;7;64;"This is the best outcome for veterans because their medical records will seamlessly transfer from DoD to VA.";;;;"871823583789670400";https://twitter.com/RepBetoORourke/status/871823583789670400
;2017-06-05 15:18;18;74;"Today, VA Secretary Shulkin announced the VA would adopt the same electronic health records system as the Department of Defense.";;;;"871823460368097283";https://twitter.com/RepBetoORourke/status/871823460368097283
;2017-06-03 11:05;32;72;"Veteran Town Hall https://www. pscp.tv/w/bAGELjk2OTQ4 NXwxbXJHbWdtRFpEcXh55qPf_0DdsHiw9xgOkEZOW4LfLUHL8IAcBr--ozXScH4= …";;;;"871035003282399232";https://twitter.com/RepBetoORourke/status/871035003282399232
;2017-06-03 08:56;10;30;"Join me today for a Veteran Town Hall at the EPCC - Administrative Services Center, Building A. (9050 Viscount Blvd) starting at 10am.";;;;"871002624862158849";https://twitter.com/RepBetoORourke/status/871002624862158849
;2017-06-02 16:05;43;87;"Town Hall https://www. pscp.tv/w/bAB5KTk2OTQ4 NXwxak1KZ29va05RZUpMz1NrIHkjQyHUnOo5DSvEqNCWEGYhQHY3Ff1riS03hpI= …";;;;"870748292367482886";https://twitter.com/RepBetoORourke/status/870748292367482886
;2017-06-02 07:36;20;76;"REMINDER: General Town Hall meeting today at the EP Community Foundation Room (333 N. Oregon Street) starting at 3pm. See you there!";;;;"870620206544113664";https://twitter.com/RepBetoORourke/status/870620206544113664
;2017-06-01 16:04;38;72;"On the Paris Climate Agreement: https:// medium.com/@RepBetoORourk e/on-the-paris-climate-agreement-f38c520d3de8 …";;@RepBetoORourk;;"870385463609131008";https://twitter.com/RepBetoORourke/status/870385463609131008
;2017-05-31 15:55;14;26;"General Town Hall 6/2 @3p - EP Community Foundation Room. Veteran Town Hall 6/3 @10a - EPCC Admin Service Center https://www. facebook.com/pg/BetoORourke TX16/events …";;@3p @10a;;"870021030064029697";https://twitter.com/RepBetoORourke/status/870021030064029697
;2017-05-30 07:39;6;15;"Bert Williams was a humble hero: Editorial https:// goo.gl/wLDMeh via @elpasotimes";;@elpasotimes;;"869533678615048192";https://twitter.com/RepBetoORourke/status/869533678615048192
;2017-05-29 09:55;29;121;"On this special day, we honor those who have made the ultimate sacrifice on behalf of our country.";;;;"869205640824180740";https://twitter.com/RepBetoORourke/status/869205640824180740
;2017-05-25 15:58;21;47;"Honor Our Commitment Act highlighted in Sean Doolittle and Eireann Dolan's op-ed: https://www. si.com/mlb/2017/05/25 /sean-doolittle-veteran-affairs-bad-paper-memorial-day?xid=socialflow_twitter_si … via @SInow";;@SInow;;"867847430355726337";https://twitter.com/RepBetoORourke/status/867847430355726337
;2017-05-25 14:38;10;31;"I am an original cosponsor of the Veteran Overmedication Prevention Act. Learn more here: http:// coffman.house.gov/media-center/p ress-releases/veteran-overmedication-prevention-act-of-2017 …";;;;"867827167807258624";https://twitter.com/RepBetoORourke/status/867827167807258624
;2017-05-25 07:43;9;26;"UTEP’s Teicher honored: Editorial https:// goo.gl/JyqG3O via @elpasotimes";;@elpasotimes;;"867722731453898752";https://twitter.com/RepBetoORourke/status/867722731453898752
;2017-05-24 17:52;10;45;"Welcoming the incoming Garrison Commander at Fort Bliss, Colonel Murphy. My thanks to him and MG Peterson for meeting with me today. pic.twitter.com/GgtnAD43L7";;;;"867513783979307010";https://twitter.com/RepBetoORourke/status/867513783979307010
;2017-05-24 17:47;8;32;"Why I voted against the Reducing Regulatory Burdens Act https:// medium.com/@RepBetoORourk e/why-i-voted-against-the-reducing-regulatory-burdens-act-8dd732718029 …";;@RepBetoORourk;;"867512356041052161";https://twitter.com/RepBetoORourke/status/867512356041052161
;2017-05-23 19:21;7;53;"Thank you to El Pasoan and air traffic controller Cesar Cordero and the Air Traffic Controllers Union for stopping by today. pic.twitter.com/ixfDtrZ8Ai";;;;"867173604227764224";https://twitter.com/RepBetoORourke/status/867173604227764224
;2017-05-23 19:18;9;23;"What are the consequences of cyberattacks? I ask NSA Director Adm. Mike Rogers. https:// youtu.be/NfcZ_CFMxFs";;;;"867173013275496449";https://twitter.com/RepBetoORourke/status/867173013275496449
;2017-05-23 14:33;16;49;"Today I reintroduced the Castner Range National Monument Act https:// medium.com/@RepBetoORourk e/the-castner-range-national-monument-act-e3d3d3eaad51 …";;@RepBetoORourk;;"867101104206733316";https://twitter.com/RepBetoORourke/status/867101104206733316
