username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2017-06-14 16:10;1;4;"Happy 242nd birthday to @USArmy . We are forever grateful for the service and sacrifice for all of our past and present soldiers. #ArmyBDay pic.twitter.com/rwiz6ECse3";;@USArmy;#ArmyBDay;"875098022400622594";https://twitter.com/RepBillFlores/status/875098022400622594
;2017-06-14 12:55;4;7;"The U.S. flag is an enduring symbol that reminds us of the heroes of past generations & those continuing the fight for our freedom. #FlagDay pic.twitter.com/b7R5RGoYLA";;;#FlagDay;"875048947563331585";https://twitter.com/RepBillFlores/status/875048947563331585
;2017-06-14 08:30;16;70;"My Team and I are okay (I was not at crime location). Please pray for my friends & colleagues, their team members, and our Capitol Police.";;;;"874982471179395073";https://twitter.com/RepBillFlores/status/874982471179395073
;2017-06-14 08:22;4;23;"My prayers go out to @SteveScalise , @CapitolPolice and all other affected by this morning’s shooting during baseball practice.";;@SteveScalise @CapitolPolice;;"874980263704526848";https://twitter.com/RepBillFlores/status/874980263704526848
;2017-06-14 07:30;0;0;"I am about to call in to @WTAW1620 to give a Washington update. Tune in or listen online http:// wtaw.com /";;@WTAW1620;;"874967161982386177";https://twitter.com/RepBillFlores/status/874967161982386177
;2017-06-13 16:50;5;12;"We have an obligation to our nation’s veterans to ensure that the VA is put on a path to long-term success.";;;;"874745699178606593";https://twitter.com/RepBillFlores/status/874745699178606593
;2017-06-13 16:50;2;1;"My statement on the passage of the VA Accountability and Whistleblower Protection Act https:// flores.house.gov/news/documents ingle.aspx?DocumentID=399002 …";;;;"874745697291059200";https://twitter.com/RepBillFlores/status/874745697291059200
;2017-06-12 14:52;2;33;"Happy 93rd Birthday to @GeorgeHWBush pic.twitter.com/zRZjbE1duE";;@GeorgeHWBush;;"874353668245643265";https://twitter.com/RepBillFlores/status/874353668245643265
;2017-06-10 20:26;2;5;"Congrats to @AggieBaseball !! Going to the @NCAACWS #GoingtoOmaha !! #GigEm";;@AggieBaseball @NCAACWS;#GoingtoOmaha #GigEm;"873712976188067840";https://twitter.com/RepBillFlores/status/873712976188067840
;2017-06-09 15:26;1;5;"The first half of the year has been very productive in the House; we have passed over 150 bills. @POTUS has signed 37 of these into law. pic.twitter.com/ZhiJDOAnKG";;@POTUS;;"873275006695886848";https://twitter.com/RepBillFlores/status/873275006695886848
;2017-06-09 13:15;2;2;"Good luck to @AggieBaseball as they begin play in the NCAA Super Regional’s. #GigEm Aggies! http://www. 12thman.com/news/2017/6/8/ baseball-series-preview-super-regional-vs-davidson.aspx …";;@AggieBaseball;#GigEm;"873242038732554242";https://twitter.com/RepBillFlores/status/873242038732554242
;2017-06-08 16:20;1;3;"My statement on the House passage of the Financial #CHOICEAct https:// flores.house.gov/news/documents ingle.aspx?DocumentID=399001 …";;;#CHOICEAct;"872926210552188928";https://twitter.com/RepBillFlores/status/872926210552188928
;2017-06-08 14:47;2;5;"Good luck to the @risdHS Baseball Team as they play for the 4A State Championship. Go Rockets! http://www. wacotrib.com/sports/high_sc hools/central_texas_baseball/robinson-run-rules-sinton---will-play-for-state/article_69aa0984-2597-5e52-a733-c32dc24a0e35.html?utm_source=WhatCountsEmail&utm_medium=Newsletter%20Master%20List&utm_campaign=Daily%20Headlines …";;@risdHS;;"872902802560794624";https://twitter.com/RepBillFlores/status/872902802560794624
;2017-06-08 09:40;0;0;"ICYMI: My @KBTXNews segment discussing withdrawal of the Paris climate agreement, Financial Choice Act & more http://www. kbtx.com/content/news/C ongressman-Flores-427002753.html …";;@KBTXNews;;"872825545339174912";https://twitter.com/RepBillFlores/status/872825545339174912
;2017-06-07 15:40;1;0;"ICYMI: My @WTAW1620 segment discussing the Financial CHOICE Act, the VA, border security and more http:// wtaw.com/2017/06/07/con gressman-bill-flores-wtaw-98-55/ …";;@WTAW1620;;"872553754809290753";https://twitter.com/RepBillFlores/status/872553754809290753
;2017-06-07 11:15;6;12;"Good luck to the @risdHS Baseball Team as they begin play in the 4A State Baseball Tournament. Go Rockets! http://www. wacotrib.com/sports/high_sc hools/central_texas_baseball/rockets-know-kent-has-their-back-hope-to-win-coach/article_d7144d5c-7492-5d2a-b789-7d6327bceb38.html …";;@risdHS;;"872487065220526080";https://twitter.com/RepBillFlores/status/872487065220526080
;2017-06-07 10:34;1;1;"#Aggie Leadership! --> Veterans Take Wearable PTSD Monitor On Test Ride http:// today.tamu.edu/2017/06/05/vet erans-take-wearable-ptsd-monitor-on-test-ride/#.WTgcyTpYzd4.twitter …";;;#Aggie #;"872476763435282432";https://twitter.com/RepBillFlores/status/872476763435282432
;2017-06-07 09:55;1;4;"This week, the House will be taking up the Financial CHOICE Act, which replaces the failed Dodd-Frank Act https:// financialservices.house.gov/choice/";;;;"872466934360625155";https://twitter.com/RepBillFlores/status/872466934360625155
;2017-06-07 09:10;5;64;".Happy Birthday Mr. @VP !";;@VP;;"872455796533202945";https://twitter.com/RepBillFlores/status/872455796533202945
;2017-06-07 06:20;0;0;"In a few minutes, I will be giving a Washington update on @KBTXNews #BVTM . Tune in or watch online. http://www. kbtx.com/livestream";;@KBTXNews;#BVTM;"872412824705912832";https://twitter.com/RepBillFlores/status/872412824705912832
;2017-06-06 16:40;2;4;"Great to see ground broken on the Fallen Heroes Memorial Park, which honors of the lives lost in the West explosion. http://www. wacotrib.com/news/west_expl osion/west-breaks-ground-on-fallen-heroes-explosion-memorial/article_cf0d1e88-2f74-597d-87a5-304b6ef88881.html …";;;;"872206465725075456";https://twitter.com/RepBillFlores/status/872206465725075456
