username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2017-06-14 07:52;8;52;"Thinking of @SteveScalise and my colleagues, their staff, and Capitol Police this morning and wishing everyone a speedy recovery.";;@SteveScalise;;"874972843745914881";https://twitter.com/RepBillFoster/status/874972843745914881
;2017-06-12 13:00;2;53;"The 9th Circuit Court of Appeals just ruled against @POTUS ’s #MuslimBan – another defeat for religious bigotry.";;@POTUS;#MuslimBan;"874325459651227655";https://twitter.com/RepBillFoster/status/874325459651227655
;2017-06-12 10:37;11;20;"Last week, I led a letter to find out how many #science jobs would be lost under the #TrumpBudget . http:// foster.house.gov/media-center/p ress-releases/press-release-foster-leads-letter-requesting-job-loss-numbers-caused-by …";;;#science #TrumpBudget;"874289481855225857";https://twitter.com/RepBillFoster/status/874289481855225857
;2017-06-12 09:47;20;61;"One year ago, we lost 49 lives in the attack at #PulseNightclub . Let’s honor their memory by committing to stand against hatred.";;;#PulseNightclub;"874277074596503552";https://twitter.com/RepBillFoster/status/874277074596503552
;2017-06-07 12:31;3;12;"Great to learn about the latest research at today's #RDCaucus briefing on #SickleCell and gene editing w/ @ASH_Hematology and @BeTheMatch pic.twitter.com/3MGl5mdqAK";;@ASH_Hematology @BeTheMatch;#RDCaucus #SickleCell;"872506279796895745";https://twitter.com/RepBillFoster/status/872506279796895745
;2017-06-06 15:46;2;13;"Always encouraging to spend time with young scientists. Thanks to @ametsoc for inviting me to speak at their Summer Policy Colloquium! pic.twitter.com/057XoixCEU";;@ametsoc;;"872193032485056512";https://twitter.com/RepBillFoster/status/872193032485056512
;2017-06-06 14:07;16;32;"We have a right to know how many people will lose jobs at @Argonne and @Fermilab under the #TrumpBudget . http:// foster.house.gov/media-center/p ress-releases/press-release-foster-leads-letter-to-inquire-about-job-elimination-at …";;@Argonne @Fermilab;#TrumpBudget;"872168067555610625";https://twitter.com/RepBillFoster/status/872168067555610625
;2017-06-06 13:37;7;24;"On today’s anniversary of #DDay , we honor the memory of the soldiers who sacrificed their lives to defend our freedom. pic.twitter.com/GINeI6iuYf";;;#DDay;"872160591129063424";https://twitter.com/RepBillFoster/status/872160591129063424
;2017-06-02 17:36;21;86;"Today we #WearOrange in memory of the lives we've lost to gun violence in America. It's time to take action on guns. pic.twitter.com/yiODDn93Y1";;;#WearOrange;"870771246874718209";https://twitter.com/RepBillFoster/status/870771246874718209
;2017-06-01 14:42;25;65;".POTUS’s decision on #ParisAgreement marks a sad day for U.S. leadership & our planet’s future. https://www. nytimes.com/2017/06/01/cli mate/trump-paris-climate-agreement.html?hp&action=click&pgtype=Homepage&clickSource=story-heading&module=span-ab-top-region&region=top-news&WT.nav=top-news …";;;#ParisAgreement;"870364853378179072";https://twitter.com/RepBillFoster/status/870364853378179072
;2017-06-01 12:34;14;70;"Today marks the start of #Pride2017 – it’s a chance for all of us to celebrate the ways LGBTQ Americans make our communities stronger.";;;#Pride2017;"870332688577769472";https://twitter.com/RepBillFoster/status/870332688577769472
;2017-05-31 11:10;25;65;"This decision would be a global embarrassment for our country. We must work with the international community to stop climate change. https:// twitter.com/nytclimate/sta tus/869916985714327552 …";;;;"869949173063450628";https://twitter.com/RepBillFoster/status/869949173063450628
;2017-05-29 11:34;3;37;"This weekend, I was honored to present one of our own with the Bronze Star he earned in the Korean War. http://www. dailyherald.com/news/20170527/ at-89-lisle-vet-finally-gets-his-bronze-star … #MemorialDay";;;#MemorialDay;"869230520672157697";https://twitter.com/RepBillFoster/status/869230520672157697
;2017-05-26 10:29;11;45;"As #Ramadan begins, I want to wish peace, joy, and wisdom to all those celebrating this month. Ramadan Kareem!";;;#Ramadan;"868126964749651968";https://twitter.com/RepBillFoster/status/868126964749651968
;2017-05-25 13:28;11;45;"From Naperville to Naboo and across the galaxy - Star Wars has been inspiring minds in science, tech, and art for 40 years! #StarWars40th";;;#StarWars40th;"867809635025133569";https://twitter.com/RepBillFoster/status/867809635025133569
;2017-05-25 10:39;8;23;"I reintroduced the Medicaid CARE Act to get treatment to people struggling with opioid addiction. http:// foster.house.gov/media-center/p ress-releases/press-release-foster-reintroduces-bipartisan-legislation-to-increase … #OpioidEpidemic";;;#OpioidEpidemic;"867767113468870660";https://twitter.com/RepBillFoster/status/867767113468870660
;2017-05-24 15:49;4;22;"Unacceptable - CBO score for the AHCA projects 23 million Americans would lose insurance over a decade. https:// nyti.ms/2qXz217";;;;"867482683835863040";https://twitter.com/RepBillFoster/status/867482683835863040
;2017-05-24 09:03;5;16;"Discussing the #FutureofWork with #NewDems so we can prepare Americans for a changing economy pic.twitter.com/zoljToj0Fg";;;#FutureofWork #NewDems;"867380541334716416";https://twitter.com/RepBillFoster/status/867380541334716416
;2017-05-23 13:52;12;33;"The #TrumpBudget shows contempt for hard-working families, children, and science. http:// foster.house.gov/media-center/p ress-releases/foster-statement-on-president-trump-s-fy2018-budget-request …";;;#TrumpBudget;"867090851163492352";https://twitter.com/RepBillFoster/status/867090851163492352
;2017-05-20 12:59;8;37;"To the men and women who work every day to protect our freedom, thank you for your service. #ArmedForcesDay";;;#ArmedForcesDay;"865990485822889984";https://twitter.com/RepBillFoster/status/865990485822889984
;2017-05-19 11:39;24;44;"Dismissing half of the scientists from the @EPA ’s Board of Scientific Counselors is an alarming move: http:// foster.house.gov/media-center/p ress-releases/press-release-foster-leads-bipartisan-letter-of-concern-over-dismissal …";;@EPA;;"865607854136406017";https://twitter.com/RepBillFoster/status/865607854136406017
;2017-05-18 11:22;2;16;"The new SESAME particle accelerator in Jordan is an example of how science can build bridges of collaboration. https://www. washingtonpost.com/national/healt h-science/scientists-from-enemy-nations-create-a-beacon-for-peace-in-the-middle-east/2017/05/14/ac7c0744-2f9b-11e7-9534-00e4656c22aa_story.html?utm_term=.410ccc209c90 …";;;;"865241276798685184";https://twitter.com/RepBillFoster/status/865241276798685184
;2017-05-17 19:18;21;81;"A special counsel to investigate Trump's Russia ties is a strong step but doesn't absolve Congress of its duty to independently investigate.";;;;"864998650706972673";https://twitter.com/RepBillFoster/status/864998650706972673
;2017-05-17 11:42;8;26;"63 years ago today the U.S. Supreme Court struck down “separate but equal.” #BrownAt63 pic.twitter.com/f1YDzrwc73";;;#BrownAt63;"864883850417233921";https://twitter.com/RepBillFoster/status/864883850417233921
;2017-05-17 11:10;5;32;"On #IDAHOT , I continue to stand with the #LGBT community in #Chechnya . The ongoing atrocities must stop. #EyesonChechnya";;;#IDAHOT #LGBT #Chechnya #EyesonChechnya;"864875871353663489";https://twitter.com/RepBillFoster/status/864875871353663489
;2017-05-16 19:18;9;55;". @POTUS 's irresponsible behavior is putting our national security at risk: http:// foster.house.gov/media-center/p ress-releases/foster-statement-on-president-trump-s-disclosure-of-highly-classified …";;@POTUS;;"864636136823685120";https://twitter.com/RepBillFoster/status/864636136823685120
;2017-05-12 12:32;22;87;"I stand with the #LGBT community in Chechnya. No one deserves to live in fear of persecution or death for who they love. #EyesonChechnya";;;#LGBT #EyesonChechnya;"863084479098884097";https://twitter.com/RepBillFoster/status/863084479098884097
;2017-05-09 19:19;72;171;"Public confidence in our democracy demands the immediate appointment of an independent prosecutor.";;;;"862099697053425666";https://twitter.com/RepBillFoster/status/862099697053425666
;2017-05-06 10:02;7;48;"Happy to be at @northcentralcol this morning with @Skilling to discuss #ClimateChange . pic.twitter.com/oEhzqOrJEe";;@northcentralcol @Skilling;#ClimateChange;"860872482772987905";https://twitter.com/RepBillFoster/status/860872482772987905
;2017-05-05 14:07;9;19;"Today is a chance to honor the contributions of Mexican-Americans in communities across #IL11 and across America. Happy #CincodeMayo !";;;#IL11 #CincodeMayo;"860571698999029760";https://twitter.com/RepBillFoster/status/860571698999029760
;2017-05-04 14:27;23;154;"I proudly vote NO on the #AHCA – an unmitigated disaster for hardworking Americans. http:// foster.house.gov/media-center/p ress-releases/foster-statement-on-passage-of-american-health-care-act …";;;#AHCA;"860214240048816128";https://twitter.com/RepBillFoster/status/860214240048816128
;2017-05-04 11:53;28;90;". @POTUS ’s so called “religious liberty” executive order is just a #LicenseToDiscriminate against women and LGBTQ people.";;@POTUS;#LicenseToDiscriminate;"860175605060468738";https://twitter.com/RepBillFoster/status/860175605060468738
;2017-05-04 11:21;3;34;"I opposed the #WrongChoiceAct which would gut Wall Street reforms and consumer protections. https:// youtu.be/wf9BiZXAbxM";;;#WrongChoiceAct;"860167594166411264";https://twitter.com/RepBillFoster/status/860167594166411264
;2017-05-04 09:45;30;106;"Phones ringing off the hook in opposition to #TrumpCare . This legislation will take #healthcare away from 24 million Americans. #VoteNoAHCA";;;#TrumpCare #healthcare #VoteNoAHCA;"860143281090514944";https://twitter.com/RepBillFoster/status/860143281090514944
;2017-05-03 15:03;22;45;"If signed, @realDonaldTrump ’s #LicenseToDiscriminate undermines vital protections for #LGBTQ people & betrays his promise to #protectLGBTQ . pic.twitter.com/BAoO6pkIG6";;@realDonaldTrump;#LicenseToDiscriminate #LGBTQ #protectLGBTQ;"859861097012236293";https://twitter.com/RepBillFoster/status/859861097012236293
;2017-05-02 10:25;35;94;"Proud to stand w/ #LGBTQ Americans and help reintroduce #EqualityAct . No one should live in fear of discrimination because of who they love. pic.twitter.com/ER7Vm4oqf9";;;#LGBTQ #EqualityAct;"859428732616028160";https://twitter.com/RepBillFoster/status/859428732616028160
;2017-05-02 09:44;17;32;"I was proud to help pass #DoddFrank to prevent another financial collapse.The #WrongCHOICEAct will put us at risk for another crisis. pic.twitter.com/vehPSaXdjf";;;#DoddFrank #WrongCHOICEAct;"859418252484780032";https://twitter.com/RepBillFoster/status/859418252484780032
;2017-05-01 18:29;46;147;"Proud to stand with my colleagues on #ImmigrantRights Day to reaffirm our support for immigrants and their families. https:// twitter.com/housedemocrats /status/859187246414647296 …";;;#ImmigrantRights;"859188072432488449";https://twitter.com/RepBillFoster/status/859188072432488449
;2017-05-01 17:03;0;17;"Good news for the #LGBTQ community and everyone who champions equality. https:// twitter.com/hrc/status/859 151888452857858 …";;;#LGBTQ;"859166323057856512";https://twitter.com/RepBillFoster/status/859166323057856512
;2017-05-01 16:48;14;37;"Great to talk with future scientists from @Princeton about how to help Congress understand science. pic.twitter.com/j3ZDkT8JI2";;@Princeton;;"859162661703045128";https://twitter.com/RepBillFoster/status/859162661703045128
;2017-04-29 07:34;38;85;"Deleting a webpage won't change the reality of #climatechange . @POTUS cannot silence decades of scientific research for political gain. https:// twitter.com/thehill/status /858287581649412096 …";;@POTUS;#climatechange;"858298429352673280";https://twitter.com/RepBillFoster/status/858298429352673280
;2017-04-28 10:00;17;22;"If #WrongChoiceAct becomes law, financial institutions will once again be able to abuse consumers without accountability. #DemsTakeOver pic.twitter.com/iIFccMQsvR";;;#WrongChoiceAct #DemsTakeOver;"857972840850743299";https://twitter.com/RepBillFoster/status/857972840850743299
;2017-04-28 09:13;3;6;"Tomorrow is National Prescription #DrugTakeBack Day. Find a place to safely dispose of unused medications here: https://www. deadiversion.usdoj.gov/drug_disposal/ takeback/ …";;;#DrugTakeBack;"857961005514711044";https://twitter.com/RepBillFoster/status/857961005514711044
;2017-04-27 11:33;18;35;". @POTUS stocked his cabinet w/ #WallStreet executives while threatening scientists and their research. #Trump100Days https:// youtu.be/ajBxnufQv2c";;@POTUS;#WallStreet #Trump100Days;"857633707452235777";https://twitter.com/RepBillFoster/status/857633707452235777
;2017-04-26 16:22;9;21;". @POTUS ’s #taxreform plan will only benefit the rich instead of hard working families: http:// foster.house.gov/media-center/p ress-releases/foster-statement-on-trump-s-tax-plan …";;@POTUS;#taxreform;"857344170125602816";https://twitter.com/RepBillFoster/status/857344170125602816
;2017-04-26 10:01;29;40;"The #WrongChoiceAct guts & functionally terminates the highly successful @CFPB - it returned $12 billion to 29 million consumers #DefendCFPB pic.twitter.com/OP2YtCx9m4";;@CFPB;#WrongChoiceAct #DefendCFPB;"857248195566612480";https://twitter.com/RepBillFoster/status/857248195566612480
;2017-04-25 16:28;22;82;"Good news for #sanctuarycities & all of us who believe that our country is at its best when we value immigrants and not demonize them https:// twitter.com/nytimes/status /856978391026868224 …";;;#sanctuarycities;"856983254787923968";https://twitter.com/RepBillFoster/status/856983254787923968
;2017-04-25 14:55;1;18;"Thank you to the great staff of @DuPageChildrens Museum for inviting me to stop by for #NationalVolunteerWeek ! pic.twitter.com/HN5LCUqRxV";;@DuPageChildrens;#NationalVolunteerWeek;"856959756585639940";https://twitter.com/RepBillFoster/status/856959756585639940
;2017-04-25 08:34;3;27;"On #HolocaustRemembranceDay , we honored the millions of people who perished and renew our pledge to fight hatred, racism, and bigotry. pic.twitter.com/F7FAL4Wnzy";;;#HolocaustRemembranceDay;"856864090483982336";https://twitter.com/RepBillFoster/status/856864090483982336
