username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2017-06-14 07:26;24;68;"My staff and I are safe. Thoughts and prayers are with my colleagues and staff at the Congressional baseball practice this morning.";;;;"874966314108022784";https://twitter.com/RepBlainePress/status/874966314108022784
;2017-06-13 13:54;1;5;"Great having @SBALinda in the office today to discuss how we can work together to empower our nation's small businesses & community banks. pic.twitter.com/HVXhF7EP4m";;@SBALinda;;"874701412608954368";https://twitter.com/RepBlainePress/status/874701412608954368
;2017-06-13 13:30;1;2;"Tune in at 3pm EST to hear me discuss recent legislation I introduced that would end Operation Choke Point once and for all. https:// twitter.com/CamAndCompany/ status/874680160833998848 …";;;;"874695371469062144";https://twitter.com/RepBlainePress/status/874695371469062144
;2017-06-13 12:42;3;9;"Looking forward to supporting the #VaAccountability bill later this afternoon. https:// twitter.com/HouseVetAffair s/status/874674847254708224 …";;;#VaAccountability;"874683458181898241";https://twitter.com/RepBlainePress/status/874683458181898241
;2017-06-12 12:41;4;12;"The #ChoiceAct ends the era of taxpayer bailouts for Wall St. and gives Main St access to the financial tools it needs to succeed. https:// twitter.com/realDonaldTrum p/status/873183401620230144 …";;;#ChoiceAct;"874320705554452482";https://twitter.com/RepBlainePress/status/874320705554452482
;2017-06-12 11:41;0;2;"Make sure to sign up for my weekly e-newsletter here: https:// luetkemeyer.house.gov/forms/emailsig nup/ …";;;;"874305672837574656";https://twitter.com/RepBlainePress/status/874305672837574656
;2017-06-08 16:22;0;2;"Today represents a major victory for Main Street America and Americans who simply want the opportunity to achieve financial independence.";;;;"872926759871807488";https://twitter.com/RepBlainePress/status/872926759871807488
;2017-06-08 12:11;0;5;"The #CHOICEAct offers a responsible approach to financial regulation that will protect consumers & allow the American economy to flourish.";;;#CHOICEAct;"872863626872455168";https://twitter.com/RepBlainePress/status/872863626872455168
;2017-06-07 13:16;3;9;"I am encouraged to hear @POTUS highlight the need to invest in the nation's water infrastructure which is so critical to Missouri.";;@POTUS;;"872517528785956864";https://twitter.com/RepBlainePress/status/872517528785956864
;2017-06-07 10:05;0;2;"Happening now: @FinancialCmte hearing on reforming our National Flood Insurance Program. Watch: https:// financialservices.house.gov /";;@FinancialCmte;;"872469452302012416";https://twitter.com/RepBlainePress/status/872469452302012416
;2017-06-06 10:00;44;150;"An important read by @SpeakerRyan on why #Doddfrank needs to be repealed once and for all. @FinancialCmte http://www. speaker.gov/general/5-reas ons-support-financial-choice-act …";;@SpeakerRyan @FinancialCmte;#Doddfrank;"872105812805640193";https://twitter.com/RepBlainePress/status/872105812805640193
;2017-06-06 08:07;1;4;"Today we salute those who gave their lives so far from home & those who returned home knowing their accomplishments will never be forgotten. pic.twitter.com/oFX31D6jIJ";;;;"872077474473140232";https://twitter.com/RepBlainePress/status/872077474473140232
;2017-06-05 15:50;3;7;". @POTUS issued a Major Disaster Declaration for Missouri to help communities recover from storms & flooding. http:// bit.ly/2rXNQy8";;@POTUS;;"871831547774685184";https://twitter.com/RepBlainePress/status/871831547774685184
;2017-06-02 09:10;5;15;"I welcome the President's decision to withdraw from the Paris Climate Change Agreement. See my full statement here: https:// luetkemeyer.house.gov/news/documents ingle.aspx?DocumentID=398907 …";;;;"870643806898704384";https://twitter.com/RepBlainePress/status/870643806898704384
;2017-05-31 13:47;3;1;"My statement on the recently released Planned Parenthood footage: https:// luetkemeyer.house.gov/news/documents ingle.aspx?DocumentID=398906 …";;;;"869988639274483712";https://twitter.com/RepBlainePress/status/869988639274483712
;2017-05-25 16:30;8;13;"Operation Choke Point needs to end. My legislation will make sure that happens once and for all: http:// luetkemeyer.house.gov/news/documents ingle.aspx?DocumentID=398904 …";;;;"867855298484109313";https://twitter.com/RepBlainePress/status/867855298484109313
;2017-05-25 14:51;1;2;"Sent a letter to @POTUS urging him to approve the request for a major disaster declaration in MO after flooding: http:// bit.ly/2r0Xn46";;@POTUS;;"867830502421614592";https://twitter.com/RepBlainePress/status/867830502421614592
;2017-05-24 15:48;0;4;"It was great spending the day with @SEngelage for #DCShadowDay . It was a pleasure meeting you! pic.twitter.com/RWSTHAjF2c";;@SEngelage;#DCShadowDay;"867482495712976896";https://twitter.com/RepBlainePress/status/867482495712976896
;2017-05-24 15:09;0;7;"It was an honor having you in the office! https:// twitter.com/SEngelage/stat us/867472246918569987 …";;;;"867472539789950977";https://twitter.com/RepBlainePress/status/867472539789950977
;2017-05-23 14:00;4;8;"My statement on President Trump's Fiscal Year 2018 budget: pic.twitter.com/OFgQ3jaBXt";;;;"867092826416394240";https://twitter.com/RepBlainePress/status/867092826416394240
;2017-05-23 08:56;0;6;"I extend my deepest sympathies to our friends in Britain after last night's horrific events. Let us all pray for #Manchester .";;;#Manchester;"867016353235992577";https://twitter.com/RepBlainePress/status/867016353235992577
;2017-05-22 16:00;2;6;"A great read about the history and geopolitics surrounding Churchill's speech at @WestminsterMO in Fulton, MO. http://www. businessinsider.com/winston-church ill-iron-curtain-college-speech-2017-5?r=UK&IR=T …";;@WestminsterMO;;"866760592337580032";https://twitter.com/RepBlainePress/status/866760592337580032
;2017-05-22 14:24;2;5;"Proud to be participating in #DCShadowDay this week with @SEngelage , a fmr. foster youth from Lohman, MO.";;@SEngelage;#DCShadowDay;"866736452738179072";https://twitter.com/RepBlainePress/status/866736452738179072
;2017-05-22 13:53;0;1;"I'm looking forward to it. Proud to be participating in #DCShadowDay with #FosterYouthVoices this year. https:// twitter.com/SEngelage/stat us/866724999104782336 …";;;#DCShadowDay #FosterYouthVoices;"866728773433131008";https://twitter.com/RepBlainePress/status/866728773433131008
;2017-05-18 10:30;2;5;"Always great to meet with @MOREALTORS in Washington. Thank you for coming by! pic.twitter.com/C6LZ9j7ubp";;@MOREALTORS;;"865228183184060416";https://twitter.com/RepBlainePress/status/865228183184060416
;2017-05-17 15:50;1;3;"So glad to talk to the students from Maries County Middle School here in the Capitol today. I hope everyone has a great time in Washington! pic.twitter.com/ej26RmFmJf";;;;"864946136376803328";https://twitter.com/RepBlainePress/status/864946136376803328
