username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2017-06-14 08:38;8;9;"My prayers and thoughts are with @SteveScalise , congressional staff and Capitol police all affected by this morning's horrible shooting.";;@SteveScalise;;"874984493760880640";https://twitter.com/RepBobbyRush/status/874984493760880640
;2017-06-14 08:37;2;1;"@SteveScalise My prayers and thoughts are with and your family, and all affected by this morning's horrible shooting.";;@SteveScalise;;"874984083616649216";https://twitter.com/RepBobbyRush/status/874984083616649216
;2017-06-13 10:52;1;2;"H.R.338 creates jobs in two of the most critical and fastest growing sectors energy & manufacturing: http:// youtu.be/hm2KmukC-i0";;;;"874655839721795584";https://twitter.com/RepBobbyRush/status/874655839721795584
;2017-06-09 15:03;5;4;"Rush Statement on the Shooting Death of Xavier Joy https:// go.usa.gov/xNyNk";;;;"873269412421390336";https://twitter.com/RepBobbyRush/status/873269412421390336
;2017-06-09 13:32;4;2;"My prayers are with you friend: https:// goo.gl/KuQetv";;;;"873246530752454656";https://twitter.com/RepBobbyRush/status/873246530752454656
;2017-06-08 09:12;0;2;"Tuned into Comey hearing. We need answers to the following: https:// goo.gl/x9nSU3";;;;"872818538234425345";https://twitter.com/RepBobbyRush/status/872818538234425345
;2017-05-31 10:09;12;27;"The President's decision to pull the U.S. out of #ParisAgreement removes safeguards that protect our health and our environment.";;;#ParisAgreement;"869933736569208832";https://twitter.com/RepBobbyRush/status/869933736569208832
;2017-05-24 10:40;3;15;"Welcome to the Hill, Alvin Guyton for #FosterYouthVoices . Thank you to the parents & relatives who do so much for those in foster care. pic.twitter.com/s5IARAFnEd";;;#FosterYouthVoices;"867404877437206528";https://twitter.com/RepBobbyRush/status/867404877437206528
;2017-05-22 16:17;0;5;"During Nat’l #DrugCourtMonth , I’d like to recognize the dedicated professionals who work in drug courts in Illinois. TY for all you do!";;;#DrugCourtMonth;"866764952052355072";https://twitter.com/RepBobbyRush/status/866764952052355072
;2017-05-22 14:07;1;2;"#FosterYouthVoices must be included in the child welfare reform discussion. Looking forward to hosting Alvin Guyton at #DCShadowDay 2017.";;;#FosterYouthVoices #DCShadowDay;"866732173252059136";https://twitter.com/RepBobbyRush/status/866732173252059136
;2017-05-18 11:47;4;6;"Great conversation with @nardotrealtor about legislation that will protect new and existing homeowners from flood insurance tax hikes. pic.twitter.com/eG6yi9jK7C";;@nardotrealtor;;"865247515540631554";https://twitter.com/RepBobbyRush/status/865247515540631554
;2017-05-17 12:45;1;5;"Nice to see changes coming to the CPD, but more still needs to be done: https:// goo.gl/hHvpHK";;;;"864899575798169600";https://twitter.com/RepBobbyRush/status/864899575798169600
;2017-05-17 11:15;11;14;"#NetNeutrality protects innovators and small businesses—they can't afford @FCC about-face on rules protecting the fair and open internet.";;@FCC;#NetNeutrality;"864876955233124353";https://twitter.com/RepBobbyRush/status/864876955233124353
;2017-05-17 11:13;5;8;"78% of Americans want an independent commission to #FollowTheFacts on Trump-Russia connection. Republicans must act.";;;#FollowTheFacts;"864876612067762176";https://twitter.com/RepBobbyRush/status/864876612067762176
