username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2017-06-14 08:05;16;25;"Horrified by reports of shooting at @HouseGOP baseball practice. Thoughts and prayers are with @SteveScalise , @CapitolPolice , and aides.";;@HouseGOP @SteveScalise @CapitolPolice;;"874976178171465728";https://twitter.com/RepBonamici/status/874976178171465728
;2017-06-12 11:32;9;38;"Today, we mourn those we lost. Tomorrow, in their memory, we fight for #equality and freedom from violence and hate.";;;#equality;"874303482278420481";https://twitter.com/RepBonamici/status/874303482278420481
;2017-06-12 11:32;11;59;"I stand with #LGBTQ community remembering #Pulse . pic.twitter.com/l551FkRRhX";;;#LGBTQ #Pulse;"874303368252076032";https://twitter.com/RepBonamici/status/874303368252076032
;2017-06-09 14:14;0;11;"America’s veterans have made many sacrifices for freedom and democracy. Thank you Honor Flight… https://www. instagram.com/p/BVIVJPQgjTs/";;;;"873256944064229376";https://twitter.com/RepBonamici/status/873256944064229376
;2017-06-09 11:31;27;69;"Interrupting @NancyPelosi during debate is completely disrespectful and against House decorum. https:// twitter.com/nowthisnews/st atus/872982332155715584 …";;@NancyPelosi;;"873215955480055808";https://twitter.com/RepBonamici/status/873215955480055808
;2017-06-08 17:31;12;24;"#WrongChoiceAct guts the @CFPB and returns us to the days of predatory lending practices. https:// youtu.be/aNRAnaTNLW0";;@CFPB;#WrongChoiceAct;"872944110616948736";https://twitter.com/RepBonamici/status/872944110616948736
;2017-06-07 17:33;12;112;"I stood with OR colleagues on House floor to honor Rick Best, Taliesin Myrddin Namkai-Meche, and Micah Fletcher for their courageous actions";;;;"872582263476813824";https://twitter.com/RepBonamici/status/872582263476813824
;2017-06-07 08:52;1;11;"Cross-laminated timber & advanced wood products generate jobs and create sustainable, resilient buildings. Win-win! http://www. kgw.com/news/local/por tland-approves-permit-for-all-wood-high-rise/446308989 …";;;;"872451248917794816";https://twitter.com/RepBonamici/status/872451248917794816
;2017-06-06 17:08;3;10;". @RepLarryBucshon & I introduced #RISEAct to help college-bound students with disabilities. http:// bonamici.house.gov/press-release/ bonamici-bucshon-introduce-legislation-assist-college-bound-students-disabilities …";;@RepLarryBucshon;#RISEAct;"872213682482278400";https://twitter.com/RepBonamici/status/872213682482278400
;2017-06-06 16:29;5;14;"Congrats @HRVHS theatre teacher Rachel Harry on @TheTonyAwards ! Oregon is proud of you! https:// twitter.com/CBSThisMorning /status/871708641249853441 …";;@HRVHS @TheTonyAwards;;"872203781013942272";https://twitter.com/RepBonamici/status/872203781013942272
;2017-06-05 15:17;11;43;"Oregonians, including the scientists and conservationists @ColumbiaEstuary , are deeply concerned about #ClimateChange . We must #ActonClimate pic.twitter.com/vXbvnT6KpY";;@ColumbiaEstuary;#ClimateChange #ActonClimate;"871823405418512384";https://twitter.com/RepBonamici/status/871823405418512384
;2017-06-02 13:12;10;40;"Join me and #WearOrange for National Gun Violence Prevention Day. We must take meaningful action to make communities safer. pic.twitter.com/QOUwQ2GTL4";;;#WearOrange;"870704675728654342";https://twitter.com/RepBonamici/status/870704675728654342
;2017-06-02 11:59;17;82;"As our community begins to heal, please join me to pause & honor the heroism of Rick Best, Taliesin Myrddin Namkai-Meche, & Micah Fletcher.";;;;"870686430560792577";https://twitter.com/RepBonamici/status/870686430560792577
;2017-06-01 19:09;6;30;"Visited #AstoriaOR HS engineering tech & marine biology classes. Working hard in DC to update #CTE programs for all students. pic.twitter.com/jBtsVcSWp3";;;#AstoriaOR #CTE;"870432257340604417";https://twitter.com/RepBonamici/status/870432257340604417
;2017-06-01 14:45;38;91;"Withdrawing from #ParisAgreement will move us closer to irreparable damage to our planet’s health and our nation’s credibility.";;;#ParisAgreement;"870365716263948290";https://twitter.com/RepBonamici/status/870365716263948290
;2017-05-31 16:08;3;23;"Great to tour #AstoriaOR community fisheries and talk about ways to support this important industry. pic.twitter.com/DuSN5Fr2E7";;;#AstoriaOR;"870024245715374082";https://twitter.com/RepBonamici/status/870024245715374082
;2017-05-31 10:30;15;31;"Thank you @NickKristof for the meaningful words during this difficult time. https:// twitter.com/NickKristof/st atus/869910232616579073 …";;@NickKristof;;"869939041126559744";https://twitter.com/RepBonamici/status/869939041126559744
;2017-05-30 16:34;1;9;"Great to see students in Dayton’s GEAR UP program getting support they need for college and thriving in innovation class ! #GEARUPworks https:// twitter.com/OregonGEARUP/s tatus/869565960771952641 …";;;#GEARUPworks;"869668423504203777";https://twitter.com/RepBonamici/status/869668423504203777
;2017-05-30 14:29;1;16;"I enjoyed visiting Wapato Lake Nat'l Wildlife Refuge & Fernhill Wetlands- so much potential! #keepitpublic pic.twitter.com/aRvrzDGrWi";;;#keepitpublic;"869636823936413696";https://twitter.com/RepBonamici/status/869636823936413696
;2017-05-29 16:50;3;28;"Today in Tualatin and Hillsboro I honored those who gave their lives in service to our country.… https://www. instagram.com/p/BUsSPJHASTS/";;;;"869309899792101377";https://twitter.com/RepBonamici/status/869309899792101377
