username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2017-06-15 12:20;0;4;"...through comprehensive immigration reform, to ensure that the American dream continues be attainable for all: https:// goo.gl/PQoeHv";;;;"875402553487261696";https://twitter.com/RepBonnie/status/875402553487261696
;2017-06-15 12:19;0;3;"It is my hope that this Congress works together to further the progress that DACA initiated...";;;;"875402407026589696";https://twitter.com/RepBonnie/status/875402407026589696
;2017-06-15 12:18;0;1;"...these families and undermines the programs proven nationwide benefits.";;;;"875402243754926080";https://twitter.com/RepBonnie/status/875402243754926080
;2017-06-15 12:18;0;1;"A refusal that simply flies in the face of nation’s values and interests, breaks the promise we made to...";;;;"875402185152090112";https://twitter.com/RepBonnie/status/875402185152090112
;2017-06-15 12:18;2;1;". @realDonaldTrump 's Administration refuses to guarantee the public that #DACA recipients are protected under current administration policy.";;@realDonaldTrump;#DACA;"875402029656657921";https://twitter.com/RepBonnie/status/875402029656657921
;2017-06-15 12:17;1;3;"Our #DREAMers help weave the ever growing fabric of our nation.";;;#DREAMers;"875401782247161856";https://twitter.com/RepBonnie/status/875401782247161856
;2017-06-15 12:16;1;1;"#DACA has been essential to ensure that #DREAMers are able to work and study just like other Americans.";;;#DACA #DREAMers;"875401706544275456";https://twitter.com/RepBonnie/status/875401706544275456
;2017-06-15 12:15;4;13;"Today we celebrate 5 years of #DACA , a bill that has protected and changed the lives of over 800k individuals: https:// goo.gl/PQoeHv";;;#DACA;"875401425114861568";https://twitter.com/RepBonnie/status/875401425114861568
;2017-06-15 10:51;3;7;"Immigrant Heritage Month reminds us that we are made great because of the exaltation of our differences and the spirit of our diversity. pic.twitter.com/odZHtkfbKW";;;;"875380279577280512";https://twitter.com/RepBonnie/status/875380279577280512
;2017-06-14 14:23;8;23;"In light of this, I suggested to my colleagues this morning that we play tomorrow’s game with bipartisan teams.";;;;"875071299114196994";https://twitter.com/RepBonnie/status/875071299114196994
;2017-06-14 14:23;5;9;"This incident is a stark reminder that moments like these we are not Republicans and Democrats – we are Americans. pic.twitter.com/t5UIukjxxk";;;;"875071151009083394";https://twitter.com/RepBonnie/status/875071151009083394
;2017-06-14 12:09;6;27;"But for God's grace & the heroism of @CapitolPolice this could have been a mass killing, not unlike the pulse night club massacre. -BWC";;@CapitolPolice;;"875037417195044864";https://twitter.com/RepBonnie/status/875037417195044864
;2017-06-14 07:58;10;39;"As you walk around the Hill, there's no better time than now 2 thank @CapitolPolice 4 their service today&every other day 4 keeping us safe https:// twitter.com/JonathanTamari /status/874973126106513408 …";;@CapitolPolice;;"874974211835666432";https://twitter.com/RepBonnie/status/874974211835666432
;2017-06-14 07:28;10;12;"Sending an abundance of prayers to @SteveScalise @CapitolPolice and all those affected by this morning's vicious attack.";;@SteveScalise @CapitolPolice;;"874966837708165120";https://twitter.com/RepBonnie/status/874966837708165120
