username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2017-06-14 09:50;102;363;"I urge the nation to keep Rep. Scalise and all injured in their prayers today.";;;;"875002493394145280";https://twitter.com/RepBradWenstrup/status/875002493394145280
;2017-06-14 09:50;61;234;"Capitol police and emergency responders reacted swiftly and courageously – we are grateful for their presence.";;;;"875002435437244417";https://twitter.com/RepBradWenstrup/status/875002435437244417
;2017-06-14 09:49;230;411;"You never expect a baseball field in America to feel like being back in a combat zone in Iraq, but this morning it did.";;;;"875002322136567808";https://twitter.com/RepBradWenstrup/status/875002322136567808
;2017-06-13 15:57;5;27;"Ensuring the VA is fulfilling its core mission: support + care for those who have "borne the battle" in our place: https:// wenstrup.house.gov/news/documents ingle.aspx?DocumentID=399876 …";;;;"874732577093033985";https://twitter.com/RepBradWenstrup/status/874732577093033985
;2017-06-13 15:55;21;51;"GREAT NEWS → Congress just passed a bipartisan VA Accountability bill so veterans can get the care they deserve. Next step: @POTUS signature pic.twitter.com/jKBnWgGB5p";;@POTUS;;"874732099756052480";https://twitter.com/RepBradWenstrup/status/874732099756052480
;2017-06-13 11:58;9;14;"My statement on the release of Otto Warmbier: pic.twitter.com/U9Ji6etUDc";;;;"874672314302033922";https://twitter.com/RepBradWenstrup/status/874672314302033922
;2017-06-13 11:28;1;5;"W/o sustained+sufficient funding, the US will lose our ability to project power–the basis of defending the homeland https:// goo.gl/ubxXqF";;;;"874664836000608259";https://twitter.com/RepBradWenstrup/status/874664836000608259
;2017-06-13 10:16;2;7;"By working to replace ACA w/a patient-centered market-based system, we’re fulfilling promises to Americans https:// goo.gl/WVgCy0 @HouseGOP";;@HouseGOP;;"874646659170529280";https://twitter.com/RepBradWenstrup/status/874646659170529280
;2017-06-13 09:02;4;7;"LIVE → we're sending our bipartisan VA Accountability bill to @POTUS desk today #VeteransFirst https://www. facebook.com/RepBradWenstru p/ …";;@POTUS;#VeteransFirst;"874628014054703104";https://twitter.com/RepBradWenstrup/status/874628014054703104
;2017-06-13 08:30;1;1;"Note from last night's hearing: #SECDEF Mattis summarized our military's readiness crisis in one sentence: pic.twitter.com/vX5jjxoB2H";;;#SECDEF;"874619963818074113";https://twitter.com/RepBradWenstrup/status/874619963818074113
;2017-06-12 20:15;53;206;"#SECDEF Mattis: “We cannot defend America and help others if our Nation is not both strong and solvent.” #FY18NDAA #Readiness";;;#SECDEF #FY18NDAA #Readiness;"874434899200983040";https://twitter.com/RepBradWenstrup/status/874434899200983040
;2017-06-12 20:00;2;5;"These investments are necessary to ensure our ability to defend the homeland and deter conflict when and where required #FY18NDAA";;;#FY18NDAA;"874431130140786689";https://twitter.com/RepBradWenstrup/status/874431130140786689
;2017-06-12 19:50;0;6;"We need to fully resource our Armed Forces – to ensure we never send America’s sons and daughters into a fair fight #FY18NDAA #Readiness";;;#FY18NDAA #Readiness;"874428607715848192";https://twitter.com/RepBradWenstrup/status/874428607715848192
