username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2017-06-15 10:12;0;11;"Will be on . @CNN shortly to talk about today's news";;@CNN;;"875370447184867328";https://twitter.com/RepBrendanBoyle/status/875370447184867328
;2017-06-14 20:47;10;52;"Happy to join @realDonaldTrump on this https:// twitter.com/realdonaldtrum p/status/875166406417010688 …";;@realDonaldTrump;;"875167819788238848";https://twitter.com/RepBrendanBoyle/status/875167819788238848
;2017-06-14 07:34;5;44;"Also thinking and praying for our brave @CapitolPolice";;@CapitolPolice;;"874968346508140548";https://twitter.com/RepBrendanBoyle/status/874968346508140548
;2017-06-14 07:15;15;62;"I'm very saddened to hear Steve Scalise was shot. Thinking and praying for him. https:// twitter.com/costareports/s tatus/874962923340398593 …";;;;"874963558500450304";https://twitter.com/RepBrendanBoyle/status/874963558500450304
;2017-06-14 07:06;12;96;"I am fine. Shocked by today's event. Trying to get more info.";;;;"874961227587375104";https://twitter.com/RepBrendanBoyle/status/874961227587375104
;2017-06-12 22:13;8;40;"In a world in which Donald Trump is President then Dennis Rodman as envoy to North Korea makes sense. #BizarroWorld";;;#BizarroWorld;"874464822364000257";https://twitter.com/RepBrendanBoyle/status/874464822364000257
;2017-06-12 21:53;60;187;"There is absolutely no doubt: firing the Special Prosecutor is an impeachable offense.";;;;"874459591202922496";https://twitter.com/RepBrendanBoyle/status/874459591202922496
;2017-06-12 16:50;0;2;"She's good folks! A natural at this. Showing this rookie the ropes.";;;;"874383384495116288";https://twitter.com/RepBrendanBoyle/status/874383384495116288
;2017-06-12 16:48;51;189;"Remembering all of the victims and their families on this the 1-year anniversary pic.twitter.com/zLGV6RbxL4";;;;"874382895900536832";https://twitter.com/RepBrendanBoyle/status/874382895900536832
;2017-06-12 12:38;27;77;"I hear Kim Jong-un runs his cabinet meetings the same way https:// twitter.com/thehill/status /874312849765670912 …";;;;"874320077444620288";https://twitter.com/RepBrendanBoyle/status/874320077444620288
;2017-06-11 11:33;2;12;"Thanks Laura! https:// twitter.com/thelaurakoski/ status/873937898286059520 …";;;;"873941382108299264";https://twitter.com/RepBrendanBoyle/status/873941382108299264
;2017-06-11 11:33;0;0;"@yasminv enjoyed being on and the give and take";;@yasminv;;"873941169130033152";https://twitter.com/RepBrendanBoyle/status/873941169130033152
;2017-06-11 11:29;2;17;"Thank you Neil! https:// twitter.com/neilfeigeles/s tatus/873937059077083140 …";;;;"873940202191966208";https://twitter.com/RepBrendanBoyle/status/873940202191966208
;2017-06-11 10:48;5;37;"Looking forward to going on . @msnbc shortly";;@msnbc;;"873929904001122304";https://twitter.com/RepBrendanBoyle/status/873929904001122304
;2017-06-10 14:13;7;18;"I share the concerns of the Fmr US Envoy to Northern Ireland @RichardHaass as do a number of my colleagues, both R and D. https:// twitter.com/richardhaass/s tatus/873257800146849793 …";;@RichardHaass;;"873619136009469952";https://twitter.com/RepBrendanBoyle/status/873619136009469952
;2017-06-09 17:30;24;81;"As crazy as this sounds, I bet you Trump is jealous of his high ratings https:// twitter.com/hadas_gold/sta tus/873305225712607232 …";;;;"873306426113794048";https://twitter.com/RepBrendanBoyle/status/873306426113794048
;2017-06-09 14:15;34;120;"Pres Trump just said he would testify under oath to dispute Comey. I urge the House and Senate Intel committees to invite him to testify.";;;;"873257373460160512";https://twitter.com/RepBrendanBoyle/status/873257373460160512
;2017-06-09 13:56;2;15;"Very exciting news for Philadelphia! @WilliamPennFdn https:// twitter.com/williampennfdn /status/873251751511695361 …";;@WilliamPennFdn;;"873252582507954176";https://twitter.com/RepBrendanBoyle/status/873252582507954176
