username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2017-06-14 07:58;20;36;"Praying for my friend @SteveScalise , staffers, Capitol Police, & all involved in the terrible events at @thehillbaseball this am. Horrible.";;@SteveScalise @thehillbaseball;;"874974389229555715";https://twitter.com/RepBuddyCarter/status/874974389229555715
;2017-06-13 16:52;5;12;"Proud to support #VAAccountability Act. Our nation's veterans deserve the best possible care when returning home --> https:// buddycarter.house.gov/news/documents ingle.aspx?DocumentID=2069 …";;;#VAAccountability;"874746275761188868";https://twitter.com/RepBuddyCarter/status/874746275761188868
;2017-06-12 08:32;1;3;"ICYMI: The latest edition of my weekly newsletter: https:// buddycarter.house.gov/news/email/sho w.aspx?ID=CPMWUQRDDTRQFL5UCW7BOI6D5A …";;;;"874258139750825984";https://twitter.com/RepBuddyCarter/status/874258139750825984
;2017-06-08 16:15;2;3;"Proud to support the Financial CHOICE Act today. Opportunity for all, bailouts for none. pic.twitter.com/BH3TitevYF";;;;"872925069693136896";https://twitter.com/RepBuddyCarter/status/872925069693136896
;2017-06-07 16:29;4;4;". @HouseCommerce unanimously passed the FDA Reauthorization Act today. It streamlines the system w/o compromising safety. A win for patients. pic.twitter.com/ibwXdZ4Wsh";;@HouseCommerce;;"872566307996278784";https://twitter.com/RepBuddyCarter/status/872566307996278784
;2017-06-06 15:54;2;9;"Today we honor the bravery, sacrifice, and leadership of those who stormed the beaches of Normandy 73 years ago to defend freedom. #DDay73 pic.twitter.com/MEe1MI11jR";;;#DDay73;"872195021516288001";https://twitter.com/RepBuddyCarter/status/872195021516288001
;2017-06-05 15:38;1;3;"I applaud @SecShulkin 's announcement. It's past time to provide the care our veterans earned and deserve. http:// abcnews.go.com/Politics/wireS tory/trump-tweets-veterans-stay-tuned-ahead-va-newser-47839651 …";;@SecShulkin;;"871828671857872897";https://twitter.com/RepBuddyCarter/status/871828671857872897
;2017-06-01 13:36;2;5;"Thrilled our Coast Guard will receive support for much-needed repairs as Hurricane Matthew recovery continues. http:// savannahnow.com/hurricane-guid e/news/2017-05-29/coast-guard-could-get-funds-aid-recovery-hurricane-matthew …";;;;"870348322686500864";https://twitter.com/RepBuddyCarter/status/870348322686500864
;2017-05-29 09:19;2;15;"Today we honor the lives of those that gave the ultimate sacrifice for our nation’s freedom and prosperity. #MemorialDay pic.twitter.com/soUyiT0kVk";;;#MemorialDay;"869196544775512064";https://twitter.com/RepBuddyCarter/status/869196544775512064
;2017-05-28 08:06;2;7;"Amy & I send thoughts and prayers to the Murphy family. Forever grateful for the service and sacrifice of this hero. http://www. wtoc.com/story/35532506 /1-army-soldier-dead-after-vehicle-rollover …";;;;"868815798558760960";https://twitter.com/RepBuddyCarter/status/868815798558760960
;2017-05-25 15:56;4;5;". @HHSGov report confirms what we already know - premiums have skyrocketed thanks to Obamacare. 106% in GA! https:// energycommerce.house.gov/news-center/bl og-posts/new-report-shows-aca-spiked-premiums-105-between-2013-and-2017 …";;@HHSGov;;"867846826367610882";https://twitter.com/RepBuddyCarter/status/867846826367610882
;2017-05-23 17:28;2;4;"My thoughts on the @POTUS budget --> http:// bit.ly/2rRnxFz .";;@POTUS;;"867145187453173760";https://twitter.com/RepBuddyCarter/status/867145187453173760
;2017-05-23 16:28;1;3;"Thanks for coming by! https:// twitter.com/GSCPA/status/8 67107040048689156 …";;;;"867130189590999040";https://twitter.com/RepBuddyCarter/status/867130189590999040
;2017-05-22 21:59;2;18;"Heartbreaking reports out of Manchester tonight. Sending prayers to all those impacted by this horrific attack.";;;;"866850938316783618";https://twitter.com/RepBuddyCarter/status/866850938316783618
;2017-05-22 17:09;2;2;"Exciting Saturday at the grand opening of Coastal Community Health Services in McIntosh County! pic.twitter.com/WcFkOjOLn5";;;;"866777965631336448";https://twitter.com/RepBuddyCarter/status/866777965631336448
;2017-05-20 17:32;5;10;"Thank you to the heroes who serve our nation. #ArmedForcesDay pic.twitter.com/eIWILCbPtQ";;;#ArmedForcesDay;"866058986822524936";https://twitter.com/RepBuddyCarter/status/866058986822524936
;2017-05-19 10:07;3;4;"Great to be in Long County at the 6th annual Law Day! http:// coastalcourier.com/section/139/ar ticle/86768/#.WR5RCZ5gA2A.twitter …";;;#;"865584737057943552";https://twitter.com/RepBuddyCarter/status/865584737057943552
;2017-05-16 14:20;2;5;"During #NationalPoliceWeek , we honor the brave men and women that protect and serve our communities. Thank you for your selfless sacrifice. pic.twitter.com/65kniZNSJ9";;;#NationalPoliceWeek;"864561336151400448";https://twitter.com/RepBuddyCarter/status/864561336151400448
;2017-05-14 07:58;2;5;"We sure are blessed with some special moms in the Carter family. Happy Mother's Day to all! #happymothersday pic.twitter.com/ltCpD4v5IW";;;#happymothersday;"863740208608665600";https://twitter.com/RepBuddyCarter/status/863740208608665600
;2017-05-12 11:39;1;5;"Thanks for coming in, @childrensatl ! https:// twitter.com/childrensatl/s tatus/863070496442777601 …";;@childrensatl;;"863071125936492544";https://twitter.com/RepBuddyCarter/status/863071125936492544
;2017-05-11 08:55;0;3;"Our third annual Veterans Forum is TODAY! pic.twitter.com/fMaxr1tTBJ";;;;"862667524005122050";https://twitter.com/RepBuddyCarter/status/862667524005122050
;2017-05-10 13:46;2;2;"Fun and informative morning at Coastal Middle School participating in @Google 's Online Safety Roadshow! pic.twitter.com/evPiwGcs13";;@Google;;"862378249485242368";https://twitter.com/RepBuddyCarter/status/862378249485242368
;2017-05-09 15:29;1;3;"I'm looking forward to the 3rd annual Veterans Forum this Thursday to discuss critical issues that impact veterans and offer assistance. pic.twitter.com/w5YBTsUmqI";;;;"862041766777761796";https://twitter.com/RepBuddyCarter/status/862041766777761796
;2017-05-05 10:50;5;5;"An important perspective on the #AHCA from @cathymcmorris : https://www. washingtonpost.com/opinions/my-so n-has-a-preexisting-condition-hes-one-of-the-reasons-i-voted-for-the-ahca/2017/05/04/26c234b2-30fd-11e7-9534-00e4656c22aa_story.html?utm_term=.aeadde57350a …";;@cathymcmorris;#AHCA;"860522173357846528";https://twitter.com/RepBuddyCarter/status/860522173357846528
;2017-05-04 13:58;2;12;"#AHCA will ensure patients are no longer forced to live under Washington's one-size-fits-all health care mandates and taxes";;;#AHCA;"860206987426115585";https://twitter.com/RepBuddyCarter/status/860206987426115585
;2017-05-04 13:57;3;8;"w/ #AHCA , we are one step closer to a patient-centered health care system w/ choice & control needed to empower patients";;;#AHCA;"860206794093867008";https://twitter.com/RepBuddyCarter/status/860206794093867008
;2017-05-04 13:10;6;22;"I just voted to ensure no Member of Congress can be exempted from the #AHCA . No one is above the law.";;;#AHCA;"860194903132971013";https://twitter.com/RepBuddyCarter/status/860194903132971013
;2017-05-03 16:28;0;4;"The House-passed funding bill includes a boost for national security and Georgia priorities --> http:// bit.ly/2pINmtK .";;;;"859882366650769408";https://twitter.com/RepBuddyCarter/status/859882366650769408
;2017-05-01 16:37;2;8;"These law enforcement officers are riding from GA to DC in honor of officers killed in the line of duty. Thank you & safe travels! pic.twitter.com/YvUcoxEGLh";;;;"859159912169000961";https://twitter.com/RepBuddyCarter/status/859159912169000961
;2017-04-28 12:01;4;4;"Tomorrow is National Prescription Drug Take Back Day. Visit http://www. dea.gov to find the collection site near you. pic.twitter.com/Tf42EQF28W";;;;"858003163609214977";https://twitter.com/RepBuddyCarter/status/858003163609214977
;2017-04-27 15:14;1;1;"Great meeting with the @BGICOC in DC today! We discussed important issues for the area. pic.twitter.com/C9eoU5VYL8";;@BGICOC;;"857689330109865984";https://twitter.com/RepBuddyCarter/status/857689330109865984
;2017-04-26 16:06;2;1;". @POTUS tax proposal outlines a system that will grow our economy and create jobs. My thoughts --> http:// bit.ly/2qfSjam .";;@POTUS;;"857340017462652928";https://twitter.com/RepBuddyCarter/status/857340017462652928
;2017-04-25 10:49;0;3;"Congratulations to my friend @SecretarySonny on his confirmation as Secretary of @USDA !";;@SecretarySonny @USDA;;"856897847396052994";https://twitter.com/RepBuddyCarter/status/856897847396052994
;2017-04-24 10:57;0;0;"ICYMI: Catch up on the latest edition of my weekly newsletter here: http:// buddycarter.house.gov/news/email/sho w.aspx?ID=ML7TVYHORMIVVSEF6Y436KMSSM …";;;;"856537491523989504";https://twitter.com/RepBuddyCarter/status/856537491523989504
;2017-04-20 14:14;1;5;"I had a wonderful afternoon in Nahunta today. Thanks for having me! pic.twitter.com/4p5ged5J7d";;;;"855137691729612800";https://twitter.com/RepBuddyCarter/status/855137691729612800
;2017-04-19 15:39;1;7;"Abuse and addiction to rx opioids and heroin has become an epidemic. Participated in @RxSummit yesterday to discuss and create solutions. pic.twitter.com/XZvDIlpDWA";;@RxSummit;;"854796564942004226";https://twitter.com/RepBuddyCarter/status/854796564942004226
;2017-04-17 16:06;2;12;"Grateful for the opportunity to say thank you at the annual law enforcement & first responder appreciation event in Glennville each year. pic.twitter.com/ZzAZayZ8vG";;;;"854078678963294208";https://twitter.com/RepBuddyCarter/status/854078678963294208
;2017-04-16 07:00;2;14;"Amy and I wish you and your family a happy and blessed Easter! pic.twitter.com/Ng1LLC9Meq";;;;"853578731117461504";https://twitter.com/RepBuddyCarter/status/853578731117461504
;2017-04-13 15:50;2;13;"It was a privilege to attend a naturalization ceremony in Brunswick today to welcome new citizens of the United States. Congratulations! pic.twitter.com/zwdDm7NbVf";;;;"852624957578280960";https://twitter.com/RepBuddyCarter/status/852624957578280960
;2017-04-12 15:37;2;5;"I'm meeting with local small biz owners in #GA01 this week to discuss health care reform. Read more: http:// goldenisles.news/news/local_new s/carter-house-gop-try-bringing-ahca-back-to-life/article_585c5dfd-fa40-522b-9cdc-3faefd427a96.html …";;;#GA01;"852259460458455040";https://twitter.com/RepBuddyCarter/status/852259460458455040
;2017-04-11 15:44;2;4;"Great visit to @FLETC1 today. Important work going on there to protect our homeland. pic.twitter.com/eFkzfpXsa7";;@FLETC1;;"851898830442385409";https://twitter.com/RepBuddyCarter/status/851898830442385409
