username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2017-06-14 12:17;25;71;"Congressman Chris Collins' Statement on Shooting in Alexandria, Virginia: pic.twitter.com/DZIn8jVwQ4";;;;"875039552896946192";https://twitter.com/RepChrisCollins/status/875039552896946192
;2017-06-14 07:39;20;89;"Thank you to the @CapitolPolice and the work they do everyday to keep us safe";;@CapitolPolice;;"874969477800226816";https://twitter.com/RepChrisCollins/status/874969477800226816
;2017-06-14 07:33;33;82;"Thoughts and prayers are with @SteveScalise and those injured during this despicable attack";;@SteveScalise;;"874967956203163648";https://twitter.com/RepChrisCollins/status/874967956203163648
;2017-06-13 17:10;3;19;"Our nation's vets deserve to receive best possible care, from only the most qualified individuals. This will help get the VA back on track. https:// twitter.com/RepChrisCollin s/status/874748079529963520 …";;;;"874750732792090625";https://twitter.com/RepChrisCollins/status/874750732792090625
;2017-06-13 16:59;3;19;"Congressman Chris Collins Supports Bill for Increased VA Accountability and Whistleblower Protection https:// goo.gl/6hIuGV .";;;;"874748079529963520";https://twitter.com/RepChrisCollins/status/874748079529963520
;2017-06-13 13:24;0;2;"Today I stopped by the Internet of Things (IOT) showcase to explore the latest possibilities of… https://www. instagram.com/p/BVSiqqwFiA2/";;;;"874694060598059008";https://twitter.com/RepChrisCollins/status/874694060598059008
;2017-06-12 13:00;2;6;"Dedication ceremony included local school choirs, 21-gun salute & remarks from Blue & Gold Star families. It was a privilege to participate. https:// twitter.com/RepChrisCollin s/status/874323030553526275 …";;;;"874325426469978112";https://twitter.com/RepChrisCollins/status/874325426469978112
;2017-06-12 12:50;6;10;"Thank you to the Eden Garden Study Club for honoring our military members & their families w/ a Blue Star Memorial Marker on Saturday. pic.twitter.com/iYn6Iz3f2E";;;;"874323030553526275";https://twitter.com/RepChrisCollins/status/874323030553526275
;2017-06-09 15:30;5;7;"Opioid crisis in Erie Co now killing 1 resident/day--out of control. Glad EC Legislature is taking steps to address. https:// goo.gl/iNIjOZ";;;;"873276018974273536";https://twitter.com/RepChrisCollins/status/873276018974273536
;2017-06-09 14:15;5;5;"Now that @IJCsharedwaters has expressed concern regarding lakeshore damage, it's time for accountability and new commissioners. https:// twitter.com/RepChrisCollin s/status/873253371842613249 …";;@IJCsharedwaters;;"873257141045530624";https://twitter.com/RepChrisCollins/status/873257141045530624
;2017-06-09 14:00;6;5;"It’s simply unacceptable that #Plan2014 was drafted w/o any regard for the communities it would impact the most. https:// goo.gl/pLZXxt";;;#Plan2014;"873253371842613249";https://twitter.com/RepChrisCollins/status/873253371842613249
;2017-06-09 11:30;4;6;"Sending my best to Roselle, who'll be sworn as Buffalo's postmaster td. Roselle has been w/ @USPS since '95, working in POs all over #WNY . https:// twitter.com/TheBuffaloNews /status/873144906700685312 …";;@USPS;#WNY;"873215624012455936";https://twitter.com/RepChrisCollins/status/873215624012455936
;2017-06-09 10:46;7;13;"Senate needs to pass the #ACHA so we can get #WNY & our nation out of this mess. If not, rates will only get worse. https:// goo.gl/w981Av";;;#ACHA #WNY;"873204683913011201";https://twitter.com/RepChrisCollins/status/873204683913011201
;2017-06-08 11:00;4;7;"Proud to support HR 2231 to help @CustomsBorder address ongoing staff shortages. Current understaffing puts #WNY 's economy & security @risk pic.twitter.com/L27sx5FMpf";;@CustomsBorder @risk;#WNY;"872845680414302208";https://twitter.com/RepChrisCollins/status/872845680414302208
;2017-06-07 15:00;1;5;"I commend @SaveOntShores for their efforts to prevent wind turbines from being built @expense of military readiness https:// goo.gl/Z3Bnkg";;@SaveOntShores @expense;;"872543697849556993";https://twitter.com/RepChrisCollins/status/872543697849556993
;2017-06-07 13:48;4;4;"Productive meeting w/ Health Industry Distributors Assoc. Discussed recent Emergency Preparedness shortfalls & how to combat them moving fwd pic.twitter.com/RxtBqWATVD";;;;"872525606721925120";https://twitter.com/RepChrisCollins/status/872525606721925120
;2017-06-05 16:00;3;5;"5k drivers already applied to drive for @Uber in Erie & Niagara. Great sign of things to come for #NY27 & our econ. https:// goo.gl/qwldK8";;@Uber;#NY27;"871834013102743552";https://twitter.com/RepChrisCollins/status/871834013102743552
;2017-06-05 15:17;2;8;"@ChrisCollinsMLA Sending you some snacks made right here in #NY27 to help you cope with dealing with my “fans” http:// bit.ly/2rEbhcU pic.twitter.com/GIdiFXFssE";;@ChrisCollinsMLA;#NY27;"871823319514927104";https://twitter.com/RepChrisCollins/status/871823319514927104
;2017-06-05 11:59;1;7;"Proud of Patrick, former intern of mine, for spending his summer biking from Baltimore San Fran for @AbilityEXP . https:// goo.gl/f5oPZr";;@AbilityEXP;;"871773477518417920";https://twitter.com/RepChrisCollins/status/871773477518417920
;2017-06-04 14:07;5;26;"Joined Troop 140 in Scotsville to celebrate with five new Eagle Scouts. Congratulations to these outstanding future leaders from #NY27 pic.twitter.com/mIezqbxyj2";;;#NY27;"871443386741510144";https://twitter.com/RepChrisCollins/status/871443386741510144
;2017-06-03 14:26;4;9;"Certainly had a productive (& fun) district work week. Make sure you sign up for our monthly newsletter to read about my week in #NY27 . pic.twitter.com/dVhtGsSwKv";;;#NY27;"871085601264676864";https://twitter.com/RepChrisCollins/status/871085601264676864
;2017-06-03 13:13;3;14;"Congratulations to our service academy students from #NY27 ! pic.twitter.com/HFYPbi9Ivx – bei Clarence Town Park Main Street";;;#NY27;"871067289583591424";https://twitter.com/RepChrisCollins/status/871067289583591424
;2017-06-03 12:42;1;4;"Kicking off our Service Academy lunch with 7 outstanding students in the class of 2021 from around #NY27 pic.twitter.com/ovb2PE2IDs";;;#NY27;"871059629157044224";https://twitter.com/RepChrisCollins/status/871059629157044224
;2017-06-03 10:51;14;23;"So proud to be w/ the men & women of the @914Airliftwing as we celebrate the redesignation to the 914th Air Refueling Wing. Thank you all! pic.twitter.com/ovK4eAg3r7 – bei Niagara Falls Air Reserve Station";;@914Airliftwing;;"871031499700785153";https://twitter.com/RepChrisCollins/status/871031499700785153
;2017-06-01 15:30;4;2;"For more information on how you can help spread awareness & lead the fight to #EndAlz , visit http:// alz.org/abam/ https:// twitter.com/RepChrisCollin s/status/870373133911433216 …";;;#EndAlz;"870376913436540928";https://twitter.com/RepChrisCollins/status/870376913436540928
;2017-06-01 15:15;2;6;"This is an opportunity for us to share personal experiences & spread awareness so we can eliminate the stigma associated w/ Alzheimer's. https:// twitter.com/RepChrisCollin s/status/870370144547209220 …";;;;"870373133911433216";https://twitter.com/RepChrisCollins/status/870373133911433216
;2017-06-01 15:03;4;4;"During Alzheimer’s & Brain Awareness Month, let’s show our support the 5 million Americans currently living with this devastating disease. pic.twitter.com/LgCpV4vz7M";;;;"870370144547209220";https://twitter.com/RepChrisCollins/status/870370144547209220
;2017-05-31 14:09;1;1;"..& how we can continue working together to support local veteran org & our law enforcement community. Appreciate your valuable insight.";;;;"869994224464392192";https://twitter.com/RepChrisCollins/status/869994224464392192
;2017-05-31 14:00;3;3;"Great meeting w/ @livingstoncony supervisors yesterday. Discussed expanding broadband access for rural #NY27 communities, Medicaid reform... pic.twitter.com/Q1mh4N0ROm";;@livingstoncony;#NY27;"869991872923676673";https://twitter.com/RepChrisCollins/status/869991872923676673
;2017-05-31 12:25;1;3;"I want to thank Monroe Co. Executive @CherylDinolfo & Hamlin Town Supervisor Eric Peters for their strong leadership on this critical issue. https:// twitter.com/RepChrisCollin s/status/869963034130776068 …";;@CherylDinolfo;;"869967966191923200";https://twitter.com/RepChrisCollins/status/869967966191923200
;2017-05-31 12:05;2;6;"To ensure the @IJCsharedwaters represents the best interests of #WNY , the 3 commissioners representing the US must be removed & replaced. https:// twitter.com/13WHAM/status/ 869735182034759680 …";;@IJCsharedwaters;#WNY;"869963034130776068";https://twitter.com/RepChrisCollins/status/869963034130776068
