username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2017-05-29 08:00;2;10;"Today on #MemorialDay we remember the brave men & women who gave their lives for our freedom. pic.twitter.com/aKgswNOtls";;;#MemorialDay;"869176500372865025";https://twitter.com/RepChuck/status/869176500372865025
;2017-05-22 13:51;35;118;"A big thank you to @SecretaryPerry for visting @ORNL & @y12nsc today! Glad to share the important work we are doing in #OakRidge with you! pic.twitter.com/qwTcMht5YR";;@SecretaryPerry @ORNL @y12nsc;#OakRidge;"866728195118309377";https://twitter.com/RepChuck/status/866728195118309377
;2017-05-16 14:21;4;14;"RT to join me in honoring the police officers who work hard to keep our communities safe #PoliceWeek pic.twitter.com/5baZIw50Bv";;;#PoliceWeek;"864561444649619461";https://twitter.com/RepChuck/status/864561444649619461
;2017-05-14 08:00;0;10;"#HappyMothersDay to all of the incredible moms out there, including my wonderful wife, Brenda! pic.twitter.com/9eQvPHPLD2";;;#HappyMothersDay;"863740687849750528";https://twitter.com/RepChuck/status/863740687849750528
;2017-05-10 14:14;0;2;"Thanks for having me! #TN03 https:// twitter.com/JPARKER_VOTC/s tatus/862384857992892416 …";;;#TN03;"862385360260784132";https://twitter.com/RepChuck/status/862385360260784132
;2017-05-03 12:15;0;9;"It is an honor to receive the @ACUConservative 's award for my conservative voting record pic.twitter.com/yTCykjj38l";;@ACUConservative;;"859818788644147201";https://twitter.com/RepChuck/status/859818788644147201
;2017-05-01 16:38;0;9;"Thanks to the #TN03 students who participated in this year's #CongressionalArtCompetition . Congrats to Electra Lowe for placing 1st! pic.twitter.com/fsS76wwsQS";;;#TN03 #CongressionalArtCompetition;"859160047120732160";https://twitter.com/RepChuck/status/859160047120732160
;2017-04-28 11:54;2;9;"I was thrilled to join @POTUS today at the @WhiteHouse for the signing of the American First Energy Executive Order: http:// bit.ly/2ppIG9W pic.twitter.com/WcRRGnDZXZ";;@POTUS @WhiteHouse;;"858001479801733120";https://twitter.com/RepChuck/status/858001479801733120
;2017-04-27 10:41;2;6;"Great article about the #Ocoee , this will benefit the region with much needed jobs and revenue. #TN03 @TVAnews https:// twitter.com/dflessner1/sta tus/857609432792006658 …";;@TVAnews;#Ocoee #TN03;"857620802841300992";https://twitter.com/RepChuck/status/857620802841300992
;2017-04-21 10:00;7;22;"Appreciated the invite from the @HustlinTigers to throw out the first pitch at last night's game! Proud to join these great young men! #TN03 pic.twitter.com/wwXi3xvYZF";;@HustlinTigers;#TN03;"855436094736932864";https://twitter.com/RepChuck/status/855436094736932864
;2017-04-16 08:00;4;22;"He is risen! #HappyEaster from my family to yours. pic.twitter.com/UcBE797275";;;#HappyEaster;"853593831844986882";https://twitter.com/RepChuck/status/853593831844986882
;2017-04-14 08:00;2;14;"#GoodFriday pic.twitter.com/L6K2IrCtIW";;;#GoodFriday;"852869054956269568";https://twitter.com/RepChuck/status/852869054956269568
;2017-04-07 08:20;4;4;"My statement on the #SyriaStrikes pic.twitter.com/Pkm6TGQX5Q";;;#SyriaStrikes;"850337550229282816";https://twitter.com/RepChuck/status/850337550229282816
;2017-04-03 10:05;2;1;"Let's go @Mets ! https:// twitter.com/Mets/status/84 8746892192174080 …";;@Mets;;"848914332721303554";https://twitter.com/RepChuck/status/848914332721303554
;2017-03-29 08:37;139;284;"To all who served, thank you for your brave service and dedication to our country #VietnamVeteransDay pic.twitter.com/5BWEPYxMzR";;;#VietnamVeteransDay;"847080387172012034";https://twitter.com/RepChuck/status/847080387172012034
