username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2017-06-14 17:30;0;5;"Talked current events with Alondra Maldonado & Catalina Benavides of Society of Martha Washington in Laredo, brought to DC by @CloseUp_DC . pic.twitter.com/BMRB3TWMW4";;@CloseUp_DC;;"875118264661286913";https://twitter.com/RepCuellar/status/875118264661286913
;2017-06-14 15:59;3;23;"Today I met Floresville High School govt teacher Anthony Warzecha & his wife Christine before their tour of the @White House @FloresvilleISD pic.twitter.com/TyfYKuflFR";;@White @FloresvilleISD;;"875095249290272768";https://twitter.com/RepCuellar/status/875095249290272768
;2017-06-14 15:31;1;6;"Great to meet with Sergio Sanchez of @710KURV today during his tour of the @WhiteHouse pic.twitter.com/2nK3MXJc9M";;@710KURV @WhiteHouse;;"875088337786331138";https://twitter.com/RepCuellar/status/875088337786331138
;2017-06-14 12:29;0;2;"Joined @thebta and @thewilsoncenter this morning - two orgs that understand the border better than most. pic.twitter.com/pHjZTvRxki";;@thebta @thewilsoncenter;;"875042631927160835";https://twitter.com/RepCuellar/status/875042631927160835
;2017-06-14 07:52;19;43;"My friend @SteveScalise and the others injured today are in my prayers. pic.twitter.com/9ADoxgqt2H";;@SteveScalise;;"874972714053902338";https://twitter.com/RepCuellar/status/874972714053902338
;2017-06-13 16:05;0;2;"Discussed issues affecting dentists and dental patients with Joey Cazares, DDS, FAGD, President of @theTDA . pic.twitter.com/hbwAIoCpu6";;@theTDA;;"874734597820620802";https://twitter.com/RepCuellar/status/874734597820620802
;2017-06-13 09:39;1;11;"View from my seat as I prepare to question DHS officials on behalf of my constituents pic.twitter.com/5NVyoB4b5M";;;;"874637321097945088";https://twitter.com/RepCuellar/status/874637321097945088
;2017-06-13 09:17;0;0;"Now: Homeland Security Subcmte questions @ICEgov Act. Dir Homan, @USBPChief Provost, & @CustomsBorder 's John Wagner. https:// appropriations.house.gov/calendar/event single.aspx?EventID=394892 …";;@ICEgov @USBPChief @CustomsBorder;;"874631927810142213";https://twitter.com/RepCuellar/status/874631927810142213
;2017-06-12 13:49;3;10;"Looking forward to the first-ever #RGVtoDC week with @RGVPartnership , @riosouthtexas @LRGVDC_COG @utrgv_gcr @STCPR . http:// riograndeguardian.com/first-ever-rgv -to-dc-trip-takes-place-this-week/ …";;@RGVPartnership @riosouthtexas @LRGVDC_COG @utrgv_gcr @STCPR;#RGVtoDC;"874337892675579904";https://twitter.com/RepCuellar/status/874337892675579904
;2017-06-11 11:12;1;15;"My staff honored Dr. Marcus Nelson, Superintendent of @laredoisd for 8 years. Best of luck at Waco ISD this coming year! pic.twitter.com/aav6vVpp21";;@laredoisd;;"873935939315347457";https://twitter.com/RepCuellar/status/873935939315347457
;2017-06-10 10:56;3;17;"These bright students from Col. Santos Benavides Elementary talked with me on the Capitol steps about my work in Congress. pic.twitter.com/nIM1DtM5Az";;;;"873569691863703552";https://twitter.com/RepCuellar/status/873569691863703552
;2017-06-10 07:40;4;11;"Education is important to me, personally and as Congressman. Worked on funding Hispanic-Serving Institutions (HSIs) w @HACUDC this week. pic.twitter.com/sFyaEO35Cu";;@HACUDC;;"873520329695612928";https://twitter.com/RepCuellar/status/873520329695612928
;2017-06-09 08:38;2;6;"I told Asst @USTradeRep what businesses in my border community want from NAFTA 2.0. https:// cuellar.house.gov/news/documents ingle.aspx?DocumentID=401269 … pic.twitter.com/qgN8sBFJ9J";;@USTradeRep;;"873172397813354499";https://twitter.com/RepCuellar/status/873172397813354499
;2017-06-08 11:24;3;5;"Thanks my good friend! #NationalBestFriendsDay https:// twitter.com/judgecarter/st atus/872841984309964801 …";;;#NationalBestFriendsDay;"872851928845352960";https://twitter.com/RepCuellar/status/872851928845352960
;2017-06-08 11:02;1;8;". @CloseUp_DC brought Laredo- and Mission-area students to DC, to discuss the issues they care about like health care and immigration. pic.twitter.com/Ir9jmFjdX8";;@CloseUp_DC;;"872846222553489408";https://twitter.com/RepCuellar/status/872846222553489408
;2017-06-08 09:42;1;2;"Today I’m meeting with leaders from the @USTradeRep . What do you think I should ask or say to them?";;@USTradeRep;;"872826052355162116";https://twitter.com/RepCuellar/status/872826052355162116
;2017-06-08 09:28;1;5;"Congrats to @NASA #NewAstronauts ! Living proof that STEM education doesn’t just open doors – it opens new worlds. https:// nasa.tumblr.com/post/161552645 129/meet-americas-newastronauts …";;@NASA;#NewAstronauts;"872822757268090880";https://twitter.com/RepCuellar/status/872822757268090880
;2017-06-07 18:15;1;4;". @NAMIC and I discussed the insurance industry – and they generously presented me the Ben Franklin Public Policy Award. Thank you! pic.twitter.com/CtWwizia5y";;@NAMIC;;"872592759722360833";https://twitter.com/RepCuellar/status/872592759722360833
;2017-06-07 17:25;1;1;"Today the House of Reps passed legislation I co-sponsored, to streamline hiring for critical CBP jobs. Video: https://www. facebook.com/repcuellar/vid eos/10154597476241551/ … pic.twitter.com/Qx6RU3iEhv";;;;"872580364467875841";https://twitter.com/RepCuellar/status/872580364467875841
;2017-06-07 10:38;2;8;"Today I'll speak on the House floor in support of the bipartisan Anti-Border Corruption Reauthorization Act. Likely btwn 3:30-4:30 ET.";;;;"872477767832662016";https://twitter.com/RepCuellar/status/872477767832662016
;2017-06-06 16:42;6;12;"The city of Roma – on the Mexican border and in my district – was named one of the 50 safest cities in Texas. http://www. themonitor.com/news/article_d cc3186e-4a50-11e7-a0b1-67d5297a9482.html …";;;;"872207144065486848";https://twitter.com/RepCuellar/status/872207144065486848
;2017-06-06 10:45;4;8;"Glad to see VA taking next step in years-long process to streamline #veterans electronic medical records. http://www. militarytimes.com/articles/va-sh are-dod-electronic-medical-records-decision …";;;#veterans;"872117164685373440";https://twitter.com/RepCuellar/status/872117164685373440
;2017-06-06 10:20;1;22;"I am glad to hear our brave Laredo Police officers are recovering from their injuries. They’re in my thoughts. http://www. lmtonline.com/local/crime/ar ticle/Laredo-PD-officer-released-from-intensive-care-11198798.php …";;;;"872110949016236032";https://twitter.com/RepCuellar/status/872110949016236032
;2017-06-06 08:44;8;10;"Potential conflict of interest for Pres Trump: https://www. usatoday.com/story/news/pol itics/onpolitics/2017/06/05/saudi-payments-to-hotel-owned-by-president-trump/102536764/ …";;;;"872086675744112640";https://twitter.com/RepCuellar/status/872086675744112640
;2017-06-06 08:24;15;21;"This is serious. Russia actively interfered in our election. http://www. salon.com/2017/06/05/rus sia-attempted-to-hack-u-s-voting-software-days-before-election-nsa-document/ …";;;;"872081793855496193";https://twitter.com/RepCuellar/status/872081793855496193
;2017-06-05 11:58;0;11;"I'll work with anyone who has a great idea to help my #TX28 constituents. That's how I ended up #8 most bipartisan. http://www. thelugarcenter.org/ourwork-Bipart isan-Index.html …";;;#TX28 #8;"871773351437619203";https://twitter.com/RepCuellar/status/871773351437619203
;2017-06-02 10:33;1;3;"#DidYouKnow I send an email newsletter on Saturdays? Sign up to stay informed on how I’m fighting for you in DC. https:// cuellar.house.gov/forms/form/?ID =3068 …";;;#DidYouKnow;"870664736488259587";https://twitter.com/RepCuellar/status/870664736488259587
;2017-06-01 14:14;6;13;"Draining the swamp? http://www. politico.com/story/2017/05/ 31/trump-white-house-waivers-ethics-239011 …";;;;"870357783929135108";https://twitter.com/RepCuellar/status/870357783929135108
;2017-06-01 12:00;0;6;"Constituents, you can discuss the issues that matter to you, and read updates from my staff, on my Facebook page: https://www. facebook.com/pg/repcuellar/";;;;"870324072130924547";https://twitter.com/RepCuellar/status/870324072130924547
;2017-06-01 09:02;2;7;"Lack of a budget from Rs for years has made our (bipartisan) job on the Appropriations Committee difficult http://www. politico.com/story/2017/05/ 31/trump-budget-republicans-congress-238992 …";;;;"870279266667081728";https://twitter.com/RepCuellar/status/870279266667081728
;2017-06-01 07:50;6;10;"Pres Trump still treats Russia as a friend and Mexico as an enemy. http://www. nbcnews.com/news/us-news/u -s-says-no-agreements-russia-amid-reports-some-sanctions-n766906 …";;;;"870261321807405057";https://twitter.com/RepCuellar/status/870261321807405057
;2017-06-01 07:20;0;3;"Want to know where I stand? My most recent public statements are always on my website. http:// cuellar.house.gov/news/documentq uery.aspx?DocumentTypeID=1232 …";;;;"870253596763238404";https://twitter.com/RepCuellar/status/870253596763238404
;2017-05-31 16:20;0;1;"I joined @TheICCFgroup & bipartisan group of Reps to talk environmental issues w Colombian Pres @JuanManSantos : http:// internationalconservation.org/iccf-hosts-col ombian-president-for-bipartisan-conversation-at-the-u-s-capitoliccf-hosts-colombian-president-for-bipartisan-dialogue-at-the-u-s-capitol …";;@TheICCFgroup @JuanManSantos;;"870027261080154115";https://twitter.com/RepCuellar/status/870027261080154115
;2017-05-31 13:27;0;6;"The @USTradeRep is asking international trade stakeholders for input about the renegotiation of #NAFTA until June 12 http:// bit.ly/2smYbzF";;@USTradeRep;#NAFTA;"869983654075711488";https://twitter.com/RepCuellar/status/869983654075711488
;2017-05-31 13:11;0;3;"Language I submitted on Approps Cmte has led to reimbursement for the Mission Reach program. From @sanantonioriver : https://www. sara-tx.org/wp-content/upl oads/2015/04/Mission-Reach-Reimbursement-Press-Release-FINAL1.pdf …";;@sanantonioriver;;"869979668191088640";https://twitter.com/RepCuellar/status/869979668191088640
;2017-05-31 12:30;1;9;". @CloseUp_DC brought Laredo students Martha & Justin, Society of Martha Washington scholars, to learn about legislative process & my work pic.twitter.com/ALEIvn6AwM";;@CloseUp_DC;;"869969225045213184";https://twitter.com/RepCuellar/status/869969225045213184
;2017-05-30 17:05;1;3;"#DidYouKnow I send an email newsletter on Saturdays? Sign up to stay informed on how I’m fighting for you in DC. https:// cuellar.house.gov/forms/form/?ID =3068 …";;;#DidYouKnow;"869676045896691713";https://twitter.com/RepCuellar/status/869676045896691713
;2017-05-30 08:45;12;17;"This is why we need an independent investigation. #FollowTheFacts . h/t @voxdotcom pic.twitter.com/Lt66zmw1Wi";;@voxdotcom;#FollowTheFacts;"869550214885003264";https://twitter.com/RepCuellar/status/869550214885003264
;2017-05-29 09:30;3;4;"My Memorial Day video message: https://www. youtube.com/watch?v=B_nbuq MOwfM …";;;;"869199157742804992";https://twitter.com/RepCuellar/status/869199157742804992
;2017-05-27 17:09;1;5;"Today I met w/natl, state & local officials from USA/Mexico to discuss repairs for World Trade Bridge in our largest inland port, Laredo, TX pic.twitter.com/UKeMCTklpB";;;;"868590042561871873";https://twitter.com/RepCuellar/status/868590042561871873
;2017-05-26 13:59;3;7;"In Mission TX today, announced $13.9 million for @utrgv to help local high school students achieve college http:// cuellar.house.gov/news/documents ingle.aspx?DocumentID=401248 … pic.twitter.com/lqFGHEzGDv";;@utrgv;;"868179821188317187";https://twitter.com/RepCuellar/status/868179821188317187
