username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2017-06-06 16:15;2;3;"Stopped by @interior this afternoon to discuss legislation and policies impacting North… https://www. instagram.com/p/BVA0naMBPZj/";;@interior;;"872200252257820673";https://twitter.com/RepDavidRouzer/status/872200252257820673
;2017-06-06 07:57;5;8;"Let us never forget the brave heroes who stormed the beaches of Normandy to free our world from tyranny. #DDay #DDay73";;;#DDay #DDay73;"872075090380369920";https://twitter.com/RepDavidRouzer/status/872075090380369920
;2017-06-04 09:43;3;18;"We are in an unconventional war that is not of our choosing, and we must face this scourge head on and defeat it.";;;;"871376956733960192";https://twitter.com/RepDavidRouzer/status/871376956733960192
;2017-06-04 09:43;2;10;"Our thoughts and prayers are with London and the victims and their families.";;;;"871376913809514496";https://twitter.com/RepDavidRouzer/status/871376913809514496
;2017-05-23 08:49;1;5;"Our nation stands in solidarity with the United Kingdom. We must -- and will -- remain vigilant in our fight against Islamic extremists.";;;;"867014521126346752";https://twitter.com/RepDavidRouzer/status/867014521126346752
;2017-05-23 08:48;1;4;"My thoughts and prayers go out to all the innocent victims killed in last night’s attack in Manchester.";;;;"867014321200652288";https://twitter.com/RepDavidRouzer/status/867014321200652288
;2017-05-18 08:52;1;2;"This year, high school students from the 7th Congressional District were invited to enter their… https://www. instagram.com/p/BUPF42JBrBU/";;;;"865203468591431684";https://twitter.com/RepDavidRouzer/status/865203468591431684
;2017-05-17 10:43;8;8;"Secretary of Agriculture Sonny Perdue discussing the economic outlook of rural America, as well… https://www. instagram.com/p/BUMrLJwhKNN/";;;;"864868874927222784";https://twitter.com/RepDavidRouzer/status/864868874927222784
;2017-05-10 08:15;1;2;"Meeting with Ben McCoy, a 7th District resident, to discuss SAGE (Stormwater Alternatives… https://www. instagram.com/p/BT6cQpABSXx/";;;;"862295068941537284";https://twitter.com/RepDavidRouzer/status/862295068941537284
;2017-05-09 13:06;0;2;"Discussing the American Health Care Act, the need to lower healthcare costs and increase… https://www. instagram.com/p/BT4YuilBjoI/";;;;"862005823106568192";https://twitter.com/RepDavidRouzer/status/862005823106568192
;2017-05-09 08:07;2;5;"Discussing my legislation to designate Wilmington as the first "World War II City" with Cape… https://www. instagram.com/p/BT32fkoBePR/";;;;"861930544094826496";https://twitter.com/RepDavidRouzer/status/861930544094826496
;2017-04-18 13:07;3;7;"Discussing government, our Constitution and the political process with 8th graders of Noble… https://www. instagram.com/p/BTCUHI_BW97/";;;;"854395853787734017";https://twitter.com/RepDavidRouzer/status/854395853787734017
;2017-04-18 08:33;1;1;"Had a great time going on "Mornings with Pam & John" on 106.7 FM this morning to discuss beach… https://www. instagram.com/p/BTB0ic-hQzZ/";;;;"854326933303115776";https://twitter.com/RepDavidRouzer/status/854326933303115776
;2017-04-17 15:52;1;1;"Stopped by wect this morning to discuss healthcare and tax reform. #NC07 #WECT @Wilmington,… https://www. instagram.com/p/BTACPxVhThn/";;@Wilmington;#NC07 #WECT;"854075092900261888";https://twitter.com/RepDavidRouzer/status/854075092900261888
;2017-04-17 08:33;1;6;"Celebrating the 200th birthday of Bald Head Island! #BaldHeadIsland #NC07 @Old Baldy Lighthouse… https://www. instagram.com/p/BS_P-nRheiV/";;@Old;#BaldHeadIsland #NC07;"853964551271849984";https://twitter.com/RepDavidRouzer/status/853964551271849984
;2017-04-14 12:37;0;5;"Always a pleasure stopping by Bitty & Beau's in Wilmington! Great owners with a wonderful staff… https://www. instagram.com/p/BS39ku4FNvs/";;;;"852938920757166080";https://twitter.com/RepDavidRouzer/status/852938920757166080
;2017-04-13 14:32;0;1;"It was an honor to present my good friend, Mr. Carl Lamm, with a copy of the remarks I delivered… https://www. instagram.com/p/BS1l6utFiDz/";;;;"852605423454650368";https://twitter.com/RepDavidRouzer/status/852605423454650368
;2017-04-12 12:22;1;2;"It's an honor to represent the fine folks of Seymour Johnson Air Force Base. Thanks to Colonel… https://www. instagram.com/p/BSyyOfYlga0/";;;;"852210287860224001";https://twitter.com/RepDavidRouzer/status/852210287860224001
;2017-04-05 16:29;3;4;"Great meeting with Jackson Beatty, of Camp Lejeune, who has been awarded the "Military Child of… https://www. instagram.com/p/BShM_gOhGGe/";;;;"849735860958384129";https://twitter.com/RepDavidRouzer/status/849735860958384129
;2017-04-04 10:15;1;6;"Discussing three @natresources bills during today's Water, Power and Oceans Subcommittee… https://www. instagram.com/p/BSd9YGIlUvo/";;@natresources;;"849279314378072066";https://twitter.com/RepDavidRouzer/status/849279314378072066
;2017-03-28 14:20;2;2;"Great meeting with North Carolina representatives of the American Dental Association this… https://www. instagram.com/p/BSMX3YWh-3B/";;;;"846804285270609920";https://twitter.com/RepDavidRouzer/status/846804285270609920
;2017-03-27 08:56;1;2;"Had a great time showing students from St. Mark's Catholic School in Wilmington around the U.S.… https://www. instagram.com/p/BSJN-Z_BgaF/";;;;"846360327381966848";https://twitter.com/RepDavidRouzer/status/846360327381966848
;2017-03-22 08:10;4;6;"Providing an update on the work of the @houseagnews Livestock and Foreign Agriculture… https://www. instagram.com/p/BR8Qrqshkht/";;@houseagnews;;"844536686407106560";https://twitter.com/RepDavidRouzer/status/844536686407106560
;2017-03-21 08:08;3;8;"Honored to receive the @uschamber 's "Spirit of Enterprise" Award for my pro-business votes this… https://www. instagram.com/p/BR5rq4YBrRu/";;@uschamber;;"844173819719774208";https://twitter.com/RepDavidRouzer/status/844173819719774208
;2017-03-17 08:16;2;11;"Proud to support the VA Accountability First Act to change the culture at the VA & ensure our #veterans get the care they deserve #HR1259";;;#veterans #HR1259;"842726289970778112";https://twitter.com/RepDavidRouzer/status/842726289970778112
;2017-03-16 10:12;0;9;"Cheering on the @uncwilmington #Seahawks from on top of the uscapitol dome! #FeeltheTeal … https://www. instagram.com/p/BRtB7-dB5Cy/";;@uncwilmington;#Seahawks #FeeltheTeal;"842393203965796358";https://twitter.com/RepDavidRouzer/status/842393203965796358
;2017-03-10 09:24;2;5;"Today, I'm introducing the States' Education Reclamation Act of 2017 to return education… https://www. instagram.com/p/BRdmI1RB-Sb/";;;;"840221833576177664";https://twitter.com/RepDavidRouzer/status/840221833576177664
;2017-03-06 16:56;2;8;"Thanks to all those who attended my #townhall in Brunswick County this afternoon #NC07 @Odell… https://www. instagram.com/p/BRUHFqsBH1m/";;@Odell;#townhall #NC07;"838886090958217216";https://twitter.com/RepDavidRouzer/status/838886090958217216
;2017-03-03 10:52;1;3;"Had a great time reading to students of McGee's Crossroads Elementary School in celebration of… https://www. instagram.com/p/BRLuVNXBnMV/";;;;"837707181751296000";https://twitter.com/RepDavidRouzer/status/837707181751296000
;2017-03-03 09:34;0;1;"Thanks for stopping by! https:// twitter.com/narcisse_paul/ status/837484503568433152 …";;;;"837687638576496640";https://twitter.com/RepDavidRouzer/status/837687638576496640
;2017-03-02 07:48;0;1;"Meeting with members of the #NorthCarolina Association of Broadcasters yesterday to discuss… https://www. instagram.com/p/BRI1KfWBi6-/";;;#NorthCarolina;"837298561050009601";https://twitter.com/RepDavidRouzer/status/837298561050009601
;2017-02-28 22:12;3;12;"I look forward to help implementing this ambitious agenda, which will enable America to be more prosperous at home & even stronger abroad";;;;"836791212170440704";https://twitter.com/RepDavidRouzer/status/836791212170440704
;2017-02-28 22:11;2;5;"Under #POTUS leadership, we are also working to rebuild our #military and regain our influence on the world stage #JointAddress";;;#POTUS #military #JointAddress;"836790886805688320";https://twitter.com/RepDavidRouzer/status/836790886805688320
;2017-02-28 22:09;3;4;"Under #POTUS leadership, we are working to repeal Obamacare & replace it with patient-centered solutions #Jointaddress";;;#POTUS #Jointaddress;"836790594408173568";https://twitter.com/RepDavidRouzer/status/836790594408173568
;2017-02-28 22:06;4;8;"President Trump laid out a bold, optimistic vision to get our economy moving and bring jobs back to America #JointAddress";;;#JointAddress;"836789834488381440";https://twitter.com/RepDavidRouzer/status/836789834488381440
;2017-02-28 17:31;2;4;"Honored to have Colonel Sage from Seymour Johnson Air Force Base as my guest for tonight's… https://www. instagram.com/p/BREuWUzBbmM/";;;;"836720626870046720";https://twitter.com/RepDavidRouzer/status/836720626870046720
;2017-02-28 08:37;2;5;"Providing a legislative update to #nccounties at the #NorthCarolina Association of County… https://www. instagram.com/p/BRDxCYvhoPE/";;;#nccounties #NorthCarolina;"836586110977396745";https://twitter.com/RepDavidRouzer/status/836586110977396745
;2017-02-27 07:48;1;9;"Congratulations! Well-deserved, Sloane! https:// twitter.com/sloaneoops/sta tus/835974718842945537 …";;;;"836211507297988611";https://twitter.com/RepDavidRouzer/status/836211507297988611
;2017-02-27 07:46;2;2;"Great time discussing the application process for our nation's military academies with #NC07 … https://www. instagram.com/p/BRBGj-Zh7C9/";;;#NC07;"836210920070119426";https://twitter.com/RepDavidRouzer/status/836210920070119426
;2017-02-21 07:53;3;20;"First stop on my Congressional trip to the border -- a briefing on border patrol operations in… https://www. instagram.com/p/BQxqZQqBxfv/";;;;"834038266714132480";https://twitter.com/RepDavidRouzer/status/834038266714132480
;2017-02-16 09:08;1;3;"Thanks for stopping by! https:// twitter.com/SONC_BeAFan/st atus/831968321432121345 …";;;;"832245392699961344";https://twitter.com/RepDavidRouzer/status/832245392699961344
;2017-02-15 14:49;0;4;"Great meeting with Natalie and Keith to discuss the impact and contributions the… https://www. instagram.com/p/BQi9ZiqgaFx/";;;;"831968646721335302";https://twitter.com/RepDavidRouzer/status/831968646721335302
;2017-02-01 15:59;1;13;"Honored to serve on the @HouseAgNews Committee! https:// twitter.com/HouseAgNews/st atus/826829548897464320 …";;@HouseAgNews;;"826912768431419394";https://twitter.com/RepDavidRouzer/status/826912768431419394
;2017-01-30 10:38;3;14;"I issued the following statement today in response to President Trump's executive action on travel ban pic.twitter.com/lGYS3WaLZ6";;;;"826107223453609985";https://twitter.com/RepDavidRouzer/status/826107223453609985
;2017-01-13 09:11;7;23;"It's an honor to be appointed to serve on the @NatResources Committee! I look forward to advocating for SE NC in this additional capacity.";;@NatResources;;"819924786088448000";https://twitter.com/RepDavidRouzer/status/819924786088448000
