username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2017-06-14 07:22;29;82;"Dave and I are praying for @SteveScalise , staff, #USCP & others in attendance at Congressional baseball game practice this morning.";;@SteveScalise;#USCP;"874965256002564096";https://twitter.com/RepDianeBlack/status/874965256002564096
;2017-06-14 06:40;3;15;"Terrible to wake up & hear the news about #GrenfellTower . Sending prayers & strength to our friends in London this morning.";;;#GrenfellTower;"874954611601395714";https://twitter.com/RepDianeBlack/status/874954611601395714
;2017-06-13 17:54;14;18;"#TN06 vets deserve better! Poor performance by VA employees is unacceptable - #VAAccountability Act will accountability & transparency. pic.twitter.com/HNg8mAZcy4";;;#TN06 #VAAccountability;"874761903331004418";https://twitter.com/RepDianeBlack/status/874761903331004418
;2017-06-13 16:00;4;64;"Thirty-seven years later and you still fill my heart with joy, love and laughter. Happy Anniversary to the love of my life, Dave. pic.twitter.com/SPRGni3QwI";;;;"874733133115142145";https://twitter.com/RepDianeBlack/status/874733133115142145
;2017-06-13 13:50;6;37;"Great to hear about all the exciting things happening for @Titans & @NissanStadium today. Thanks for stopping by! #TitanUp pic.twitter.com/GOVgdG7l7O";;@Titans @NissanStadium;#TitanUp;"874700586435969024";https://twitter.com/RepDianeBlack/status/874700586435969024
;2017-06-13 12:00;3;12;"Calling this a #TennesseePlan is insulting to the patriots who founded the Volunteer State. bailouts 4 #PuertoRico . http:// bit.ly/2sicb1F";;;#TennesseePlan #PuertoRico;"874672854238994432";https://twitter.com/RepDianeBlack/status/874672854238994432
;2017-06-13 08:54;13;25;"9th Circuit California Court is putting ultra-liberal political agenda ahead of #NationalSecurity by continuing to block @POTUS travel ban. https:// twitter.com/realdonaldtrum p/status/874578159676665857 …";;@POTUS;#NationalSecurity;"874626028265713665";https://twitter.com/RepDianeBlack/status/874626028265713665
;2017-06-12 12:30;2;11;"Fantastic news for #TN06 ! 500+ new @GapInc #jobs coming to Sumner County. https:// twitter.com/tnecd/status/8 73210931823730688 …";;@GapInc;#TN06 #jobs;"874317882968215556";https://twitter.com/RepDianeBlack/status/874317882968215556
;2017-06-12 10:17;1;1;"Thanks @LifeSciDaily for featuring how important access to #healthcare is in rural areas like #TN06 . ARTICLE http:// bit.ly/2rizNU4";;@LifeSciDaily;#healthcare #TN06;"874284441207795712";https://twitter.com/RepDianeBlack/status/874284441207795712
;2017-06-12 09:30;2;12;"I agree! https:// twitter.com/richardrubindc /status/872884942992224259 …";;;;"874272791977132032";https://twitter.com/RepDianeBlack/status/874272791977132032
