username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2017-06-14 15:06;3;15;"Join me on @MSNBC momentarily to talk more about today's events and going forward together.";;@MSNBC;;"875082021558779905";https://twitter.com/RepDougCollins/status/875082021558779905
;2017-06-14 12:38;3;4;"Join me with @TeamCavuto to talk about #AlexandriaShooting and how we respond in a few moments.";;@TeamCavuto;#AlexandriaShooting;"875044701950423040";https://twitter.com/RepDougCollins/status/875044701950423040
;2017-06-14 11:57;6;26;"Standing w/ my friend @repjohnlewis to speak w/ GA students as we keep representing our neighbors in wake of #Alexandria . We come together. pic.twitter.com/oJ4fzPI9Jr";;@repjohnlewis;#Alexandria;"875034541618016261";https://twitter.com/RepDougCollins/status/875034541618016261
;2017-06-14 07:19;7;30;"Praying for my friend Steve Scalise and other victims of this morning's violence.";;;;"874964556665298944";https://twitter.com/RepDougCollins/status/874964556665298944
;2017-06-13 17:06;3;8;"#VAAccountability puts veterans above politics. See my statement: https:// dougcollins.house.gov/press-releases /collins-introduces-legislation-to-encourage-rural-broadband-development/ …";;;#VAAccountability;"874749970020171778";https://twitter.com/RepDougCollins/status/874749970020171778
;2017-06-13 14:10;4;5;"#GOAct would help bridge digital divide thru free-market. Thankful for work of @SenCapito & @AjitPai on this front. https:// apps.fcc.gov/edocs_public/a ttachmatch/DOC-345329A1.pdf …";;@SenCapito @AjitPai;#GOAct;"874705610452938752";https://twitter.com/RepDougCollins/status/874705610452938752
;2017-06-13 11:19;3;4;"What's going on in Washington? Looks like some serious productivity--the House and @POTUS are making tangible progress on our promises. pic.twitter.com/lMvlKQk3jf";;@POTUS;;"874662445473771520";https://twitter.com/RepDougCollins/status/874662445473771520
;2017-06-12 15:03;12;16;"The GO Act will foster rural #broadband investment thru smarter, simpler policies. @SenCapito @AjitPaiFCC https:// dougcollins.house.gov/press-releases /collins-introduces-legislation-to-encourage-rural-broadband-development/ …";;@SenCapito @AjitPaiFCC;#broadband;"874356572419485698";https://twitter.com/RepDougCollins/status/874356572419485698
;2017-06-12 08:42;1;5;"#GA09 honored our veterans this weekend & @HouseGOP is bringing excellent #veterans legislation to floor this week. http:// accesswdun.com/article/2017/6 /546605/rock-creek-veterans-park-new-sign …";;@HouseGOP;#GA09 #veterans;"874260738193461248";https://twitter.com/RepDougCollins/status/874260738193461248
;2017-06-09 16:14;1;3;"Wondering what's happening in Washington? Sign up for my e-newsletter here: https:// dougcollins.house.gov pic.twitter.com/ozxm6qYbm1";;;;"873287156902633475";https://twitter.com/RepDougCollins/status/873287156902633475
;2017-06-08 14:53;3;8;"We're removing barriers to financial resources so Americans can follow their hopes, dreams, & ambitions. #CHOICEAct https:// youtu.be/FCVGMpsWZIM";;;#CHOICEAct;"872904425559535617";https://twitter.com/RepDougCollins/status/872904425559535617
;2017-06-08 08:02;23;52;"#GA09 businesses & families are suffering under DoddFrank over-regulation. How is @HouseGOP bringing back opportunity? #CHOICEAct pic.twitter.com/bgqewLLLJ4";;@HouseGOP;#GA09 #CHOICEAct;"872801080362622976";https://twitter.com/RepDougCollins/status/872801080362622976
;2017-06-08 06:38;1;1;"Join me on WJRB 95.1 Mountain Mornings at 7:40 today to talk appropriations and poultry.";;;;"872779873307308032";https://twitter.com/RepDougCollins/status/872779873307308032
;2017-06-07 08:46;5;10;"Obama's DOJ made settlement payments into chum for special interests, hurting real victims. @POTUS right to reverse http:// thehill.com/blogs/congress -blog/the-administration/318682-stop-settlement-slush-funds-act-helps-restore-checks …";;@POTUS;;"872449626967871489";https://twitter.com/RepDougCollins/status/872449626967871489
;2017-06-06 12:51;3;6;"On #DDay2017 , we remember. pic.twitter.com/qz2mK0FTno";;;#DDay2017;"872148977499635716";https://twitter.com/RepDougCollins/status/872148977499635716
;2017-06-02 11:06;1;2;"'Tis the season for welcoming #GA09 neighbors like the Broome family for tours of the Capitol. Let us know if we can help! 202 225 9893 pic.twitter.com/AsCTlVy66r";;;#GA09;"870672935895404544";https://twitter.com/RepDougCollins/status/870672935895404544
;2017-06-01 16:11;7;14;"Planned Parenthood is committed to ending life. @HouseGOP is committed to protecting it. Numbers speak: https://www. sba-list.org/newsroom/press -releases/planned-parenthood-report-highlights-massive-decline-clients-services … #ProLife";;@HouseGOP;#ProLife;"870387373221314560";https://twitter.com/RepDougCollins/status/870387373221314560
;2017-05-31 11:43;10;17;"#Adoption process of 200+ U.S. families and children from Ethiopia are halted. We ask to reunite loving families. https://www. young.senate.gov/content/adopti on-ban-leaves-200-us-families-their-adopted-children-heartbreaking-limbo-bipartisan- … –";;;#Adoption;"869957582508630016";https://twitter.com/RepDougCollins/status/869957582508630016
;2017-05-30 16:23;8;14;"A plan that gets 12 indiv spending bills through regular order before new fiscal year? Great idea, @RepTomGraves http://www. rollcall.com/news/policy/om nibus-recess-appropriators …";;@RepTomGraves;;"869665718412988422";https://twitter.com/RepDougCollins/status/869665718412988422
;2017-05-30 10:22;116;244;"Georgians still suffer under Obamacare, which has narrowed their choice & more than doubled avg premiums on indiv market since 2013. #AHCA pic.twitter.com/Iln05yAIZe";;;#AHCA;"869574794945212416";https://twitter.com/RepDougCollins/status/869574794945212416
;2017-05-25 08:59;7;17;"Laying wreaths to honor our fallen military heroes, whose sacrifice compels us to defend in life what they championed in death. #MemorialDay pic.twitter.com/HxNsrtwiKq";;;#MemorialDay;"867742018109394948";https://twitter.com/RepDougCollins/status/867742018109394948
