username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2017-06-14 13:37;5;8;"After the shooting today"...I ask for all to unite in offering their prayers and well-wishes to all those affected.” http:// bit.ly/2stp5u0";;;;"875059570137321474";https://twitter.com/RepEBJ/status/875059570137321474
;2017-06-14 07:39;2;13;"Very sad to hear this news as the story continues to develop. https:// twitter.com/cbsnews/status /874966670917472257 …";;;;"874969481155661824";https://twitter.com/RepEBJ/status/874969481155661824
;2017-06-13 17:25;7;11;"Press Release: We failed to receive clear answers from the Attorney General once again. https:// ebjohnson.house.gov/media-center/p ress-releases/congresswoman-eddie-bernice-johnson-releases-statement-following … pic.twitter.com/H5eK9Lor3U";;;;"874754697432903680";https://twitter.com/RepEBJ/status/874754697432903680
;2017-06-13 13:54;0;3;"Watch live! "Sessions Testifies Before Senate Intelligence Committee" #SessionsHearing https:// twitter.com/i/live/8743189 72522438657 …";;;#SessionsHearing;"874701423333781504";https://twitter.com/RepEBJ/status/874701423333781504
;2017-06-13 13:31;11;17;"Very alarming! https:// twitter.com/SenatorHassan/ status/874685366455980032 …";;;;"874695699711107072";https://twitter.com/RepEBJ/status/874695699711107072
;2017-06-12 11:50;3;12;"Let us not forget the innocent lives lost last year at #PulseNightclub ! https:// twitter.com/JennVasquez_DC /status/874304900796211200 …";;;#PulseNightclub;"874307863786778625";https://twitter.com/RepEBJ/status/874307863786778625
;2017-06-12 10:18;16;23;"Today we remember the 49 lives lost at #PulseNightclub . I will continue to fight for equality to ensure the safety of the #LGBT community! pic.twitter.com/kMJNfEZrbs";;;#PulseNightclub #LGBT;"874284864882831360";https://twitter.com/RepEBJ/status/874284864882831360
;2017-06-12 09:22;5;14;"I will continue to fight for fair health care for my constituents and all Americans. #ProtectOurCare https:// twitter.com/NancyPelosi/st atus/874235815882346496 …";;;#ProtectOurCare;"874270764693954560";https://twitter.com/RepEBJ/status/874270764693954560
;2017-06-08 16:48;5;8;"Press release: Excerpt:"The American people expect loyalty to our country not to foreign adversaries." https:// ebjohnson.house.gov/media-center/p ress-releases/congresswoman-eddie-bernice-johnson-releases-statement-following-former … #ComeyHearing pic.twitter.com/IUKxkIC3uP";;;#ComeyHearing;"872933325882740742";https://twitter.com/RepEBJ/status/872933325882740742
;2017-06-08 09:20;2;4;"Watch live! "Comey Testifies Before Senate Intelligence Committee" #ComeyTestimony https:// twitter.com/i/live/8717282 91962433536 …";;;#ComeyTestimony;"872820701442580482";https://twitter.com/RepEBJ/status/872820701442580482
