username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2017-06-15 08:51;2;4;"A must-read op-ed. We must do more to help vets exposed to Agent Orange and other toxins. http:// thehill.com/blogs/pundits- blog/healthcare/337748-its-time-for-congress-and-the-va-to-address-victims-of-military …";;;;"875350101346189312";https://twitter.com/RepEsty/status/875350101346189312
;2017-06-14 10:27;7;46;"So grateful to hear this https:// twitter.com/NBCNews/status /875008029640536064 …";;;;"875011749149380608";https://twitter.com/RepEsty/status/875011749149380608
;2017-06-14 07:40;25;132;"Everyone on my staff is accounted for. They were not at the field. We are praying for our GOP friends & colleagues and awaiting updates.";;;;"874969768658391040";https://twitter.com/RepEsty/status/874969768658391040
;2017-06-14 07:37;31;74;"Praying for @SteveScalise , my @HouseGOP & @SenateGOP colleagues, & the Capitol Police who work everyday to keep people safe.";;@SteveScalise @HouseGOP @SenateGOP;;"874969026933424128";https://twitter.com/RepEsty/status/874969026933424128
;2017-06-13 16:49;3;11;"Agreed. The bill @POTUS & @HouseGOP jubilantly celebrated at Rose Garden is much too harsh to the American people. http://www. politico.com/story/2017/06/ 13/trump-urge-gop-senate-repeal-obamacare-239504 …";;@POTUS @HouseGOP;;"874745531788132352";https://twitter.com/RepEsty/status/874745531788132352
;2017-06-13 13:00;5;13;"The public would better served by helping families of Sandy Hook, Pulse & other tragedies shine light on hate, gun violence & its aftermath.";;;;"874687821335998465";https://twitter.com/RepEsty/status/874687821335998465
;2017-06-13 12:58;3;11;"I don't doubt @MegynKelly 's good intentions. She is a skilled journalist. But elevating these hateful falsehoods is a public disservice.";;@MegynKelly;;"874687478204157952";https://twitter.com/RepEsty/status/874687478204157952
;2017-06-13 12:57;45;109;"I'm with @sandyhook . @MegynKelly and @NBCNews should shelve their interview with a Sandy Hook hoaxer.";;@sandyhook @MegynKelly @NBCNews;;"874687238575054851";https://twitter.com/RepEsty/status/874687238575054851
;2017-06-12 13:22;3;8;"Great @CTBar discussion about solving CT's #opioidepidemic . Our communities need resources for prevention, treatment, recovery. https:// twitter.com/MonteFrank1/st atus/874262112398397440 …";;@CTBar;#opioidepidemic;"874331016353255424";https://twitter.com/RepEsty/status/874331016353255424
;2017-06-12 09:26;6;19;"But words on their own aren't enough. We must commit to action. Action to stop gun violence, to stop acts of hate, and to stop terrorism.";;;;"874271750120460288";https://twitter.com/RepEsty/status/874271750120460288
