username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2017-06-14 07:35;12;36;"My thoughts & prayers go out to @SteveScalise @CapitolPolice & others involved in this mornings incident. Thinking of you & your families";;@SteveScalise @CapitolPolice;;"874968586099535874";https://twitter.com/RepFilemonVela/status/874968586099535874
;2017-06-05 12:12;7;11;"Spoke to professors at @utrgv this morning who are conducting research into the #ZikaVirus , a pressing issue of TX-34 pic.twitter.com/0QyOciSiQs";;@utrgv;#ZikaVirus;"871776860916416512";https://twitter.com/RepFilemonVela/status/871776860916416512
;2017-06-01 14:08;1;3;"Watch my press conference live to learn how @POTUS 's budget proposal for FY 2018 and the AHCA affect TX-34 https:// goo.gl/27zwsQ";;@POTUS;;"870356396969140224";https://twitter.com/RepFilemonVela/status/870356396969140224
;2017-05-29 09:32;0;10;"This #MemorialDay , we remember those who made the ultimate sacrifice by giving their lives in exchange for our freedom. #HonorTheFallen";;;#MemorialDay #HonorTheFallen;"869199806115262465";https://twitter.com/RepFilemonVela/status/869199806115262465
;2017-05-23 16:51;3;7;"Today I led @HouseDemocrats in the floor debate of H.R. 1370, the @DHSgov Blue Campaign Authorization Act of 2017. https:// goo.gl/EyKnmP";;@HouseDemocrats @DHSgov;;"867135901473939457";https://twitter.com/RepFilemonVela/status/867135901473939457
;2017-05-22 21:33;7;26;"Extending my deepest condolences to those affected by the explosions in Manchester. My prayers are with victims and first responders tonight";;;;"866844572458131458";https://twitter.com/RepFilemonVela/status/866844572458131458
;2017-05-10 16:59;2;8;"To read my full statement following @FBI Director #Comey 's dismissal, visit my @facebook page: https:// goo.gl/RdBxII";;@FBI @facebook;#Comey;"862426934504030210";https://twitter.com/RepFilemonVela/status/862426934504030210
;2017-05-04 12:24;15;100;"This is exactly why I will be voting against #Trumpcare . Thank you for sharing your story, Terry.";;;#Trumpcare;"860183433926115329";https://twitter.com/RepFilemonVela/status/860183433926115329
;2017-05-04 09:35;102;107;"Lest we forget... #ThrowbackThursday pic.twitter.com/y9FNNifUr0";;;#ThrowbackThursday;"860140723039023104";https://twitter.com/RepFilemonVela/status/860140723039023104
;2017-05-03 14:47;3;4;"To view my full statement on the issue, visit my Facebook page: https://www. facebook.com/UsCongressmanF ilemonVela/ … #NoBorderWall #WallternativeFacts";;;#NoBorderWall #WallternativeFacts;"859857084711673856";https://twitter.com/RepFilemonVela/status/859857084711673856
;2017-05-03 14:47;18;56;"A vote for this budget is a vote for @realDonaldTrump 's "great big wall." Therefore, I will be voting no #NoBorderWall #WallternativeFacts";;@realDonaldTrump;#NoBorderWall #WallternativeFacts;"859856873561960448";https://twitter.com/RepFilemonVela/status/859856873561960448
;2017-05-01 11:10;0;1;"In honor of #SmallBusinessWeek we're kicking off #Growth by focusing on #GettingStarted . Check out this fact sheet: http:// bit.ly/2qeG0yK";;;#SmallBusinessWeek #Growth #GettingStarted;"859077638811521024";https://twitter.com/RepFilemonVela/status/859077638811521024
;2017-04-25 09:54;9;33;"Check out a clip of my @CNNnewsroom interview yesterday w/ @BrookeBCNN & @MariaSantanaCNN . Full interview here: https://www. facebook.com/UsCongressmanF ilemonVela/ … pic.twitter.com/bm7exVRR2Q";;@CNNnewsroom @BrookeBCNN @MariaSantanaCNN;;"856884180533354496";https://twitter.com/RepFilemonVela/status/856884180533354496
;2017-04-24 14:10;6;14;"Tune in to @CNN now to catch me talking @POTUS ' proposed border wall w/ @BrookeBCNN";;@CNN @POTUS @BrookeBCNN;;"856586210533400576";https://twitter.com/RepFilemonVela/status/856586210533400576
;2017-04-11 17:18;22;54;"Spicer on Hitler What an idiot http:// bigstory.ap.org/article/54102e e5694546c1a7bc47f436f7cc59/spicer-suggests-even-hitler-didnt-use-chemical-weapons?utm_source=nl-politics-daily-041117 …";;;;"851922389747331072";https://twitter.com/RepFilemonVela/status/851922389747331072
;2017-04-10 13:48;3;4;"...ensure that Yarrington is extradited to the United States and that the federal criminal process be allowed to take its course.";;;;"851507297125904385";https://twitter.com/RepFilemonVela/status/851507297125904385
;2017-04-10 13:47;3;2;"I am hopeful that law enforcement officials from the United States and Mexico will marshal all of their diplomatic resources to...";;;;"851507040908345345";https://twitter.com/RepFilemonVela/status/851507040908345345
;2017-04-10 13:46;5;5;"...to have committed in the U.S. The capture and prosecution of Tomas Yarrington will help restore peace to Tamaulipas.";;;;"851506794610511872";https://twitter.com/RepFilemonVela/status/851506794610511872
;2017-04-10 13:45;3;2;"...I worked with @HouseHomeland Chairman @RepMcCaul to seek the capture of fugitives so they can stand trial for crimes they are alleged...";;@HouseHomeland @RepMcCaul;;"851506449847111685";https://twitter.com/RepFilemonVela/status/851506449847111685
;2017-04-10 13:43;2;3;"...efforts to secure extradition of Tomas Yarrington. As the senior Democrat on the Border and Maritime Security Subcommittee...";;;;"851505972937977856";https://twitter.com/RepFilemonVela/status/851505972937977856
;2017-04-10 13:42;2;4;"disrupting cartel trafficking and the violence with which it is associated. Since his indictment, I have supported federal government...";;;;"851505695472091140";https://twitter.com/RepFilemonVela/status/851505695472091140
;2017-04-10 13:41;3;1;"The prosecution of corruption by high ranking government officials, even years after the crimes were committed, is critical to...";;;;"851505491486396419";https://twitter.com/RepFilemonVela/status/851505491486396419
