username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2016-11-07 13:33;2;2;"Congrats to the Manch Marathon winners http://www. unionleader.com/Manchester-Mar athon/Mass-runners-claim-Manchester-marathon-titles-11062016 … And all the Granite Staters who competed";;;;"795710800904196096";https://twitter.com/RepFrankGuinta/status/795710800904196096
;2016-11-05 11:02;22;37;"There's a #BetterWay to fight poverty https:// iqconnect.lmhostediq.com/iqextranet/vie w_newsletter.aspx?id=101415&c=NH01FG … Read abt @HouseGOP plan in my latest "Weekend Read"";;@HouseGOP;#BetterWay;"794932832678412288";https://twitter.com/RepFrankGuinta/status/794932832678412288
;2016-11-01 07:59;0;8;"Enjoyed speaking with these patriotic young Granite Staters about ways we can help NH recover from heroin epidemic https:// twitter.com/Pinkerton_NH/s tatus/792004338550005760 …";;;;"793437332259082240";https://twitter.com/RepFrankGuinta/status/793437332259082240
;2016-11-01 07:58;0;2;"My pleasure @MrSojka_PA Great to see so many Granite Staters invested in solutions to state's #1 problem";;@MrSojka_PA;#1;"793437094475685889";https://twitter.com/RepFrankGuinta/status/793437094475685889
;2016-11-01 07:56;0;2;"Great to see you again! @jess_nickel";;@jess_nickel;;"793436677096214528";https://twitter.com/RepFrankGuinta/status/793436677096214528
;2016-10-31 09:20;0;0;"Miss the Weekend Read? https:// iqconnect.lmhostediq.com/iqextranet/vie w_newsletter.aspx?id=101412&c=NH01FG … Granite Staters’ safety and security is my highest priority. End #domesticviolence #DVAM2016";;;#domesticviolence #DVAM2016;"793095375108308992";https://twitter.com/RepFrankGuinta/status/793095375108308992
;2016-10-27 16:23;3;4;"Proud to work w @WePreventNow to prevent domestic violence https:// preventioninnovations.wordpress.com/2016/10/27/dom estic-violence-awareness-month-a-reminder-of-our-perpetual-responsibility/ … Read my blog for UNH! #PIRC #DVAM2016";;@WePreventNow;#PIRC #DVAM2016;"791752200053747712";https://twitter.com/RepFrankGuinta/status/791752200053747712
;2016-10-25 12:28;17;24;"A #BetterWay to fight poverty https://www. gop.gov/rep-frank-guin ta-r-nh-better-way-fight-poverty/ … @HouseGOP To change persistent poverty, we must change our national strategy.";;@HouseGOP;#BetterWay;"790968356069371904";https://twitter.com/RepFrankGuinta/status/790968356069371904
;2016-10-24 08:41;0;2;"Happy 100th birthday to Jim Beliveau of Durham NH! http://www. newhampshire.com/article/201610 24/NEWHAMPSHIRE09/161029652 …";;;;"790548886775533568";https://twitter.com/RepFrankGuinta/status/790548886775533568
;2016-10-24 07:54;0;0;"Missed the Weekend Read? https:// iqconnect.lmhostediq.com/iqextranet/vie w_newsletter.aspx?id=101409&c=NH01FG … All about budget-busting fed rules on Great Bay that could sink local finances";;;;"790536876696473600";https://twitter.com/RepFrankGuinta/status/790536876696473600
;2016-10-20 14:57;0;1;"Great speaking with you and your audience! @WTSN1270 Great show";;@WTSN1270;;"789193826124439552";https://twitter.com/RepFrankGuinta/status/789193826124439552
;2016-10-19 12:29;1;3;"Manchester NH wins @RWJF 2016 Culture of Health Prize! http://www. rwjf.org/en/library/col lections/coh-prize-winners/2016-winner-manchester-nh.html … Proud to be former mayor. Read all about what city is doing";;@RWJF;;"788794122014515200";https://twitter.com/RepFrankGuinta/status/788794122014515200
;2016-10-17 08:17;4;3;"Miss the Weekend Read? https:// iqconnect.lmhostediq.com/iqextranet/vie w_newsletter.aspx?id=101404&c=NH01FG … Fed Court strikes down unconstitutional @CFPB choking consumer credit, harming econ";;@CFPB;;"788006023101607936";https://twitter.com/RepFrankGuinta/status/788006023101607936
;2016-10-14 16:32;0;2;"Thanks for having me on @JoshWMUR @WMUR9 Look forward to next opportunity to share my positive agenda w Granite Staters";;@JoshWMUR @WMUR9;;"787043446435577858";https://twitter.com/RepFrankGuinta/status/787043446435577858
;2016-10-14 11:54;2;3;"Great show, thank you! @ChaseHagaman @ConcordC @NH1News @FixtheDebt @UNHLaw";;@ChaseHagaman @ConcordC @NH1News @FixtheDebt @UNHLaw;;"786973460434214912";https://twitter.com/RepFrankGuinta/status/786973460434214912
;2016-10-11 15:48;0;6;"I led bipartisan effort to stop 40 percent (!) Obamacare tax on Granite Staters' health insurance https:// morningconsult.com/alert/top-whit e-house-economic-adviser-urges-support-for-cadillac-tax/ …";;;;"785945189038817280";https://twitter.com/RepFrankGuinta/status/785945189038817280
;2016-10-11 08:41;1;2;"Looking forward to it! @ChaseHagaman";;@ChaseHagaman;;"785837699521544192";https://twitter.com/RepFrankGuinta/status/785837699521544192
;2016-10-07 07:50;1;1;"Amazing high-tech manufacture in Manchester, carrying on NH naval tradition. Very impressive! https:// twitter.com/danjsadowski/s tatus/784129746539982849 …";;;;"784375395877527554";https://twitter.com/RepFrankGuinta/status/784375395877527554
;2016-10-06 15:29;3;2;"Touring @goGSMgo after Portsmouth Naval Shipyard. Both are NH jobs centers employing many Granite Staters!";;@goGSMgo;;"784128583342129152";https://twitter.com/RepFrankGuinta/status/784128583342129152
;2016-10-06 14:39;0;0;"Thanks for Q. As mayor, initiated 10 Yr Plan to End Homelessness. Voted for "Homes for Heroes." Reforming regs to increase housing supply! https:// twitter.com/chrissylsimond s/status/784084391618236417 …";;;;"784115975092404224";https://twitter.com/RepFrankGuinta/status/784115975092404224
;2016-09-29 08:15;1;4;"Confusion at Fed is big reason Granite Staters have zero faith in central planners directing economy from Washington http:// dailycaller.com/2016/09/28/jan et-yellen-chair-of-the-fed-has-no-idea-what-the-labor-participation-rate-is-video/ …";;;;"781482500958875649";https://twitter.com/RepFrankGuinta/status/781482500958875649
;2016-09-29 07:36;1;5;"Congrats to the #RedSox #RedSoxNation";;;#RedSox #RedSoxNation;"781472704515932160";https://twitter.com/RepFrankGuinta/status/781472704515932160
;2016-09-27 15:47;3;3;"With #Obamacare co-ops failing, prez threatens to punish Americans who lose their insurance with more fines! https:// morningconsult.com/alert/white-ho use-threatens-veto-house-co-op-bill/ …";;;#Obamacare;"780871528237891584";https://twitter.com/RepFrankGuinta/status/780871528237891584
;2016-09-26 13:49;0;3;"Thank you! @RepBillJohnson";;@RepBillJohnson;;"780479356464431104";https://twitter.com/RepFrankGuinta/status/780479356464431104
;2016-09-26 10:58;0;0;"Thank you very much! @RepSinema";;@RepSinema;;"780436389787799552";https://twitter.com/RepFrankGuinta/status/780436389787799552
