username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2017-06-14 08:52;10;30;"Our thoughts & prayers are with my friend @SteveScalise & others injured this morning. Thankful for the incredible service of @CapitolPolice";;@SteveScalise @CapitolPolice;;"874988026539192322";https://twitter.com/RepFrankLucas/status/874988026539192322
;2017-06-08 16:08;2;2;"The #CHOICEAct promotes economic opportunity on Main Street & restores accountability on Wall Street. http:// lucas.house.gov/press-release/ lucas-votes-pass-financial-choice-act … pic.twitter.com/VxAhyPGqQl";;;#CHOICEAct;"872923243816124416";https://twitter.com/RepFrankLucas/status/872923243816124416
;2017-05-15 15:25;2;3;"'Phony telephone number scam targets veterans' – share with any friends/family who use the Veterans Choice Program https://www. consumer.ftc.gov/blog/phony-tel ephone-number-scam-targets-veterans …";;;;"864215145106612224";https://twitter.com/RepFrankLucas/status/864215145106612224
;2017-05-12 15:57;7;10;"I applaud the Trump administration for proactively securing a trade deal with China that supports U.S. beef http:// lucas.house.gov/press-release/ lucas-statement-us-china-trade-deal …";;;;"863135999060267009";https://twitter.com/RepFrankLucas/status/863135999060267009
;2017-04-19 15:46;3;9;"Last night @POTUS signed into law our bipartisan bill to strengthen severe weather forecasting and protect lives http://www. accuweather.com/en/weather-new s/trump-signs-monumental-weather-bill-into-law-to-help-forecasting-researching-capabilities-across-weather-enterprise/70001440 …";;@POTUS;;"854798329011679232";https://twitter.com/RepFrankLucas/status/854798329011679232
;2017-04-19 14:32;2;10;"Today we honor the memories of the 168 souls taken from us too soon & those who lost loved ones 22 years ago. #OklahomaStrong #okcbombing pic.twitter.com/6skvEHUoiF";;;#OklahomaStrong #okcbombing;"854779855078031360";https://twitter.com/RepFrankLucas/status/854779855078031360
;2017-04-07 13:43;2;6;"Congrats to Neil Gorsuch on his confirmation! His exemplary record & strict adherence to the Constitution will make him an excellent justice pic.twitter.com/twmHmv5rdp";;;;"850418668299321344";https://twitter.com/RepFrankLucas/status/850418668299321344
;2017-04-04 16:27;23;66;"I'm proud the House & Senate passed my bill to strengthen our country's commitment to severe weather forecasting http:// lucas.house.gov/press-release/ lucas-weather-forecasting-bill-passes-house-and-senate … pic.twitter.com/LmPONjOSIq";;;;"849372765333442560";https://twitter.com/RepFrankLucas/status/849372765333442560
;2017-04-04 15:54;7;12;"I appreciate @realDonaldTrump and @USDA for taking action to provide relief to ranchers impacted by recent wildfires http:// lucas.house.gov/press-release/ lucas-statement-trump-administration%E2%80%99s-emergency-grazing-authorization … pic.twitter.com/h9ZEhpKqb7";;@realDonaldTrump @USDA;;"849364582091149312";https://twitter.com/RepFrankLucas/status/849364582091149312
;2017-03-30 08:34;2;6;"LIVE: We are now discussing a bill I introduced to improve objectivity & transparency of the science behind gov regs http:// houselive.gov / pic.twitter.com/arZNd8yJaT";;;;"847441882544095232";https://twitter.com/RepFrankLucas/status/847441882544095232
;2017-03-30 08:29;16;25;"Sound science must be the cornerstone of sound policy. Read my op-ed this morning here: http:// dailycaller.com/2017/03/29/res toring-the-epas-credibility/ … via @DailyCaller pic.twitter.com/FvK0b25dBx";;@DailyCaller;;"847440623984562176";https://twitter.com/RepFrankLucas/status/847440623984562176
;2017-03-21 15:55;1;10;"Proud to attend @realDonaldTrump 's signing of NASA Authorization bill that ensures our country remains #1 in space exploration & research! pic.twitter.com/v3e06FKuNA";;@realDonaldTrump;#1;"844291300178477057";https://twitter.com/RepFrankLucas/status/844291300178477057
;2017-03-21 13:57;8;17;"Happy National #AgDay ! Our country's farmers and ranchers are the reason we have access to safe and affordable food! pic.twitter.com/pPnQcRqUTM";;;#AgDay;"844261670805524484";https://twitter.com/RepFrankLucas/status/844261670805524484
;2017-03-21 10:00;1;5;"Trying times like these are when I am thankful for the Oklahoma Standard http:// newsok.com/oklahoma-stand ard-shines-in-aid-to-wildfire-victims/article/5542376 … via @NewsOK pic.twitter.com/OfVQVDqO22";;@NewsOK;;"844202114444378113";https://twitter.com/RepFrankLucas/status/844202114444378113
;2017-03-17 11:57;1;3;"VIDEO: Lucas addresses wildfire response & containment efforts at recent @HouseAgNews subcommittee hearing https:// youtu.be/SCq94sfTh_A";;@HouseAgNews;;"842781864376975360";https://twitter.com/RepFrankLucas/status/842781864376975360
