username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2017-06-14 16:21;5;15;"Happy #FlagDay from the @uscapitol . Even in difficult times, our flag stands tall. pic.twitter.com/Nfuw1ofmiR";;@uscapitol;#FlagDay;"875100950817538049";https://twitter.com/RepFrenchHill/status/875100950817538049
;2017-06-14 08:20;11;22;"Capitol Police this morning and the other first responders on the scene for their heroic work.";;;;"874979964185083904";https://twitter.com/RepFrenchHill/status/874979964185083904
;2017-06-14 08:20;14;32;"I am praying for my friend Steve Scalise and the other victims of this senseless attack. We should all be extremely grateful for...";;;;"874979879414108162";https://twitter.com/RepFrenchHill/status/874979879414108162
;2017-06-14 08:20;2;5;"that it was Capitol Police that that sprang into action to subdue the shooter and save many lives...";;;;"874979816956624896";https://twitter.com/RepFrenchHill/status/874979816956624896
;2017-06-14 08:19;2;5;"Congress, our staffs, and those visiting the Capitol from possible threats. Early reporting from this morning's shooting indicates....";;;;"874979659766804480";https://twitter.com/RepFrenchHill/status/874979659766804480
;2017-06-14 08:19;15;27;"This AM I was at the White House with constituents during the shooting in Alexandria. Every day Capitol Police protect members of...";;;;"874979521082134528";https://twitter.com/RepFrenchHill/status/874979521082134528
;2017-06-13 16:27;1;1;"VA Receives Golden Fleece on Day House Passes Major VA Reform https:// hill.house.gov/media-center/p ress-releases/va-receives-golden-fleece-day-house-passes-major-va-reform …";;;;"874739991980773377";https://twitter.com/RepFrenchHill/status/874739991980773377
;2017-06-12 15:22;4;5;"My recent op-ed in @ArkBusiness : More 'CHOICE' for Community Banks, Farmers and Consumers in Arkansas http://www. arkansasbusiness.com/article/117374 /more-choice-for-community-banks-farmers-and-consumers-in-arkansas-us-rep-french-hill-commentary …";;@ArkBusiness;;"874361252113514500";https://twitter.com/RepFrenchHill/status/874361252113514500
;2017-06-10 10:05;0;5;"ICYMI: My Floor speech in honor of Staff Sergeant Robert Dale Van Fossen of Greenbrier, Arkansas. https:// youtu.be/5PJ6KFkHZoQ";;;;"873556716469850113";https://twitter.com/RepFrenchHill/status/873556716469850113
;2017-06-08 16:12;5;7;"#CHOICEAct has passed the House. My statement below: pic.twitter.com/muaCNJxhVh";;;#CHOICEAct;"872924340404314113";https://twitter.com/RepFrenchHill/status/872924340404314113
;2017-06-08 14:19;6;13;"My Floor statement in favor of the #CHOICEAct . Proud of our work to deliver relief to community banks. pic.twitter.com/5lmo16xnAK";;;#CHOICEAct;"872895949479309312";https://twitter.com/RepFrenchHill/status/872895949479309312
;2017-06-08 10:50;1;1;"We need #CHOICE . America's community banks need relief from Dodd-Frank. pic.twitter.com/gHSyF8O89z";;;#CHOICE;"872843178956795904";https://twitter.com/RepFrenchHill/status/872843178956795904
