username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2017-06-15 10:39;3;2;". @POTUS signed an order expanding apprenticeship programs. Earlier this week, my op-ed praised this type of training http:// bit.ly/2teMFqt";;@POTUS;;"875377228728725506";https://twitter.com/RepGrothman/status/875377228728725506
;2017-06-15 10:34;1;2;"Great news for the state of Wisconsin and the country as a whole! And it's wonderful to see a familiar face at the signing ( @GovWalker ). https:// twitter.com/NBCNews/status /875375689729359873 …";;@GovWalker;;"875376060438851584";https://twitter.com/RepGrothman/status/875376060438851584
;2017-06-14 16:47;3;4;"Did you know the 1st-recognized celebration of #FlagDay took place in Waubeka? I'm proud that #WI06 is the birthplace of this tradition.";;;#FlagDay #WI06;"875107365430996994";https://twitter.com/RepGrothman/status/875107365430996994
;2017-06-14 16:34;1;0;"I also want to wish the @USArmy a happy birthday! 242 years of keeping our country safe. http:// read.bi/2rx8nVF";;@USArmy;;"875104229471522816";https://twitter.com/RepGrothman/status/875104229471522816
;2017-06-14 16:11;0;3;"Happy 71st birthday, @POTUS !";;@POTUS;;"875098414903697408";https://twitter.com/RepGrothman/status/875098414903697408
;2017-06-14 14:10;0;1;"David Miles, paramedic field training officer at Bell Ambulance, was awarded the American Ambulance Assoc.'s Star of Life award. Congrats! pic.twitter.com/32f9fwv37k";;;;"875067894668939264";https://twitter.com/RepGrothman/status/875067894668939264
;2017-06-14 07:16;19;18;"Thinking of my friend @SteveScalise this morning. Praying for him, Capitol Police and the others injured as this horrific news comes in.";;@SteveScalise;;"874963825358974976";https://twitter.com/RepGrothman/status/874963825358974976
;2017-06-13 14:36;10;37;"The relationship b/w America and Israel is strong, and Wisconsin @AIPAC members and I want to keep it that way. pic.twitter.com/Pmq4RvTlME";;@AIPAC;;"874712170042445826";https://twitter.com/RepGrothman/status/874712170042445826
;2017-06-13 09:39;2;5;"Currently speaking safety, trade & technical school w/ the Industrial Truck Assoc. during #NationalForkliftSafetyDay pic.twitter.com/Ws93kkoyns";;;#NationalForkliftSafetyDay;"874637385857998848";https://twitter.com/RepGrothman/status/874637385857998848
;2017-06-12 17:14;5;6;". @POTUS will be in WI tomorrow to discuss the importance of technical education. I wrote an op-ed abt #CTE today --> http:// bit.ly/2teMFqt";;@POTUS;#CTE;"874389550474440705";https://twitter.com/RepGrothman/status/874389550474440705
;2017-06-12 14:04;0;1;". @AlliantEnergyWI provides the majority of our power in #WI06 , so I was happy to have them in my office last week. pic.twitter.com/CR7pWGNGvp";;@AlliantEnergyWI;#WI06;"874341702793932800";https://twitter.com/RepGrothman/status/874341702793932800
;2017-06-12 13:47;1;3;"I enjoyed working at the Fond du Lac Noon Kiwanis tent at Walleye Weekend yesterday. #WI06 pic.twitter.com/zVvqu3VDLf";;;#WI06;"874337406379544578";https://twitter.com/RepGrothman/status/874337406379544578
