username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2017-06-14 11:53;17;27;"Today’s senseless shooting wasn’t just an assault on our Republican colleagues, but an attack on our country & the United States Congress. pic.twitter.com/TEAHIJILeD";;;;"875033447693246466";https://twitter.com/RepGwenMoore/status/875033447693246466
;2017-06-14 08:25;11;37;"It appears there are multiple heroes to thank from @CapitolPolice /1st responders to @RepMoBrooks using a belt as a tourniquet on the wounded";;@CapitolPolice @RepMoBrooks;;"874981092046065670";https://twitter.com/RepGwenMoore/status/874981092046065670
;2017-06-14 07:41;36;42;"My heart goes out to @SteveScalise , his staff & @CapitolPolice . Sending prayers & wishing everyone a swift recovery. https://www. google.com/amp/s/amp.cnn. com/cnn/2017/06/14/politics/alexandria-virginia-shooting/index.html …";;@SteveScalise @CapitolPolice;;"874970096342577152";https://twitter.com/RepGwenMoore/status/874970096342577152
;2017-06-13 11:27;22;42;"As you discuss jobs in my state, please address the jobs that will be lost under #Trumpcare & the 412600 Wisconsinites losing their coverage https:// twitter.com/realDonaldTrum p/status/874619861019840512 …";;;#Trumpcare;"874664619922644992";https://twitter.com/RepGwenMoore/status/874664619922644992
;2017-06-12 17:48;4;18;"#InfrastructureWeek was a failure/ @realDonaldTrump knows it. needs a real plan to tackle our infrastructure needs https:// gwenmoore.house.gov/press-releases /trump-administration-fails-to-address-americas-infrastructure-needs/ …";;@realDonaldTrump;#InfrastructureWeek;"874398016681238528";https://twitter.com/RepGwenMoore/status/874398016681238528
;2017-06-12 17:00;12;21;"Nothing says #Thirsty like soliciting praise/loyalty from your cabinet for the cameras. Stop putting optics>results. https://www. google.com/amp/www.cnbc.c om/amp/2017/06/12/trump-makes-bizarre-claims-at-press-event-as-cabinet-members-take-turns-praising-him.html …";;;#Thirsty;"874385987929071616";https://twitter.com/RepGwenMoore/status/874385987929071616
;2017-06-12 13:56;13;21;"Let us honor those who lost their lives by #WorkingTogether to #DisarmHate & fight intolerance. #OrlandoUnitedDay #PrideMonth #OrlandoStrong pic.twitter.com/1zgk37TMrm";;;#WorkingTogether #DisarmHate #OrlandoUnitedDay #PrideMonth #OrlandoStrong;"874339706833645570";https://twitter.com/RepGwenMoore/status/874339706833645570
;2017-06-12 09:58;32;51;". @realDonaldTrump brought the viciousness w/ him, @IvankaTrump . Targeting the #SocialSafetyNet , leaving 23M w/o healthcare, #MuslimBan , etc. https:// twitter.com/foxandfriends/ status/874228437455523840 …";;@realDonaldTrump @IvankaTrump;#SocialSafetyNet #MuslimBan;"874279707268837376";https://twitter.com/RepGwenMoore/status/874279707268837376
;2017-06-10 21:10;6;59;"knitting things for friends/family. Making a blanket this year for my great granddaughter! #HappyPride #Pride2017 #WWKIPDAY #LoveIsLove pic.twitter.com/UvKALlv5t3";;;#HappyPride #Pride2017 #WWKIPDAY #LoveIsLove;"873724113357090816";https://twitter.com/RepGwenMoore/status/873724113357090816
;2017-06-09 16:41;21;42;"#LGBTPrideMonth : #CallToAction for us to recognize when everyone is treated as equal, only then can we truly be free https:// gwenmoore.house.gov/press-releases /as-we-celebrate-lgbt-pride-month-action-on-equality-must-continue/ … pic.twitter.com/yGIS8tMg2N";;;#LGBTPrideMonth #CallToAction;"873294008382103554";https://twitter.com/RepGwenMoore/status/873294008382103554
;2017-06-08 17:06;13;25;"Comey shed light on @realDonaldTrump 's deception while highlighting the absence of credibility from this @WhiteHouse https:// gwenmoore.house.gov/press-releases /comeys-testimony-emphasizes-trumps-ongoing-misconduct/ … pic.twitter.com/eGkhFPUq0t";;@realDonaldTrump @WhiteHouse;;"872937950509707264";https://twitter.com/RepGwenMoore/status/872937950509707264
