username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2017-06-14 07:24;39;62;"Praying for @SteveScalise and all others involved in the shooting at GOP Congressional baseball practice this morning.";;@SteveScalise;;"874965708689612802";https://twitter.com/RepJasonSmith/status/874965708689612802
;2017-06-13 19:50;2;10;"June is #NationalDairyMonth & MO-08 is home to some of the top #dairy producers in our state! Proud to support our #rural economy pic.twitter.com/0ZMdyk1G4y";;;#NationalDairyMonth #dairy #rural;"874791169594716160";https://twitter.com/RepJasonSmith/status/874791169594716160
;2017-06-13 18:43;4;18;"Enjoyed talking to this summer's Congressional interns. They're already a step ahead of me... I never got to intern on the Hill! pic.twitter.com/n1YWQV8Yw4";;;;"874774144130449409";https://twitter.com/RepJasonSmith/status/874774144130449409
;2017-06-12 15:42;2;6;"Fighting to secure our borders and #MakeAmericaSafeAgain read more about what we are doing here http:// bit.ly/2rivUOX";;;#MakeAmericaSafeAgain;"874366315716374528";https://twitter.com/RepJasonSmith/status/874366315716374528
;2017-06-12 08:53;2;12;"Flood recovery continues! Glad to see The Landing in Van Buren has reopened! pic.twitter.com/pLpNwL6VGj";;;;"874263374225444866";https://twitter.com/RepJasonSmith/status/874263374225444866
;2017-06-09 15:32;26;27;"Honored to present the Chamber of Commerce in Houston with a flag flown over the U.S. Capitol! Thankful for their work to support #SmallBiz pic.twitter.com/31gk4dH0Op";;;#SmallBiz;"873276666143002624";https://twitter.com/RepJasonSmith/status/873276666143002624
;2017-06-08 15:54;4;8;"Inspired by Dr. Williams' entrepreneurship! He started his veterinary practice by taking his truck out to large animal visits. #SmallBiz pic.twitter.com/iJtzrrdCYr";;;#SmallBiz;"872919685116964866";https://twitter.com/RepJasonSmith/status/872919685116964866
;2017-06-07 12:38;1;8;"Happy Birthday @VP grateful for your leadership and service! pic.twitter.com/grTWNQ4iOp";;@VP;;"872508046395813892";https://twitter.com/RepJasonSmith/status/872508046395813892
;2017-06-06 16:21;6;15;"#OnThisDay in 1944, brave Americans stormed the beaches at Normandy to help liberate Europe from Nazi-Germany. Freedom is not free. #DDay pic.twitter.com/9uBKsTuPa4";;;#OnThisDay #DDay;"872201741525282816";https://twitter.com/RepJasonSmith/status/872201741525282816
;2017-06-05 12:29;2;11;"Met Mr. Elmore in Houston today! He's been in the clothing business for 65+ years & can tell you what it takes to run a #SmallBiz pic.twitter.com/5OXpWxjaar";;;#SmallBiz;"871781011834777600";https://twitter.com/RepJasonSmith/status/871781011834777600
;2017-06-04 08:29;5;13;"Praying for all involved in #LondonBridge attack we must ban together to stop these cowardly acts and fight to rid the world of terror.";;;#LondonBridge;"871358206248980480";https://twitter.com/RepJasonSmith/status/871358206248980480
;2017-06-02 21:42;6;18;"My statement on @POTUS approval of @EricGreitens request for a federal disaster declaration from the storms on 4/29/17 pic.twitter.com/7ayq99VLSd";;@POTUS @EricGreitens;;"870833065249177600";https://twitter.com/RepJasonSmith/status/870833065249177600
;2017-06-01 10:31;4;12;"Fugitive Beach is a family owned #SmallBiz they told me what it takes to keep the doors open & how they play a role in #MissouriTourism pic.twitter.com/yNl3pR0DJZ";;;#SmallBiz #MissouriTourism;"870301895612665856";https://twitter.com/RepJasonSmith/status/870301895612665856
;2017-05-31 17:14;1;5;"Congrats to Bell City High School Baseball on your 3-peat! The Cubs are state champs yet again!! https:// twitter.com/semoball/statu s/869768319175462912 …";;;;"870040883877621760";https://twitter.com/RepJasonSmith/status/870040883877621760
;2017-05-31 11:01;1;6;"#SmallBiz Roundtable in Salem-time to get govt out of the way & make it easier for these folks to hire Missourians & provide for families. pic.twitter.com/qiNrCvulxJ";;;#SmallBiz;"869946855186104320";https://twitter.com/RepJasonSmith/status/869946855186104320
;2017-05-29 08:46;7;24;"Join me in honoring the brave men & women who have given their lives to protect our freedoms #MemorialDay http:// bit.ly/2rOfoFL pic.twitter.com/m6TxIXU3hu";;;#MemorialDay;"869188092229537792";https://twitter.com/RepJasonSmith/status/869188092229537792
