username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2017-06-14 08:28;24;55;"Thankful for the bravery of our @CapitolPolice today and every day. Prayers are with @SteveScalise , staff and officers wounded this morning.";;@CapitolPolice @SteveScalise;;"874981847301750784";https://twitter.com/RepJeffDenham/status/874981847301750784
;2017-06-13 21:28;4;13;"Quick Takes: Learning Spanish allowed me to build bridges & friendships in the agriculture industry #IHM2017 https://www. youtube.com/watch?v=3AtlUw VIGdQ&index=3&list=PLasg-MXSg3pfYnNE-nvhg1W3M3cjGr6Mx …";;;#IHM2017;"874815657862250496";https://twitter.com/RepJeffDenham/status/874815657862250496
;2017-06-13 16:28;0;2;"This rulemaking is a positive for our vets! https:// denham.house.gov/news/documents ingle.aspx?DocumentID=1867 …";;;;"874740373633069056";https://twitter.com/RepJeffDenham/status/874740373633069056
;2017-06-13 12:56;0;0;"Going Live on Facebook at 2 p.m. ET with @vitodistrict2 to talk about his visit to D.C. Tune in: https:// m.facebook.com/RepJeffDenham";;@vitodistrict2;;"874686832230969344";https://twitter.com/RepJeffDenham/status/874686832230969344
;2017-06-12 13:17;2;1;"5 #DenhamMDOs this week in Escalon, @cityofmodesto , @CityofRiverbank , Manteca & Ceres. Stop by for help with federal agencies! pic.twitter.com/x8xItyq56S";;@cityofmodesto @CityofRiverbank;#DenhamMDOs;"874329709647101953";https://twitter.com/RepJeffDenham/status/874329709647101953
;2017-06-11 14:35;2;25;"June is Alzheimer's & Brain Awareness Month. I lost my grandfather to this disease & I'm proud to be fighting to find a cure to #EndAlz pic.twitter.com/FOF4eiRkGy";;;#EndAlz;"873987056464269312";https://twitter.com/RepJeffDenham/status/873987056464269312
;2017-06-09 11:50;3;4;"#IHM2017 : We are a nation of immigrants. Mine is a family of immigrants. WATCH: https://www. youtube.com/watch?v=4f7uDd E2kg4&feature=youtu.be …";;;#IHM2017;"873220655621312514";https://twitter.com/RepJeffDenham/status/873220655621312514
;2017-06-07 16:43;3;8;"ICYMI, my interview w/ @NPRinskeep on NPR @MorningEdition about #infrastructure : https:// n.pr/2rTQUKX";;@NPRinskeep @MorningEdition;#infrastructure;"872569689637081088";https://twitter.com/RepJeffDenham/status/872569689637081088
;2017-06-07 15:08;0;7;"Going live on @FoxBusiness to talk about the @POTUS infrastructure plan. Up next, tune in. pic.twitter.com/migVGOnZQF";;@FoxBusiness @POTUS;;"872545831861223424";https://twitter.com/RepJeffDenham/status/872545831861223424
;2017-06-07 14:34;0;0;"#ICYMI : Yesterday I introduced the ACCESS Act. WATCH: https://www. youtube.com/watch?v=e8wS_i 4XQso …";;;#ICYMI;"872537279193112576";https://twitter.com/RepJeffDenham/status/872537279193112576
;2017-06-07 09:18;1;1;"#DenhamMDOs in @cityoftracy , @CityofHughson , Turlock, Newman & Patterson this week pic.twitter.com/3Yx7FZHkFk";;@cityoftracy @CityofHughson;#DenhamMDOs;"872457761430401025";https://twitter.com/RepJeffDenham/status/872457761430401025
;2017-06-07 05:07;2;2;"If you're up with me this morning, I'm on @MorningEdition now. Tune in!";;@MorningEdition;;"872394601621061633";https://twitter.com/RepJeffDenham/status/872394601621061633
;2017-06-06 18:09;5;5;"Just dropped bill to field test in the Valley Medicaid reimbursement rate strategies w/ @RepDavidValadao Info: http:// bit.ly/2rJtky8";;@RepDavidValadao;;"872228867997655045";https://twitter.com/RepJeffDenham/status/872228867997655045
;2017-06-06 10:02;4;9;"As we pause to remember & honor the brave patriots who put country before self, we are reminded that freedom is never free. Thank you. #DDay pic.twitter.com/xcdB4w4fic";;;#DDay;"872106527326445568";https://twitter.com/RepJeffDenham/status/872106527326445568
;2017-06-05 17:04;2;5;"@POTUS proposals to modernize air traffic control & health data records at the VA are critical updates to antiquated & costly systems pic.twitter.com/977EzrLY6F";;@POTUS;;"871850153354944513";https://twitter.com/RepJeffDenham/status/871850153354944513
;2017-06-03 14:56;10;16;"June is #ImmigrantHeritageMonth . Immigration is not a partisan issue. It is an American issue. My story starts here. https://www. youtube.com/watch?v=N71jHi iJBmA …";;;#ImmigrantHeritageMonth;"871093300354326528";https://twitter.com/RepJeffDenham/status/871093300354326528
;2017-06-02 08:47;0;2;"NEW #MorningMailbag : Donna in Modesto asks about the mail theft problem in the Valley. Watch for updates! https://www. youtube.com/watch?v=2SUUVA C6OXk&feature=youtu.be …";;;#MorningMailbag;"870638005656182784";https://twitter.com/RepJeffDenham/status/870638005656182784
;2017-06-01 15:18;0;4;"#DenhamMDOs in Manteca, Waterford & Oakdale tomorrow! Stop by for assistance with federal agencies & casework pic.twitter.com/jxs0l5r9am";;;#DenhamMDOs;"870373889133629440";https://twitter.com/RepJeffDenham/status/870373889133629440
;2017-05-29 10:25;5;10;"On #MemorialDay we honor & thank those who made the ultimate sacrifice protecting our shores & defending our values https:// youtu.be/eEoM7_VVIvA";;;#MemorialDay;"869212992600240130";https://twitter.com/RepJeffDenham/status/869212992600240130
;2017-05-22 16:59;2;4;"My statement on @USDOT 's approval of #Caltrain funding: http:// denham.house.gov/news/documents ingle.aspx?DocumentID=1822 … pic.twitter.com/tzUfUeUUQh";;@USDOT;#Caltrain;"866775655752634369";https://twitter.com/RepJeffDenham/status/866775655752634369
;2017-05-22 15:27;3;5;"#DenhamMDOs in Ripon & Denair this week - stop by for assistance with federal agencies! pic.twitter.com/v7jntGiP7w";;;#DenhamMDOs;"866752398571786244";https://twitter.com/RepJeffDenham/status/866752398571786244
;2017-05-20 10:25;12;39;"Today we recognize the patriots who proudly wear the cloth of this nation to defend our freedoms & values. Thank you to our servicemembers pic.twitter.com/p8kTOwBhmz";;;;"865951500924706818";https://twitter.com/RepJeffDenham/status/865951500924706818
;2017-05-19 15:21;1;8;"#ThisWeekInDC I joined the friends, family & colleagues of Deputy Dennis Wallace to honor his memory & legacy during #NationalPoliceWeek pic.twitter.com/gIzWcVNnLR";;;#ThisWeekInDC #NationalPoliceWeek;"865663603252224000";https://twitter.com/RepJeffDenham/status/865663603252224000
;2017-05-19 10:14;7;9;"For many reasons, including this bold display on American soil, I have cosponsored H. Res. 220. We must stand against genocide. https:// twitter.com/joshdcaplan/st atus/865310629934112768 …";;;;"865586455443361792";https://twitter.com/RepJeffDenham/status/865586455443361792
;2017-05-16 14:24;4;3;"#DenhamMDOs in @cityoftracy , @CityofRiverbank , Manteca & Ceres this week - stop by for assistance w/ federal agency, casework! pic.twitter.com/6SO6EljLvv";;@cityoftracy @CityofRiverbank;#DenhamMDOs;"864562093592162304";https://twitter.com/RepJeffDenham/status/864562093592162304
;2017-05-15 12:59;2;4;"Today on #MPSAwarenessDay we recognize those who are bravely fighting MPS & those we have lost to the rare disease https:// youtu.be/Ghue8pL7oeo";;;#MPSAwarenessDay;"864178458615795713";https://twitter.com/RepJeffDenham/status/864178458615795713
;2017-05-14 10:26;3;20;"Happy Mother's Day! pic.twitter.com/gw62PMcpCU";;;;"863777424563032065";https://twitter.com/RepJeffDenham/status/863777424563032065
;2017-05-10 13:17;11;21;"It's time for Congress to move on #transportation & infrastructure projects. My latest opinion: http:// bit.ly/2qTTUGY @thehill #building21";;@thehill;#transportation #building21;"862371065170984969";https://twitter.com/RepJeffDenham/status/862371065170984969
;2017-05-09 16:08;1;12;"Happy #NationalTeachersDay ! Thank you to our teachers for their dedication to ensuring a bright future for our younger generations! pic.twitter.com/MTev8Eo23B";;;#NationalTeachersDay;"862051554815299584";https://twitter.com/RepJeffDenham/status/862051554815299584
;2017-05-08 15:03;2;2;"SIX #DenhamMDOs this week. Please stop by if you're seeking assistance navigating a federal agency pic.twitter.com/PpVWobijAd";;;#DenhamMDOs;"861672943407026178";https://twitter.com/RepJeffDenham/status/861672943407026178
