username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2017-06-03 13:22;2;4;"Happy National Trails Day! Let's get outdoors and connect w/ our beautiful land. Info on free park admission: https:// goo.gl/Fkku52";;;;"871069544495927296";https://twitter.com/RepJimCosta/status/871069544495927296
;2017-06-02 11:46;5;16;"Congrats on your National #SpellingBee win, Ananya Vinay! Very proud of our champion here in the #SanJoaquinValley ! https:// goo.gl/rY7qOd";;;#SpellingBee #SanJoaquinValley;"870682967697350658";https://twitter.com/RepJimCosta/status/870682967697350658
;2017-05-29 12:56;2;10;"Today we honor our nation's heroes and their families for their service and sacrifice, we remember them, and we pledge again never to forget";;;;"869251070136111104";https://twitter.com/RepJimCosta/status/869251070136111104
;2017-05-24 14:08;0;8;"Proud to be a Blue Dog, fighting for bipartisan, commonsense, and fiscally-responsible budget and debt-reduction policies. https:// twitter.com/HouseBlueDogs/ status/867137106354855936 …";;;;"867457365288902658";https://twitter.com/RepJimCosta/status/867457365288902658
;2017-05-19 17:09;19;32;"We must continue to demand the Turkish security guards be held accountable for their violent and illegal behavior. We cannot let this stand. pic.twitter.com/ACfsd5vC0m";;;;"865690842236891136";https://twitter.com/RepJimCosta/status/865690842236891136
;2017-05-10 18:03;1;10;"Today's groundbreaking of the Renaissance at Parc Grove brings us one step closer to our goal of ending #veteran homelessness in our Valley. pic.twitter.com/haCt9dtCQp";;;#veteran;"862443018619682820";https://twitter.com/RepJimCosta/status/862443018619682820
;2017-05-08 13:55;0;3;"Had a great time this weekend meeting with our Valley's future #agriculture leaders at the #Merced County Spring Fair in #LosBanos ! pic.twitter.com/zRmtR8fFxI";;;#agriculture #Merced #LosBanos;"861655915468115968";https://twitter.com/RepJimCosta/status/861655915468115968
;2017-05-04 18:01;10;25;"The #ACA isn't perfect & needs to be fixed but the American Health Care Act, in its current form, isn't the solution https:// costa.house.gov/media-center/p ress-releases/costa-statement-house-passage-american-health-care-act …";;;#ACA;"860268191469228032";https://twitter.com/RepJimCosta/status/860268191469228032
;2017-05-02 13:26;1;8;"Met w/ Fresno COG in DC. Working together we will ensure investments are made in our Valley's regional #transportation & #CAwater projects. pic.twitter.com/b2IVBjLlrD";;;#transportation #CAwater;"859474179812282368";https://twitter.com/RepJimCosta/status/859474179812282368
;2017-04-28 16:50;3;9;"It was an honor to join U.S. Poet Laureate, Juan Felipe Herrera, at the @librarycongress & celebrate his work. #NationalPoetryMonth pic.twitter.com/KmXmwWTutr";;@librarycongress;#NationalPoetryMonth;"858075906958610432";https://twitter.com/RepJimCosta/status/858075906958610432
;2017-04-26 16:39;1;4;"On #DenimDay , we raise awareness & stand w/ victims & survivors of sexual assault. Together, we will end sexual violence. pic.twitter.com/JtA5jTRRUF";;;#DenimDay;"857348369366298624";https://twitter.com/RepJimCosta/status/857348369366298624
;2017-04-26 15:24;3;15;"Today I spoke on the House floor to commemorate the 102nd anniversary of the Armenian Genocide. We will never forget https://www. youtube.com/watch?v=TDxQFq N0Yos …";;;;"857329596043284480";https://twitter.com/RepJimCosta/status/857329596043284480
;2017-04-25 17:31;4;8;". @CVHonorFlight welcome to our nation's capital! It was an honor to have the opportunity thank Valley veterans for their brave service. pic.twitter.com/TTjUq7KPez";;@CVHonorFlight;;"856999065460117504";https://twitter.com/RepJimCosta/status/856999065460117504
;2017-04-21 15:42;3;18;"I always enjoy my visits on the @ucmerced campus. Keep up the good work, Bobcats! pic.twitter.com/XMSnWPLQqO";;@ucmerced;;"855522107408756737";https://twitter.com/RepJimCosta/status/855522107408756737
;2017-04-18 16:39;12;23;"My prayers are w/ the victims, families & first responders who've been impacted by today's horrific shooting tragedy in #DowntownFresno";;;#DowntownFresno;"854449264617033728";https://twitter.com/RepJimCosta/status/854449264617033728
