username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2017-06-14 14:34;494;1542;"We are united in our grief, our gratitude for quiet heroes and our resolve to come together, to be a better version of the country we love. pic.twitter.com/liIKSjLsra";;;;"875073860944744448";https://twitter.com/RepJoeKennedy/status/875073860944744448
;2017-06-14 07:22;379;1679;"Praying for @SteveScalise , staff, Capitol Police and other victims of this horrific attack.";;@SteveScalise;;"874965205868048385";https://twitter.com/RepJoeKennedy/status/874965205868048385
;2017-06-13 16:20;602;1474;"A bill that will leave families heartbroken and bankrupt is not “mean.” It's cruel. #TrumpCare https:// twitter.com/ZekeJMiller/st atus/874729443683704832 …";;;#TrumpCare;"874738256654553090";https://twitter.com/RepJoeKennedy/status/874738256654553090
;2017-06-12 14:41;596;2059;"In honor of LGBTQ lives senselessly taken at #Pulse , may each of us make a stand for a country where hate has no cover. #OrlandoUnitedDay";;;#Pulse #OrlandoUnitedDay;"874350910570475520";https://twitter.com/RepJoeKennedy/status/874350910570475520
;2017-06-09 18:25;1716;3433;"And we wonder why people are angry at our system. https:// twitter.com/tracyjan/statu s/872880665871691776 …";;;;"873320185670893569";https://twitter.com/RepJoeKennedy/status/873320185670893569
;2017-06-09 14:39;723;2085;"There is no excuse for shaming & starving a child b/c they can’t afford lunch. Proud to sign onto @RepLujanGrisham 's Anti #LunchShaming Act.";;@RepLujanGrisham;#LunchShaming;"873263255606657026";https://twitter.com/RepJoeKennedy/status/873263255606657026
;2017-06-09 07:57;192;1229;"Honored to be an ally. https:// twitter.com/transequality/ status/873141745944600577 …";;;;"873162069440417793";https://twitter.com/RepJoeKennedy/status/873162069440417793
;2017-06-08 18:26;1986;2290;"Don't let this one go unnoticed. https:// twitter.com/sarahkliff/sta tus/872896185190764544 …";;;;"872958088772542464";https://twitter.com/RepJoeKennedy/status/872958088772542464
;2017-06-08 16:43;3415;8197;"Recovering from this seismic loss of trust in our most sacred institutions requires relentless pursuit of facts wherever they may lead.";;;;"872932121547026432";https://twitter.com/RepJoeKennedy/status/872932121547026432
;2017-06-08 16:43;4425;7643;"A foreign adversary entrenched in our democratic process. An AG compromised beyond repair. A president who lied to the American people.";;;;"872932038717976576";https://twitter.com/RepJoeKennedy/status/872932038717976576
;2017-06-08 16:42;1341;4047;"Nothing for any American to celebrate in #ComeyHearing . Not for Democrats or Republicans or the President himself.";;;#ComeyHearing;"872931896057114624";https://twitter.com/RepJoeKennedy/status/872931896057114624
;2017-06-08 16:17;1104;1658;"Crippling #DoddFrank protections is a @HouseGOP admission that profits of the powerful outweigh economic dignity of everyone else.";;@HouseGOP;#DoddFrank;"872925518898896897";https://twitter.com/RepJoeKennedy/status/872925518898896897
;2017-06-08 15:40;131;437;"Proud to stand with @CommonCauseMA @LWVMA @cindycreem @SenStan and countless others in favor of #AutomaticVoterRegistration today #mapoli";;@CommonCauseMA @LWVMA @cindycreem @SenStan;#AutomaticVoterRegistration #mapoli;"872916318873423872";https://twitter.com/RepJoeKennedy/status/872916318873423872
;2017-06-08 15:38;298;796;"Voter fraud is one of the oldest dog whistles in American politics. States like MA must lead the way defending access to ballot box. #mapoli pic.twitter.com/kszgHZ7ozi";;;#mapoli;"872915885706674177";https://twitter.com/RepJoeKennedy/status/872915885706674177
;2017-06-08 10:34;709;1948;"There has been a lot of talk about loyalty today. Americans should never have to doubt the loyalty of our Commander-in-Chief. #ComeyHearing pic.twitter.com/mLLigRBMlY";;;#ComeyHearing;"872839284679737345";https://twitter.com/RepJoeKennedy/status/872839284679737345
;2017-06-07 15:23;249;1054;""I deserve to be able to show up to my life as the person I am." Grateful for Asa's example, proud to stand w/him. https:// twitter.com/BostonGlobe/st atus/872536935780233216 …";;;;"872549621863784449";https://twitter.com/RepJoeKennedy/status/872549621863784449
;2017-06-05 19:29;96;518;"Honored to spend tonight with @SpOlympicsMA @colletteycookie and countless friends #BrettAwards pic.twitter.com/aj70MF4qIP";;@SpOlympicsMA @colletteycookie;#BrettAwards;"871886735160037376";https://twitter.com/RepJoeKennedy/status/871886735160037376
;2017-06-05 16:39;197;1273;"You won’t find many audiences more attentive than the 1st grade class at Thacher Elementary - big thanks to Malcolm for the invite! pic.twitter.com/x4hT04pwcH";;;;"871843886997680128";https://twitter.com/RepJoeKennedy/status/871843886997680128
;2017-06-05 16:24;57;379;"Thanks for having me and for your inspiring leadership of @HockomockYMCA ! https:// twitter.com/EdHurleyYMCA/s tatus/871833033061666817 …";;@HockomockYMCA;;"871840062153084928";https://twitter.com/RepJoeKennedy/status/871840062153084928
;2017-06-02 11:54;102;497;"Great morning talking health care and strengthening our local economies with the @BrooklineChmbr ! pic.twitter.com/z29QHirKMX";;@BrooklineChmbr;;"870685054875254785";https://twitter.com/RepJoeKennedy/status/870685054875254785
;2017-06-01 17:01;437;1282;"Today the President left Americans to fend for themselves.";;;;"870399869294333952";https://twitter.com/RepJoeKennedy/status/870399869294333952
;2017-06-01 17:00;410;1129;"#ParisAgreement united a global community of diverse economies and ecosystems against a common enemy threatening health & safety of us all.";;;#ParisAgreement;"870399779221536768";https://twitter.com/RepJoeKennedy/status/870399779221536768
;2017-06-01 17:00;622;1919;"Confronting #climatechange is not just abt cities & towns under water tmrw, it is about families & communities suffering consequences today.";;;#climatechange;"870399601341112320";https://twitter.com/RepJoeKennedy/status/870399601341112320
;2017-05-31 15:40;468;852;"#TrumpCare . Cuts to @PPFA . Ending guarantee of contraception coverage. @realDonaldTrump is codifying sex discrimination in our health care.";;@PPFA @realDonaldTrump;#TrumpCare;"870017095399911425";https://twitter.com/RepJoeKennedy/status/870017095399911425
;2017-05-31 15:34;975;1863;"Allowing a boss to impose their religious beliefs on employees’ health care is not freedom, it’s discrimination. #ProtectOurCare https:// twitter.com/voxdotcom/stat us/869988109705822208 …";;;#ProtectOurCare;"870015527502188545";https://twitter.com/RepJoeKennedy/status/870015527502188545
